Player,Team,Season,PPG,RPG,APG,WinPct,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP,is_outlier
Khris Middleton,MIL,18/19,18.3,6.0,4.3,0.732,6.1,0,109,106,16.5,0.8,25.1,1.7,False
Paul Millsap,DEN,18/19,12.6,7.2,2.0,0.659,6.1,0,116,106,17.9,1.7,19.6,1.8,False
Serge Ibaka,TOR,18/19,15.0,8.1,1.3,0.707,6.1,0,113,105,18.7,0.2,22.9,1.2,False
Julius Randle,NOP,18/19,21.4,8.7,3.1,0.402,6.1,0,113,112,20.9,1.5,27.8,2.0,False
Joe Ingles,UTA,18/19,12.1,4.0,5.7,0.61,6.0,0,110,107,13.4,1.4,17.5,2.2,False
John Collins,ATL,18/19,19.5,9.8,2.0,0.354,6.0,0,122,115,21.8,0.9,23.7,1.3,False
Kevon Looney,GSW,18/19,6.2,5.2,1.5,0.695,6.0,0,135,109,17.3,0.5,12.8,0.9,True
JaVale McGee,LAL,18/19,12.0,7.5,0.7,0.451,5.9,0,117,104,21.8,1.4,20.2,1.4,False
Danny Green,TOR,18/19,10.3,4.0,1.6,0.707,5.9,0,119,108,13.0,2.0,14.1,2.2,False
Buddy Hield,SAC,18/19,20.7,5.0,2.5,0.476,5.9,0,113,114,17.5,2.1,25.1,2.7,False
JJ Redick,PHI,18/19,18.1,2.4,2.7,0.622,5.9,0,118,115,15.1,0.2,21.9,1.3,False
Deandre Ayton,PHO,18/19,16.3,10.3,1.8,0.232,5.8,0,117,113,20.5,0.2,21.2,1.2,False
Mason Plumlee,DEN,18/19,7.8,6.4,3.0,0.659,5.8,0,117,105,17.8,2.1,16.2,1.8,False
Al-Farouq Aminu,POR,18/19,9.4,7.5,1.3,0.646,5.8,0,118,109,13.2,0.7,13.7,1.5,False
Ed Davis,BRK,18/19,5.8,8.6,0.8,0.512,5.7,0,129,105,17.3,0.0,12.7,0.7,False
De'Aaron Fox,SAC,18/19,17.3,3.8,7.3,0.476,5.6,0,110,111,18.1,1.5,24.5,2.3,False
CJ McCollum,POR,18/19,21.0,4.0,3.0,0.646,5.6,0,113,113,17.0,1.0,25.5,1.8,False
Josh Richardson,MIA,18/19,16.6,3.6,4.1,0.476,5.6,0,111,110,14.0,0.3,20.9,1.5,False
Thomas Bryant,WAS,18/19,10.5,6.3,1.3,0.39,5.6,0,130,112,21.0,2.0,17.6,1.5,False
Joe Harris,BRK,18/19,13.7,3.8,2.4,0.512,5.5,0,119,113,13.5,0.5,17.0,1.4,False
Jrue Holiday,NOP,18/19,21.2,5.0,7.7,0.402,5.4,0,111,112,19.4,3.0,25.4,3.1,True
Marcus Smart,BOS,18/19,8.8,2.9,4.0,0.598,5.3,0,113,107,13.1,0.8,14.6,1.5,False
Jeremy Lamb,CHA,18/19,15.3,5.5,2.2,0.476,5.3,0,113,111,17.3,1.2,22.5,1.8,False
Klay Thompson,GSW,18/19,21.5,3.8,2.4,0.695,5.3,0,110,112,16.6,-0.3,25.6,1.2,False
Jakob Poeltl,SAS,18/19,5.5,5.3,1.2,0.585,5.1,0,133,108,19.4,2.0,13.1,1.3,True
Jamal Murray,DEN,18/19,18.2,4.2,4.8,0.659,5.1,0,110,111,16.0,0.6,24.9,1.6,False
Lou Williams,LAC,18/19,20.0,3.0,5.4,0.585,5.1,0,112,114,21.2,2.2,32.4,2.1,False
Aaron Gordon,ORL,18/19,16.0,7.4,3.7,0.512,5.1,0,107,109,15.1,0.6,21.8,1.7,False
Taj Gibson,MIN,18/19,10.8,6.5,1.2,0.439,5.1,0,123,112,17.8,-0.1,17.2,0.8,False
P.J. Tucker,HOU,18/19,7.3,5.8,1.2,0.646,5.0,0,114,110,9.2,-0.6,9.5,1.0,False
Donovan Mitchell,UTA,18/19,23.8,4.1,4.2,0.61,5.0,0,104,107,17.2,1.3,31.6,2.2,False
Reggie Jackson,DET,18/19,15.4,2.6,4.2,0.5,5.0,0,111,112,15.2,0.4,24.5,1.4,False
Jayson Tatum,BOS,18/19,15.7,6.0,2.1,0.598,5.0,0,107,107,15.1,-0.2,22.1,1.1,False
D'Angelo Russell,BRK,18/19,21.1,3.9,7.0,0.512,5.0,0,107,110,19.4,3.4,31.9,3.4,False
Larry Nance Jr.,CLE,18/19,9.4,8.2,3.2,0.232,4.9,0,120,112,18.6,2.4,15.5,2.0,False
Gordon Hayward,BOS,18/19,11.5,4.5,3.4,0.598,4.9,0,114,109,15.6,0.8,19.0,1.3,False
Luka Dončić,DAL,18/19,21.2,7.8,6.0,0.402,4.9,0,107,109,19.6,3.9,30.5,3.4,False
Spencer Dinwiddie,BRK,18/19,16.8,2.4,4.6,0.512,4.8,0,114,113,16.3,0.6,24.9,1.3,False
Patrick Beverley,LAC,18/19,7.6,5.0,3.8,0.585,4.8,0,119,111,11.8,0.9,12.2,1.5,False
Kelly Olynyk,MIA,18/19,10.0,4.7,1.8,0.476,4.7,0,114,108,14.4,0.7,18.0,1.2,False
Tomáš Satoranský,WAS,18/19,8.9,3.5,5.0,0.39,4.7,0,121,116,14.1,-0.7,14.1,0.7,False
Marcus Morris,BOS,18/19,13.9,6.1,1.5,0.598,4.5,0,110,109,14.2,-0.9,20.9,0.6,False
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,0.476,4.5,0,117,110,15.4,0.9,16.5,1.3,False
Malik Beasley,DEN,18/19,11.3,2.5,1.2,0.659,4.5,0,117,112,14.2,0.1,18.7,1.0,False
Rudy Gay,SAS,18/19,13.7,6.8,2.6,0.585,4.4,0,111,109,17.5,1.4,22.1,1.6,False
Jae Crowder,UTA,18/19,11.9,4.8,1.7,0.61,4.4,0,107,107,12.1,0.3,19.1,1.2,False
Nerlens Noel,OKC,18/19,4.9,4.2,0.6,0.598,4.3,0,122,99,19.3,2.1,13.8,1.1,False
Draymond Green,GSW,18/19,7.4,7.3,6.9,0.695,4.3,0,108,106,12.9,1.4,13.1,1.8,False
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,0.707,4.3,0,114,110,13.7,0.5,17.9,1.1,False
Richaun Holmes,PHO,18/19,8.2,4.7,0.9,0.232,4.3,0,127,111,20.7,0.6,17.9,0.8,False
Terrence Ross,ORL,18/19,15.1,3.5,1.7,0.512,4.3,0,108,109,15.4,0.8,23.9,1.5,False
Andre Iguodala,GSW,18/19,5.7,3.7,3.2,0.695,4.2,0,124,109,13.1,1.8,10.4,1.5,False
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,0.451,4.0,0,113,112,12.9,-0.5,18.1,0.8,False
Dāvis Bertāns,SAS,18/19,8.0,3.5,1.3,0.585,4.0,0,122,112,13.0,1.3,14.1,1.4,False
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,0.512,4.0,0,107,106,13.0,-0.4,16.3,0.8,False
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,0.354,4.0,0,115,109,16.0,0.5,16.7,1.0,False
Pat Connaughton,MIL,18/19,6.9,4.2,2.0,0.732,3.9,0,122,107,13.6,1.2,13.3,1.0,False
Cody Zeller,CHA,18/19,10.1,6.8,2.1,0.476,3.9,0,123,111,17.2,0.1,16.3,0.7,False
Marvin Williams,CHA,18/19,10.1,5.4,1.2,0.476,3.8,0,112,111,12.6,-0.3,14.9,0.9,False
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,0.585,3.8,0,113,114,12.0,-1.2,17.4,0.5,False
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,0.61,3.7,0,105,107,14.0,-0.2,22.7,0.9,False
Nicolas Batum,CHA,18/19,9.3,5.2,3.3,0.476,3.7,0,112,113,11.9,-0.3,13.2,1.0,False
Ryan Arcidiacono,CHI,18/19,6.7,2.7,3.3,0.268,3.7,0,121,115,11.6,-1.9,11.7,0.1,False
Derrick White,SAS,18/19,9.9,3.7,3.9,0.585,3.6,0,111,110,14.8,0.9,17.7,1.3,False
Jeff Green,WAS,18/19,12.3,4.0,1.8,0.39,3.6,0,115,116,13.6,-1.4,17.8,0.3,False
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,0.476,3.6,0,111,110,18.9,-1.0,24.2,0.4,False
Daniel Theis,BOS,18/19,5.7,3.4,1.0,0.598,3.5,0,128,107,17.0,0.0,15.8,0.5,False
Devin Booker,PHO,18/19,26.6,4.1,6.8,0.232,3.5,0,109,118,20.2,1.0,32.9,1.7,False
Cory Joseph,IND,18/19,6.5,3.4,3.9,0.585,3.5,0,105,107,11.0,-0.4,13.7,0.9,False
Maxi Kleber,DAL,18/19,6.8,4.6,1.0,0.402,3.5,0,115,109,13.1,0.4,13.5,0.9,False
Patty Mills,SAS,18/19,9.9,2.2,3.0,0.585,3.5,0,112,114,13.2,-0.3,18.5,0.8,False
Langston Galloway,DET,18/19,8.4,2.1,1.1,0.5,3.4,0,115,113,10.7,-1.5,16.1,0.2,False
Maurice Harkless,POR,18/19,7.7,4.5,1.2,0.646,3.4,0,114,108,13.2,0.7,13.9,1.0,False
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,0.585,3.3,0,108,112,13.4,-0.5,18.3,0.8,False
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,0.402,3.3,0,108,107,16.4,-0.3,22.8,0.7,False
Jonas Jerebko,GSW,18/19,6.3,3.9,1.3,0.695,3.3,0,120,111,13.5,-0.7,15.2,0.4,False
Dorian Finney-Smith,DAL,18/19,7.5,4.8,1.2,0.402,3.3,0,109,111,11.0,-1.4,14.0,0.3,False
Royce O'Neale,UTA,18/19,5.2,3.5,1.5,0.61,3.3,0,108,106,9.0,-0.5,11.0,0.6,False
Trae Young,ATL,18/19,19.1,3.7,8.1,0.354,3.3,0,107,117,17.0,-0.6,28.4,0.9,True
Evan Fournier,ORL,18/19,15.1,3.2,3.6,0.512,3.2,0,104,111,12.3,-2.4,22.1,-0.3,False
Noah Vonleh,NYK,18/19,8.4,7.8,1.9,0.207,3.2,0,111,111,13.9,-0.7,14.8,0.6,False
Terry Rozier,BOS,18/19,9.0,3.9,2.9,0.598,3.2,0,106,108,12.9,-0.2,18.6,0.8,False
Alex Len,ATL,18/19,11.1,5.5,1.1,0.354,3.2,0,113,113,17.2,-1.2,22.1,0.3,False
Tony Snell,MIL,18/19,6.0,2.1,0.9,0.732,3.2,0,119,109,10.7,-0.7,12.9,0.4,False
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,0.512,3.1,0,110,111,12.1,-1.5,18.6,0.2,False
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,0.451,3.1,0,106,112,14.0,-1.4,23.8,0.4,False
Jake Layman,POR,18/19,7.6,3.1,0.7,0.646,3.1,0,118,112,13.5,-0.5,15.9,0.5,False
Ersan İlyasova,MIL,18/19,6.8,4.5,0.8,0.732,3.0,0,112,106,11.6,-2.3,15.7,-0.1,False
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,0.598,3.0,0,104,109,13.5,-2.1,22.1,0.0,False
Torrey Craig,DEN,18/19,5.7,3.5,1.0,0.659,3.0,0,114,110,10.4,-1.9,12.4,0.0,False
Meyers Leonard,POR,18/19,5.9,3.8,1.2,0.646,3.0,0,129,111,15.8,1.8,14.8,0.8,False
Juancho Hernangómez,DEN,18/19,5.8,3.8,0.8,0.659,3.0,0,118,110,11.0,-1.1,12.2,0.3,False
Tyus Jones,MIN,18/19,6.9,2.0,4.8,0.439,3.0,0,116,114,13.7,-0.6,14.1,0.6,False
Derrick Rose,MIN,18/19,18.0,2.7,4.3,0.439,3.0,0,114,117,19.5,1.4,27.3,1.2,False
Zach Collins,POR,18/19,6.6,4.2,0.9,0.646,2.9,0,112,110,13.5,-1.2,16.6,0.3,False
Miles Bridges,CHA,18/19,7.5,4.0,1.2,0.476,2.9,0,111,112,13.1,-0.8,15.1,0.5,False
Derrick Jones Jr.,MIA,18/19,7.0,4.0,0.6,0.476,2.9,0,113,107,14.0,-0.5,15.6,0.4,False
Mikal Bridges,PHO,18/19,8.3,3.2,2.1,0.232,2.9,0,112,115,10.8,-1.6,12.2,0.3,False
Doug McDermott,IND,18/19,7.3,1.4,0.9,0.585,2.9,0,117,112,11.6,-1.4,16.3,0.2,False
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,0.598,2.9,0,103,110,12.7,-2.0,24.2,0.0,False
T.J. McConnell,PHI,18/19,6.4,2.3,3.4,0.622,2.9,0,110,110,13.4,-0.9,15.0,0.4,False
Khem Birch,ORL,18/19,4.8,3.8,0.8,0.512,2.8,0,134,106,19.2,1.2,14.1,0.5,True
