Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kobe Bryant;35.4;2005-06;27;LAL;80;80;1;3277;978;2173;798;1655;180;518;696;819;71;354;425;360;147;30;250;233;2832;0.45;0.482;0.347;0.85;0.559;0.491;G-F;bryanko01
2;Allen Iverson;33;2005-06;30;PHI;72;72;1;3103;815;1822;743;1599;72;223;675;829;44;188;232;532;140;10;248;121;2377;0.447;0.465;0.323;0.814;0.543;0.467;G;iversal01
3;LeBron James;31.4;2005-06;21;CLE;79;79;1;3361;875;1823;748;1444;127;379;601;814;75;481;556;521;123;66;260;181;2478;0.48;0.518;0.335;0.738;0.568;0.515;F-G;jamesle01
4;Gilbert Arenas;29.3;2005-06;24;WAS;80;80;1;3384;746;1668;547;1128;199;540;655;799;59;221;280;484;161;25;297;286;2346;0.447;0.485;0.369;0.82;0.581;0.507;G;arenagi01
5;Dwyane Wade;27.2;2005-06;24;MIA;75;75;1;2892;699;1413;686;1337;13;76;629;803;107;323;430;503;146;58;268;217;2040;0.495;0.513;0.171;0.783;0.577;0.499;G;wadedw01
6;Paul Pierce;26.8;2005-06;28;BOS;79;79;1;3084;689;1462;578;1148;111;314;627;812;77;453;530;375;107;34;273;223;2116;0.471;0.503;0.354;0.772;0.582;0.509;F-G;piercpa01
7;Dirk Nowitzki;26.6;2005-06;27;DAL;81;81;1;3089;751;1564;641;1293;110;271;539;598;115;613;728;226;58;83;156;164;2151;0.48;0.496;0.406;0.901;0.589;0.515;F-C;nowitdi01
8;Carmelo Anthony;26.5;2005-06;21;DEN;80;80;0;2941;756;1572;719;1420;37;152;573;709;122;272;394;216;88;42;218;229;2122;0.481;0.506;0.243;0.808;0.563;0.493;F;anthoca01
9;Michael Redd;25.4;2005-06;26;MIL;80;80;0;3130;682;1516;519;1103;163;413;501;571;78;264;342;229;95;5;170;157;2028;0.45;0.471;0.395;0.877;0.574;0.504;G;reddmi01
10;Ray Allen;25.1;2005-06;30;SEA;78;78;1;3022;681;1500;412;847;269;653;324;359;71;261;332;286;105;16;188;151;1955;0.454;0.486;0.412;0.903;0.59;0.544;G;allenra02
11;Elton Brand;24.7;2005-06;26;LAC;79;79;1;3099;756;1435;755;1432;1;3;440;568;236;554;790;208;81;201;173;227;1953;0.527;0.527;0.333;0.775;0.58;0.527;F-C;brandel01
12;Tracy McGrady;24.4;2005-06;26;HOU;47;47;1;1745;410;1011;337;777;73;234;254;340;46;261;307;225;59;41;120;88;1147;0.406;0.434;0.312;0.747;0.494;0.442;G-F;mcgratr01
13;Vince Carter;24.2;2005-06;29;NJN;79;79;1;2906;653;1518;528;1151;125;367;480;601;135;327;462;338;94;53;213;235;1911;0.43;0.459;0.341;0.799;0.536;0.471;G-F;cartevi01
14;Jason Richardson;23.2;2005-06;25;GSW;75;75;0;2877;641;1438;458;961;183;477;276;410;105;333;438;232;97;37;167;206;1741;0.446;0.477;0.384;0.673;0.538;0.509;G;richaja01
