Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Allen Iverson;30.7;2004-05;29;PHI;75;75;1;3174;771;1818;667;1480;104;338;656;786;51;248;299;596;180;9;344;140;2302;0.424;0.451;0.308;0.835;0.532;0.453;G;iversal01
2;Kobe Bryant;27.6;2004-05;26;LAL;66;66;1;2689;573;1324;442;937;131;387;542;664;95;297;392;398;86;53;270;174;1819;0.433;0.472;0.339;0.816;0.563;0.482;G-F;bryanko01
3;LeBron James;27.2;2004-05;20;CLE;80;80;1;3388;795;1684;687;1376;108;308;477;636;111;477;588;577;177;52;262;146;2175;0.472;0.499;0.351;0.75;0.554;0.504;F-G;jamesle01
4;Dirk Nowitzki;26.1;2004-05;26;DAL;78;78;1;3020;663;1445;572;1217;91;228;615;708;96;661;757;240;97;119;176;219;2032;0.459;0.47;0.399;0.869;0.578;0.49;F-C;nowitdi01
5;Amar'e Stoudemire;26;2004-05;22;PHO;80;80;1;2889;747;1336;744;1320;3;16;583;795;219;494;713;131;77;130;189;278;2080;0.559;0.564;0.188;0.733;0.617;0.56;F-C;stoudam01
6;Tracy McGrady;25.7;2004-05;25;HOU;78;78;1;3182;715;1660;573;1225;142;435;431;557;71;413;484;448;135;52;201;167;2003;0.431;0.468;0.326;0.774;0.526;0.473;G-F;mcgratr01
7;Gilbert Arenas;25.5;2004-05;23;WAS;80;80;1;3274;656;1523;451;961;205;562;521;640;83;295;378;411;139;23;242;245;2038;0.431;0.469;0.365;0.814;0.565;0.498;G;arenagi01
8;Metta World Peace;24.6;2004-05;25;IND;7;7;0;291;59;119;52;102;7;17;47;51;8;37;45;22;12;6;17;27;172;0.496;0.51;0.412;0.922;0.608;0.525;F;artesro01
9;Vince Carter;24.5;2004-05;28;NJNTOR;77;76;1;2828;696;1541;569;1228;127;313;367;460;106;295;401;327;109;48;168;243;1886;0.452;0.463;0.406;0.798;0.541;0.493;G-F;cartevi01
10;Jermaine O'Neal;24.3;2004-05;26;IND;44;41;1;1530;386;854;385;848;1;6;295;391;85;303;388;82;25;88;131;173;1068;0.452;0.454;0.167;0.754;0.52;0.453;C-F;onealje01
11;Dwyane Wade;24.1;2004-05;23;MIA;77;77;1;2974;630;1318;617;1273;13;45;581;762;110;287;397;520;121;82;321;230;1854;0.478;0.485;0.289;0.762;0.561;0.483;G;wadedw01
12;Ray Allen;23.9;2004-05;29;SEA;78;78;1;3064;640;1494;431;938;209;556;378;428;79;268;347;289;84;5;171;167;1867;0.428;0.459;0.376;0.883;0.555;0.498;G;allenra02
13;Michael Redd;23;2004-05;25;MIL;75;75;0;2848;625;1418;521;1125;104;293;369;432;72;240;312;172;63;8;133;152;1723;0.441;0.463;0.355;0.854;0.536;0.477;G;reddmi01
14;Shaquille O'Neal;22.9;2004-05;32;MIA;73;73;1;2492;658;1095;658;1095;0;0;353;765;253;507;760;200;36;171;203;262;1669;0.601;0.601;;0.461;0.583;0.601;C;onealsh01
15;Richard Jefferson;22.2;2004-05;24;NJN;33;33;0;1355;238;564;208;475;30;89;227;269;49;191;240;133;33;17;132;109;733;0.422;0.438;0.337;0.844;0.537;0.449;F;jefferi01
16;Corey Maggette;22.2;2004-05;25;LAC;66;60;0;2436;425;986;374;818;51;168;563;657;70;324;394;225;70;8;195;191;1464;0.431;0.457;0.304;0.857;0.574;0.457;F;maggeco01
17;Kevin Garnett;22.2;2004-05;28;MIN;82;82;1;3121;683;1360;677;1335;6;25;445;549;247;861;1108;466;121;112;222;207;1817;0.502;0.507;0.24;0.811;0.567;0.504;F-C;garneke01
18;Larry Hughes;22;2004-05;26;WAS;61;61;0;2358;467;1086;408;877;59;209;352;453;74;308;382;285;176;18;153;168;1345;0.43;0.465;0.282;0.777;0.523;0.457;G;hughela01
19;Stephon Marbury;21.7;2004-05;27;NYK;82;82;0;3281;604;1308;489;983;115;325;458;549;50;198;248;668;122;6;233;186;1781;0.462;0.497;0.354;0.834;0.575;0.506;G;marbust01
20;Jason Richardson;21.7;2004-05;24;GSW;72;72;0;2724;610;1368;485;998;125;370;214;309;125;299;424;281;105;32;169;156;1559;0.446;0.486;0.338;0.693;0.518;0.492;G;richaja01
21;Paul Pierce;21.6;2004-05;27;BOS;82;82;1;2960;556;1223;448;931;108;292;549;668;78;461;539;348;133;39;230;255;1769;0.455;0.481;0.37;0.822;0.583;0.499;F-G;piercpa01
22;Steve Francis;21.3;2004-05;27;ORL;78;78;0;2978;563;1330;525;1203;38;127;499;606;126;324;450;547;112;28;317;273;1663;0.423;0.436;0.299;0.823;0.521;0.438;G;francst01
23;Carmelo Anthony;20.8;2004-05;20;DEN;75;75;0;2608;530;1230;488;1072;42;158;456;573;141;285;426;194;68;30;224;229;1558;0.431;0.455;0.266;0.796;0.526;0.448;F;anthoca01
24;Rashard Lewis;20.5;2004-05;25;SEA;71;71;1;2697;532;1151;359;719;173;432;220;283;110;278;388;94;75;62;123;158;1457;0.462;0.499;0.4;0.777;0.571;0.537;F;lewisra02
25;Tim Duncan;20.3;2004-05;28;SAS;66;66;1;2203;517;1042;514;1033;3;9;305;455;202;530;732;179;45;174;127;144;1342;0.496;0.498;0.333;0.67;0.54;0.498;F-C;duncati01
26;Peja Stojaković;20.1;2004-05;27;SAC;66;66;0;2534;451;1016;277;583;174;433;253;275;62;223;285;138;79;12;102;157;1329;0.444;0.475;0.402;0.92;0.584;0.53;F;stojape01
27;Elton Brand;20;2004-05;25;LAC;81;81;0;3001;629;1251;629;1248;0;3;364;484;296;474;770;208;62;169;183;240;1622;0.503;0.504;0;0.752;0.554;0.503;F-C;brandel01
28;Grant Hill;19.7;2004-05;32;ORL;67;67;1;2338;517;1015;514;1002;3;13;280;341;77;241;318;220;97;28;161;144;1317;0.509;0.513;0.231;0.821;0.565;0.511;F-G;hillgr01
29;Mike Bibby;19.6;2004-05;26;SAC;80;80;0;3084;560;1264;429;900;131;364;320;413;77;255;332;541;124;30;203;191;1571;0.443;0.477;0.36;0.775;0.543;0.495;G;bibbymi01
30;Antawn Jamison;19.6;2004-05;28;WAS;68;68;1;2605;519;1189;448;981;71;208;225;296;160;359;519;154;55;16;118;151;1334;0.437;0.457;0.341;0.76;0.506;0.466;F;jamisan01
31;Chris Webber;19.5;2004-05;31;PHISAC;67;67;0;2370;555;1283;540;1239;15;44;181;228;130;482;612;318;94;53;182;214;1306;0.433;0.436;0.341;0.794;0.472;0.438;F-C;webbech01
32;Shawn Marion;19.4;2004-05;26;PHO;81;81;1;3146;613;1289;499;948;114;341;229;275;235;680;915;154;163;119;125;199;1569;0.476;0.526;0.334;0.833;0.556;0.52;F;mariosh01
33;Baron Davis;19.2;2004-05;25;GSWNOH;46;32;0;1581;291;752;173;398;118;354;185;243;32;143;175;362;81;14;131;126;885;0.387;0.435;0.333;0.761;0.515;0.465;G;davisba01
34;Antoine Walker;19.1;2004-05;28;ATLBOS;77;77;0;2955;581;1377;471;1036;110;341;201;373;182;513;695;265;89;58;253;217;1473;0.422;0.455;0.323;0.539;0.478;0.462;F;walkean02
35;Zach Randolph;18.9;2004-05;23;POR;46;37;0;1603;332;741;332;735;0;6;207;254;142;300;442;86;34;17;112;112;871;0.448;0.452;0;0.815;0.511;0.448;F-C;randoza01
36;Richard Hamilton;18.7;2004-05;26;DET;76;76;0;2926;510;1160;474;1042;36;118;368;429;74;221;295;372;77;13;217;232;1424;0.44;0.455;0.305;0.858;0.528;0.455;G-F;hamilri01
37;Stephen Jackson;18.7;2004-05;26;IND;51;49;0;1806;330;819;227;533;103;286;190;229;44;206;250;119;64;14;123;154;953;0.403;0.426;0.36;0.83;0.518;0.466;F-G;jacksst02
38;Jalen Rose;18.5;2004-05;32;TOR;81;65;0;2710;527;1159;419;885;108;274;333;390;44;232;276;209;63;10;180;190;1495;0.455;0.473;0.394;0.854;0.562;0.501;G-F;roseja01
39;Yao Ming;18.3;2004-05;24;HOU;80;80;1;2447;538;975;538;975;0;0;389;497;208;461;669;61;34;160;196;298;1465;0.552;0.552;;0.783;0.614;0.552;C;mingya01
40;Carlos Boozer;17.8;2004-05;23;UTA;51;51;0;1772;361;693;361;692;0;1;187;268;141;316;457;144;41;24;137;179;909;0.521;0.522;0;0.698;0.56;0.521;F-C;boozeca01
41;Pau Gasol;17.8;2004-05;24;MEM;56;53;0;1790;357;695;356;689;1;6;282;367;130;280;410;135;37;93;137;146;997;0.514;0.517;0.167;0.768;0.582;0.514;C-F;gasolpa01
42;Jamal Crawford;17.7;2004-05;24;NYK;70;67;0;2688;437;1097;252;585;185;512;182;216;33;170;203;302;92;19;148;135;1241;0.398;0.431;0.361;0.843;0.521;0.483;G;crawfja01
43;Al Harrington;17.5;2004-05;24;ATL;66;66;0;2550;453;986;437;912;16;74;236;351;145;316;461;208;85;16;204;249;1158;0.459;0.479;0.216;0.672;0.508;0.468;F;harrial01
44;Desmond Mason;17.2;2004-05;27;MIL;80;71;0;2893;478;1079;477;1071;1;8;420;524;85;227;312;217;58;27;164;198;1377;0.443;0.445;0.125;0.802;0.526;0.443;F;masonde01
45;Cuttino Mobley;17.2;2004-05;29;ORLSAC;66;64;0;2388;408;932;258;590;150;342;168;205;45;184;229;188;74;30;133;152;1134;0.438;0.437;0.439;0.82;0.555;0.518;G;moblecu01
46;Joe Johnson;17.1;2004-05;23;PHO;82;82;0;3240;544;1179;367;809;177;370;135;180;120;302;422;291;79;24;148;167;1400;0.461;0.454;0.478;0.75;0.556;0.536;G-F;johnsjo02
47;Zydrunas Ilgauskas;16.9;2004-05;29;CLE;78;78;1;2615;458;979;456;972;2;7;402;503;299;373;672;100;53;165;191;313;1320;0.468;0.469;0.286;0.799;0.55;0.469;C;ilgauzy01
48;Shareef Abdur-Rahim;16.8;2004-05;28;POR;54;49;0;1867;337;670;322;631;15;39;220;254;123;269;392;111;49;26;117;150;909;0.503;0.51;0.385;0.866;0.581;0.514;F;abdursh01
49;Chris Bosh;16.8;2004-05;20;TOR;81;81;0;3017;473;1005;470;995;3;10;412;542;194;524;718;153;76;113;187;226;1361;0.471;0.472;0.3;0.76;0.547;0.472;F-C;boshch01
50;Tony Parker;16.6;2004-05;22;SAS;80;80;0;2735;539;1118;496;962;43;156;210;323;47;251;298;491;98;4;215;167;1331;0.482;0.516;0.276;0.65;0.528;0.501;G;parketo01
51;Chauncey Billups;16.5;2004-05;28;DET;80;80;0;2866;404;913;239;526;165;387;343;382;48;223;271;464;81;9;180;194;1316;0.442;0.454;0.426;0.898;0.609;0.533;G;billuch01
52;Bobby Simmons;16.4;2004-05;24;LAC;75;74;0;2799;474;1017;424;902;50;115;231;273;128;318;446;205;106;16;135;227;1229;0.466;0.47;0.435;0.846;0.54;0.491;G-F;simmobo01
53;Eddy Curry;16.1;2004-05;22;CHI;63;60;0;1808;393;730;393;730;0;0;226;314;116;222;338;37;21;58;163;202;1012;0.538;0.538;;0.72;0.583;0.538;C;curryed01
54;Manu Ginóbili;16;2004-05;27;SAS;74;74;1;2193;367;780;270;522;97;258;355;442;75;254;329;288;119;27;172;190;1186;0.471;0.517;0.376;0.803;0.609;0.533;G;ginobma01
55;Ricky Davis;16;2004-05;25;BOS;82;11;0;2696;481;1041;420;861;61;180;286;351;66;183;249;246;89;27;205;174;1309;0.462;0.488;0.339;0.815;0.547;0.491;G-F;davisri01
56;Damon Stoudamire;15.8;2004-05;31;POR;81;70;0;2762;457;1165;276;675;181;490;182;199;56;254;310;458;86;2;164;158;1277;0.392;0.409;0.369;0.915;0.51;0.47;G;stoudda01
