Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kobe Bryant;31.6;2006-07;28;LAL;77;77;1;3140;813;1757;676;1359;137;398;667;768;75;364;439;413;111;36;255;205;2430;0.463;0.497;0.344;0.868;0.58;0.502;G-F;bryanko01
2;Carmelo Anthony;28.9;2006-07;22;DEN;65;65;1;2486;691;1453;651;1304;40;149;459;568;143;248;391;249;77;23;234;203;1881;0.476;0.499;0.268;0.808;0.552;0.489;F;anthoca01
3;Gilbert Arenas;28.4;2006-07;25;WAS;74;73;1;2942;647;1548;442;964;205;584;606;718;61;277;338;443;139;13;236;249;2105;0.418;0.459;0.351;0.844;0.565;0.484;G;arenagi01
4;Dwyane Wade;27.4;2006-07;25;MIA;51;50;1;1931;472;962;451;883;21;79;432;535;51;188;239;384;107;62;216;117;1397;0.491;0.511;0.266;0.807;0.583;0.502;G;wadedw01
5;LeBron James;27.3;2006-07;22;CLE;78;78;1;3190;772;1621;673;1311;99;310;489;701;83;443;526;470;125;55;250;171;2132;0.476;0.513;0.319;0.698;0.552;0.507;F-G;jamesle01
6;Michael Redd;26.7;2006-07;27;MIL;53;53;0;2036;477;1025;360;719;117;306;345;416;42;154;196;124;63;9;122;78;1416;0.465;0.501;0.382;0.829;0.586;0.522;G;reddmi01
7;Ray Allen;26.4;2006-07;31;SEA;55;55;1;2219;505;1153;340;710;165;443;279;309;57;190;247;228;82;11;154;113;1454;0.438;0.479;0.372;0.903;0.564;0.51;G;allenra02
8;Allen Iverson;26.3;2006-07;31;DENPHI;65;64;1;2761;581;1313;519;1116;62;197;485;610;23;170;193;468;123;13;268;95;1709;0.442;0.465;0.315;0.795;0.54;0.466;G;iversal01
9;Vince Carter;25.2;2006-07;30;NJN;82;82;1;3126;726;1598;570;1161;156;437;462;576;114;378;492;393;82;30;217;266;2070;0.454;0.491;0.357;0.802;0.559;0.503;G-F;cartevi01
10;Yao Ming;25;2006-07;26;HOU;48;48;1;1624;423;819;423;817;0;2;356;413;101;351;452;94;17;94;167;159;1202;0.516;0.518;0;0.862;0.601;0.516;C;mingya01
11;Joe Johnson;25;2006-07;25;ATL;57;57;1;2359;536;1139;417;827;119;312;235;314;53;186;239;249;60;11;176;115;1426;0.471;0.504;0.381;0.748;0.558;0.523;G-F;johnsjo02
12;Paul Pierce;25;2006-07;29;BOS;47;46;0;1740;373;850;266;575;107;275;320;402;39;238;277;194;48;13;152;122;1173;0.439;0.463;0.389;0.796;0.571;0.502;F-G;piercpa01
13;Tracy McGrady;24.6;2006-07;27;HOU;71;71;1;2539;638;1480;512;1099;126;381;345;488;56;322;378;458;92;36;213;136;1747;0.431;0.466;0.331;0.707;0.515;0.474;G-F;mcgratr01
14;Dirk Nowitzki;24.6;2006-07;28;DAL;78;78;1;2820;673;1341;601;1168;72;173;498;551;122;571;693;263;52;62;167;171;1916;0.502;0.515;0.416;0.904;0.605;0.529;F-C;nowitdi01
15;Zach Randolph;23.6;2006-07;25;POR;68;67;0;2425;600;1286;586;1238;14;48;394;481;199;489;688;147;53;15;215;184;1608;0.467;0.473;0.292;0.819;0.537;0.472;F-C;randoza01
16;Chris Bosh;22.6;2006-07;22;TOR;69;69;1;2658;543;1094;531;1059;12;35;463;590;186;555;741;175;39;90;179;163;1561;0.496;0.501;0.343;0.785;0.577;0.502;F-C;boshch01
17;Kevin Garnett;22.4;2006-07;30;MIN;76;76;1;2995;638;1341;626;1285;12;56;416;498;183;792;975;313;89;126;205;184;1704;0.476;0.487;0.214;0.835;0.546;0.48;F-C;garneke01
18;Rashard Lewis;22.4;2006-07;27;SEA;60;60;0;2348;463;1005;312;618;151;387;265;315;91;305;396;145;68;39;118;143;1342;0.461;0.505;0.39;0.841;0.587;0.536;F;lewisra02
19;Ben Gordon;21.4;2006-07;23;CHI;82;51;0;2704;609;1338;454;963;155;375;380;440;35;223;258;296;64;17;249;252;1753;0.455;0.471;0.413;0.864;0.572;0.513;G;gordobe01
20;Carlos Boozer;20.9;2006-07;25;UTA;74;74;1;2557;647;1154;647;1154;0;0;255;372;235;632;867;221;70;21;194;217;1549;0.561;0.561;;0.685;0.588;0.561;F-C;boozeca01
21;Pau Gasol;20.8;2006-07;26;MEM;59;59;0;2133;462;858;459;847;3;11;299;400;149;432;581;201;29;126;162;137;1226;0.538;0.542;0.273;0.748;0.593;0.54;C-F;gasolpa01
22;Elton Brand;20.5;2006-07;27;LAC;80;80;0;3077;645;1211;644;1210;1;1;351;461;268;476;744;235;77;179;202;238;1642;0.533;0.532;1;0.761;0.581;0.533;F-C;brandel01
23;Amar'e Stoudemire;20.4;2006-07;24;PHO;82;78;1;2689;607;1055;607;1052;0;3;457;585;222;564;786;84;78;110;232;295;1671;0.575;0.577;0;0.781;0.637;0.575;F-C;stoudam01
24;Kevin Martin;20.2;2006-07;23;SAC;80;80;0;2818;505;1067;378;734;127;333;481;570;69;273;342;173;98;11;135;181;1618;0.473;0.515;0.381;0.844;0.614;0.533;G;martike02
25;Baron Davis;20.1;2006-07;27;GSW;63;62;0;2221;452;1030;367;750;85;280;275;369;51;225;276;509;135;29;193;181;1264;0.439;0.489;0.304;0.745;0.53;0.48;G;davisba01
