Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
141;Jordan McRae;11.5;2019-20;28;DENDETWAS;37;4;0;784;149;366;104;240;45;126;83;109;18;106;124;93;21;16;43;73;426;0.407;0.433;0.357;0.761;0.515;0.469;G;mcraejo01
142;Aron Baynes;11.5;2019-20;33;PHO;42;28;0;934;183;381;124;213;59;168;56;75;71;166;237;67;10;23;50;141;481;0.48;0.582;0.351;0.747;0.581;0.558;C;baynear01
143;Justise Winslow;11.3;2019-20;23;MIA;11;5;0;352;50;129;44;102;6;27;18;27;16;57;73;44;7;5;24;38;124;0.388;0.431;0.222;0.667;0.44;0.411;F;winslju01
144;Wendell Carter Jr.;11.3;2019-20;20;CHI;43;43;0;1256;183;343;177;314;6;29;112;152;139;266;405;51;33;36;72;162;484;0.534;0.564;0.207;0.737;0.59;0.542;C;cartewe01
145;Derrick White;11.3;2019-20;25;SAS;68;20;0;1677;253;552;174;336;79;216;180;211;35;188;223;241;44;59;89;152;765;0.458;0.518;0.366;0.853;0.593;0.53;G;whitede01
146;Bryn Forbes;11.2;2019-20;26;SAS;63;62;0;1579;242;581;94;200;148;381;75;90;12;114;126;108;33;0;57;113;707;0.417;0.47;0.388;0.833;0.57;0.544;G;forbebr01
147;Malik Beasley;11.2;2019-20;23;DENMIN;55;14;0;1209;227;534;120;258;107;276;54;66;18;130;148;75;40;8;57;77;615;0.425;0.465;0.388;0.818;0.546;0.525;G;beaslma01
148;Dion Waiters;11.1;2019-20;28;LALMIA;10;0;0;207;41;99;26;52;15;47;14;17;2;22;24;20;4;6;16;21;111;0.414;0.5;0.319;0.824;0.521;0.49;G;waitedi01
149;Jarrett Allen;11.1;2019-20;21;BRK;70;64;0;1852;302;465;302;459;0;6;171;270;216;455;671;110;40;92;77;162;775;0.649;0.658;0;0.633;0.664;0.649;C-F;allenja01
150;Cody Zeller;11.1;2019-20;27;CHO;58;39;0;1341;251;479;233;404;18;75;122;179;160;251;411;88;40;25;75;140;642;0.524;0.577;0.24;0.682;0.576;0.543;C-F;zelleco01
151;Cedi Osman;11;2019-20;24;CLE;65;65;0;1910;266;609;143;288;123;321;63;94;39;192;231;154;54;16;91;160;718;0.437;0.497;0.383;0.67;0.552;0.538;F;osmande01
152;Mychal Mulder;11;2019-20;25;GSW;7;3;0;204;26;67;10;15;16;52;9;12;3;20;23;8;2;1;5;20;77;0.388;0.667;0.308;0.75;0.533;0.507;G-F;muldemy01
