Rk;Season;Team;W;G;W;L;W/L%
1;2021-22;PHO;64;82;64;18;0.78
2;2021-22;MEM;56;82;56;26;0.683
3;2021-22;MIA;53;82;53;29;0.646
4;2021-22;GSW;53;82;53;29;0.646
5;2021-22;DAL;52;82;52;30;0.634
6;2021-22;BOS;51;82;51;31;0.622
7;2021-22;PHI;51;82;51;31;0.622
8;2021-22;MIL;51;82;51;31;0.622
9;2021-22;UTA;49;82;49;33;0.598
10;2021-22;TOR;48;82;48;34;0.585
11;2021-22;DEN;48;82;48;34;0.585
12;2021-22;CHI;46;82;46;36;0.561
13;2021-22;MIN;46;82;46;36;0.561
14;2021-22;CLE;44;82;44;38;0.537
15;2021-22;BRK;44;82;44;38;0.537
16;2021-22;ATL;43;82;43;39;0.524
17;2021-22;CHO;43;82;43;39;0.524
18;2021-22;LAC;42;82;42;40;0.512
19;2021-22;NYK;37;82;37;45;0.451
20;2021-22;NOP;36;82;36;46;0.439
21;2021-22;WAS;35;82;35;47;0.427
22;2021-22;SAS;34;82;34;48;0.415
23;2021-22;LAL;33;82;33;49;0.402
24;2021-22;SAC;30;82;30;52;0.366
25;2021-22;POR;27;82;27;55;0.329
26;2021-22;IND;25;82;25;57;0.305
27;2021-22;OKC;24;82;24;58;0.293
28;2021-22;DET;23;82;23;59;0.28
29;2021-22;ORL;22;82;22;60;0.268
30;2021-22;HOU;20;82;20;62;0.244
