Rk;Season;Team;W;G;W;L;W/L%
1;2011-12;CHI;50;66;50;16;0.758
2;2011-12;SAS;50;66;50;16;0.758
3;2011-12;OKC;47;66;47;19;0.712
4;2011-12;MIA;46;66;46;20;0.697
5;2011-12;IND;42;66;42;24;0.636
6;2011-12;MEM;41;66;41;25;0.621
7;2011-12;LAL;41;66;41;25;0.621
8;2011-12;ATL;40;66;40;26;0.606
9;2011-12;LAC;40;66;40;26;0.606
10;2011-12;BOS;39;66;39;27;0.591
11;2011-12;DEN;38;66;38;28;0.576
12;2011-12;ORL;37;66;37;29;0.561
13;2011-12;NYK;36;66;36;30;0.545
14;2011-12;DAL;36;66;36;30;0.545
15;2011-12;UTA;36;66;36;30;0.545
16;2011-12;PHI;35;66;35;31;0.53
17;2011-12;HOU;34;66;34;32;0.515
18;2011-12;PHO;33;66;33;33;0.5
19;2011-12;MIL;31;66;31;35;0.47
20;2011-12;POR;28;66;28;38;0.424
21;2011-12;MIN;26;66;26;40;0.394
22;2011-12;DET;25;66;25;41;0.379
23;2011-12;GSW;23;66;23;43;0.348
24;2011-12;TOR;23;66;23;43;0.348
25;2011-12;NJN;22;66;22;44;0.333
26;2011-12;SAC;22;66;22;44;0.333
27;2011-12;NOH;21;66;21;45;0.318
28;2011-12;CLE;21;66;21;45;0.318
29;2011-12;WAS;20;66;20;46;0.303
30;2011-12;CHA;7;66;7;59;0.106
