Rk;Season;Team;W;G;W;L;W/L%
1;2007-08;BOS;66;82;66;16;0.805
2;2007-08;DET;59;82;59;23;0.72
3;2007-08;LAL;57;82;57;25;0.695
4;2007-08;SAS;56;82;56;26;0.683
5;2007-08;NOH;56;82;56;26;0.683
6;2007-08;HOU;55;82;55;27;0.671
7;2007-08;PHO;55;82;55;27;0.671
8;2007-08;UTA;54;82;54;28;0.659
9;2007-08;ORL;52;82;52;30;0.634
10;2007-08;DAL;51;82;51;31;0.622
11;2007-08;DEN;50;82;50;32;0.61
12;2007-08;GSW;48;82;48;34;0.585
13;2007-08;CLE;45;82;45;37;0.549
14;2007-08;WAS;43;82;43;39;0.524
15;2007-08;POR;41;82;41;41;0.5
16;2007-08;TOR;41;82;41;41;0.5
17;2007-08;PHI;40;82;40;42;0.488
18;2007-08;SAC;38;82;38;44;0.463
19;2007-08;ATL;37;82;37;45;0.451
20;2007-08;IND;36;82;36;46;0.439
21;2007-08;NJN;34;82;34;48;0.415
22;2007-08;CHI;33;82;33;49;0.402
23;2007-08;CHA;32;82;32;50;0.39
24;2007-08;MIL;26;82;26;56;0.317
25;2007-08;NYK;23;82;23;59;0.28
26;2007-08;LAC;23;82;23;59;0.28
27;2007-08;MIN;22;82;22;60;0.268
28;2007-08;MEM;22;82;22;60;0.268
29;2007-08;SEA;20;82;20;62;0.244
30;2007-08;MIA;15;82;15;67;0.183
