Rk;Season;Team;W;G;W;L;W/L%
1;2012-13;MIA;66;82;66;16;0.805
2;2012-13;OKC;60;82;60;22;0.732
3;2012-13;SAS;58;82;58;24;0.707
4;2012-13;DEN;57;82;57;25;0.695
5;2012-13;MEM;56;82;56;26;0.683
6;2012-13;LAC;56;82;56;26;0.683
7;2012-13;NYK;54;82;54;28;0.659
8;2012-13;BRK;49;82;49;33;0.598
9;2012-13;IND;49;81;49;32;0.605
10;2012-13;GSW;47;82;47;35;0.573
11;2012-13;HOU;45;82;45;37;0.549
12;2012-13;LAL;45;82;45;37;0.549
13;2012-13;CHI;45;82;45;37;0.549
14;2012-13;ATL;44;82;44;38;0.537
15;2012-13;UTA;43;82;43;39;0.524
16;2012-13;DAL;41;82;41;41;0.5
17;2012-13;BOS;41;81;41;40;0.506
18;2012-13;MIL;38;82;38;44;0.463
19;2012-13;PHI;34;82;34;48;0.415
20;2012-13;TOR;34;82;34;48;0.415
21;2012-13;POR;33;82;33;49;0.402
22;2012-13;MIN;31;82;31;51;0.378
23;2012-13;DET;29;82;29;53;0.354
24;2012-13;WAS;29;82;29;53;0.354
25;2012-13;SAC;28;82;28;54;0.341
26;2012-13;NOH;27;82;27;55;0.329
27;2012-13;PHO;25;82;25;57;0.305
28;2012-13;CLE;24;82;24;58;0.293
29;2012-13;CHA;21;82;21;61;0.256
30;2012-13;ORL;20;82;20;62;0.244
