Player,Team,Season,PPG,RPG,APG,Win%,MVP
Joel Embiid,PHI,21/22,30.6,11.7,4.2,0.622,0
Giannis Antetokounmpo,MIL,21/22,29.9,11.6,5.8,0.622,0
Devin Booker,PHO,21/22,26.8,5,4.8,0.78,0
Luka Dončić,DAL,21/22,28.4,9.1,8.7,0.634,0
Jayson Tatum,BOS,21/22,26.9,8,4.4,0.622,0
Ja Morant,MEM,21/22,27.4,5.7,6.7,0.683,0
Stephen Curry,GSW,21/22,25.5,5.2,6.3,0.646,0
Chris Paul,PHO,21/22,14.7,4.4,10.8,0.78,0
Player,TM,16/17,PTS,TRB,AST,,0
Russell Westbrook,OKC,16/17,31.6,10.7,10.4,0.573,1
James Harden,HOU,16/17,29.1,8.1,11.2,0.671,0
Kawhi Leonard,SAS,16/17,25.5,5.8,3.5,0.744,0
LeBron James,CLE,16/17,26.4,8.6,8.7,0.622,0
Isaiah Thomas,BOS,16/17,28.9,2.7,5.9,0.646,0
Stephen Curry,GSW,16/17,25.3,4.5,6.6,0.817,0
Giannis Antetokounmpo,MIL,16/17,22.9,8.8,5.4,0.512,0
John Wall,WAS,16/17,23.1,4.2,10.7,0.598,0
Anthony Davis,NOP,16/17,28,11.8,2.1,0.415,0
Kevin Durant,GSW,16/17,25.1,8.3,4.8,0.817,0
DeMar DeRozan,TOR,16/17,27.3,5.2,3.9,0.622,0
Player,TM,07/08,PTS,TRB,AST,,0
Kobe Bryant,LAL,07/08,28.3,6.3,5.4,0.695,1
Chris Paul,NOH,07/08,21.1,4,11.6,0.683,0
Kevin Garnett,BOS,07/08,18.8,9.2,3.4,0.805,0
LeBron James,CLE,07/08,30,7.9,7.2,0.549,0
Dwight Howard,ORL,07/08,20.7,14.2,1.3,0.634,0
Amar'e Stoudemire,PHO,07/08,25.2,9.1,1.5,0.671,0
Tim Duncan,SAS,07/08,19.3,11.3,2.8,0.683,0
Tracy McGrady,HOU,07/08,21.6,5.1,5.9,0.671,0
Steve Nash,PHO,07/08,16.9,3.5,11.1,0.671,0
Manu Ginóbili,SAS,07/08,19.5,4.8,4.5,0.683,0
Dirk Nowitzki,DAL,07/08,23.6,8.6,3.5,0.622,0
Deron Williams,UTA,07/08,18.8,3,10.5,0.659,0
Carmelo Anthony,DEN,07/08,25.7,7.4,3.4,0.61,0
Carlos Boozer,UTA,07/08,21.1,10.4,2.9,0.659,0
Antawn Jamison,WAS,07/08,21.4,10.2,1.5,0.524,0
Paul Pierce,BOS,07/08,19.6,5.1,4.5,0.805,0
Rasheed Wallace,DET,07/08,12.7,6.6,1.8,0.72,0
Player,TM,15/16,PTS,TRB,AST,,0
Stephen Curry,GSW,15/16,30.1,5.4,6.7,0.89,1
Kawhi Leonard,SAS,15/16,21.2,6.8,2.6,0.817,0
LeBron James,CLE,15/16,25.3,7.4,6.8,0.695,0
Russell Westbrook,OKC,15/16,23.5,7.8,10.4,0.671,0
Kevin Durant,OKC,15/16,28.2,8.2,5,0.671,0
Chris Paul,LAC,15/16,19.5,4.2,10,0.646,0
Draymond Green,GSW,15/16,14,9.5,7.4,0.89,0
Damian Lillard,POR,15/16,25.1,4,6.8,0.537,0
James Harden,HOU,15/16,29,6.1,7.5,0.5,0
Kyle Lowry,TOR,15/16,21.2,4.7,6.4,0.683,0
Player,TM,09/10,PTS,TRB,AST,,0
LeBron James,CLE,09/10,29.7,7.3,8.6,0.744,1
Kevin Durant,OKC,09/10,30.1,7.6,2.8,0.61,0
Kobe Bryant,LAL,09/10,27,5.4,5,0.695,0
Dwight Howard,ORL,09/10,18.3,13.2,1.8,0.72,0
Dwyane Wade,MIA,09/10,26.6,4.8,6.5,0.573,0
Carmelo Anthony,DEN,09/10,28.2,6.6,3.2,0.646,0
Dirk Nowitzki,DAL,09/10,25,7.7,2.7,0.671,0
Steve Nash,PHO,09/10,16.5,3.3,11,0.659,0
Deron Williams,UTA,09/10,18.7,4,10.5,0.646,0
Amar'e Stoudemire,PHO,09/10,23.1,8.9,1,0.659,0
Manu Ginóbili,SAS,09/10,16.5,3.8,4.9,0.61,0
Chauncey Billups,DEN,09/10,19.5,3.1,5.6,0.646,0
Chris Bosh,TOR,09/10,24,10.8,2.4,0.488,0
Stephen Jackson,TOT,09/10,20.6,5,3.7,,0
Joe Johnson,ATL,09/10,21.3,4.6,4.9,0.646,0
Player,TM,20/21,PTS,TRB,AST,,0
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,0.653,1
Joel Embiid,PHI,20/21,28.5,10.6,2.8,0.681,0
Stephen Curry,GSW,20/21,32,5.5,5.8,0.542,0
Giannis Antetokounmpo,MIL,20/21,28.1,11,5.9,0.639,0
Chris Paul,PHO,20/21,16.4,4.5,8.9,0.708,0
Luka Dončić,DAL,20/21,27.7,8,8.6,0.583,0
Damian Lillard,POR,20/21,28.8,4.2,7.5,0.583,0
Julius Randle,NYK,20/21,24.1,10.2,6,0.569,0
Derrick Rose,TOT,20/21,14.7,2.6,4.2,,0
Rudy Gobert,UTA,20/21,14.3,13.5,1.3,0.722,0
Russell Westbrook,WAS,20/21,22.2,11.5,11.7,0.472,0
Ben Simmons,PHI,20/21,14.3,7.2,6.9,0.681,0
James Harden,TOT,20/21,24.6,7.9,10.8,,0
LeBron James,LAL,20/21,25,7.7,7.8,0.583,0
Kawhi Leonard,LAC,20/21,24.8,6.5,5.2,0.653,0
Player,TM,13/14,PTS,TRB,AST,,0
Kevin Durant,OKC,13/14,32,7.4,5.5,0.72,1
LeBron James,MIA,13/14,27.1,6.9,6.3,0.659,0
Blake Griffin,LAC,13/14,24.1,9.5,3.9,0.695,0
Joakim Noah,CHI,13/14,12.6,11.3,5.4,0.585,0
James Harden,HOU,13/14,25.4,4.7,6.1,0.659,0
Stephen Curry,GSW,13/14,24,4.3,8.5,0.622,0
Chris Paul,LAC,13/14,19.1,4.3,10.7,0.695,0
Al Jefferson,CHO,13/14,21.8,10.8,2.1,0.524,0
Paul George,IND,13/14,21.7,6.8,3.5,0.683,0
LaMarcus Aldridge,POR,13/14,23.2,11.1,2.6,0.659,0
Kevin Love,MIN,13/14,26.1,12.5,4.4,0.488,0
Tim Duncan,SAS,13/14,15.1,9.7,3,0.756,0
Tony Parker,SAS,13/14,16.7,2.3,5.7,0.756,0
Dirk Nowitzki,DAL,13/14,21.7,6.2,2.7,0.598,0
Carmelo Anthony,NYK,13/14,27.4,8.1,3.1,0.451,0
Goran Dragi?,PHO,13/14,20.3,3.2,5.9,0.585,0
Mike Conley,MEM,13/14,17.2,2.9,6,0.61,0
Player,TM,10/11,PTS,TRB,AST,,0
Derrick Rose,CHI,10/11,25,4.1,7.7,0.756,1
Dwight Howard,ORL,10/11,22.9,14.1,1.4,0.634,0
LeBron James,MIA,10/11,26.7,7.5,7,0.707,0
Kobe Bryant,LAL,10/11,25.3,5.1,4.7,0.695,0
Kevin Durant,OKC,10/11,27.7,6.8,2.7,0.671,0
Dirk Nowitzki,DAL,10/11,23,7,2.6,0.695,0
Dwyane Wade,MIA,10/11,25.5,6.4,4.6,0.707,0
Manu Ginóbili,SAS,10/11,17.4,3.7,4.9,0.744,0
Amar'e Stoudemire,NYK,10/11,25.3,8.2,2.6,0.512,0
