Player,Team,Season,PPG,RPG,APG,Win%,MVP
Rudy Gay,SAS,19/20,10.8,5.4,1.7,0.451,0
Dario Šarić,PHO,19/20,10.7,6.2,1.9,0.466,0
OG Anunoby,TOR,19/20,10.6,5.3,1.6,0.736,0
Cam Reddish,ATL,19/20,10.5,3.7,1.5,0.299,0
D.J. Augustin,ORL,19/20,10.5,2.1,4.6,0.452,0
Danuel House Jr.,HOU,19/20,10.5,4.2,1.3,0.611,0
Troy Brown Jr.,WAS,19/20,10.4,5.6,2.6,0.347,0
Gary Harris,DEN,19/20,10.4,2.9,2.1,0.63,0
Garrett Temple,BRK,19/20,10.3,3.5,2.5,0.486,0
Thaddeus Young,CHI,19/20,10.3,4.9,1.8,0.338,0
Doug McDermott,IND,19/20,10.3,2.5,1.1,0.616,0
Langston Galloway,DET,19/20,10.3,2.3,1.5,0.303,0
Malik Monk,CHO,19/20,10.3,2.9,2.1,0.354,0
Bobby Portis,NYK,19/20,10.1,5.1,1.5,0.318,0
Josh Hart,NOP,19/20,10.1,6.5,1.7,0.417,0
Larry Nance Jr.,CLE,19/20,10.1,7.3,2.2,0.292,0
Ben McLemore,HOU,19/20,10.1,2.2,0.8,0.611,0
Elfrid Payton,NYK,19/20,10.0,4.7,7.2,0.318,0
Kevin Porter Jr.,CLE,19/20,10.0,3.2,2.2,0.292,0
Tomáš Satoranský,CHI,19/20,9.9,3.9,5.4,0.338,0
Joe Ingles,UTA,19/20,9.8,3.9,5.2,0.611,0
Furkan Korkmaz,PHI,19/20,9.8,2.3,1.1,0.589,0
Frank Kaminsky,PHO,19/20,9.7,4.5,1.9,0.466,0
Mitchell Robinson,NYK,19/20,9.7,7.0,0.6,0.318,0
Dorian Finney-Smith,DAL,19/20,9.5,5.7,1.6,0.573,0
Aaron Holiday,IND,19/20,9.5,2.4,3.4,0.616,0
Shake Milton,PHI,19/20,9.4,2.2,2.6,0.589,0
Dwight Powell,DAL,19/20,9.4,5.7,1.5,0.573,0
George Hill,MIL,19/20,9.4,3.0,3.1,0.767,0
Kentavious Caldwell-Pope,LAL,19/20,9.3,2.1,1.6,0.732,0
Michael Porter Jr.,DEN,19/20,9.3,4.7,0.8,0.63,0
Marquese Chriss,GSW,19/20,9.3,6.2,1.9,0.231,0
Landry Shamet,LAC,19/20,9.3,1.9,1.9,0.681,0
Daniel Theis,BOS,19/20,9.2,6.6,1.7,0.667,0
Donte DiVincenzo,MIL,19/20,9.2,4.8,2.3,0.767,0
Jarrett Culver,MIN,19/20,9.2,3.4,1.7,0.297,0
Mikal Bridges,PHO,19/20,9.1,4.0,1.8,0.466,0
Jake Layman,MIN,19/20,9.1,2.5,0.7,0.297,0
Damian Lillard,POR,16/17,27.0,4.9,5.9,0.5,0
Kyrie Irving,CLE,16/17,25.2,3.2,5.8,0.622,0
Karl-Anthony Towns,MIN,16/17,25.1,12.3,2.7,0.378,0
Jimmy Butler,CHI,16/17,23.9,6.2,5.5,0.5,0
Paul George,IND,16/17,23.7,6.6,3.3,0.512,0
Andrew Wiggins,MIN,16/17,23.6,4.0,2.3,0.378,0
Kemba Walker,CHO,16/17,23.2,3.9,5.5,0.439,0
Bradley Beal,WAS,16/17,23.1,3.1,3.5,0.598,0
CJ McCollum,POR,16/17,23.0,3.6,3.6,0.5,0
Carmelo Anthony,NYK,16/17,22.4,5.9,2.9,0.378,0
Kyle Lowry,TOR,16/17,22.4,4.8,7.0,0.622,0
Klay Thompson,GSW,16/17,22.3,3.7,2.1,0.817,0
Devin Booker,PHO,16/17,22.1,3.2,3.4,0.293,0
Gordon Hayward,UTA,16/17,21.9,5.4,3.5,0.622,0
Blake Griffin,LAC,16/17,21.6,8.1,4.9,0.622,0
Eric Bledsoe,PHO,16/17,21.1,4.8,6.3,0.293,0
Brook Lopez,BRK,16/17,20.5,5.4,2.3,0.244,0
Mike Conley,MEM,16/17,20.5,3.5,6.3,0.524,0
Goran Dragić,MIA,16/17,20.3,3.8,5.8,0.5,0
Joel Embiid,PHI,16/17,20.2,7.8,2.1,0.341,0
Jabari Parker,MIL,16/17,20.1,6.2,2.8,0.512,0
Marc Gasol,MEM,16/17,19.5,6.3,4.6,0.524,0
Harrison Barnes,DAL,16/17,19.2,5.0,1.5,0.402,0
Kevin Love,CLE,16/17,19.0,11.1,1.9,0.622,0
Zach LaVine,MIN,16/17,18.9,3.4,3.0,0.378,0
Rudy Gay,SAC,16/17,18.7,6.3,2.8,0.39,0
Dwyane Wade,CHI,16/17,18.3,4.5,3.8,0.5,0
Danilo Gallinari,DEN,16/17,18.2,5.2,2.1,0.488,0
Kristaps Porziņģis,NYK,16/17,18.1,7.2,1.5,0.378,0
Chris Paul,LAC,16/17,18.1,5.0,9.2,0.622,0
Paul Millsap,ATL,16/17,18.1,7.7,3.7,0.524,0
Derrick Rose,NYK,16/17,18.0,3.8,4.4,0.378,0
Dennis Schröder,ATL,16/17,17.9,3.1,6.3,0.524,0
LaMarcus Aldridge,SAS,16/17,17.3,7.3,1.9,0.744,0
Evan Fournier,ORL,16/17,17.2,3.1,3.0,0.354,0
Hassan Whiteside,MIA,16/17,17.0,14.1,0.7,0.5,0
George Hill,UTA,16/17,16.9,3.4,4.2,0.622,0
Nikola Jokić,DEN,16/17,16.7,9.8,4.9,0.488,0
Avery Bradley,BOS,16/17,16.3,6.1,2.2,0.646,0
Eric Gordon,HOU,16/17,16.2,2.7,2.5,0.671,0
Tobias Harris,DET,16/17,16.1,5.1,1.7,0.451,0
Victor Oladipo,OKC,16/17,15.9,4.3,2.6,0.573,0
Dion Waiters,MIA,16/17,15.8,3.3,4.3,0.5,0
Wilson Chandler,DEN,16/17,15.7,6.5,2.0,0.488,0
D'Angelo Russell,LAL,16/17,15.6,3.5,4.8,0.317,0
Jrue Holiday,NOP,16/17,15.4,3.9,7.3,0.415,0
Jeff Teague,IND,16/17,15.3,4.0,7.8,0.512,0
Nicolas Batum,CHO,16/17,15.1,6.2,5.9,0.439,0
JJ Redick,LAC,16/17,15.0,2.2,1.4,0.622,0
Gary Harris,DEN,16/17,14.9,3.1,2.9,0.488,0
Jordan Clarkson,LAL,16/17,14.7,3.0,2.6,0.317,0
Khris Middleton,MIL,16/17,14.7,4.2,3.4,0.512,0
Nikola Vučević,ORL,16/17,14.6,10.4,2.8,0.354,0
Jeremy Lin,BRK,16/17,14.5,3.8,5.1,0.244,0
Myles Turner,IND,16/17,14.5,7.3,1.3,0.512,0
Tim Hardaway Jr.,ATL,16/17,14.5,2.8,2.3,0.524,0
Reggie Jackson,DET,16/17,14.5,2.2,5.2,0.451,0
T.J. Warren,PHO,16/17,14.4,5.1,1.1,0.293,0
Enes Freedom,OKC,16/17,14.3,6.7,0.9,0.573,0
Dirk Nowitzki,DAL,16/17,14.2,6.5,1.5,0.402,0
Zach Randolph,MEM,16/17,14.1,8.2,1.7,0.524,0
Jordan Crawford,NOP,16/17,14.1,1.8,3.0,0.415,0
Rudy Gobert,UTA,16/17,14.0,12.8,1.2,0.622,0
Al Horford,BOS,16/17,14.0,6.8,5.0,0.646,0
Marcus Morris,DET,16/17,14.0,4.6,2.0,0.451,0
Markieff Morris,WAS,16/17,14.0,6.5,1.7,0.598,0
Jae Crowder,BOS,16/17,13.9,5.8,2.2,0.646,0
Kentavious Caldwell-Pope,DET,16/17,13.8,3.3,2.5,0.451,0
Tyler Johnson,MIA,16/17,13.7,4.0,3.2,0.5,0
Will Barton,DEN,16/17,13.7,4.3,3.4,0.488,0
Andre Drummond,DET,16/17,13.6,13.8,1.1,0.451,0
Ryan Anderson,HOU,16/17,13.6,4.6,0.9,0.671,0
Dwight Howard,ATL,16/17,13.5,12.7,1.4,0.524,0
Wesley Matthews,DAL,16/17,13.5,3.5,2.9,0.402,0
Otto Porter Jr.,WAS,16/17,13.4,6.4,1.5,0.598,0
Darren Collison,SAC,16/17,13.2,2.2,4.6,0.39,0
Nick Young,LAL,16/17,13.2,2.3,1.0,0.317,0
Julius Randle,LAL,16/17,13.2,8.6,3.6,0.317,0
Sean Kilpatrick,BRK,16/17,13.1,4.0,2.2,0.244,0
Robert Covington,PHI,16/17,12.9,6.5,1.5,0.341,0
Dario Šarić,PHI,16/17,12.8,6.3,2.2,0.341,0
James Johnson,MIA,16/17,12.8,4.9,3.6,0.5,0
Seth Curry,DAL,16/17,12.8,2.6,2.7,0.402,0
Elfrid Payton,ORL,16/17,12.8,4.7,6.5,0.354,0
Aaron Gordon,ORL,16/17,12.7,5.1,1.9,0.354,0
DeAndre Jordan,LAC,16/17,12.7,13.8,1.2,0.622,0
Rodney Hood,UTA,16/17,12.7,3.4,1.6,0.622,0
Clint Capela,HOU,16/17,12.6,8.1,1.0,0.671,0
Pau Gasol,SAS,16/17,12.4,7.8,2.3,0.744,0
Jamal Crawford,LAC,16/17,12.3,1.6,2.6,0.622,0
Austin Rivers,LAC,16/17,12.0,2.2,2.8,0.622,0
Jonas Valančiūnas,TOR,16/17,12.0,9.5,0.7,0.622,0
Jahlil Okafor,PHI,16/17,11.8,4.8,1.2,0.341,0
Greg Monroe,MIL,16/17,11.7,6.6,2.3,0.512,0
Trevor Ariza,HOU,16/17,11.7,5.7,2.2,0.671,0
Frank Kaminsky,CHO,16/17,11.7,4.5,2.2,0.439,0
Steven Adams,OKC,16/17,11.3,7.7,1.1,0.573,0
Marvin Williams,CHO,16/17,11.2,6.6,1.4,0.439,0
Ricky Rubio,MIN,16/17,11.1,4.1,9.1,0.378,0
Brandon Knight,PHO,16/17,11.0,2.2,2.4,0.293,0
Jerryd Bayless,PHI,16/17,11.0,4.0,4.3,0.341,0
Thaddeus Young,IND,16/17,11.0,6.1,1.6,0.512,0
Kent Bazemore,ATL,16/17,11.0,3.2,2.4,0.524,0
Emmanuel Mudiay,DEN,16/17,11.0,3.2,3.9,0.488,0
Justise Winslow,MIA,16/17,10.9,5.2,3.7,0.5,0
J.J. Barea,DAL,16/17,10.9,2.4,5.5,0.402,0
Courtney Lee,NYK,16/17,10.8,3.4,2.3,0.378,0
Marcin Gortat,WAS,16/17,10.8,10.4,1.5,0.598,0
C.J. Miles,IND,16/17,10.7,3.0,0.6,0.512,0
Allen Crabbe,POR,16/17,10.7,2.9,1.2,0.5,0
Alex Poythress,PHI,16/17,10.7,4.8,0.8,0.341,0
Nikola Mirotić,CHI,16/17,10.6,5.5,1.1,0.5,0
Marcus Smart,BOS,16/17,10.6,3.9,4.6,0.646,0
Marco Belinelli,CHO,16/17,10.5,2.4,2.0,0.439,0
Wayne Ellington,MIA,16/17,10.5,2.1,1.1,0.5,0
Robin Lopez,CHI,16/17,10.4,6.4,1.0,0.5,0
Cody Zeller,CHO,16/17,10.3,6.5,1.6,0.439,0
Malcolm Brogdon,MIL,16/17,10.2,2.8,4.2,0.512,0
Jon Leuer,DET,16/17,10.2,5.4,1.5,0.451,0
Draymond Green,GSW,16/17,10.2,7.9,7.0,0.817,0
Josh Richardson,MIA,16/17,10.2,3.2,2.6,0.5,0
Tony Parker,SAS,16/17,10.1,1.8,4.5,0.744,0
Maurice Harkless,POR,16/17,10.0,4.4,1.1,0.5,0
Trevor Booker,BRK,16/17,10.0,8.0,1.9,0.244,0
Gorgui Dieng,MIN,16/17,10.0,7.9,1.9,0.378,0
Shabazz Muhammad,MIN,16/17,9.9,2.8,0.4,0.378,0
Jamal Murray,DEN,16/17,9.9,2.6,2.1,0.488,0
Ty Lawson,SAC,16/17,9.9,2.6,4.8,0.39,0
Richaun Holmes,PHI,16/17,9.8,5.5,1.0,0.341,0
Jeremy Lamb,CHO,16/17,9.7,4.3,1.2,0.439,0
Kenneth Faried,DEN,16/17,9.6,7.6,0.9,0.488,0
E'Twaun Moore,NOP,16/17,9.6,2.1,2.2,0.415,0
Patrick Beverley,HOU,16/17,9.5,5.9,4.2,0.671,0
Derrick Favors,UTA,16/17,9.5,6.1,1.1,0.622,0
Patty Mills,SAS,16/17,9.5,1.8,3.5,0.744,0
Nik Stauskas,PHI,16/17,9.5,2.8,2.4,0.341,0
Michael Beasley,MIL,16/17,9.4,3.4,0.9,0.512,0
Brandon Ingram,LAL,16/17,9.4,4.0,2.1,0.317,0
Ish Smith,DET,16/17,9.4,2.9,5.2,0.451,0
Cory Joseph,TOR,16/17,9.3,2.9,3.3,0.622,0
Jeff Green,ORL,16/17,9.2,3.1,1.2,0.354,0
Gerald Henderson,PHI,16/17,9.2,2.6,1.6,0.341,0
Marquese Chriss,PHO,16/17,9.2,4.2,0.7,0.293,0
Michael Kidd-Gilchrist,CHO,16/17,9.2,7.0,1.4,0.439,0
Joe Johnson,UTA,16/17,9.2,3.1,1.8,0.622,0
Jameer Nelson,DEN,16/17,9.2,2.6,5.1,0.488,0
Channing Frye,CLE,16/17,9.1,3.9,0.6,0.622,0
Nenê,HOU,16/17,9.1,4.2,1.0,0.671,0
Montrezl Harrell,HOU,16/17,9.1,3.8,1.1,0.671,0
Jodie Meeks,ORL,16/17,9.1,2.1,1.2,0.354,0
Tony Allen,MEM,16/17,9.1,5.5,1.4,0.524,0
Kelly Olynyk,BOS,16/17,9.0,4.8,2.0,0.646,0
Evan Turner,POR,16/17,9.0,3.8,3.2,0.5,0
Dahntay Jones,CLE,16/17,9.0,2.0,1.0,0.622,0
JaMychal Green,MEM,16/17,8.9,7.1,1.1,0.524,0
DeMarre Carroll,TOR,16/17,8.9,3.8,1.0,0.622,0
Skal Labissière,SAC,16/17,8.8,4.9,0.8,0.39,0
Al-Farouq Aminu,POR,16/17,8.7,7.4,1.6,0.5,0
Marreese Speights,LAC,16/17,8.7,4.5,0.8,0.622,0
Rondae Hollis-Jefferson,BRK,16/17,8.7,5.8,2.0,0.244,0
J.R. Smith,CLE,16/17,8.6,2.8,1.5,0.622,0
Tony Snell,MIL,16/17,8.5,3.1,1.2,0.512,0
Monta Ellis,IND,16/17,8.5,2.8,3.2,0.512,0
Tyson Chandler,PHO,16/17,8.4,11.5,0.6,0.293,0
Arron Afflalo,SAC,16/17,8.4,2.0,1.3,0.39,0
Norman Powell,TOR,16/17,8.4,2.2,1.1,0.622,0
Joe Harris,BRK,16/17,8.2,2.8,1.0,0.244,0
Troy Daniels,MEM,16/17,8.2,1.5,0.7,0.524,0
Shawn Long,PHI,16/17,8.2,4.7,0.7,0.341,0
Caris LeVert,BRK,16/17,8.2,3.3,1.9,0.244,0
Willy Hernangómez,NYK,16/17,8.2,7.0,1.3,0.378,0
Willie Cauley-Stein,SAC,16/17,8.1,4.5,1.1,0.39,0
Devin Booker,PHO,18/19,26.6,4.1,6.8,0.232,0
Anthony Davis,NOP,18/19,25.9,12.0,3.9,0.402,0
Kemba Walker,CHO,18/19,25.6,4.4,5.9,0.476,0
Bradley Beal,WAS,18/19,25.6,5.0,5.5,0.39,0
Blake Griffin,DET,18/19,24.5,7.5,5.4,0.5,0
Karl-Anthony Towns,MIN,18/19,24.4,12.4,3.4,0.439,0
Kyrie Irving,BOS,18/19,23.8,5.0,6.9,0.598,0
Donovan Mitchell,UTA,18/19,23.8,4.1,4.2,0.61,0
Zach LaVine,CHI,18/19,23.7,4.7,4.5,0.268,0
Klay Thompson,GSW,18/19,21.5,3.8,2.4,0.695,0
Julius Randle,NOP,18/19,21.4,8.7,3.1,0.402,0
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,0.585,0
DeMar DeRozan,SAS,18/19,21.2,6.0,6.2,0.585,0
Luka Dončić,DAL,18/19,21.2,7.8,6.0,0.402,0
Jrue Holiday,NOP,18/19,21.2,5.0,7.7,0.402,0
D'Angelo Russell,BRK,18/19,21.1,3.9,7.0,0.512,0
Mike Conley,MEM,18/19,21.1,3.4,6.4,0.402,0
CJ McCollum,POR,18/19,21.0,4.0,3.0,0.646,0
Nikola Vučević,ORL,18/19,20.8,12.0,3.8,0.512,0
John Wall,WAS,18/19,20.7,3.6,8.7,0.39,0
Buddy Hield,SAC,18/19,20.7,5.0,2.5,0.476,0
JaKarr Sampson,CHI,18/19,20.0,8.0,1.0,0.268,0
Lou Williams,LAC,18/19,20.0,3.0,5.4,0.585,0
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,0.585,0
John Collins,ATL,18/19,19.5,9.8,2.0,0.354,0
Trae Young,ATL,18/19,19.1,3.7,8.1,0.354,0
Victor Oladipo,IND,18/19,18.8,5.6,5.2,0.585,0
Lauri Markkanen,CHI,18/19,18.7,9.0,1.4,0.268,0
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,0.451,0
Khris Middleton,MIL,18/19,18.3,6.0,4.3,0.732,0
Brandon Ingram,LAL,18/19,18.3,5.1,3.0,0.451,0
Jamal Murray,DEN,18/19,18.2,4.2,4.8,0.659,0
Andrew Wiggins,MIN,18/19,18.1,4.8,2.5,0.439,0
JJ Redick,PHI,18/19,18.1,2.4,2.7,0.622,0
Derrick Rose,MIN,18/19,18.0,2.7,4.3,0.439,0
T.J. Warren,PHO,18/19,18.0,4.0,1.5,0.232,0
Bojan Bogdanović,IND,18/19,18.0,4.1,2.0,0.585,0
Andre Drummond,DET,18/19,17.3,15.6,1.4,0.5,0
De'Aaron Fox,SAC,18/19,17.3,3.8,7.3,0.476,0
R.J. Hunter,BOS,18/19,17.0,3.0,3.0,0.598,0
Kevin Love,CLE,18/19,17.0,10.9,2.2,0.232,0
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,0.707,0
Ben Simmons,PHI,18/19,16.9,8.8,7.7,0.622,0
Jordan Clarkson,CLE,18/19,16.8,3.3,2.4,0.232,0
Spencer Dinwiddie,BRK,18/19,16.8,2.4,4.6,0.512,0
Collin Sexton,CLE,18/19,16.7,2.9,3.0,0.232,0
Clint Capela,HOU,18/19,16.6,12.7,1.4,0.646,0
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,0.585,0
Josh Richardson,MIA,18/19,16.6,3.6,4.1,0.476,0
Deandre Ayton,PHO,18/19,16.3,10.3,1.8,0.232,0
DeMarcus Cousins,GSW,18/19,16.3,8.2,3.6,0.695,0
Eric Gordon,HOU,18/19,16.2,2.2,1.9,0.646,0
Aaron Gordon,ORL,18/19,16.0,7.4,3.7,0.512,0
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,0.732,0
Jayson Tatum,BOS,18/19,15.7,6.0,2.1,0.598,0
Malcolm Brogdon,MIL,18/19,15.6,4.5,3.2,0.732,0
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,0.646,0
Chris Paul,HOU,18/19,15.6,4.6,8.2,0.646,0
Dennis Schröder,OKC,18/19,15.5,3.6,4.1,0.598,0
Reggie Jackson,DET,18/19,15.4,2.6,4.2,0.5,0
Jeremy Lamb,CHO,18/19,15.3,5.5,2.2,0.476,0
Evan Fournier,ORL,18/19,15.1,3.2,3.6,0.512,0
Terrence Ross,ORL,18/19,15.1,3.5,1.7,0.512,0
Dwyane Wade,MIA,18/19,15.0,4.0,4.2,0.476,0
Serge Ibaka,TOR,18/19,15.0,8.1,1.3,0.707,0
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,0.476,0
Emmanuel Mudiay,NYK,18/19,14.8,3.3,3.9,0.207,0
Walt Lemon Jr.,CHI,18/19,14.3,4.5,5.0,0.268,0
Kyle Lowry,TOR,18/19,14.2,4.8,8.7,0.707,0
Bogdan Bogdanović,SAC,18/19,14.1,3.5,3.8,0.476,0
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,0.585,0
Marcus Morris,BOS,18/19,13.9,6.1,1.5,0.598,0
Steven Adams,OKC,18/19,13.9,9.5,1.6,0.598,0
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,0.402,0
Goran Dragić,MIA,18/19,13.7,3.1,4.8,0.476,0
Rudy Gay,SAS,18/19,13.7,6.8,2.6,0.585,0
Joe Harris,BRK,18/19,13.7,3.8,2.4,0.512,0
Caris LeVert,BRK,18/19,13.7,3.8,3.9,0.512,0
Jerami Grant,OKC,18/19,13.6,5.2,1.0,0.598,0
Al Horford,BOS,18/19,13.6,6.7,4.2,0.598,0
Taurean Prince,ATL,18/19,13.5,3.6,2.1,0.354,0
Carmelo Anthony,HOU,18/19,13.4,5.4,0.5,0.646,0
Myles Turner,IND,18/19,13.3,7.2,1.6,0.585,0
Cedi Osman,CLE,18/19,13.0,4.7,2.6,0.232,0
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,0.598,0
Gary Harris,DEN,18/19,12.9,2.8,2.2,0.659,0
Kevin Knox,NYK,18/19,12.8,4.5,1.1,0.207,0
Dwight Howard,WAS,18/19,12.8,9.2,0.4,0.39,0
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,0.61,0
Thaddeus Young,IND,18/19,12.6,6.5,2.5,0.585,0
Paul Millsap,DEN,18/19,12.6,7.2,2.0,0.659,0
Justise Winslow,MIA,18/19,12.6,5.4,4.3,0.476,0
Brook Lopez,MIL,18/19,12.5,4.9,1.2,0.732,0
Hassan Whiteside,MIA,18/19,12.3,11.3,0.8,0.476,0
Jeff Green,WAS,18/19,12.3,4.0,1.8,0.39,0
Jeff Teague,MIN,18/19,12.1,2.5,8.2,0.439,0
Joe Ingles,UTA,18/19,12.1,4.0,5.7,0.61,0
Dion Waiters,MIA,18/19,12.0,2.6,2.8,0.476,0
JaVale McGee,LAL,18/19,12.0,7.5,0.7,0.451,0
E'Twaun Moore,NOP,18/19,11.9,2.4,1.9,0.402,0
Willie Cauley-Stein,SAC,18/19,11.9,8.4,2.4,0.476,0
Jae Crowder,UTA,18/19,11.9,4.8,1.7,0.61,0
Derrick Favors,UTA,18/19,11.8,7.4,1.2,0.61,0
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,0.585,0
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,0.512,0
Kent Bazemore,ATL,18/19,11.6,3.9,2.3,0.354,0
Josh Jackson,PHO,18/19,11.5,4.4,2.3,0.232,0
Will Barton,DEN,18/19,11.5,4.6,2.9,0.659,0
Gordon Hayward,BOS,18/19,11.5,4.5,3.4,0.598,0
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,0.451,0
Malik Beasley,DEN,18/19,11.3,2.5,1.2,0.659,0
Kris Dunn,CHI,18/19,11.3,4.1,6.0,0.268,0
Darren Collison,IND,18/19,11.2,3.1,6.0,0.585,0
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,0.512,0
Alex Len,ATL,18/19,11.1,5.5,1.1,0.354,0
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,0.707,0
Tristan Thompson,CLE,18/19,10.9,10.2,2.0,0.232,0
J.J. Barea,DAL,18/19,10.9,2.5,5.6,0.402,0
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,0.512,0
Allonzo Trier,NYK,18/19,10.9,3.1,1.9,0.207,0
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,0.585,0
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,0.354,0
Taj Gibson,MIN,18/19,10.8,6.5,1.2,0.439,0
Damyean Dotson,NYK,18/19,10.7,3.6,1.8,0.207,0
Elfrid Payton,NOP,18/19,10.6,5.2,7.6,0.402,0
Dwight Powell,DAL,18/19,10.6,5.3,1.5,0.402,0
Thomas Bryant,WAS,18/19,10.5,6.3,1.3,0.39,0
Marco Belinelli,SAS,18/19,10.5,2.5,1.7,0.585,0
Monte Morris,DEN,18/19,10.4,2.4,3.6,0.659,0
Wendell Carter Jr.,CHI,18/19,10.3,7.0,1.8,0.268,0
Danny Green,TOR,18/19,10.3,4.0,1.6,0.707,0
Tyreke Evans,IND,18/19,10.2,2.9,2.4,0.585,0
Cody Zeller,CHO,18/19,10.1,6.8,2.1,0.476,0
Marvin Williams,CHO,18/19,10.1,5.4,1.2,0.476,0
Kelly Olynyk,MIA,18/19,10.0,4.7,1.8,0.476,0
Kadeem Allen,NYK,18/19,9.9,2.7,4.0,0.207,0
Derrick White,SAS,18/19,9.9,3.7,3.9,0.585,0
Lonzo Ball,LAL,18/19,9.9,5.3,5.4,0.451,0
Patty Mills,SAS,18/19,9.9,2.2,3.0,0.585,0
Luke Kennard,DET,18/19,9.7,2.9,1.8,0.5,0
Kevin Huerter,ATL,18/19,9.7,3.3,2.9,0.354,0
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,0.476,0
Allen Crabbe,BRK,18/19,9.6,3.4,1.1,0.512,0
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,0.512,0
Robin Lopez,CHI,18/19,9.5,3.9,1.2,0.268,0
Tony Parker,CHO,18/19,9.5,1.5,3.7,0.476,0
Shabazz Napier,BRK,18/19,9.4,1.8,2.6,0.512,0
Danuel House Jr.,HOU,18/19,9.4,3.6,1.0,0.646,0
Al-Farouq Aminu,POR,18/19,9.4,7.5,1.3,0.646,0
Larry Nance Jr.,CLE,18/19,9.4,8.2,3.2,0.232,0
Nicolas Batum,CHO,18/19,9.3,5.2,3.3,0.476,0
Jalen Brunson,DAL,18/19,9.3,2.3,3.2,0.402,0
Gerald Green,HOU,18/19,9.2,2.5,0.5,0.646,0
Rajon Rondo,LAL,18/19,9.2,5.3,8.0,0.451,0
Alex Caruso,LAL,18/19,9.2,2.7,3.1,0.451,0
Terry Rozier,BOS,18/19,9.0,3.9,2.9,0.598,0
Ish Smith,DET,18/19,8.9,2.6,3.6,0.5,0
Malik Monk,CHO,18/19,8.9,1.9,1.6,0.476,0
Danny Granger,IND,08/09,25.8,5.1,2.7,0.439,0
Kevin Durant,OKC,08/09,25.3,6.5,2.8,0.28,0
Kevin Martin,SAC,08/09,24.6,3.6,2.7,0.207,0
Al Jefferson,MIN,08/09,23.1,11.0,1.6,0.293,0
Carmelo Anthony,DEN,08/09,22.8,6.8,3.4,0.659,0
Chris Bosh,TOR,08/09,22.7,10.0,2.5,0.402,0
Antawn Jamison,WAS,08/09,22.2,8.9,1.9,0.232,0
Amar'e Stoudemire,PHO,08/09,21.4,8.1,2.0,0.561,0
Joe Johnson,ATL,08/09,21.4,4.4,5.8,0.573,0
Devin Harris,NJN,08/09,21.3,3.3,6.9,0.415,0
Michael Redd,MIL,08/09,21.2,3.2,2.7,0.415,0
David West,NOH,08/09,21.0,8.5,2.3,0.598,0
Caron Butler,WAS,08/09,20.8,6.2,4.3,0.232,0
Vince Carter,NJN,08/09,20.8,5.1,4.7,0.415,0
Stephen Jackson,GSW,08/09,20.7,5.1,6.5,0.354,0
Ben Gordon,CHI,08/09,20.7,3.5,3.4,0.5,0
Richard Jefferson,MIL,08/09,19.6,4.6,2.4,0.415,0
Jason Terry,DAL,08/09,19.6,2.4,3.4,0.61,0
Deron Williams,UTA,08/09,19.4,2.9,10.7,0.585,0
Monta Ellis,GSW,08/09,19.0,4.3,3.7,0.354,0
Rudy Gay,MEM,08/09,18.9,5.5,1.7,0.293,0
Pau Gasol,LAL,08/09,18.9,9.6,3.5,0.793,0
Andre Iguodala,PHI,08/09,18.8,5.7,5.3,0.5,0
Corey Maggette,GSW,08/09,18.6,5.5,1.8,0.354,0
O.J. Mayo,MEM,08/09,18.5,3.8,3.2,0.293,0
Richard Hamilton,DET,08/09,18.3,3.1,4.4,0.476,0
Ray Allen,BOS,08/09,18.2,3.5,2.8,0.756,0
LaMarcus Aldridge,POR,08/09,18.1,7.5,1.9,0.659,0
Josh Howard,DAL,08/09,18.0,5.1,1.6,0.61,0
Mo Williams,CLE,08/09,17.8,3.4,4.1,0.805,0
Shaquille O'Neal,PHO,08/09,17.8,8.4,1.7,0.561,0
Rashard Lewis,ORL,08/09,17.7,5.7,2.6,0.72,0
Nate Robinson,NYK,08/09,17.2,3.9,4.1,0.39,0
Metta World Peace,HOU,08/09,17.1,5.2,3.3,0.646,0
Mehmet Okur,UTA,08/09,17.0,7.7,1.7,0.585,0
Al Thornton,LAC,08/09,16.8,5.2,1.5,0.232,0
