Player,Team,PPG,RPG,APG,Season,MVP
Isaiah Thomas,BOS,28.9,2.7,5.9,16/17,0
Stephen Curry,GSW,25.3,4.5,6.6,16/17,0
Giannis Antetokounmpo,MIL,22.9,8.8,5.4,16/17,0
John Wall,WAS,23.1,4.2,10.7,16/17,0
Anthony Davis,NOP,28,11.8,2.1,16/17,0
Kevin Durant,GSW,25.1,8.3,4.8,16/17,0
DeMar DeRozan,TOR,27.3,5.2,3.9,16/17,0
Player,Tm,PTS,TRB,AST,07/08,0
Kobe Bryant,LAL,28.3,6.3,5.4,07/08,1
Chris Paul,NOH,21.1,4,11.6,07/08,0
Kevin Garnett,BOS,18.8,9.2,3.4,07/08,0
LeBron James,CLE,30,7.9,7.2,07/08,0
Dwight Howard,ORL,20.7,14.2,1.3,07/08,0
Amar'e Stoudemire,PHO,25.2,9.1,1.5,07/08,0
Tim Duncan,SAS,19.3,11.3,2.8,07/08,0
Tracy McGrady,HOU,21.6,5.1,5.9,07/08,0
Steve Nash,PHO,16.9,3.5,11.1,07/08,0
Manu Ginóbili,SAS,19.5,4.8,4.5,07/08,0
Dirk Nowitzki,DAL,23.6,8.6,3.5,07/08,0
Deron Williams,UTA,18.8,3,10.5,07/08,0
Carmelo Anthony,DEN,25.7,7.4,3.4,07/08,0
Carlos Boozer,UTA,21.1,10.4,2.9,07/08,0
Antawn Jamison,WAS,21.4,10.2,1.5,07/08,0
Paul Pierce,BOS,19.6,5.1,4.5,07/08,0
Rasheed Wallace,DET,12.7,6.6,1.8,07/08,0
Player,Tm,PTS,TRB,AST,15/16,0
Stephen Curry,GSW,30.1,5.4,6.7,15/16,1
Kawhi Leonard,SAS,21.2,6.8,2.6,15/16,0
LeBron James,CLE,25.3,7.4,6.8,15/16,0
Russell Westbrook,OKC,23.5,7.8,10.4,15/16,0
Kevin Durant,OKC,28.2,8.2,5,15/16,0
Chris Paul,LAC,19.5,4.2,10,15/16,0
Draymond Green,GSW,14,9.5,7.4,15/16,0
Damian Lillard,POR,25.1,4,6.8,15/16,0
James Harden,HOU,29,6.1,7.5,15/16,0
Kyle Lowry,TOR,21.2,4.7,6.4,15/16,0
Player,Tm,PTS,TRB,AST,09/10,0
LeBron James,CLE,29.7,7.3,8.6,09/10,1
Kevin Durant,OKC,30.1,7.6,2.8,09/10,0
Kobe Bryant,LAL,27,5.4,5,09/10,0
Dwight Howard,ORL,18.3,13.2,1.8,09/10,0
Dwyane Wade,MIA,26.6,4.8,6.5,09/10,0
Carmelo Anthony,DEN,28.2,6.6,3.2,09/10,0
Dirk Nowitzki,DAL,25,7.7,2.7,09/10,0
Steve Nash,PHO,16.5,3.3,11,09/10,0
Deron Williams,UTA,18.7,4,10.5,09/10,0
Amar'e Stoudemire,PHO,23.1,8.9,1,09/10,0
Manu Ginóbili,SAS,16.5,3.8,4.9,09/10,0
Chauncey Billups,DEN,19.5,3.1,5.6,09/10,0
Chris Bosh,TOR,24,10.8,2.4,09/10,0
Stephen Jackson,TOT,20.6,5,3.7,09/10,0
Joe Johnson,ATL,21.3,4.6,4.9,09/10,0
Player,Tm,PTS,TRB,AST,20/21,0
Nikola Jokić,DEN,26.4,10.8,8.3,20/21,1
Joel Embiid,PHI,28.5,10.6,2.8,20/21,0
Stephen Curry,GSW,32,5.5,5.8,20/21,0
Giannis Antetokounmpo,MIL,28.1,11,5.9,20/21,0
Chris Paul,PHO,16.4,4.5,8.9,20/21,0
Luka Dončić,DAL,27.7,8,8.6,20/21,0
Damian Lillard,POR,28.8,4.2,7.5,20/21,0
Julius Randle,NYK,24.1,10.2,6,20/21,0
Derrick Rose,TOT,14.7,2.6,4.2,20/21,0
Rudy Gobert,UTA,14.3,13.5,1.3,20/21,0
Russell Westbrook,WAS,22.2,11.5,11.7,20/21,0
Ben Simmons,PHI,14.3,7.2,6.9,20/21,0
James Harden,TOT,24.6,7.9,10.8,20/21,0
LeBron James,LAL,25,7.7,7.8,20/21,0
Kawhi Leonard,LAC,24.8,6.5,5.2,20/21,0
Player,Tm,PTS,TRB,AST,13/14,0
Kevin Durant,OKC,32,7.4,5.5,13/14,1
LeBron James,MIA,27.1,6.9,6.3,13/14,0
Blake Griffin,LAC,24.1,9.5,3.9,13/14,0
Joakim Noah,CHI,12.6,11.3,5.4,13/14,0
James Harden,HOU,25.4,4.7,6.1,13/14,0
Stephen Curry,GSW,24,4.3,8.5,13/14,0
Chris Paul,LAC,19.1,4.3,10.7,13/14,0
Al Jefferson,CHA,21.8,10.8,2.1,13/14,0
Paul George,IND,21.7,6.8,3.5,13/14,0
LaMarcus Aldridge,POR,23.2,11.1,2.6,13/14,0
Kevin Love,MIN,26.1,12.5,4.4,13/14,0
Tim Duncan,SAS,15.1,9.7,3,13/14,0
Tony Parker,SAS,16.7,2.3,5.7,13/14,0
Dirk Nowitzki,DAL,21.7,6.2,2.7,13/14,0
Carmelo Anthony,NYK,27.4,8.1,3.1,13/14,0
Goran Dragi?,PHO,20.3,3.2,5.9,13/14,0
Mike Conley,MEM,17.2,2.9,6,13/14,0
Player,Tm,PTS,TRB,AST,10/11,0
Derrick Rose,CHI,25,4.1,7.7,10/11,1
Dwight Howard,ORL,22.9,14.1,1.4,10/11,0
LeBron James,MIA,26.7,7.5,7,10/11,0
Kobe Bryant,LAL,25.3,5.1,4.7,10/11,0
Kevin Durant,OKC,27.7,6.8,2.7,10/11,0
Dirk Nowitzki,DAL,23,7,2.6,10/11,0
Dwyane Wade,MIA,25.5,6.4,4.6,10/11,0
Manu Ginóbili,SAS,17.4,3.7,4.9,10/11,0
Amar'e Stoudemire,NYK,25.3,8.2,2.6,10/11,0
Blake Griffin,LAC,22.5,12.1,3.8,10/11,0
Rajon Rondo,BOS,10.6,4.4,11.2,10/11,0
Tony Parker,SAS,17.5,3.1,6.6,10/11,0
Chris Paul,NOH,15.9,4.1,9.8,10/11,0
Player,Tm,PTS,TRB,AST,17/18,0
James Harden,HOU,30.4,5.4,8.8,17/18,1
LeBron James,CLE,27.5,8.6,9.1,17/18,0
Anthony Davis,NOP,28.1,11.1,2.3,17/18,0
Damian Lillard,POR,26.9,4.5,6.6,17/18,0
Russell Westbrook,OKC,25.4,10.1,10.3,17/18,0
Giannis Antetokounmpo,MIL,26.9,10,4.8,17/18,0
Kevin Durant,GSW,26.4,6.8,5.4,17/18,0
DeMar DeRozan,TOR,23,3.9,5.2,17/18,0
LaMarcus Aldridge,SAS,23.1,8.5,2,17/18,0
Jimmy Butler,MIN,22.2,5.3,4.9,17/18,0
Stephen Curry,GSW,26.4,5.1,6.1,17/18,0
Joel Embiid,PHI,22.9,11,3.2,17/18,0
Victor Oladipo,IND,23.1,5.2,4.3,17/18,0
Player,Tm,PTS,TRB,AST,12/13,0
LeBron James,MIA,26.8,8,7.3,12/13,1
Kevin Durant,OKC,28.1,7.9,4.6,12/13,0
Carmelo Anthony,NYK,28.7,6.9,2.6,12/13,0
Chris Paul,LAC,16.9,3.7,9.7,12/13,0
Kobe Bryant,LAL,27.3,5.6,6,12/13,0
Tony Parker,SAS,20.3,3,7.6,12/13,0
Tim Duncan,SAS,17.8,9.9,2.7,12/13,0
James Harden,HOU,25.9,4.9,5.8,12/13,0
Russell Westbrook,OKC,23.2,5.2,7.4,12/13,0
Dwyane Wade,MIA,21.2,5,5.1,12/13,0
Stephen Curry,GSW,22.9,4,6.9,12/13,0
Kevin Garnett,BOS,14.8,7.8,2.3,12/13,0
Marc Gasol,MEM,14.1,7.8,4,12/13,0
Ty Lawson,DEN,16.7,2.7,6.9,12/13,0
David Lee,GSW,18.5,11.2,3.5,12/13,0
Joakim Noah,CHI,11.9,11.1,4,12/13,0
Player,Tm,PTS,TRB,AST,04/05,0
Steve Nash,PHO,15.5,3.3,11.5,04/05,1
Shaquille O'Neal,MIA,22.9,10.4,2.7,04/05,0
Dirk Nowitzki,DAL,26.1,9.7,3.1,04/05,0
Tim Duncan,SAS,20.3,11.1,2.7,04/05,0
