Rk;Season;Team;W;G;W;L;W/L%
1;2005-06;DET;64;82;64;18;0.78
2;2005-06;SAS;63;82;63;19;0.768
3;2005-06;DAL;60;82;60;22;0.732
4;2005-06;PHO;54;82;54;28;0.659
5;2005-06;MIA;52;82;52;30;0.634
6;2005-06;CLE;50;82;50;32;0.61
7;2005-06;NJN;49;82;49;33;0.598
8;2005-06;MEM;49;82;49;33;0.598
9;2005-06;LAC;47;82;47;35;0.573
10;2005-06;LAL;45;82;45;37;0.549
11;2005-06;DEN;44;82;44;38;0.537
12;2005-06;SAC;44;82;44;38;0.537
13;2005-06;WAS;42;82;42;40;0.512
14;2005-06;IND;41;82;41;41;0.5
15;2005-06;CHI;41;82;41;41;0.5
16;2005-06;UTA;41;82;41;41;0.5
17;2005-06;MIL;40;82;40;42;0.488
18;2005-06;NOK;38;82;38;44;0.463
19;2005-06;PHI;38;82;38;44;0.463
20;2005-06;ORL;36;82;36;46;0.439
21;2005-06;SEA;35;82;35;47;0.427
22;2005-06;HOU;34;82;34;48;0.415
23;2005-06;GSW;34;82;34;48;0.415
24;2005-06;MIN;33;82;33;49;0.402
25;2005-06;BOS;33;82;33;49;0.402
26;2005-06;TOR;27;82;27;55;0.329
27;2005-06;ATL;26;82;26;56;0.317
28;2005-06;CHA;26;82;26;56;0.317
29;2005-06;NYK;23;82;23;59;0.28
30;2005-06;POR;21;82;21;61;0.256
