Rk;Season;Team;W;G;W;L;W/L%
1;2023-24;BOS;64;82;64;18;0.78
2;2023-24;OKC;57;82;57;25;0.695
3;2023-24;DEN;57;82;57;25;0.695
4;2023-24;MIN;56;82;56;26;0.683
5;2023-24;LAC;51;82;51;31;0.622
6;2023-24;NYK;50;82;50;32;0.61
7;2023-24;DAL;50;82;50;32;0.61
8;2023-24;MIL;49;82;49;33;0.598
9;2023-24;PHO;49;82;49;33;0.598
10;2023-24;NOP;49;82;49;33;0.598
11;2023-24;CLE;48;82;48;34;0.585
12;2023-24;LAL;47;82;47;35;0.573
13;2023-24;PHI;47;82;47;35;0.573
14;2023-24;ORL;47;82;47;35;0.573
15;2023-24;IND;47;82;47;35;0.573
16;2023-24;SAC;46;82;46;36;0.561
17;2023-24;MIA;46;82;46;36;0.561
18;2023-24;GSW;46;82;46;36;0.561
19;2023-24;HOU;41;82;41;41;0.5
20;2023-24;CHI;39;82;39;43;0.476
21;2023-24;ATL;36;82;36;46;0.439
22;2023-24;BRK;32;82;32;50;0.39
23;2023-24;UTA;31;82;31;51;0.378
24;2023-24;MEM;27;82;27;55;0.329
25;2023-24;TOR;25;82;25;57;0.305
26;2023-24;SAS;22;82;22;60;0.268
27;2023-24;CHO;21;82;21;61;0.256
28;2023-24;POR;21;82;21;61;0.256
29;2023-24;WAS;15;82;15;67;0.183
30;2023-24;DET;14;82;14;68;0.171
