Rk;Season;Team;W;G;W;L;W/L%
1;2015-16;GSW;73;82;73;9;0.89
2;2015-16;SAS;67;82;67;15;0.817
3;2015-16;CLE;57;82;57;25;0.695
4;2015-16;TOR;56;82;56;26;0.683
5;2015-16;OKC;55;82;55;27;0.671
6;2015-16;LAC;53;82;53;29;0.646
7;2015-16;ATL;48;82;48;34;0.585
8;2015-16;CHO;48;82;48;34;0.585
9;2015-16;BOS;48;82;48;34;0.585
10;2015-16;MIA;48;82;48;34;0.585
11;2015-16;IND;45;82;45;37;0.549
12;2015-16;DET;44;82;44;38;0.537
13;2015-16;POR;44;82;44;38;0.537
14;2015-16;DAL;42;82;42;40;0.512
15;2015-16;CHI;42;82;42;40;0.512
16;2015-16;MEM;42;82;42;40;0.512
17;2015-16;WAS;41;82;41;41;0.5
18;2015-16;HOU;41;82;41;41;0.5
19;2015-16;UTA;40;82;40;42;0.488
20;2015-16;ORL;35;82;35;47;0.427
21;2015-16;MIL;33;82;33;49;0.402
22;2015-16;SAC;33;82;33;49;0.402
23;2015-16;DEN;33;82;33;49;0.402
24;2015-16;NYK;32;82;32;50;0.39
25;2015-16;NOP;30;82;30;52;0.366
26;2015-16;MIN;29;82;29;53;0.354
27;2015-16;PHO;23;82;23;59;0.28
28;2015-16;BRK;21;82;21;61;0.256
29;2015-16;LAL;17;82;17;65;0.207
30;2015-16;PHI;10;82;10;72;0.122
