Rk;Season;Team;W;G;W;L;W/L%
1;2017-18;HOU;65;82;65;17;0.793
2;2017-18;TOR;59;82;59;23;0.72
3;2017-18;GSW;58;82;58;24;0.707
4;2017-18;BOS;55;82;55;27;0.671
5;2017-18;PHI;52;82;52;30;0.634
6;2017-18;CLE;50;82;50;32;0.61
7;2017-18;POR;49;82;49;33;0.598
8;2017-18;UTA;48;82;48;34;0.585
9;2017-18;IND;48;82;48;34;0.585
10;2017-18;OKC;48;82;48;34;0.585
11;2017-18;NOP;48;82;48;34;0.585
12;2017-18;SAS;47;82;47;35;0.573
13;2017-18;MIN;47;82;47;35;0.573
14;2017-18;DEN;46;82;46;36;0.561
15;2017-18;MIL;44;82;44;38;0.537
16;2017-18;MIA;44;82;44;38;0.537
17;2017-18;WAS;43;82;43;39;0.524
18;2017-18;LAC;42;82;42;40;0.512
19;2017-18;DET;39;82;39;43;0.476
20;2017-18;CHO;36;82;36;46;0.439
21;2017-18;LAL;35;82;35;47;0.427
22;2017-18;NYK;29;82;29;53;0.354
23;2017-18;BRK;28;82;28;54;0.341
24;2017-18;SAC;27;82;27;55;0.329
25;2017-18;CHI;27;82;27;55;0.329
26;2017-18;ORL;25;82;25;57;0.305
27;2017-18;ATL;24;82;24;58;0.293
28;2017-18;DAL;24;82;24;58;0.293
29;2017-18;MEM;22;82;22;60;0.268
30;2017-18;PHO;21;82;21;61;0.256
