Rk;Season;Team;W;G;W;L;W/L%
1;2008-09;CLE;66;82;66;16;0.805
2;2008-09;LAL;65;82;65;17;0.793
3;2008-09;BOS;62;82;62;20;0.756
4;2008-09;ORL;59;82;59;23;0.72
5;2008-09;DEN;54;82;54;28;0.659
6;2008-09;SAS;54;82;54;28;0.659
7;2008-09;POR;54;82;54;28;0.659
8;2008-09;HOU;53;82;53;29;0.646
9;2008-09;DAL;50;82;50;32;0.61
10;2008-09;NOH;49;82;49;33;0.598
11;2008-09;UTA;48;82;48;34;0.585
12;2008-09;ATL;47;82;47;35;0.573
13;2008-09;PHO;46;82;46;36;0.561
14;2008-09;MIA;43;82;43;39;0.524
15;2008-09;CHI;41;82;41;41;0.5
16;2008-09;PHI;41;82;41;41;0.5
17;2008-09;DET;39;82;39;43;0.476
18;2008-09;IND;36;82;36;46;0.439
19;2008-09;CHA;35;82;35;47;0.427
20;2008-09;MIL;34;82;34;48;0.415
21;2008-09;NJN;34;82;34;48;0.415
22;2008-09;TOR;33;82;33;49;0.402
23;2008-09;NYK;32;82;32;50;0.39
24;2008-09;GSW;29;82;29;53;0.354
25;2008-09;MIN;24;82;24;58;0.293
26;2008-09;MEM;24;82;24;58;0.293
27;2008-09;OKC;23;82;23;59;0.28
28;2008-09;LAC;19;82;19;63;0.232
29;2008-09;WAS;19;82;19;63;0.232
30;2008-09;SAC;17;82;17;65;0.207
