Rk;Season;Team;W;G;W;L;W/L%
1;2006-07;DAL;67;82;67;15;0.817
2;2006-07;PHO;61;82;61;21;0.744
3;2006-07;SAS;58;82;58;24;0.707
4;2006-07;DET;53;82;53;29;0.646
5;2006-07;HOU;52;82;52;30;0.634
6;2006-07;UTA;51;82;51;31;0.622
7;2006-07;CLE;50;82;50;32;0.61
8;2006-07;CHI;49;82;49;33;0.598
9;2006-07;TOR;47;82;47;35;0.573
10;2006-07;DEN;45;82;45;37;0.549
11;2006-07;MIA;44;82;44;38;0.537
12;2006-07;LAL;42;82;42;40;0.512
13;2006-07;GSW;42;82;42;40;0.512
14;2006-07;WAS;41;82;41;41;0.5
15;2006-07;NJN;41;82;41;41;0.5
16;2006-07;ORL;40;82;40;42;0.488
17;2006-07;LAC;40;82;40;42;0.488
18;2006-07;NOK;39;82;39;43;0.476
19;2006-07;PHI;35;82;35;47;0.427
20;2006-07;IND;35;82;35;47;0.427
21;2006-07;NYK;33;82;33;49;0.402
22;2006-07;SAC;33;82;33;49;0.402
23;2006-07;CHA;33;82;33;49;0.402
24;2006-07;MIN;32;82;32;50;0.39
25;2006-07;POR;32;82;32;50;0.39
26;2006-07;SEA;31;82;31;51;0.378
27;2006-07;ATL;30;82;30;52;0.366
28;2006-07;MIL;28;82;28;54;0.341
29;2006-07;BOS;24;82;24;58;0.293
30;2006-07;MEM;22;82;22;60;0.268
