Rk;Season;Team;W;G;W;L;W/L%
1;2018-19;MIL;60;82;60;22;0.732
2;2018-19;TOR;58;82;58;24;0.707
3;2018-19;GSW;57;82;57;25;0.695
4;2018-19;DEN;54;82;54;28;0.659
5;2018-19;POR;53;82;53;29;0.646
6;2018-19;HOU;53;82;53;29;0.646
7;2018-19;PHI;51;82;51;31;0.622
8;2018-19;UTA;50;82;50;32;0.61
9;2018-19;BOS;49;82;49;33;0.598
10;2018-19;OKC;49;82;49;33;0.598
11;2018-19;LAC;48;82;48;34;0.585
12;2018-19;SAS;48;82;48;34;0.585
13;2018-19;IND;48;82;48;34;0.585
14;2018-19;BRK;42;82;42;40;0.512
15;2018-19;ORL;42;82;42;40;0.512
16;2018-19;DET;41;82;41;41;0.5
17;2018-19;CHO;39;82;39;43;0.476
18;2018-19;MIA;39;82;39;43;0.476
19;2018-19;SAC;39;82;39;43;0.476
20;2018-19;LAL;37;82;37;45;0.451
21;2018-19;MIN;36;82;36;46;0.439
22;2018-19;DAL;33;82;33;49;0.402
23;2018-19;NOP;33;82;33;49;0.402
24;2018-19;MEM;33;82;33;49;0.402
25;2018-19;WAS;32;82;32;50;0.39
26;2018-19;ATL;29;82;29;53;0.354
27;2018-19;CHI;22;82;22;60;0.268
28;2018-19;CLE;19;82;19;63;0.232
29;2018-19;PHO;19;82;19;63;0.232
30;2018-19;NYK;17;82;17;65;0.207
