Rk;Season;Team;W;G;W;L;W/L%
1;2014-15;GSW;67;82;67;15;0.817
2;2014-15;ATL;60;82;60;22;0.732
3;2014-15;HOU;56;82;56;26;0.683
4;2014-15;LAC;56;82;56;26;0.683
5;2014-15;SAS;55;82;55;27;0.671
6;2014-15;MEM;55;82;55;27;0.671
7;2014-15;CLE;53;82;53;29;0.646
8;2014-15;POR;51;82;51;31;0.622
9;2014-15;CHI;50;82;50;32;0.61
10;2014-15;DAL;50;82;50;32;0.61
11;2014-15;TOR;49;82;49;33;0.598
12;2014-15;WAS;46;82;46;36;0.561
13;2014-15;OKC;45;82;45;37;0.549
14;2014-15;NOP;45;82;45;37;0.549
15;2014-15;MIL;41;82;41;41;0.5
16;2014-15;BOS;40;82;40;42;0.488
17;2014-15;PHO;39;82;39;43;0.476
18;2014-15;BRK;38;82;38;44;0.463
19;2014-15;IND;38;82;38;44;0.463
20;2014-15;UTA;38;82;38;44;0.463
21;2014-15;MIA;37;82;37;45;0.451
22;2014-15;CHO;33;82;33;49;0.402
23;2014-15;DET;32;82;32;50;0.39
24;2014-15;DEN;30;82;30;52;0.366
25;2014-15;SAC;29;82;29;53;0.354
26;2014-15;ORL;25;82;25;57;0.305
27;2014-15;LAL;21;82;21;61;0.256
28;2014-15;PHI;18;82;18;64;0.22
29;2014-15;NYK;17;82;17;65;0.207
30;2014-15;MIN;16;82;16;66;0.195
