Rk;Season;Team;W;G;W;L;W/L%
1;2013-14;SAS;62;82;62;20;0.756
2;2013-14;OKC;59;82;59;23;0.72
3;2013-14;LAC;57;82;57;25;0.695
4;2013-14;IND;56;82;56;26;0.683
5;2013-14;POR;54;82;54;28;0.659
6;2013-14;MIA;54;82;54;28;0.659
7;2013-14;HOU;54;82;54;28;0.659
8;2013-14;GSW;51;82;51;31;0.622
9;2013-14;MEM;50;82;50;32;0.61
10;2013-14;DAL;49;82;49;33;0.598
11;2013-14;PHO;48;82;48;34;0.585
12;2013-14;TOR;48;82;48;34;0.585
13;2013-14;CHI;48;82;48;34;0.585
14;2013-14;WAS;44;82;44;38;0.537
15;2013-14;BRK;44;82;44;38;0.537
16;2013-14;CHA;43;82;43;39;0.524
17;2013-14;MIN;40;82;40;42;0.488
18;2013-14;ATL;38;82;38;44;0.463
19;2013-14;NYK;37;82;37;45;0.451
20;2013-14;DEN;36;82;36;46;0.439
21;2013-14;NOP;34;82;34;48;0.415
22;2013-14;CLE;33;82;33;49;0.402
23;2013-14;DET;29;82;29;53;0.354
24;2013-14;SAC;28;82;28;54;0.341
25;2013-14;LAL;27;82;27;55;0.329
26;2013-14;UTA;25;82;25;57;0.305
27;2013-14;BOS;25;82;25;57;0.305
28;2013-14;ORL;23;82;23;59;0.28
29;2013-14;PHI;19;82;19;63;0.232
30;2013-14;MIL;15;82;15;67;0.183
