Rk;Season;Team;W;G;W;L;W/L%
1;2010-11;CHI;62;82;62;20;0.756
2;2010-11;SAS;61;82;61;21;0.744
3;2010-11;MIA;58;82;58;24;0.707
4;2010-11;DAL;57;82;57;25;0.695
5;2010-11;LAL;57;82;57;25;0.695
6;2010-11;BOS;56;82;56;26;0.683
7;2010-11;OKC;55;82;55;27;0.671
8;2010-11;ORL;52;82;52;30;0.634
9;2010-11;DEN;50;82;50;32;0.61
10;2010-11;POR;48;82;48;34;0.585
11;2010-11;MEM;46;82;46;36;0.561
12;2010-11;NOH;46;82;46;36;0.561
13;2010-11;ATL;44;82;44;38;0.537
14;2010-11;HOU;43;82;43;39;0.524
15;2010-11;NYK;42;82;42;40;0.512
16;2010-11;PHI;41;82;41;41;0.5
17;2010-11;PHO;40;82;40;42;0.488
18;2010-11;UTA;39;82;39;43;0.476
19;2010-11;IND;37;82;37;45;0.451
20;2010-11;GSW;36;82;36;46;0.439
21;2010-11;MIL;35;82;35;47;0.427
22;2010-11;CHA;34;82;34;48;0.415
23;2010-11;LAC;32;82;32;50;0.39
24;2010-11;DET;30;82;30;52;0.366
25;2010-11;NJN;24;82;24;58;0.293
26;2010-11;SAC;24;82;24;58;0.293
27;2010-11;WAS;23;82;23;59;0.28
28;2010-11;TOR;22;82;22;60;0.268
29;2010-11;CLE;19;82;19;63;0.232
30;2010-11;MIN;17;82;17;65;0.207
