Rk;Season;Team;W;G;W;L;W/L%
1;2020-21;UTA;52;72;52;20;0.722
2;2020-21;PHO;51;72;51;21;0.708
3;2020-21;PHI;49;72;49;23;0.681
4;2020-21;BRK;48;72;48;24;0.667
5;2020-21;DEN;47;72;47;25;0.653
6;2020-21;LAC;47;72;47;25;0.653
7;2020-21;MIL;46;72;46;26;0.639
8;2020-21;POR;42;72;42;30;0.583
9;2020-21;DAL;42;72;42;30;0.583
10;2020-21;LAL;42;72;42;30;0.583
11;2020-21;ATL;41;72;41;31;0.569
12;2020-21;NYK;41;72;41;31;0.569
13;2020-21;MIA;40;72;40;32;0.556
14;2020-21;GSW;39;72;39;33;0.542
15;2020-21;MEM;38;72;38;34;0.528
16;2020-21;BOS;36;72;36;36;0.5
17;2020-21;IND;34;72;34;38;0.472
18;2020-21;WAS;34;72;34;38;0.472
19;2020-21;SAS;33;72;33;39;0.458
20;2020-21;CHO;33;72;33;39;0.458
21;2020-21;NOP;31;72;31;41;0.431
22;2020-21;CHI;31;72;31;41;0.431
23;2020-21;SAC;31;72;31;41;0.431
24;2020-21;TOR;27;72;27;45;0.375
25;2020-21;MIN;23;72;23;49;0.319
26;2020-21;OKC;22;72;22;50;0.306
27;2020-21;CLE;22;72;22;50;0.306
28;2020-21;ORL;21;72;21;51;0.292
29;2020-21;DET;20;72;20;52;0.278
30;2020-21;HOU;17;72;17;55;0.236
