Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;15;2016-17;27;HOU;81;81;1;2947;674;1533;412;777;262;756;746;881;95;564;659;907;121;38;464;215;2356;0.44;0.53;0.347;0.847;0.613;0.525;G;hardeja01
2;Rudy Gobert;14.3;2016-17;24;UTA;81;81;0;2744;413;625;413;624;0;1;311;476;314;721;1035;97;49;214;147;246;1137;0.661;0.662;0;0.653;0.681;0.661;C;goberru01
3;Jimmy Butler;13.8;2016-17;27;CHI;76;75;1;2809;570;1252;479;1004;91;248;585;676;129;341;470;417;143;32;159;112;1816;0.455;0.477;0.367;0.865;0.586;0.492;F-G;butleji01
4;Kawhi Leonard;13.6;2016-17;25;SAS;74;74;1;2474;636;1312;489;925;147;387;469;533;80;350;430;260;133;55;154;122;1888;0.485;0.529;0.38;0.88;0.61;0.541;F;leonaka01
5;Russell Westbrook;13.1;2016-17;28;OKC;81;81;1;2802;824;1941;624;1358;200;583;710;840;137;727;864;840;132;31;438;190;2558;0.425;0.459;0.343;0.845;0.554;0.476;G;westbru01
6;LeBron James;12.9;2016-17;32;CLE;74;74;1;2794;736;1344;612;1002;124;342;358;531;97;542;639;646;92;44;303;134;1954;0.548;0.611;0.363;0.674;0.619;0.594;F-G;jamesle01
7;Karl-Anthony Towns;12.7;2016-17;21;MIN;82;82;0;3030;802;1480;701;1205;101;275;356;428;296;711;1007;220;56;103;212;241;2061;0.542;0.582;0.367;0.832;0.618;0.576;C-F;townska01
8;Stephen Curry;12.6;2016-17;28;GSW;79;79;1;2638;675;1443;351;654;324;789;325;362;61;292;353;524;142;17;239;183;1999;0.468;0.537;0.411;0.898;0.624;0.58;G;curryst01
9;Isaiah Thomas;12.5;2016-17;27;BOS;76;76;1;2569;682;1473;437;827;245;646;590;649;43;162;205;448;70;13;210;167;2199;0.463;0.528;0.379;0.909;0.625;0.546;G;thomais02
10;Giannis Antetokounmpo;12.4;2016-17;22;MIL;80;80;1;2845;656;1259;607;1079;49;180;471;612;142;558;700;434;131;151;234;246;1832;0.521;0.563;0.272;0.77;0.599;0.541;F-G;antetgi01
11;Kevin Durant;12;2016-17;28;GSW;62;62;1;2070;551;1026;434;714;117;312;336;384;39;474;513;300;66;99;138;117;1555;0.537;0.608;0.375;0.875;0.651;0.594;F-G;duranke01
12;DeAndre Jordan;11.8;2016-17;28;LAC;81;81;1;2570;412;577;412;575;0;2;205;425;298;816;1114;96;51;134;115;212;1029;0.714;0.717;0;0.482;0.673;0.714;C;jordade01
13;Anthony Davis;11;2016-17;23;NOP;75;75;1;2708;770;1526;730;1392;40;134;519;647;172;712;884;157;94;167;181;168;2099;0.505;0.524;0.299;0.802;0.58;0.518;F-C;davisan02
14;Chris Paul;10.6;2016-17;31;LAC;61;61;0;1921;374;785;250;483;124;302;232;260;40;264;304;563;119;8;147;146;1104;0.476;0.518;0.411;0.892;0.614;0.555;G;paulch01
15;Gordon Hayward;10.4;2016-17;26;UTA;73;73;1;2516;545;1156;396;782;149;374;362;429;49;345;394;252;73;20;140;117;1601;0.471;0.506;0.398;0.844;0.595;0.536;F-G;haywago01
16;Damian Lillard;10.4;2016-17;26;POR;75;75;0;2694;661;1488;447;909;214;579;488;545;46;322;368;440;68;20;197;152;2024;0.444;0.492;0.37;0.895;0.586;0.516;G;lillada01
