Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Dirk Nowitzki;16.3;2006-07;28;DAL;78;78;1;2820;673;1341;601;1168;72;173;498;551;122;571;693;263;52;62;167;171;1916;0.502;0.515;0.416;0.904;0.605;0.529;F-C;nowitdi01
2;LeBron James;13.7;2006-07;22;CLE;78;78;1;3190;772;1621;673;1311;99;310;489;701;83;443;526;470;125;55;250;171;2132;0.476;0.513;0.319;0.698;0.552;0.507;F-G;jamesle01
3;Tim Duncan;13;2006-07;30;SAS;80;80;1;2726;618;1131;617;1122;1;9;362;568;213;633;846;273;66;190;224;203;1599;0.546;0.55;0.111;0.637;0.579;0.547;F-C;duncati01
4;Kobe Bryant;13;2006-07;28;LAL;77;77;1;3140;813;1757;676;1359;137;398;667;768;75;364;439;413;111;36;255;205;2430;0.463;0.497;0.344;0.868;0.58;0.502;G-F;bryanko01
5;Steve Nash;12.6;2006-07;32;PHO;76;76;1;2682;517;971;361;628;156;343;222;247;30;239;269;884;57;6;287;117;1412;0.532;0.575;0.455;0.899;0.654;0.613;G;nashst01
6;Shawn Marion;12;2006-07;28;PHO;80;80;1;3010;561;1071;481;819;80;252;201;248;172;613;785;134;156;122;114;216;1403;0.524;0.587;0.317;0.81;0.594;0.561;F;mariosh01
7;Elton Brand;11.5;2006-07;27;LAC;80;80;0;3077;645;1211;644;1210;1;1;351;461;268;476;744;235;77;179;202;238;1642;0.533;0.532;1;0.761;0.581;0.533;F-C;brandel01
8;Chauncey Billups;11.4;2006-07;30;DET;70;70;1;2533;348;815;239;499;109;316;386;437;23;214;237;502;84;17;140;161;1191;0.427;0.479;0.345;0.883;0.591;0.494;G;billuch01
9;Luol Deng;11.3;2006-07;21;CHI;82;82;0;3071;630;1218;629;1211;1;7;279;359;148;431;579;204;97;48;153;167;1540;0.517;0.519;0.143;0.777;0.56;0.518;F;denglu01
10;Amar'e Stoudemire;11.2;2006-07;24;PHO;82;78;1;2689;607;1055;607;1052;0;3;457;585;222;564;786;84;78;110;232;295;1671;0.575;0.577;0;0.781;0.637;0.575;F-C;stoudam01
11;Gilbert Arenas;10.8;2006-07;25;WAS;74;73;1;2942;647;1548;442;964;205;584;606;718;61;277;338;443;139;13;236;249;2105;0.418;0.459;0.351;0.844;0.565;0.484;G;arenagi01
12;Jason Terry;10.8;2006-07;29;DAL;81;80;0;2846;514;1063;352;693;162;370;160;199;41;190;231;422;81;17;152;170;1350;0.484;0.508;0.438;0.804;0.587;0.56;G;terryja01
13;Kevin Garnett;10.7;2006-07;30;MIN;76;76;1;2995;638;1341;626;1285;12;56;416;498;183;792;975;313;89;126;205;184;1704;0.476;0.487;0.214;0.835;0.546;0.48;F-C;garneke01
14;Manu Ginóbili;10.6;2006-07;29;SAS;75;36;0;2060;396;854;268;531;128;323;320;372;59;268;327;263;109;27;157;155;1240;0.464;0.505;0.396;0.86;0.609;0.539;G;ginobma01
15;Vince Carter;10.5;2006-07;30;NJN;82;82;1;3126;726;1598;570;1161;156;437;462;576;114;378;492;393;82;30;217;266;2070;0.454;0.491;0.357;0.802;0.559;0.503;G-F;cartevi01
16;Kevin Martin;10.2;2006-07;23;SAC;80;80;0;2818;505;1067;378;734;127;333;481;570;69;273;342;173;98;11;135;181;1618;0.473;0.515;0.381;0.844;0.614;0.533;G;martike02
17;Kirk Hinrich;10.1;2006-07;26;CHI;80;80;0;2839;475;1061;335;724;140;337;237;284;32;242;274;500;100;23;191;274;1327;0.448;0.463;0.415;0.835;0.559;0.514;G;hinriki01
18;Carlos Boozer;9.9;2006-07;25;UTA;74;74;1;2557;647;1154;647;1154;0;0;255;372;235;632;867;221;70;21;194;217;1549;0.561;0.561;;0.685;0.588;0.561;F-C;boozeca01
19;Dwight Howard;9.7;2006-07;21;ORL;82;82;1;3023;526;873;525;871;1;2;390;666;283;725;1008;158;70;156;317;245;1443;0.603;0.603;0.5;0.586;0.619;0.603;C;howardw01
20;Tony Parker;9.6;2006-07;24;SAS;77;77;1;2499;570;1096;555;1058;15;38;274;350;34;216;250;420;82;6;191;137;1429;0.52;0.525;0.395;0.783;0.572;0.527;G;parketo01
21;Chris Bosh;9.6;2006-07;22;TOR;69;69;1;2658;543;1094;531;1059;12;35;463;590;186;555;741;175;39;90;179;163;1561;0.496;0.501;0.343;0.785;0.577;0.502;F-C;boshch01
22;Jason Kidd;9.3;2006-07;33;NJN;80;80;1;2933;369;908;245;547;124;361;179;230;135;520;655;736;127;23;213;146;1041;0.406;0.448;0.343;0.778;0.516;0.475;G;kiddja01
23;Shane Battier;9;2006-07;28;HOU;82;82;0;2988;292;654;135;281;157;373;88;113;67;271;338;175;79;60;72;190;829;0.446;0.48;0.421;0.779;0.589;0.567;F;battish01
24;Josh Howard;8.8;2006-07;26;DAL;70;69;1;2455;493;1075;401;836;92;239;243;294;130;345;475;127;82;56;123;180;1321;0.459;0.48;0.385;0.827;0.548;0.501;F-G;howarjo01
25;Dwyane Wade;8.8;2006-07;25;MIA;51;50;1;1931;472;962;451;883;21;79;432;535;51;188;239;384;107;62;216;117;1397;0.491;0.511;0.266;0.807;0.583;0.502;G;wadedw01
26;Chris Paul;8.8;2006-07;21;NOK;64;64;0;2353;381;871;331;728;50;143;292;357;54;226;280;569;118;3;161;154;1104;0.437;0.455;0.35;0.818;0.537;0.466;G;paulch01
27;Mehmet Okur;8.8;2006-07;27;UTA;80;80;1;2664;490;1061;361;725;129;336;296;387;160;419;579;156;36;38;125;257;1405;0.462;0.498;0.384;0.765;0.571;0.523;C-F;okurme01
28;Tracy McGrady;8.6;2006-07;27;HOU;71;71;1;2539;638;1480;512;1099;126;381;345;488;56;322;378;458;92;36;213;136;1747;0.431;0.466;0.331;0.707;0.515;0.474;G-F;mcgratr01
29;Ben Gordon;8.6;2006-07;23;CHI;82;51;0;2704;609;1338;454;963;155;375;380;440;35;223;258;296;64;17;249;252;1753;0.455;0.471;0.413;0.864;0.572;0.513;G;gordobe01
30;Ben Wallace;8.2;2006-07;32;CHI;77;77;0;2697;192;424;191;419;1;5;109;267;303;518;821;186;111;156;101;153;494;0.453;0.456;0.2;0.408;0.456;0.454;F-C;wallabe01
31;Leandro Barbosa;8.2;2006-07;24;PHO;80;18;0;2613;529;1111;339;673;190;438;196;232;22;192;214;317;96;15;146;210;1444;0.476;0.504;0.434;0.845;0.595;0.562;G;barbole01
