Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Nikola Jokić;14.9;2022-23;27;DEN;69;69;1;2323;646;1022;589;873;57;149;341;415;167;650;817;678;87;47;247;174;1690;0.632;0.675;0.383;0.822;0.701;0.66;C-F;jokicni01
2;Domantas Sabonis;12.6;2022-23;26;SAC;79;79;1;2736;577;938;546;855;31;83;325;438;251;722;973;573;65;39;230;279;1510;0.615;0.639;0.373;0.742;0.668;0.632;C-F;sabondo01
3;Jimmy Butler;12.3;2022-23;33;MIA;64;64;0;2138;479;888;443;785;36;103;472;555;141;234;375;340;117;21;101;80;1466;0.539;0.564;0.35;0.85;0.647;0.56;F-G;butleji01
4;Joel Embiid;12.3;2022-23;28;PHI;66;66;1;2284;728;1328;662;1128;66;200;661;771;113;557;670;274;66;112;226;205;2183;0.548;0.587;0.33;0.857;0.655;0.573;C;embiijo01
5;Shai Gilgeous-Alexander;11.4;2022-23;24;OKC;68;68;1;2416;704;1381;646;1213;58;168;669;739;59;270;329;371;112;65;192;192;2135;0.51;0.533;0.345;0.905;0.626;0.531;G;gilgesh01
6;Jayson Tatum;10.5;2022-23;24;BOS;74;74;1;2732;727;1559;487;873;240;686;531;622;78;571;649;342;78;51;213;160;2225;0.466;0.558;0.35;0.854;0.607;0.543;F;tatumja01
7;Luka Dončić;10.2;2022-23;23;DAL;66;66;1;2391;719;1449;534;908;185;541;515;694;54;515;569;529;90;33;236;166;2138;0.496;0.588;0.342;0.742;0.609;0.56;G-F;doncilu01
8;Jarrett Allen;9.5;2022-23;24;CLE;68;68;0;2220;403;626;402;616;1;10;162;221;221;445;666;113;54;84;93;153;969;0.644;0.653;0.1;0.733;0.67;0.645;C-F;allenja01
9;Nic Claxton;9.2;2022-23;23;BRK;76;76;0;2271;414;587;414;585;0;2;133;246;184;518;702;144;65;189;96;212;961;0.705;0.708;0;0.541;0.691;0.705;C;claxtni01
10;Damian Lillard;9;2022-23;32;POR;58;58;1;2107;556;1202;312;544;244;658;510;558;44;233;277;425;50;18;191;109;1866;0.463;0.574;0.371;0.914;0.645;0.564;G;lillada01
11;Anthony Davis;9;2022-23;29;LAL;56;54;0;1904;542;962;523;888;19;74;348;444;195;507;702;148;59;114;122;146;1451;0.563;0.589;0.257;0.784;0.627;0.573;F-C;davisan02
12;Donovan Mitchell;8.9;2022-23;26;CLE;68;68;1;2432;679;1402;434;767;245;635;319;368;63;226;289;301;99;27;180;168;1922;0.484;0.566;0.386;0.867;0.614;0.572;G;mitchdo01
13;Jalen Brunson;8.7;2022-23;26;NYK;68;68;0;2379;587;1195;453;873;134;322;325;392;40;201;241;421;61;15;142;152;1633;0.491;0.519;0.416;0.829;0.597;0.547;G;brunsja01
14;Kevon Looney;8.7;2022-23;26;GSW;82;70;0;1958;242;384;242;383;0;1;94;155;274;486;760;207;52;50;45;225;578;0.63;0.632;0;0.606;0.639;0.63;F-C;looneke01
15;Giannis Antetokounmpo;8.6;2022-23;28;MIL;63;63;1;2024;707;1278;660;1107;47;171;498;772;137;605;742;359;52;51;246;197;1959;0.553;0.596;0.275;0.645;0.605;0.572;F-G;antetgi01
16;DeMar DeRozan;8.5;2022-23;33;CHI;74;74;1;2682;657;1303;611;1161;46;142;456;523;34;309;343;377;83;36;153;186;1816;0.504;0.526;0.324;0.872;0.592;0.522;G-F;derozde01
17;Evan Mobley;8.5;2022-23;21;CLE;79;79;0;2715;525;947;503;845;22;102;205;304;187;524;711;224;60;119;146;218;1277;0.554;0.595;0.216;0.674;0.591;0.566;F-C;mobleev01
18;James Harden;8.4;2022-23;33;PHI;58;58;0;2135;371;842;210;424;161;418;313;361;40;314;354;618;71;31;195;112;1216;0.441;0.495;0.385;0.867;0.607;0.536;G;hardeja01
19;Nikola Vučević;8.3;2022-23;32;CHI;82;82;0;2746;597;1148;476;801;121;347;132;158;159;744;903;265;60;57;139;179;1447;0.52;0.594;0.349;0.835;0.594;0.573;C;vucevni01
20;Lauri Markkanen;8.2;2022-23;25;UTA;66;66;1;2273;571;1145;371;634;200;511;349;399;130;440;570;123;42;38;127;137;1691;0.499;0.585;0.391;0.875;0.64;0.586;F-C;markkla01
21;Julius Randle;8.1;2022-23;28;NYK;77;77;1;2737;658;1432;440;796;218;636;402;531;141;626;767;316;49;21;216;233;1936;0.459;0.553;0.343;0.757;0.581;0.536;F-C;randlju01
22;Brook Lopez;8;2022-23;34;MIL;78;78;0;2373;477;899;341;535;136;364;149;190;157;363;520;99;37;193;107;203;1239;0.531;0.637;0.374;0.784;0.63;0.606;C;lopezbr01
23;Mason Plumlee;7.9;2022-23;32;CHOLAC;79;60;0;2054;329;484;329;484;0;0;199;313;229;471;700;245;46;47;117;217;857;0.68;0.68;;0.636;0.689;0.68;C-F;plumlma01
