Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Dirk Nowitzki;17.7;2005-06;27;DAL;81;81;1;3089;751;1564;641;1293;110;271;539;598;115;613;728;226;58;83;156;164;2151;0.48;0.496;0.406;0.901;0.589;0.515;F-C;nowitdi01
2;LeBron James;16.3;2005-06;21;CLE;79;79;1;3361;875;1823;748;1444;127;379;601;814;75;481;556;521;123;66;260;181;2478;0.48;0.518;0.335;0.738;0.568;0.515;F-G;jamesle01
3;Chauncey Billups;15.5;2005-06;29;DET;81;81;1;2925;423;1012;239;587;184;425;465;520;41;211;252;699;71;8;170;160;1495;0.418;0.407;0.433;0.894;0.602;0.509;G;billuch01
4;Kobe Bryant;15.3;2005-06;27;LAL;80;80;1;3277;978;2173;798;1655;180;518;696;819;71;354;425;360;147;30;250;233;2832;0.45;0.482;0.347;0.85;0.559;0.491;G-F;bryanko01
5;Kevin Garnett;14.9;2005-06;29;MIN;76;76;1;2957;626;1191;618;1161;8;30;396;489;214;752;966;308;104;107;180;206;1656;0.526;0.532;0.267;0.81;0.589;0.529;F-C;garneke01
6;Elton Brand;14.8;2005-06;26;LAC;79;79;1;3099;756;1435;755;1432;1;3;440;568;236;554;790;208;81;201;173;227;1953;0.527;0.527;0.333;0.775;0.58;0.527;F-C;brandel01
7;Shawn Marion;14.6;2005-06;27;PHO;81;81;1;3263;716;1365;620;1075;96;290;241;298;249;710;959;143;160;137;125;223;1769;0.525;0.577;0.331;0.809;0.591;0.56;F;mariosh01
8;Dwyane Wade;14.4;2005-06;24;MIA;75;75;1;2892;699;1413;686;1337;13;76;629;803;107;323;430;503;146;58;268;217;2040;0.495;0.513;0.171;0.783;0.577;0.499;G;wadedw01
9;Gilbert Arenas;13.6;2005-06;24;WAS;80;80;1;3384;746;1668;547;1128;199;540;655;799;59;221;280;484;161;25;297;286;2346;0.447;0.485;0.369;0.82;0.581;0.507;G;arenagi01
10;Steve Nash;12.4;2005-06;31;PHO;79;79;1;2796;541;1056;391;714;150;342;257;279;47;286;333;826;61;12;276;120;1489;0.512;0.548;0.439;0.921;0.632;0.583;G;nashst01
11;Pau Gasol;12;2005-06;25;MEM;80;80;1;3135;600;1194;597;1182;3;12;425;617;191;522;713;371;46;153;235;184;1628;0.503;0.505;0.25;0.689;0.555;0.504;C-F;gasolpa01
12;Richard Jefferson;11.7;2005-06;25;NJN;78;78;0;3059;495;1005;435;817;60;188;471;580;95;439;534;297;59;17;174;193;1521;0.493;0.532;0.319;0.812;0.603;0.522;F;jefferi01
13;Paul Pierce;11.5;2005-06;28;BOS;79;79;1;3084;689;1462;578;1148;111;314;627;812;77;453;530;375;107;34;273;223;2116;0.471;0.503;0.354;0.772;0.582;0.509;F-G;piercpa01
14;Tim Duncan;10.8;2005-06;29;SAS;80;80;1;2784;574;1185;572;1180;2;5;335;533;231;650;881;253;70;162;198;219;1485;0.484;0.485;0.4;0.629;0.523;0.485;F-C;duncati01
15;Michael Redd;10.8;2005-06;26;MIL;80;80;0;3130;682;1516;519;1103;163;413;501;571;78;264;342;229;95;5;170;157;2028;0.45;0.471;0.395;0.877;0.574;0.504;G;reddmi01
16;Allen Iverson;10.6;2005-06;30;PHI;72;72;1;3103;815;1822;743;1599;72;223;675;829;44;188;232;532;140;10;248;121;2377;0.447;0.465;0.323;0.814;0.543;0.467;G;iversal01
17;Chris Paul;10.4;2005-06;20;NOK;78;78;0;2808;407;947;357;770;50;177;394;465;61;339;400;611;175;6;183;218;1258;0.43;0.464;0.282;0.847;0.546;0.456;G;paulch01
18;Jason Kidd;10.1;2005-06;32;NJN;80;80;0;2975;366;905;227;510;139;395;194;244;86;494;580;672;150;29;192;157;1065;0.404;0.445;0.352;0.795;0.526;0.481;G;kiddja01
19;Ben Wallace;10.1;2005-06;31;DET;82;82;1;2890;237;465;237;461;0;4;123;296;301;622;923;158;146;181;88;164;597;0.51;0.514;0;0.416;0.501;0.51;F-C;wallabe01
20;Chris Bosh;9.8;2005-06;21;TOR;70;70;1;2751;549;1087;549;1074;0;13;474;581;204;443;647;181;50;79;157;209;1572;0.505;0.511;0;0.816;0.585;0.505;F-C;boshch01
21;Jason Terry;9.6;2005-06;28;DAL;80;80;0;2798;516;1099;345;683;171;416;168;210;31;127;158;306;100;27;135;196;1371;0.47;0.505;0.411;0.8;0.575;0.547;G;terryja01
22;Tony Parker;9.6;2005-06;23;SAS;80;80;1;2715;623;1136;612;1100;11;36;253;358;38;223;261;460;83;4;249;161;1510;0.548;0.556;0.306;0.707;0.584;0.553;G;parketo01
23;Ray Allen;9.5;2005-06;30;SEA;78;78;1;3022;681;1500;412;847;269;653;324;359;71;261;332;286;105;16;188;151;1955;0.454;0.486;0.412;0.903;0.59;0.544;G;allenra02
24;Carmelo Anthony;9.4;2005-06;21;DEN;80;80;0;2941;756;1572;719;1420;37;152;573;709;122;272;394;216;88;42;218;229;2122;0.481;0.506;0.243;0.808;0.563;0.493;F;anthoca01
25;Mehmet Okur;9.3;2005-06;26;UTA;82;82;0;2945;519;1128;439;894;80;234;354;454;211;535;746;194;40;73;163;285;1472;0.46;0.491;0.342;0.78;0.554;0.496;C-F;okurme01
26;Vince Carter;9.3;2005-06;29;NJN;79;79;1;2906;653;1518;528;1151;125;367;480;601;135;327;462;338;94;53;213;235;1911;0.43;0.459;0.341;0.799;0.536;0.471;G-F;cartevi01
27;Lamar Odom;9.2;2005-06;26;LAL;80;80;0;3221;445;925;365;710;80;215;216;313;181;557;738;443;75;64;213;256;1186;0.481;0.514;0.372;0.69;0.558;0.524;F;odomla01
28;Brad Miller;9.1;2005-06;29;SAC;79;79;0;2923;434;877;400;789;34;88;280;338;122;493;615;374;61;62;180;234;1182;0.495;0.507;0.386;0.828;0.576;0.514;C-F;millebr01
29;Shane Battier;9.1;2005-06;27;MEM;81;81;0;2839;303;621;238;456;65;165;147;208;164;265;429;136;92;114;90;223;818;0.488;0.522;0.394;0.707;0.574;0.54;F;battish01
30;Boris Diaw;8.9;2005-06;23;PHO;81;70;0;2874;449;853;441;823;8;30;174;238;159;399;558;503;58;85;189;260;1080;0.526;0.536;0.267;0.731;0.564;0.531;F-C;diawbo01
31;Rasheed Wallace;8.9;2005-06;31;DET;80;80;1;2780;459;1067;304;633;155;434;136;183;90;457;547;182;82;130;85;232;1209;0.43;0.48;0.357;0.743;0.527;0.503;F-C;wallara01
32;Manu Ginóbili;8.8;2005-06;28;SAS;65;56;0;1813;309;669;226;452;83;217;280;360;42;188;230;235;101;26;121;156;981;0.462;0.5;0.382;0.778;0.593;0.524;G;ginobma01
33;Zydrunas Ilgauskas;8.7;2005-06;30;CLE;78;78;0;2283;450;889;450;884;0;5;317;380;245;346;591;91;38;136;155;280;1217;0.506;0.509;0;0.834;0.576;0.506;C;ilgauzy01
34;Dwight Howard;8.6;2005-06;20;ORL;82;81;0;3021;468;881;468;879;0;2;356;598;288;734;1022;125;65;115;217;277;1292;0.531;0.532;0;0.595;0.565;0.531;C;howardw01
35;Yao Ming;8.6;2005-06;25;HOU;57;57;1;1949;467;900;467;899;0;1;337;395;148;433;581;85;30;94;147;195;1271;0.519;0.519;0;0.853;0.592;0.519;C;mingya01
36;Mike Bibby;8.4;2005-06;27;SAC;82;82;0;3167;597;1382;405;885;192;497;342;403;29;211;240;444;82;10;199;169;1728;0.432;0.458;0.386;0.849;0.554;0.501;G;bibbymi01
37;Rashard Lewis;8.3;2005-06;26;SEA;78;77;0;2876;538;1151;396;781;142;370;350;428;111;279;390;182;102;50;141;191;1568;0.467;0.507;0.384;0.818;0.585;0.529;F;lewisra02
38;Antawn Jamison;8.2;2005-06;29;WAS;82;80;0;3288;660;1494;513;1121;147;373;217;297;167;598;765;158;90;12;137;189;1684;0.442;0.458;0.394;0.731;0.518;0.491;F;jamisan01
39;Wally Szczerbiak;8;2005-06;28;BOSMIN;72;71;0;2729;493;1012;391;757;102;255;278;310;77;236;313;213;40;19;136;150;1366;0.487;0.517;0.4;0.897;0.595;0.538;F;szczewa02
40;Peja Stojaković;8;2005-06;28;INDSAC;71;71;0;2601;445;1018;283;614;162;404;238;260;79;336;415;136;45;10;103;171;1290;0.437;0.461;0.401;0.915;0.57;0.517;F;stojape01
41;Andrei Kirilenko;7.9;2005-06;24;UTA;69;63;0;2604;336;730;300;613;36;117;346;495;161;391;552;299;102;220;203;162;1054;0.46;0.489;0.308;0.699;0.556;0.485;F;kirilan01
42;Richard Hamilton;7.6;2005-06;27;DET;80;80;1;2825;649;1322;594;1202;55;120;256;303;84;172;256;275;52;16;173;207;1609;0.491;0.494;0.458;0.845;0.553;0.512;G-F;hamilri01
43;Kirk Hinrich;7.6;2005-06;25;CHI;81;81;0;2955;451;1078;325;737;126;341;256;314;29;259;288;514;94;21;188;251;1284;0.418;0.441;0.37;0.815;0.528;0.477;G;hinriki01
44;Hedo Türkoğlu;7.6;2005-06;26;ORL;78;59;0;2615;398;877;284;594;114;283;255;296;70;263;333;216;70;21;130;234;1165;0.454;0.478;0.403;0.861;0.578;0.519;F;turkohe01
45;Mike James;7.6;2005-06;30;TOR;79;79;0;2925;576;1228;407;846;169;382;283;338;45;217;262;460;72;3;206;214;1604;0.469;0.481;0.442;0.837;0.583;0.538;G;jamesmi01
46;Sam Cassell;7.6;2005-06;36;LAC;78;75;0;2653;493;1112;423;922;70;190;289;335;40;247;287;491;74;11;175;225;1345;0.443;0.459;0.368;0.863;0.534;0.475;G;cassesa01
47;Andre Iguodala;7.5;2005-06;22;PHI;82;82;0;3086;344;688;288;530;56;158;263;349;117;364;481;255;135;21;153;198;1007;0.5;0.543;0.354;0.754;0.598;0.541;F-G;iguodan01
48;Mike Miller;7.4;2005-06;25;MEM;74;9;0;2268;354;760;216;421;138;339;168;210;42;355;397;200;52;27;140;173;1014;0.466;0.513;0.407;0.8;0.595;0.557;F-G;millemi01
49;David West;7.4;2005-06;25;NOK;74;74;0;2526;530;1036;527;1025;3;11;199;236;168;380;548;92;61;64;105;214;1262;0.512;0.514;0.273;0.843;0.554;0.513;F-C;westda01
50;Jason Richardson;7.3;2005-06;25;GSW;75;75;0;2877;641;1438;458;961;183;477;276;410;105;333;438;232;97;37;167;206;1741;0.446;0.477;0.384;0.673;0.538;0.509;G;richaja01
51;Eddie Jones;7.2;2005-06;34;MEM;75;75;0;2437;292;722;159;348;133;374;168;215;35;244;279;177;131;27;93;201;885;0.404;0.457;0.356;0.781;0.542;0.497;G-F;jonesed02
52;Udonis Haslem;7;2005-06;25;MIA;81;80;0;2491;300;591;300;589;0;2;157;199;167;467;634;95;50;17;80;216;757;0.508;0.509;0;0.789;0.558;0.508;F-C;hasleud01
53;Tayshaun Prince;7;2005-06;25;DET;82;82;0;2898;455;999;391;816;64;183;182;238;104;242;346;186;62;39;91;96;1156;0.455;0.479;0.35;0.765;0.524;0.487;F;princta01
54;Raja Bell;6.8;2005-06;29;PHO;79;79;0;2959;425;930;228;484;197;446;115;146;44;209;253;207;76;22;89;248;1162;0.457;0.471;0.442;0.788;0.584;0.563;G;bellra01
55;Josh Howard;6.7;2005-06;25;DAL;59;58;0;1915;350;743;323;680;27;63;196;267;123;248;371;111;68;26;79;167;923;0.471;0.475;0.429;0.734;0.536;0.489;F-G;howarjo01
56;Andrés Nocioni;6.7;2005-06;26;CHI;82;43;0;2239;383;831;290;593;93;238;204;242;89;411;500;117;40;52;120;252;1063;0.461;0.489;0.391;0.843;0.567;0.517;F;nocioan01
57;Drew Gooden;6.6;2005-06;24;CLE;79;79;0;2174;334;652;333;649;1;3;176;258;237;428;665;56;52;49;106;190;845;0.512;0.513;0.333;0.682;0.552;0.513;F;goodedr01
58;Troy Murphy;6.5;2005-06;25;GSW;74;74;0;2516;363;838;305;657;58;181;251;319;195;548;743;101;47;26;108;191;1035;0.433;0.464;0.32;0.787;0.529;0.468;F-C;murphtr01
59;Luol Deng;6.5;2005-06;20;CHI;78;56;0;2604;442;954;421;876;21;78;207;276;127;389;516;147;72;50;105;128;1112;0.463;0.481;0.269;0.75;0.517;0.474;F;denglu01
60;Gerald Wallace;6.4;2005-06;23;CHA;55;52;0;1895;317;589;303;539;14;50;188;306;123;289;412;96;138;115;99;150;836;0.538;0.562;0.28;0.614;0.578;0.55;F;wallage01
61;Caron Butler;6.3;2005-06;25;WAS;75;54;0;2708;494;1086;453;966;41;120;289;332;114;352;466;186;127;18;175;238;1318;0.455;0.469;0.342;0.87;0.535;0.474;F;butleca01
62;Shareef Abdur-Rahim;6.2;2005-06;29;SAC;72;30;0;1961;332;632;327;610;5;22;218;278;106;251;357;149;48;42;108;227;887;0.525;0.536;0.227;0.784;0.588;0.529;F;abdursh01
63;Andre Miller;6.2;2005-06;29;DEN;82;82;0;2937;404;872;399;845;5;27;313;424;92;259;351;674;106;18;256;213;1126;0.463;0.472;0.185;0.738;0.532;0.466;G;millean02
64;Bruce Bowen;6.2;2005-06;34;SAS;82;82;0;2755;232;536;128;291;104;245;51;84;35;285;320;126;79;30;67;191;619;0.433;0.44;0.424;0.607;0.54;0.53;F;bowenbr01
65;Shaquille O'Neal;6.2;2005-06;33;MIA;59;58;1;1806;480;800;480;800;0;0;221;471;172;369;541;113;23;104;168;230;1181;0.6;0.6;;0.469;0.586;0.6;C;onealsh01
66;Chris Kaman;6.1;2005-06;23;LAC;78;78;0;2560;369;706;369;704;0;2;194;252;187;563;750;79;45;108;176;269;932;0.523;0.524;0;0.77;0.57;0.523;C;kamanch01
67;Joe Johnson;6;2005-06;24;ATL;82;82;0;3340;632;1395;504;1035;128;360;261;330;98;237;335;536;103;31;267;187;1653;0.453;0.487;0.356;0.791;0.537;0.499;G-F;johnsjo02
68;Morris Peterson;5.9;2005-06;28;TOR;82;77;0;3140;478;1096;301;648;177;448;241;294;65;316;381;190;104;15;126;223;1374;0.436;0.465;0.395;0.82;0.561;0.517;F;petermo01
69;Smush Parker;5.8;2005-06;24;LAL;82;82;0;2773;348;779;228;451;120;328;125;180;37;234;271;302;140;16;147;213;941;0.447;0.506;0.366;0.694;0.548;0.524;G;parkesm01
70;Derek Fisher;5.8;2005-06;31;GSW;82;36;0;2589;364;887;247;592;117;295;244;293;36;175;211;352;125;8;156;237;1089;0.41;0.417;0.397;0.833;0.536;0.476;G;fishede01
71;Delonte West;5.7;2005-06;22;BOS;71;71;0;2418;333;684;249;466;84;218;86;101;57;232;289;329;84;46;133;197;836;0.487;0.534;0.385;0.851;0.574;0.548;G;westde01
72;Jeff Foster;5.7;2005-06;29;IND;63;37;0;1581;138;250;138;246;0;4;96;159;224;350;574;50;41;27;64;191;372;0.552;0.561;0;0.604;0.581;0.552;F-C;fosteje01
73;Josh Childress;5.7;2005-06;22;ATL;74;10;0;2249;278;504;246;439;32;65;154;201;134;253;387;131;86;39;101;184;742;0.552;0.56;0.492;0.766;0.626;0.583;G-F;childjo01
