Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Stephen Curry;17.9;2015-16;27;GSW;79;79;1;2700;805;1598;403;712;402;886;363;400;68;362;430;527;169;15;262;161;2375;0.504;0.566;0.454;0.908;0.669;0.63;G;curryst01
2;Kevin Durant;14.5;2015-16;27;OKC;72;72;1;2578;698;1381;512;900;186;481;447;498;45;544;589;361;69;85;250;137;2029;0.505;0.569;0.387;0.898;0.634;0.573;F-G;duranke01
3;Russell Westbrook;14;2015-16;27;OKC;80;80;1;2750;656;1444;555;1103;101;341;465;573;145;481;626;834;163;20;342;200;1878;0.454;0.503;0.296;0.812;0.554;0.489;G;westbru01
4;Kawhi Leonard;13.7;2015-16;24;SAS;72;72;1;2380;551;1090;422;799;129;291;292;334;95;398;493;186;128;71;105;133;1523;0.506;0.528;0.443;0.874;0.616;0.565;F;leonaka01
5;LeBron James;13.6;2015-16;31;CLE;76;76;1;2709;737;1416;650;1134;87;282;359;491;111;454;565;514;104;49;249;143;1920;0.52;0.573;0.309;0.731;0.588;0.551;F-G;jamesle01
6;James Harden;13.3;2015-16;26;HOU;82;82;1;3125;710;1617;474;960;236;657;720;837;63;438;501;612;139;51;374;229;2376;0.439;0.494;0.359;0.86;0.598;0.512;G;hardeja01
7;Chris Paul;12.7;2015-16;30;LAC;74;74;1;2420;515;1114;393;785;122;329;294;328;39;271;310;738;152;13;194;185;1446;0.462;0.501;0.371;0.896;0.575;0.517;G;paulch01
8;Kyle Lowry;11.6;2015-16;29;TOR;77;77;1;2851;512;1198;300;651;212;547;398;491;55;310;365;494;158;34;225;211;1634;0.427;0.461;0.388;0.811;0.578;0.516;G;lowryky01
9;DeAndre Jordan;11.5;2015-16;27;LAC;77;77;0;2598;357;508;357;507;0;1;266;619;267;792;1059;90;51;177;107;207;980;0.703;0.704;0;0.43;0.628;0.703;C;jordade01
10;Draymond Green;11.1;2015-16;25;GSW;81;81;1;2808;401;819;301;561;100;258;229;329;134;635;769;598;119;113;259;240;1131;0.49;0.537;0.388;0.696;0.587;0.551;F;greendr01
11;Hassan Whiteside;10.3;2015-16;26;MIA;73;43;0;2125;413;682;413;682;0;0;214;329;238;627;865;30;44;269;137;201;1040;0.606;0.606;;0.65;0.629;0.606;C;whiteha01
12;LaMarcus Aldridge;10.1;2015-16;30;SAS;74;74;1;2261;536;1045;536;1029;0;16;259;302;176;456;632;110;38;81;99;151;1331;0.513;0.521;0;0.858;0.565;0.513;F-C;aldrila01
13;Paul Millsap;10.1;2015-16;30;ATL;81;81;1;2647;501;1066;427;834;74;232;309;408;198;534;732;265;147;139;191;237;1385;0.47;0.512;0.319;0.757;0.556;0.505;F;millspa01
14;Kemba Walker;9.9;2015-16;25;CHO;81;81;0;2885;568;1331;386;841;182;490;371;438;56;301;357;421;126;39;171;111;1689;0.427;0.459;0.371;0.847;0.554;0.495;G;walkeke02
15;DeMar DeRozan;9.9;2015-16;26;TOR;78;78;1;2804;614;1377;567;1238;47;139;555;653;64;285;349;315;81;21;175;167;1830;0.446;0.458;0.338;0.85;0.55;0.463;G-F;derozde01
16;Isaiah Thomas;9.7;2015-16;26;BOS;82;79;1;2644;591;1382;424;917;167;465;474;544;46;197;243;509;91;9;220;167;1823;0.428;0.462;0.359;0.871;0.562;0.488;G;thomais02
17;Al Horford;9.4;2015-16;29;ATL;82;82;1;2631;529;1048;441;792;88;256;103;129;148;448;596;263;68;121;107;163;1249;0.505;0.557;0.344;0.798;0.565;0.547;C-F;horfoal01
18;Paul George;9.2;2015-16;25;IND;81;81;1;2819;605;1449;395;883;210;566;454;528;79;484;563;329;152;29;265;230;1874;0.418;0.447;0.371;0.86;0.557;0.49;F-G;georgpa01
19;Damian Lillard;9.2;2015-16;25;POR;75;75;0;2676;618;1474;389;864;229;610;414;464;45;257;302;512;65;28;242;165;1879;0.419;0.45;0.375;0.892;0.56;0.497;G;lillada01
20;Jimmy Butler;9.1;2015-16;26;CHI;67;67;1;2474;470;1035;406;830;64;205;395;475;79;279;358;321;110;43;132;124;1399;0.454;0.489;0.312;0.832;0.562;0.485;F-G;butleji01
21;Gordon Hayward;8.9;2015-16;25;UTA;80;80;0;2893;521;1202;378;792;143;410;393;477;61;336;397;296;95;27;202;183;1578;0.433;0.477;0.349;0.824;0.559;0.493;F-G;haywago01
22;Tristan Thompson;8.7;2015-16;24;CLE;82;34;0;2269;247;420;247;420;0;0;149;242;268;470;738;62;38;51;61;202;643;0.588;0.588;;0.616;0.611;0.588;F-C;thomptr01
23;Kevin Love;8.5;2015-16;27;CLE;77;77;0;2424;409;977;251;538;158;439;258;314;149;613;762;186;58;41;142;159;1234;0.419;0.467;0.36;0.822;0.553;0.499;F-C;loveke01
24;Karl-Anthony Towns;8.3;2015-16;20;MIN;82;82;0;2627;625;1153;595;1065;30;88;223;275;229;629;858;161;58;138;183;245;1503;0.542;0.559;0.341;0.811;0.59;0.555;C-F;townska01
25;Enes Freedom;8.1;2015-16;23;OKC;82;1;0;1721;414;719;404;698;10;21;200;251;249;415;664;33;26;33;115;166;1038;0.576;0.579;0.476;0.797;0.626;0.583;C;kanteen01
26;Klay Thompson;8;2015-16;25;GSW;80;80;1;2666;651;1386;375;736;276;650;193;221;35;271;306;166;60;49;138;152;1771;0.47;0.51;0.425;0.873;0.597;0.569;G-F;thompkl01
27;Marvin Williams;7.8;2015-16;29;CHO;81;81;0;2338;338;747;186;369;152;378;120;144;127;394;521;110;58;77;62;133;948;0.452;0.504;0.402;0.833;0.585;0.554;F;willima02
28;Greg Monroe;7.5;2015-16;25;MIL;79;67;0;2314;491;941;491;940;0;1;228;308;218;478;696;178;72;67;129;163;1210;0.522;0.522;0;0.74;0.562;0.522;C-F;monrogr01
29;Andre Drummond;7.4;2015-16;22;DET;81;81;1;2666;552;1060;550;1054;2;6;208;586;395;803;1198;67;119;112;155;245;1314;0.521;0.522;0.333;0.355;0.499;0.522;C;drumman01
30;Jae Crowder;7.3;2015-16;25;BOS;73;73;0;2308;360;813;238;450;122;363;196;239;70;303;373;135;126;35;83;198;1038;0.443;0.529;0.336;0.82;0.565;0.518;F;crowdja01
31;Marcin Gortat;7.3;2015-16;31;WAS;75;74;0;2256;433;764;433;763;0;1;146;207;222;519;741;106;47;96;121;193;1012;0.567;0.567;0;0.705;0.592;0.567;C-F;gortama01
32;Anthony Davis;7.2;2015-16;22;NOP;61;61;1;2164;560;1136;525;1028;35;108;326;430;130;497;627;116;78;125;121;148;1481;0.493;0.511;0.324;0.758;0.559;0.508;F-C;davisan02
33;Derrick Favors;7.1;2015-16;24;UTA;62;59;0;1983;418;811;418;807;0;4;180;254;169;334;503;94;74;91;104;150;1016;0.515;0.518;0;0.709;0.551;0.515;F-C;favorde01
34;Pau Gasol;7.1;2015-16;35;CHI;72;72;1;2291;467;995;443;926;24;69;229;289;155;638;793;294;42;146;164;148;1187;0.469;0.478;0.348;0.792;0.529;0.481;C-F;gasolpa01
35;Giannis Antetokounmpo;7.1;2015-16;21;MIL;80;79;0;2823;513;1013;485;904;28;109;296;409;113;499;612;345;94;113;208;258;1350;0.506;0.537;0.257;0.724;0.566;0.52;F-G;antetgi01
36;Reggie Jackson;6.9;2015-16;25;DET;79;79;0;2424;540;1244;422;910;118;334;291;337;58;195;253;492;59;11;223;187;1489;0.434;0.464;0.353;0.864;0.535;0.482;G;jacksre01
37;Jonas Valančiūnas;6.9;2015-16;23;TOR;60;59;0;1557;303;536;303;536;0;0;162;213;184;363;547;42;25;80;85;158;768;0.565;0.565;;0.761;0.61;0.565;C;valanjo01
38;Dirk Nowitzki;6.8;2015-16;37;DAL;75;75;0;2364;498;1112;372;770;126;342;250;280;52;437;489;132;52;52;84;161;1372;0.448;0.483;0.368;0.893;0.555;0.504;F-C;nowitdi01
39;Ed Davis;6.7;2015-16;26;POR;81;0;0;1684;206;337;206;337;0;0;114;204;224;375;599;88;57;72;64;202;526;0.611;0.611;;0.559;0.616;0.611;F;davised01
40;JJ Redick;6.7;2015-16;31;LAC;75;75;0;2097;422;880;222;459;200;421;182;205;10;129;139;106;42;5;78;135;1226;0.48;0.484;0.475;0.888;0.632;0.593;G;redicjj01
41;Nikola Jokić;6.7;2015-16;20;DEN;80;55;0;1733;307;600;279;516;28;84;154;190;181;379;560;189;79;50;104;208;796;0.512;0.541;0.333;0.811;0.582;0.535;C-F;jokicni01
