Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Nikola Jokić;15.6;2020-21;25;DEN;72;72;1;2488;732;1293;640;1056;92;237;342;394;205;575;780;599;95;48;222;192;1898;0.566;0.606;0.388;0.868;0.647;0.602;C-F;jokicni01
2;Rudy Gobert;11.3;2020-21;28;UTA;71;71;1;2187;391;579;391;575;0;4;233;374;240;720;960;89;40;190;118;163;1015;0.675;0.68;0;0.623;0.683;0.675;C;goberru01
3;Damian Lillard;10.4;2020-21;30;POR;67;67;1;2398;602;1334;327;630;275;704;449;484;32;251;283;505;62;17;203;102;1928;0.451;0.519;0.391;0.928;0.623;0.554;G;lillada01
4;Giannis Antetokounmpo;10.2;2020-21;26;MIL;61;61;1;2013;626;1100;559;879;67;221;398;581;97;574;671;357;72;73;207;168;1717;0.569;0.636;0.303;0.685;0.633;0.6;F-G;antetgi01
5;Jimmy Butler;9.3;2020-21;31;MIA;52;52;0;1745;366;736;341;634;25;102;359;416;94;265;359;369;108;18;109;71;1116;0.497;0.538;0.245;0.863;0.607;0.514;F-G;butleji01
6;Chris Paul;9.2;2020-21;35;PHO;70;70;1;2199;439;879;337;621;102;258;169;181;25;287;312;622;99;19;156;166;1149;0.499;0.543;0.395;0.934;0.599;0.557;G;paulch01
7;Stephen Curry;9;2020-21;32;GSW;63;63;1;2152;658;1365;321;564;337;801;362;395;29;316;345;363;77;8;213;119;2015;0.482;0.569;0.421;0.916;0.655;0.605;G;curryst01
8;Kawhi Leonard;8.8;2020-21;29;LAC;52;52;1;1773;465;908;364;654;101;254;261;295;55;282;337;269;81;21;105;82;1292;0.512;0.557;0.398;0.885;0.622;0.568;F;leonaka01
9;Bam Adebayo;8.8;2020-21;23;MIA;64;64;0;2143;456;800;454;792;2;8;283;354;142;431;573;346;75;66;169;145;1197;0.57;0.573;0.25;0.799;0.626;0.571;C-F;adebaba01
10;Joel Embiid;8.8;2020-21;26;PHI;51;51;1;1585;461;899;403;745;58;154;471;548;113;426;539;145;50;69;159;123;1451;0.513;0.541;0.377;0.859;0.636;0.545;C;embiijo01
11;Zion Williamson;8.7;2020-21;20;NOP;61;61;1;2026;634;1037;624;1003;10;34;369;529;167;274;441;226;57;39;167;135;1647;0.611;0.622;0.294;0.698;0.649;0.616;F-C;willizi01
12;Deandre Ayton;8.4;2020-21;22;PHO;69;69;0;2115;430;687;426;667;4;20;133;173;228;499;727;99;41;81;103;196;997;0.626;0.639;0.2;0.769;0.653;0.629;C;aytonde01
13;Clint Capela;8.2;2020-21;26;ATL;63;63;0;1898;413;695;413;695;0;0;130;227;297;606;903;49;44;129;73;145;956;0.594;0.594;;0.573;0.601;0.594;C;capelca01
14;Mikal Bridges;8;2020-21;24;PHO;72;72;0;2348;363;669;229;354;134;315;110;131;76;233;309;152;76;63;57;116;970;0.543;0.647;0.425;0.84;0.667;0.643;F-G;bridgmi01
15;Jonas Valančiūnas;7.8;2020-21;28;MEM;62;61;0;1755;440;743;419;686;21;57;157;203;253;523;776;112;35;57;100;179;1058;0.592;0.611;0.368;0.773;0.636;0.606;C;valanjo01
16;Julius Randle;7.8;2020-21;26;NYK;71;71;1;2667;602;1321;442;932;160;389;348;429;84;639;723;427;64;18;241;225;1712;0.456;0.474;0.411;0.811;0.567;0.516;F-C;randlju01
