Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kevin Durant;19.2;2013-14;25;OKC;81;81;1;3122;849;1688;657;1197;192;491;703;805;58;540;598;445;103;59;285;174;2593;0.503;0.549;0.391;0.873;0.635;0.56;F-G;duranke01
2;LeBron James;15.9;2013-14;29;MIA;77;77;1;2902;767;1353;651;1047;116;306;439;585;81;452;533;488;121;26;270;126;2089;0.567;0.622;0.379;0.75;0.649;0.61;F-G;jamesle01
3;Kevin Love;14.3;2013-14;25;MIN;77;77;1;2797;650;1421;460;916;190;505;520;633;224;739;963;341;59;35;196;136;2010;0.457;0.502;0.376;0.821;0.591;0.524;F-C;loveke01
4;Stephen Curry;13.4;2013-14;25;GSW;78;78;1;2846;652;1383;391;768;261;615;308;348;46;288;334;666;128;14;294;194;1873;0.471;0.509;0.424;0.885;0.61;0.566;G;curryst01
5;James Harden;12.8;2013-14;24;HOU;73;73;1;2777;549;1205;372;722;177;483;576;665;61;283;344;446;115;29;265;177;1851;0.456;0.515;0.366;0.866;0.618;0.529;G;hardeja01
6;Blake Griffin;12.2;2013-14;24;LAC;80;80;1;2863;718;1359;706;1315;12;44;482;674;192;565;757;309;92;51;224;265;1930;0.528;0.537;0.273;0.715;0.583;0.533;F-C;griffbl01
7;Chris Paul;12.2;2013-14;28;LAC;62;62;1;2171;406;870;328;658;78;212;295;345;38;230;268;663;154;4;145;157;1185;0.467;0.498;0.368;0.855;0.58;0.511;G;paulch01
8;Kyle Lowry;11.7;2013-14;27;TOR;79;79;0;2862;457;1080;267;580;190;500;313;385;88;281;369;586;121;15;194;267;1417;0.423;0.46;0.38;0.813;0.567;0.511;G;lowryky01
9;Joakim Noah;11.2;2013-14;28;CHI;80;80;1;2820;380;800;380;798;0;2;247;335;282;618;900;431;99;121;194;245;1007;0.475;0.476;0;0.737;0.531;0.475;C;noahjo01
10;DeAndre Jordan;11.1;2013-14;25;LAC;82;82;0;2870;348;515;348;515;0;0;160;374;331;783;1114;74;80;203;123;264;856;0.676;0.676;;0.428;0.63;0.676;C;jordade01
