Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;16.4;2014-15;25;HOU;81;81;1;2981;647;1470;439;915;208;555;715;824;75;384;459;565;154;60;321;208;2217;0.44;0.48;0.375;0.868;0.605;0.511;G;hardeja01
2;Chris Paul;16.1;2014-15;29;LAC;82;82;1;2857;568;1170;429;821;139;349;289;321;52;324;376;838;156;15;190;203;1564;0.485;0.523;0.398;0.9;0.596;0.545;G;paulch01
3;Stephen Curry;15.7;2014-15;26;GSW;80;80;1;2613;653;1341;367;695;286;646;308;337;56;285;341;619;163;16;249;158;1900;0.487;0.528;0.443;0.914;0.638;0.594;G;curryst01
4;Anthony Davis;14;2014-15;21;NOP;68;68;1;2455;642;1199;641;1187;1;12;371;461;173;523;696;149;100;200;95;141;1656;0.535;0.54;0.083;0.805;0.591;0.536;F-C;davisan02
5;DeAndre Jordan;12.8;2014-15;26;LAC;82;82;0;2820;379;534;378;530;1;4;187;471;397;829;1226;61;81;183;109;245;946;0.71;0.713;0.25;0.397;0.638;0.711;C;jordade01
6;Jimmy Butler;11.2;2014-15;25;CHI;65;65;1;2513;421;912;348;719;73;193;386;463;114;265;379;212;114;36;93;108;1301;0.462;0.484;0.378;0.834;0.583;0.502;F-G;butleji01
7;Russell Westbrook;10.6;2014-15;26;OKC;67;67;1;2302;627;1471;541;1183;86;288;546;654;124;364;488;574;140;14;293;184;1886;0.426;0.457;0.299;0.835;0.536;0.455;G;westbru01
8;Damian Lillard;10.6;2014-15;24;POR;82;82;1;2925;590;1360;394;788;196;572;344;398;49;329;378;507;97;21;222;164;1720;0.434;0.5;0.343;0.864;0.56;0.506;G;lillada01
9;Pau Gasol;10.4;2014-15;34;CHI;78;78;1;2681;570;1153;558;1127;12;26;294;366;220;699;919;210;25;147;158;147;1446;0.494;0.495;0.462;0.803;0.55;0.5;C-F;gasolpa01
10;Kyrie Irving;10.4;2014-15;22;CLE;75;75;1;2730;578;1235;421;857;157;378;315;365;55;182;237;389;114;20;186;146;1628;0.468;0.491;0.415;0.863;0.583;0.532;G;irvinky01
11;LeBron James;10.4;2014-15;30;CLE;69;69;1;2493;624;1279;504;940;120;339;375;528;51;365;416;511;109;49;272;135;1743;0.488;0.536;0.354;0.71;0.577;0.535;F-G;jamesle01
