Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kevin Garnett;16.1;2004-05;28;MIN;82;82;1;3121;683;1360;677;1335;6;25;445;549;247;861;1108;466;121;112;222;207;1817;0.502;0.507;0.24;0.811;0.567;0.504;F-C;garneke01
2;Dirk Nowitzki;15.6;2004-05;26;DAL;78;78;1;3020;663;1445;572;1217;91;228;615;708;96;661;757;240;97;119;176;219;2032;0.459;0.47;0.399;0.869;0.578;0.49;F-C;nowitdi01
3;Amar'e Stoudemire;14.6;2004-05;22;PHO;80;80;1;2889;747;1336;744;1320;3;16;583;795;219;494;713;131;77;130;189;278;2080;0.559;0.564;0.188;0.733;0.617;0.56;F-C;stoudam01
4;LeBron James;14.3;2004-05;20;CLE;80;80;1;3388;795;1684;687;1376;108;308;477;636;111;477;588;577;177;52;262;146;2175;0.472;0.499;0.351;0.75;0.554;0.504;F-G;jamesle01
5;Shawn Marion;12.5;2004-05;26;PHO;81;81;1;3146;613;1289;499;948;114;341;229;275;235;680;915;154;163;119;125;199;1569;0.476;0.526;0.334;0.833;0.556;0.52;F;mariosh01
6;Chauncey Billups;12.1;2004-05;28;DET;80;80;0;2866;404;913;239;526;165;387;343;382;48;223;271;464;81;9;180;194;1316;0.442;0.454;0.426;0.898;0.609;0.533;G;billuch01
7;Tracy McGrady;12;2004-05;25;HOU;78;78;1;3182;715;1660;573;1225;142;435;431;557;71;413;484;448;135;52;201;167;2003;0.431;0.468;0.326;0.774;0.526;0.473;G-F;mcgratr01
8;Stephon Marbury;11.7;2004-05;27;NYK;82;82;0;3281;604;1308;489;983;115;325;458;549;50;198;248;668;122;6;233;186;1781;0.462;0.497;0.354;0.834;0.575;0.506;G;marbust01
9;Gilbert Arenas;11.5;2004-05;23;WAS;80;80;1;3274;656;1523;451;961;205;562;521;640;83;295;378;411;139;23;242;245;2038;0.431;0.469;0.365;0.814;0.565;0.498;G;arenagi01
10;Paul Pierce;11.2;2004-05;27;BOS;82;82;1;2960;556;1223;448;931;108;292;549;668;78;461;539;348;133;39;230;255;1769;0.455;0.481;0.37;0.822;0.583;0.499;F-G;piercpa01
11;Tim Duncan;11.2;2004-05;28;SAS;66;66;1;2203;517;1042;514;1033;3;9;305;455;202;530;732;179;45;174;127;144;1342;0.496;0.498;0.333;0.67;0.54;0.498;F-C;duncati01
12;Dwyane Wade;11;2004-05;23;MIA;77;77;1;2974;630;1318;617;1273;13;45;581;762;110;287;397;520;121;82;321;230;1854;0.478;0.485;0.289;0.762;0.561;0.483;G;wadedw01
13;Manu Ginóbili;11;2004-05;27;SAS;74;74;1;2193;367;780;270;522;97;258;355;442;75;254;329;288;119;27;172;190;1186;0.471;0.517;0.376;0.803;0.609;0.533;G;ginobma01
14;Shaquille O'Neal;11;2004-05;32;MIA;73;73;1;2492;658;1095;658;1095;0;0;353;765;253;507;760;200;36;171;203;262;1669;0.601;0.601;;0.461;0.583;0.601;C;onealsh01
15;Steve Nash;10.9;2004-05;30;PHO;75;75;1;2573;430;857;336;639;94;218;211;238;57;192;249;861;74;6;245;136;1165;0.502;0.526;0.431;0.887;0.606;0.557;G;nashst01
16;Ray Allen;10.7;2004-05;29;SEA;78;78;1;3064;640;1494;431;938;209;556;378;428;79;268;347;289;84;5;171;167;1867;0.428;0.459;0.376;0.883;0.555;0.498;G;allenra02
17;Yao Ming;10.7;2004-05;24;HOU;80;80;1;2447;538;975;538;975;0;0;389;497;208;461;669;61;34;160;196;298;1465;0.552;0.552;;0.783;0.614;0.552;C;mingya01
18;Elton Brand;10.6;2004-05;25;LAC;81;81;0;3001;629;1251;629;1248;0;3;364;484;296;474;770;208;62;169;183;240;1622;0.503;0.504;0;0.752;0.554;0.503;F-C;brandel01
19;Tayshaun Prince;9.4;2004-05;24;DET;82;82;0;3039;469;963;422;825;47;138;221;274;133;302;435;247;56;71;135;161;1206;0.487;0.512;0.341;0.807;0.556;0.511;F;princta01
20;Vince Carter;9.4;2004-05;28;NJNTOR;77;76;1;2828;696;1541;569;1228;127;313;367;460;106;295;401;327;109;48;168;243;1886;0.452;0.463;0.406;0.798;0.541;0.493;G-F;cartevi01
21;Udonis Haslem;9.2;2004-05;24;MIA;80;80;0;2675;346;641;346;637;0;4;178;225;239;487;726;108;63;41;113;260;870;0.54;0.543;0;0.791;0.588;0.54;F-C;hasleud01
22;Allen Iverson;9;2004-05;29;PHI;75;75;1;3174;771;1818;667;1480;104;338;656;786;51;248;299;596;180;9;344;140;2302;0.424;0.451;0.308;0.835;0.532;0.453;G;iversal01
23;Damon Jones;8.7;2004-05;28;MIA;82;66;0;2576;331;726;106;205;225;521;68;86;14;217;231;350;44;5;98;121;955;0.456;0.517;0.432;0.791;0.625;0.611;G;jonesda01
24;Brad Miller;8.6;2004-05;28;SAC;56;56;0;2089;319;609;314;590;5;19;233;287;139;382;521;220;69;68;82;181;876;0.524;0.532;0.263;0.812;0.596;0.528;C-F;millebr01
25;Jason Terry;8.5;2004-05;27;DAL;80;57;0;2401;372;743;269;498;103;245;146;173;38;150;188;429;109;15;147;177;993;0.501;0.54;0.42;0.844;0.606;0.57;G;terryja01
26;Drew Gooden;8.5;2004-05;23;CLE;82;80;0;2523;464;943;459;915;5;28;251;310;207;546;753;130;77;76;133;233;1184;0.492;0.502;0.179;0.81;0.548;0.495;F;goodedr01
