Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;19.3;2012-13;28;MIA;76;76;1;2877;765;1354;662;1100;103;254;403;535;97;513;610;551;129;67;226;110;2036;0.565;0.602;0.406;0.753;0.64;0.603;F-G;jamesle01
2;Kevin Durant;18.9;2012-13;24;OKC;81;81;1;3119;731;1433;592;1099;139;334;679;750;46;594;640;374;116;105;280;143;2280;0.51;0.539;0.416;0.905;0.647;0.559;F-G;duranke01
3;Chris Paul;13.9;2012-13;27;LAC;70;70;1;2335;412;856;336;624;76;232;286;323;53;209;262;678;169;10;159;143;1186;0.481;0.538;0.328;0.885;0.594;0.526;G;paulch01
4;James Harden;12.8;2012-13;23;HOU;78;78;1;2985;585;1337;406;851;179;486;674;792;62;317;379;455;142;38;295;178;2023;0.438;0.477;0.368;0.851;0.6;0.504;G;hardeja01
5;Russell Westbrook;11.6;2012-13;24;OKC;82;82;1;2861;673;1535;576;1235;97;300;460;575;111;317;428;607;145;24;273;189;1903;0.438;0.466;0.323;0.8;0.532;0.47;G;westbru01
6;Marc Gasol;11.5;2012-13;28;MEM;80;80;0;2796;429;869;428;855;1;14;268;316;184;438;622;318;80;139;157;255;1127;0.494;0.501;0.071;0.848;0.559;0.494;C;gasolma01
7;Stephen Curry;11.2;2012-13;24;GSW;78;78;0;2983;626;1388;354;788;272;600;262;291;59;255;314;539;126;12;240;198;1786;0.451;0.449;0.453;0.9;0.589;0.549;G;curryst01
8;Kobe Bryant;10.9;2012-13;34;LAL;78;78;1;3013;738;1595;606;1188;132;407;525;626;66;367;433;469;106;25;287;173;2133;0.463;0.51;0.324;0.839;0.57;0.504;G-F;bryanko01
9;Deron Williams;10.9;2012-13;28;BRK;78;78;0;2842;495;1124;326;677;169;447;317;369;29;203;232;604;75;30;218;194;1476;0.44;0.482;0.378;0.859;0.574;0.516;G;willide01
10;Blake Griffin;10.6;2012-13;23;LAC;80;80;1;2598;577;1072;572;1044;5;28;281;426;186;476;662;299;97;50;185;231;1440;0.538;0.548;0.179;0.66;0.572;0.541;F-C;griffbl01
11;Mike Conley;9.9;2012-13;25;MEM;80;80;0;2757;414;940;308;647;106;293;234;282;43;182;225;487;174;24;189;171;1168;0.44;0.476;0.362;0.83;0.549;0.497;G;conlemi01
12;George Hill;9.7;2012-13;26;IND;76;76;0;2620;386;871;256;518;130;353;174;213;47;237;284;355;81;26;116;134;1076;0.443;0.494;0.368;0.817;0.558;0.518;G;hillge01
13;Dwyane Wade;9.6;2012-13;31;MIA;69;69;1;2391;569;1093;552;1027;17;66;308;425;86;258;344;352;128;56;194;140;1463;0.521;0.537;0.258;0.725;0.571;0.528;G;wadedw01
14;Carmelo Anthony;9.5;2012-13;28;NYK;67;67;1;2482;669;1489;512;1075;157;414;425;512;134;326;460;171;52;32;175;205;1920;0.449;0.476;0.379;0.83;0.56;0.502;F;anthoca01
15;Serge Ibaka;9.4;2012-13;23;OKC;80;80;0;2486;446;778;426;721;20;57;143;191;222;395;617;43;28;242;125;213;1055;0.573;0.591;0.351;0.749;0.612;0.586;F-C;ibakase01
16;Tony Parker;9.3;2012-13;30;SAS;66;66;1;2174;519;995;495;927;24;68;279;330;18;180;198;499;54;6;170;92;1341;0.522;0.534;0.353;0.845;0.588;0.534;G;parketo01
