Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;14.5;2011-12;27;MIA;62;62;1;2326;621;1169;567;1020;54;149;387;502;94;398;492;387;115;50;213;96;1683;0.531;0.556;0.362;0.771;0.605;0.554;F-G;jamesle01
2;Chris Paul;12.7;2011-12;26;LAC;60;60;1;2181;425;890;346;677;79;213;260;302;42;171;213;543;152;4;124;138;1189;0.478;0.511;0.371;0.861;0.581;0.522;G;paulch01
3;Kevin Durant;12.2;2011-12;23;OKC;66;66;1;2546;643;1297;510;953;133;344;431;501;40;487;527;231;88;77;248;133;1850;0.496;0.535;0.387;0.86;0.61;0.547;F-G;duranke01
4;Kevin Love;10;2011-12;23;MIN;55;55;1;2145;474;1059;369;777;105;282;379;460;226;508;734;111;47;28;128;152;1432;0.448;0.475;0.372;0.824;0.568;0.497;F-C;loveke01
5;Tyson Chandler;9.5;2011-12;29;NYK;62;62;0;2061;241;355;241;353;0;2;217;315;212;400;612;56;56;89;102;186;699;0.679;0.683;0;0.689;0.708;0.679;C;chandty01
6;James Harden;9.3;2011-12;22;OKC;62;2;0;1946;309;629;195;337;114;292;312;369;30;222;252;229;62;15;137;150;1044;0.491;0.579;0.39;0.846;0.66;0.582;G;hardeja01
7;Blake Griffin;9.2;2011-12;22;LAC;66;66;1;2392;561;1022;559;1006;2;16;244;468;218;499;717;210;54;48;150;216;1368;0.549;0.556;0.125;0.521;0.557;0.55;F-C;griffbl01
8;Joakim Noah;9;2011-12;26;CHI;64;64;0;1945;249;490;249;489;0;1;154;206;242;387;629;160;41;92;92;162;652;0.508;0.509;0;0.748;0.561;0.508;C;noahjo01
9;Ryan Anderson;8.9;2011-12;23;ORL;61;61;0;1964;332;757;166;335;166;422;150;171;224;247;471;54;50;26;57;146;980;0.439;0.496;0.393;0.877;0.589;0.548;F;anderry01
10;Pau Gasol;8.3;2011-12;31;LAL;65;65;0;2430;459;917;452;890;7;27;204;261;183;495;678;237;37;88;142;127;1129;0.501;0.508;0.259;0.782;0.547;0.504;C-F;gasolpa01
11;Marc Gasol;8.2;2011-12;27;MEM;65;65;1;2370;357;740;356;728;1;12;237;317;120;459;579;204;62;121;121;201;952;0.482;0.489;0.083;0.748;0.541;0.483;C;gasolma01
12;Andrew Bynum;8;2011-12;24;LAL;60;60;1;2112;444;796;443;791;1;5;234;338;192;517;709;85;27;116;152;104;1123;0.558;0.56;0.2;0.692;0.594;0.558;C;bynuman01
13;Russell Westbrook;7.9;2011-12;23;OKC;66;66;1;2331;578;1266;516;1070;62;196;340;413;96;205;301;362;112;21;239;147;1558;0.457;0.482;0.316;0.823;0.538;0.481;G;westbru01
14;Paul Millsap;7.8;2011-12;26;UTA;64;62;0;2100;426;861;419;830;7;31;202;255;180;383;563;150;118;52;112;222;1061;0.495;0.505;0.226;0.792;0.545;0.499;F;millspa01
15;Dwight Howard;7.7;2011-12;26;ORL;54;54;1;2070;416;726;416;719;0;7;281;572;200;585;785;104;81;116;175;159;1113;0.573;0.579;0;0.491;0.569;0.573;C;howardw01
16;Dwyane Wade;7.7;2011-12;30;MIA;49;49;1;1625;416;837;401;781;15;56;235;297;73;164;237;225;82;63;129;110;1082;0.497;0.513;0.268;0.791;0.559;0.506;G;wadedw01
17;Carlos Boozer;7.6;2011-12;30;CHI;66;66;0;1948;448;842;448;841;0;1;95;137;114;450;564;125;63;24;115;168;991;0.532;0.533;0;0.693;0.549;0.532;F-C;boozeca01
18;Marcin Gortat;7.6;2011-12;27;PHO;66;66;0;2114;427;769;427;767;0;2;163;251;185;474;659;59;48;99;90;142;1017;0.555;0.557;0;0.649;0.578;0.555;C-F;gortama01
19;Dirk Nowitzki;7.6;2011-12;33;DAL;62;62;1;2079;473;1034;395;822;78;212;318;355;46;372;418;136;42;30;117;129;1342;0.457;0.481;0.368;0.896;0.564;0.495;F-C;nowitdi01
20;Al Jefferson;7.5;2011-12;27;UTA;61;61;0;2075;516;1048;515;1044;1;4;137;177;133;452;585;134;47;101;62;155;1170;0.492;0.493;0.25;0.774;0.52;0.493;C-F;jeffeal01
21;Andre Iguodala;7.3;2011-12;28;PHI;62;62;1;2209;287;632;211;439;76;193;121;196;56;325;381;339;107;30;115;92;771;0.454;0.481;0.394;0.617;0.537;0.514;F-G;iguodan01
22;Tony Parker;7.1;2011-12;29;SAS;60;60;1;1923;427;890;413;829;14;61;227;284;22;149;171;463;57;5;153;75;1095;0.48;0.498;0.23;0.799;0.539;0.488;G;parketo01
23;LaMarcus Aldridge;7;2011-12;26;POR;55;55;1;1994;483;943;481;932;2;11;223;274;150;292;442;134;51;45;111;153;1191;0.512;0.516;0.182;0.814;0.56;0.513;F-C;aldrila01
24;Paul Pierce;7;2011-12;34;BOS;61;61;1;2075;394;890;294;617;100;273;293;344;37;280;317;274;70;26;173;147;1181;0.443;0.476;0.366;0.852;0.567;0.499;F-G;piercpa01
25;Greg Monroe;7;2011-12;21;DET;66;66;0;2082;407;781;407;780;0;1;201;272;239;398;637;152;83;46;161;180;1015;0.521;0.522;0;0.739;0.563;0.521;C-F;monrogr01
26;Ty Lawson;6.9;2011-12;24;DEN;61;61;0;2124;374;767;301;567;73;200;178;216;54;173;227;401;82;6;149;94;999;0.488;0.531;0.365;0.824;0.579;0.535;G;lawsoty01
27;Kevin Garnett;6.9;2011-12;35;BOS;60;60;0;1864;391;777;388;768;3;9;162;189;66;428;494;175;56;61;107;141;947;0.503;0.505;0.333;0.857;0.55;0.505;F-C;garneke01
28;Chris Bosh;6.9;2011-12;27;MIA;57;57;1;2007;393;807;383;772;10;35;229;279;94;358;452;103;51;45;117;128;1025;0.487;0.496;0.286;0.821;0.551;0.493;F-C;boshch01
