Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;15.6;2010-11;26;MIA;79;79;1;3063;758;1485;666;1206;92;279;503;663;80;510;590;554;124;50;284;163;2111;0.51;0.552;0.33;0.759;0.594;0.541;F-G;jamesle01
2;Pau Gasol;14.7;2010-11;30;LAL;82;82;1;3037;593;1120;592;1117;1;3;354;430;268;568;836;273;48;130;142;203;1541;0.529;0.53;0.333;0.823;0.589;0.53;C-F;gasolpa01
3;Dwight Howard;14.4;2010-11;25;ORL;78;78;1;2935;619;1044;619;1037;0;7;546;916;309;789;1098;107;107;186;279;258;1784;0.593;0.597;0;0.596;0.616;0.593;C;howardw01
4;Chris Paul;13.9;2010-11;25;NOH;80;80;1;2880;430;928;359;745;71;183;337;384;38;289;327;782;188;5;177;196;1268;0.463;0.482;0.388;0.878;0.578;0.502;G;paulch01
5;Derrick Rose;13.1;2010-11;22;CHI;81;81;1;3026;711;1597;583;1212;128;385;476;555;81;249;330;623;85;51;278;136;2026;0.445;0.481;0.332;0.858;0.55;0.485;G;rosede01
6;Dwyane Wade;12.8;2010-11;29;MIA;76;76;1;2823;692;1384;629;1178;63;206;494;652;123;362;485;346;111;87;237;197;1941;0.5;0.534;0.306;0.758;0.581;0.523;G;wadedw01
7;Kevin Durant;12;2010-11;22;OKC;78;78;1;3038;711;1538;566;1124;145;414;594;675;57;476;533;214;88;76;218;159;2161;0.462;0.504;0.35;0.88;0.589;0.509;F-G;duranke01
8;Paul Pierce;11.6;2010-11;33;BOS;80;80;1;2774;507;1021;396;724;111;297;386;449;34;396;430;260;80;51;171;231;1511;0.497;0.547;0.374;0.86;0.62;0.551;F-G;piercpa01
9;Kevin Love;11.4;2010-11;22;MIN;73;73;1;2611;482;1026;394;815;88;211;424;499;330;782;1112;184;45;28;155;148;1476;0.47;0.483;0.417;0.85;0.593;0.513;F-C;loveke01
10;Dirk Nowitzki;11.1;2010-11;32;DAL;73;73;1;2504;610;1179;544;1011;66;168;395;443;50;463;513;190;38;47;137;172;1681;0.517;0.538;0.393;0.892;0.612;0.545;F-C;nowitdi01
11;LaMarcus Aldridge;11.1;2010-11;25;POR;81;81;0;3211;707;1415;703;1392;4;23;351;444;278;431;709;170;82;94;153;220;1769;0.5;0.505;0.174;0.791;0.549;0.501;F-C;aldrila01
12;Zach Randolph;10.5;2010-11;29;MEM;75;74;0;2724;598;1188;590;1145;8;43;300;396;326;588;914;163;63;25;151;175;1504;0.503;0.515;0.186;0.758;0.552;0.507;F-C;randoza01
