Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;18.5;2009-10;25;CLE;76;76;1;2966;768;1528;639;1141;129;387;593;773;71;483;554;651;125;77;261;119;2258;0.503;0.56;0.333;0.767;0.604;0.545;F-G;jamesle01
2;Kevin Durant;16.1;2009-10;21;OKC;82;82;1;3239;794;1668;666;1317;128;351;756;840;105;518;623;231;112;84;271;171;2472;0.476;0.506;0.365;0.9;0.607;0.514;F-G;duranke01
3;Dwight Howard;13.2;2009-10;24;ORL;82;82;1;2843;510;834;510;827;0;7;483;816;284;798;1082;144;75;228;274;287;1503;0.612;0.617;0;0.592;0.63;0.612;C;howardw01
4;Dwyane Wade;13;2009-10;28;MIA;77;77;1;2792;719;1511;646;1268;73;243;534;702;107;266;373;501;142;82;252;181;2045;0.476;0.509;0.3;0.761;0.562;0.5;G;wadedw01
5;Dirk Nowitzki;12.3;2009-10;31;DAL;81;80;1;3039;720;1496;669;1375;51;121;536;586;80;540;620;218;70;79;149;208;2027;0.481;0.487;0.421;0.915;0.578;0.498;F-C;nowitdi01
6;Gerald Wallace;11.5;2009-10;27;CHA;76;76;1;3119;456;943;404;803;52;140;422;544;150;612;762;161;117;83;178;194;1386;0.484;0.503;0.371;0.776;0.586;0.511;F;wallage01
7;Pau Gasol;11;2009-10;29;LAL;65;65;1;2403;452;844;452;839;0;5;286;362;243;491;734;218;37;113;143;152;1190;0.536;0.539;0;0.79;0.593;0.536;C-F;gasolpa01
8;Tim Duncan;10.9;2009-10;33;SAS;78;77;1;2438;561;1082;559;1071;2;11;271;374;221;567;788;246;45;117;140;152;1395;0.518;0.522;0.182;0.725;0.56;0.519;F-C;duncati01
9;Al Horford;10.9;2009-10;23;ATL;81;81;1;2845;467;847;466;846;1;1;213;270;236;563;799;189;59;91;122;225;1148;0.551;0.551;1;0.789;0.594;0.552;C-F;horfoal01
10;Nenê;10.8;2009-10;27;DEN;82;82;0;2755;421;717;421;715;0;2;293;416;166;461;627;203;115;82;125;281;1135;0.587;0.589;0;0.704;0.631;0.587;F-C;hilarne01
11;Amar'e Stoudemire;10.7;2009-10;27;PHO;82;82;1;2838;704;1264;703;1258;1;6;487;632;230;502;732;82;52;83;213;281;1896;0.557;0.559;0.167;0.771;0.615;0.557;F-C;stoudam01
12;Deron Williams;10.3;2009-10;25;UTA;76;76;1;2802;494;1053;398;794;96;259;335;418;50;253;303;798;96;16;252;208;1419;0.469;0.501;0.371;0.801;0.574;0.515;G;willide01
13;David Lee;10.3;2009-10;26;NYK;81;81;1;3019;686;1258;686;1250;0;8;268;330;228;721;949;295;85;40;189;257;1640;0.545;0.549;0;0.812;0.584;0.545;F-C;leeda02
14;Carlos Boozer;9.9;2009-10;28;UTA;78;78;0;2673;617;1098;617;1098;0;0;285;384;181;693;874;247;84;36;212;270;1519;0.562;0.562;;0.742;0.599;0.562;F-C;boozeca01
15;Steve Nash;9.9;2009-10;35;PHO;81;81;1;2660;499;985;375;694;124;291;211;225;34;234;268;892;42;12;295;108;1333;0.507;0.54;0.426;0.938;0.615;0.57;G;nashst01
16;Zach Randolph;9.7;2009-10;28;MEM;81;81;1;3051;652;1336;637;1284;15;52;362;465;330;620;950;149;80;34;174;226;1681;0.488;0.496;0.288;0.778;0.546;0.494;F-C;randoza01
17;Manu Ginóbili;9.7;2009-10;32;SAS;75;21;0;2150;398;903;266;553;132;350;309;355;68;216;284;370;103;24;154;154;1237;0.441;0.481;0.377;0.87;0.584;0.514;G;ginobma01
18;Rajon Rondo;9.6;2009-10;23;BOS;81;81;1;2963;459;904;442;824;17;80;175;282;100;260;360;794;189;11;246;198;1110;0.508;0.536;0.213;0.621;0.54;0.517;G;rondora01
19;Chris Bosh;9.6;2009-10;25;TOR;70;70;1;2526;600;1158;592;1136;8;22;470;590;205;554;759;166;43;68;169;170;1678;0.518;0.521;0.364;0.797;0.592;0.522;F-C;boshch01
20;Chauncey Billups;9.5;2009-10;33;DEN;73;73;1;2490;402;962;245;555;157;407;466;512;25;203;228;409;82;9;177;153;1427;0.418;0.441;0.386;0.91;0.601;0.499;G;billuch01
21;Kobe Bryant;9.4;2009-10;31;LAL;73;73;1;2835;716;1569;617;1268;99;301;439;541;78;313;391;365;113;20;233;187;1970;0.456;0.487;0.329;0.811;0.545;0.488;G-F;bryanko01
22;Josh Smith;9.3;2009-10;24;ATL;81;81;0;2871;504;999;504;992;0;7;261;422;223;482;705;342;130;172;198;240;1269;0.505;0.508;0;0.618;0.536;0.505;F;smithjo03
23;Brandon Roy;9.1;2009-10;25;POR;65;65;1;2419;491;1038;418;817;73;221;343;440;73;212;285;305;61;16;129;136;1398;0.473;0.512;0.33;0.78;0.568;0.508;G;roybr01
24;Jason Kidd;8.9;2009-10;36;DAL;80;80;1;2881;284;671;108;257;176;414;80;99;48;397;445;724;145;35;195;142;824;0.423;0.42;0.425;0.808;0.577;0.554;G;kiddja01
25;LaMarcus Aldridge;8.8;2009-10;24;POR;78;78;0;2922;579;1169;574;1153;5;16;230;304;192;435;627;160;67;48;104;231;1393;0.495;0.498;0.313;0.757;0.535;0.497;F-C;aldrila01
