Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;20.3;2008-09;24;CLE;81;81;1;3054;789;1613;657;1229;132;384;594;762;106;507;613;587;137;93;241;139;2304;0.489;0.535;0.344;0.78;0.591;0.53;F-G;jamesle01
2;Chris Paul;18.3;2008-09;23;NOH;78;78;1;3002;631;1255;567;1079;64;176;455;524;69;363;432;861;216;10;231;212;1781;0.503;0.525;0.364;0.868;0.599;0.528;G;paulch01
3;Dwyane Wade;14.7;2008-09;27;MIA;79;79;1;3048;854;1739;766;1461;88;278;590;771;89;309;398;589;173;106;272;178;2386;0.491;0.524;0.317;0.765;0.574;0.516;G;wadedw01
4;Pau Gasol;13.9;2008-09;28;LAL;81;81;1;2999;592;1045;591;1043;1;2;343;439;262;518;780;284;52;81;157;172;1528;0.567;0.567;0.5;0.781;0.617;0.567;C-F;gasolpa01
5;Dwight Howard;13.8;2008-09;23;ORL;79;79;1;2821;560;979;560;977;0;2;504;849;336;757;1093;112;77;231;240;270;1624;0.572;0.573;0;0.594;0.6;0.572;C;howardw01
6;Brandon Roy;13.5;2008-09;24;POR;78;78;1;2903;633;1318;550;1098;83;220;416;505;104;266;370;400;88;22;152;127;1765;0.48;0.501;0.377;0.824;0.573;0.512;G;roybr01
7;Kobe Bryant;12.7;2008-09;30;LAL;82;82;1;2960;800;1712;682;1376;118;336;483;564;90;339;429;399;120;37;210;189;2201;0.467;0.496;0.351;0.856;0.561;0.502;G-F;bryanko01
8;Ray Allen;11.1;2008-09;33;BOS;79;79;1;2876;499;1040;300;554;199;486;237;249;66;212;278;218;69;13;134;157;1434;0.48;0.542;0.409;0.952;0.624;0.575;G;allenra02
9;Dirk Nowitzki;10.9;2008-09;30;DAL;81;81;1;3050;774;1616;713;1446;61;170;485;545;88;593;681;197;61;63;157;176;2094;0.479;0.493;0.359;0.89;0.564;0.498;F-C;nowitdi01
10;Yao Ming;10.6;2008-09;28;HOU;77;77;1;2589;566;1032;565;1031;1;1;381;440;204;557;761;137;30;150;234;257;1514;0.548;0.548;1;0.866;0.618;0.549;C;mingya01
11;Paul Pierce;10.3;2008-09;31;BOS;81;81;1;3035;540;1181;421;877;119;304;459;553;56;401;457;294;80;27;228;215;1658;0.457;0.48;0.391;0.83;0.582;0.508;F-G;piercpa01
12;Chauncey Billups;10.1;2008-09;32;DENDET;79;79;1;2789;410;980;248;583;162;397;418;458;32;207;239;506;93;18;177;161;1400;0.418;0.425;0.408;0.913;0.592;0.501;G;billuch01
