Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;13.1;2019-20;30;HOU;68;68;1;2483;672;1514;373;671;299;843;692;800;70;376;446;512;125;60;308;227;2335;0.444;0.556;0.355;0.865;0.626;0.543;G;hardeja01
2;Damian Lillard;11.6;2019-20;29;POR;66;66;1;2474;624;1349;354;675;270;674;460;518;33;251;284;530;70;22;194;114;1978;0.463;0.524;0.401;0.888;0.627;0.563;G;lillada01
3;Giannis Antetokounmpo;11.1;2019-20;25;MIL;63;63;1;1917;685;1238;596;945;89;293;398;629;140;716;856;354;61;66;230;195;1857;0.553;0.631;0.304;0.633;0.613;0.589;F-G;antetgi01
4;Anthony Davis;11.1;2019-20;26;LAL;62;62;1;2131;551;1096;479;878;72;218;444;525;142;435;577;200;91;143;154;156;1618;0.503;0.546;0.33;0.846;0.61;0.536;F-C;davisan02
5;Rudy Gobert;10.7;2019-20;27;UTA;68;68;1;2333;386;557;386;557;0;0;254;403;230;686;916;101;51;135;130;215;1026;0.693;0.693;;0.63;0.699;0.693;C;goberru01
6;Nikola Jokić;9.8;2019-20;24;DEN;73;73;1;2336;565;1071;485;816;80;255;246;301;166;545;711;512;85;44;226;222;1456;0.528;0.594;0.314;0.817;0.605;0.565;C-F;jokicni01
7;LeBron James;9.8;2019-20;35;LAL;67;67;1;2316;643;1303;495;878;148;425;264;381;66;459;525;684;78;36;261;118;1698;0.493;0.564;0.348;0.693;0.577;0.55;F-G;jamesle01
8;Jimmy Butler;9;2019-20;30;MIA;58;58;1;1959;345;758;316;639;29;119;438;525;106;280;386;350;103;32;127;81;1157;0.455;0.495;0.244;0.834;0.585;0.474;F-G;butleji01
9;Chris Paul;8.9;2019-20;34;OKC;70;70;1;2208;434;887;323;583;111;304;253;279;26;323;349;472;111;11;161;158;1232;0.489;0.554;0.365;0.907;0.61;0.552;G;paulch01
10;Luka Dončić;8.8;2019-20;20;DAL;61;61;1;2047;581;1255;410;714;171;541;426;562;78;495;573;538;62;14;260;153;1759;0.463;0.574;0.316;0.758;0.585;0.531;G-F;doncilu01
11;Kawhi Leonard;8.7;2019-20;28;LAC;57;57;1;1848;532;1133;409;808;123;325;356;402;54;348;402;280;103;33;149;113;1543;0.47;0.506;0.378;0.886;0.589;0.524;F;leonaka01
12;Hassan Whiteside;8.5;2019-20;30;POR;67;61;0;2008;436;702;432;695;4;7;164;239;258;647;905;78;26;196;120;196;1040;0.621;0.622;0.571;0.686;0.644;0.624;C;whiteha01
13;Bam Adebayo;8.5;2019-20;22;MIA;72;72;1;2417;440;790;438;776;2;14;264;382;176;559;735;368;82;93;204;182;1146;0.557;0.564;0.143;0.691;0.598;0.558;C-F;adebaba01
14;Jarrett Allen;8.2;2019-20;21;BRK;70;64;0;1852;302;465;302;459;0;6;171;270;216;455;671;110;40;92;77;162;775;0.649;0.658;0;0.633;0.664;0.649;C-F;allenja01
15;Khris Middleton;7.9;2019-20;28;MIL;62;59;1;1853;471;947;324;593;147;354;208;227;44;338;382;265;53;7;137;142;1297;0.497;0.546;0.415;0.916;0.619;0.575;F-G;middlkh01
16;Domantas Sabonis;7.5;2019-20;23;IND;62;62;1;2159;458;848;441;781;17;67;214;296;189;582;771;310;47;30;170;195;1147;0.54;0.565;0.254;0.723;0.586;0.55;C-F;sabondo01
17;Devin Booker;7.5;2019-20;23;PHO;70;70;1;2512;627;1283;486;885;141;398;468;509;29;268;297;456;49;18;264;213;1863;0.489;0.549;0.354;0.919;0.618;0.544;G;bookede01
18;Kyle Lowry;7.5;2019-20;33;TOR;58;58;1;2098;334;803;170;337;164;466;294;343;32;260;292;433;82;26;178;190;1126;0.416;0.504;0.352;0.857;0.59;0.518;G;lowryky01
19;DeMar DeRozan;7.3;2019-20;30;SAS;68;68;0;2316;557;1049;548;1014;9;35;381;451;44;331;375;380;70;20;164;180;1504;0.531;0.54;0.257;0.845;0.603;0.535;G-F;derozde01
20;Jonas Valančiūnas;7;2019-20;27;MEM;70;70;0;1845;432;739;400;648;32;91;148;200;213;575;788;131;30;76;127;185;1044;0.585;0.617;0.352;0.74;0.631;0.606;C;valanjo01
21;Montrezl Harrell;7;2019-20;26;LAC;63;2;0;1749;471;812;471;794;0;18;231;351;163;282;445;107;39;72;108;146;1173;0.58;0.593;0;0.658;0.607;0.58;F-C;harremo01
22;Ben Simmons;6.9;2019-20;23;PHI;57;57;1;2017;375;647;373;640;2;7;185;298;113;331;444;455;119;33;200;186;937;0.58;0.583;0.286;0.621;0.602;0.581;G-F;simmobe01
23;Jayson Tatum;6.9;2019-20;21;BOS;66;66;1;2265;552;1226;363;757;189;469;254;313;64;396;460;200;93;57;155;136;1547;0.45;0.48;0.403;0.812;0.567;0.527;F;tatumja01
24;Mitchell Robinson;6.8;2019-20;21;NYK;61;7;0;1412;253;341;253;341;0;0;84;148;186;242;428;36;52;119;37;194;590;0.742;0.742;;0.568;0.726;0.742;C;robinmi01
25;Ivica Zubac;6.6;2019-20;22;LAC;72;70;0;1326;236;385;236;383;0;2;124;166;197;346;543;82;16;66;61;168;596;0.613;0.616;0;0.747;0.651;0.613;C;zubaciv01
26;Daniel Theis;6.5;2019-20;27;BOS;65;64;0;1566;241;426;209;330;32;96;87;114;140;286;426;111;37;84;54;219;601;0.566;0.633;0.333;0.763;0.631;0.603;C;theisda01
27;T.J. Warren;6.5;2019-20;26;IND;67;67;0;2202;534;997;443;771;91;226;167;204;68;212;280;99;78;34;84;187;1326;0.536;0.575;0.403;0.819;0.61;0.581;F;warretj01
28;Steven Adams;6.5;2019-20;26;OKC;63;63;0;1680;283;478;282;475;1;3;117;201;207;376;583;146;51;67;94;122;684;0.592;0.594;0.333;0.582;0.604;0.593;C;adamsst01
29;Nikola Vučević;6.4;2019-20;29;ORL;62;62;0;1998;493;1033;395;744;98;289;131;167;140;533;673;222;54;47;88;135;1215;0.477;0.531;0.339;0.784;0.549;0.525;C;vucevni01
30;Danilo Gallinari;6.3;2019-20;31;OKC;62;62;0;1834;358;817;180;378;178;439;266;298;34;288;322;119;42;5;76;75;1160;0.438;0.476;0.405;0.893;0.612;0.547;F;gallida01
31;Tobias Harris;6.2;2019-20;27;PHI;72;72;0;2469;553;1173;422;816;131;357;174;216;69;426;495;227;53;40;104;165;1411;0.471;0.517;0.367;0.806;0.556;0.527;F;harrito02
32;Shai Gilgeous-Alexander;6.1;2019-20;21;OKC;70;70;0;2428;478;1015;391;764;87;251;288;357;47;365;412;232;79;47;134;117;1331;0.471;0.512;0.347;0.807;0.568;0.514;G;gilgesh01
33;Joel Embiid;6;2019-20;25;PHI;51;51;1;1506;382;801;325;629;57;172;351;435;141;452;593;152;45;65;159;174;1172;0.477;0.517;0.331;0.807;0.59;0.512;C;embiijo01
34;Kemba Walker;5.9;2019-20;29;BOS;56;56;1;1742;378;889;198;416;180;473;209;242;36;181;217;268;48;28;117;91;1145;0.425;0.476;0.381;0.864;0.575;0.526;G;walkeke02
