Rk;Player;WS;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;James Harden;15.4;2017-18;28;HOU;72;72;1;2551;651;1449;386;727;265;722;624;727;41;348;389;630;126;50;315;169;2191;0.449;0.531;0.367;0.858;0.619;0.541;G;hardeja01
2;Karl-Anthony Towns;14;2017-18;22;MIN;82;82;1;2918;639;1172;519;887;120;285;345;402;238;774;1012;199;64;115;159;285;1743;0.545;0.585;0.421;0.858;0.646;0.596;C-F;townska01
3;LeBron James;14;2017-18;33;CLE;82;82;1;3026;857;1580;708;1174;149;406;388;531;97;612;709;747;116;71;347;136;2251;0.542;0.603;0.367;0.731;0.621;0.59;F-G;jamesle01
4;Anthony Davis;13.7;2017-18;24;NOP;75;75;1;2727;780;1462;725;1300;55;162;495;598;187;645;832;174;115;193;162;159;2110;0.534;0.558;0.34;0.828;0.612;0.552;F-C;davisan02
5;Damian Lillard;12.6;2017-18;27;POR;73;73;1;2670;621;1415;394;786;227;629;493;538;62;263;325;481;77;27;206;117;1962;0.439;0.501;0.361;0.916;0.594;0.519;G;lillada01
6;Giannis Antetokounmpo;11.9;2017-18;23;MIL;75;75;1;2756;742;1402;699;1262;43;140;487;641;156;597;753;361;109;106;223;231;2014;0.529;0.554;0.307;0.76;0.598;0.545;F-G;antetgi01
7;LaMarcus Aldridge;10.9;2017-18;32;SAS;75;75;1;2509;687;1347;660;1255;27;92;334;399;246;389;635;152;43;90;111;161;1735;0.51;0.526;0.293;0.837;0.57;0.52;F-C;aldrila01
8;Nikola Jokić;10.7;2017-18;22;DEN;75;73;0;2443;504;1010;393;730;111;280;266;313;195;608;803;458;90;61;210;212;1385;0.499;0.538;0.396;0.85;0.603;0.554;C-F;jokicni01
9;Kevin Durant;10.4;2017-18;29;GSW;68;68;1;2325;630;1222;457;809;173;413;359;404;31;433;464;366;50;119;207;133;1792;0.516;0.565;0.419;0.889;0.64;0.586;F-G;duranke01
10;Andre Drummond;10.3;2017-18;24;DET;78;78;1;2625;466;881;466;870;0;11;239;395;399;848;1247;237;114;127;200;250;1171;0.529;0.536;0;0.605;0.555;0.529;C;drumman01
11;Clint Capela;10.2;2017-18;23;HOU;74;74;0;2034;441;676;441;675;0;1;144;257;241;561;802;68;58;137;103;185;1026;0.652;0.653;0;0.56;0.65;0.652;C;capelca01
12;Chris Paul;10.2;2017-18;32;HOU;58;58;0;1847;367;798;223;419;144;379;203;221;37;276;313;457;96;14;128;141;1081;0.46;0.532;0.38;0.919;0.604;0.55;G;paulch01
13;Kyle Lowry;10.2;2017-18;31;TOR;78;78;1;2510;403;944;165;348;238;596;223;261;66;368;434;537;85;19;183;192;1267;0.427;0.474;0.399;0.854;0.598;0.553;G;lowryky01
14;Russell Westbrook;10.1;2017-18;29;OKC;80;80;1;2914;757;1687;660;1361;97;326;417;566;152;652;804;820;147;20;381;200;2028;0.449;0.485;0.298;0.737;0.524;0.477;G;westbru01
15;Steven Adams;9.7;2017-18;24;OKC;76;76;0;2487;448;712;448;710;0;2;160;286;384;301;685;88;92;78;128;215;1056;0.629;0.631;0;0.559;0.63;0.629;C;adamsst01
16;DeMar DeRozan;9.6;2017-18;28;TOR;80;80;1;2711;645;1413;556;1126;89;287;461;559;59;256;315;417;85;22;175;151;1840;0.456;0.494;0.31;0.825;0.555;0.488;G-F;derozde01
17;DeAndre Jordan;9.4;2017-18;29;LAC;77;77;0;2424;373;578;373;578;0;0;181;312;329;842;1171;117;39;71;137;203;927;0.645;0.645;;0.58;0.648;0.645;C;jordade01
