Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
Donovan Mitchell,UTA,18/19,104,107,17.2,1.3,31.6,2.2
Reggie Jackson,DET,18/19,111,112,15.2,0.4,24.5,1.4
Jayson Tatum,BOS,18/19,107,107,15.1,-0.2,22.1,1.1
D'Angelo Russell,BRK,18/19,107,110,19.4,3.4,31.9,3.4
Larry Nance Jr.,CLE,18/19,120,112,18.6,2.4,15.5,2.0
Gordon Hayward,BOS,18/19,114,109,15.6,0.8,19.0,1.3
Luka Dončić,DAL,18/19,107,109,19.6,3.9,30.5,3.4
Spencer Dinwiddie,BRK,18/19,114,113,16.3,0.6,24.9,1.3
Patrick Beverley,LAC,18/19,119,111,11.8,0.9,12.2,1.5
Kelly Olynyk,MIA,18/19,114,108,14.4,0.7,18.0,1.2
Tomáš Satoranský,WAS,18/19,121,116,14.1,-0.7,14.1,0.7
Marcus Morris,BOS,18/19,110,109,14.2,-0.9,20.9,0.6
Nemanja Bjelica,SAC,18/19,117,110,15.4,0.9,16.5,1.3
Malik Beasley,DEN,18/19,117,112,14.2,0.1,18.7,1.0
Rudy Gay,SAS,18/19,111,109,17.5,1.4,22.1,1.6
Jae Crowder,UTA,18/19,107,107,12.1,0.3,19.1,1.2
Nerlens Noel,OKC,18/19,122,99,19.3,2.1,13.8,1.1
Draymond Green,GSW,18/19,108,106,12.9,1.4,13.1,1.8
Fred VanVleet,TOR,18/19,114,110,13.7,0.5,17.9,1.1
Delon Wright,MEMTOR,18/19,112,107,15.5,1.5,18.1,1.5
Richaun Holmes,PHO,18/19,127,111,20.7,0.6,17.9,0.8
Terrence Ross,ORL,18/19,108,109,15.4,0.8,23.9,1.5
Andre Iguodala,GSW,18/19,124,109,13.1,1.8,10.4,1.5
Jonas Valančiūnas,MEMTOR,18/19,114,104,24.4,2.7,28.5,1.3
Kentavious Caldwell-Pope,LAL,18/19,113,112,12.9,-0.5,18.1,0.8
Dāvis Bertāns,SAS,18/19,122,112,13.0,1.3,14.1,1.4
Jonathan Isaac,ORL,18/19,107,106,13.0,-0.4,16.3,0.8
Dewayne Dedmon,ATL,18/19,115,109,16.0,0.5,16.7,1.0
Pat Connaughton,MIL,18/19,122,107,13.6,1.2,13.3,1.0
Cody Zeller,CHO,18/19,123,111,17.2,0.1,16.3,0.7
Marvin Williams,CHO,18/19,112,111,12.6,-0.3,14.9,0.9
Bryn Forbes,SAS,18/19,113,114,12.0,-1.2,17.4,0.5
Ricky Rubio,UTA,18/19,105,107,14.0,-0.2,22.7,0.9
Nicolas Batum,CHO,18/19,112,113,11.9,-0.3,13.2,1.0
Ryan Arcidiacono,CHI,18/19,121,115,11.6,-1.9,11.7,0.1
Derrick White,SAS,18/19,111,110,14.8,0.9,17.7,1.3
Jeff Green,WAS,18/19,115,116,13.6,-1.4,17.8,0.3
Marvin Bagley III,SAC,18/19,111,110,18.9,-1.0,24.2,0.4
Harrison Barnes,DALSAC,18/19,108,114,12.8,-1.4,20.9,0.4
Landry Shamet,LACPHI,18/19,120,115,11.0,-1.6,15.0,0.2
Daniel Theis,BOS,18/19,128,107,17.0,0.0,15.8,0.5
Devin Booker,PHO,18/19,109,118,20.2,1.0,32.9,1.7
Dario Šarić,MINPHI,18/19,113,114,13.1,-1.6,17.8,0.2
Cory Joseph,IND,18/19,105,107,11.0,-0.4,13.7,0.9
Maxi Kleber,DAL,18/19,115,109,13.1,0.4,13.5,0.9
Nikola Mirotić,MILNOP,18/19,115,109,17.2,1.5,21.4,1.1
Patty Mills,SAS,18/19,112,114,13.2,-0.3,18.5,0.8
Langston Galloway,DET,18/19,115,113,10.7,-1.5,16.1,0.2
Maurice Harkless,POR,18/19,114,108,13.2,0.7,13.9,1.0
Shai Gilgeous-Alexander,LAC,18/19,108,112,13.4,-0.5,18.3,0.8
Jaren Jackson Jr.,MEM,18/19,108,107,16.4,-0.3,22.8,0.7
Jonas Jerebko,GSW,18/19,120,111,13.5,-0.7,15.2,0.4
Dorian Finney-Smith,DAL,18/19,109,111,11.0,-1.4,14.0,0.3
Royce O'Neale,UTA,18/19,108,106,9.0,-0.5,11.0,0.6
Trae Young,ATL,18/19,107,117,17.0,-0.6,28.4,0.9
Otto Porter Jr.,CHIWAS,18/19,111,112,15.9,0.9,19.1,1.2
Evan Fournier,ORL,18/19,104,111,12.3,-2.4,22.1,-0.3
Noah Vonleh,NYK,18/19,111,111,13.9,-0.7,14.8,0.6
Ivica Zubac,LACLAL,18/19,116,108,18.9,-0.5,20.3,0.4
Terry Rozier,BOS,18/19,106,108,12.9,-0.2,18.6,0.8
Alex Len,ATL,18/19,113,113,17.2,-1.2,22.1,0.3
Tony Snell,MIL,18/19,119,109,10.7,-0.7,12.9,0.4
DeMarre Carroll,BRK,18/19,110,111,12.1,-1.5,18.6,0.2
Kyle Kuzma,LAL,18/19,106,112,14.0,-1.4,23.8,0.4
Jake Layman,POR,18/19,118,112,13.5,-0.5,15.9,0.5
Reggie Bullock,DETLAL,18/19,111,113,10.5,-1.1,15.8,0.4
Ersan İlyasova,MIL,18/19,112,106,11.6,-2.3,15.7,-0.1
Jaylen Brown,BOS,18/19,104,109,13.5,-2.1,22.1,0.0
Torrey Craig,DEN,18/19,114,110,10.4,-1.9,12.4,0.0
Boban Marjanović,LACPHI,18/19,123,107,24.2,3.2,23.3,0.9
Meyers Leonard,POR,18/19,129,111,15.8,1.8,14.8,0.8
Juancho Hernangómez,DEN,18/19,118,110,11.0,-1.1,12.2,0.3
Tyus Jones,MIN,18/19,116,114,13.7,-0.6,14.1,0.6
Derrick Rose,MIN,18/19,114,117,19.5,1.4,27.3,1.2
Zach Collins,POR,18/19,112,110,13.5,-1.2,16.6,0.3
Kenneth Faried,BRKHOU,18/19,125,109,21.6,-0.2,20.3,0.3
Miles Bridges,CHO,18/19,111,112,13.1,-0.8,15.1,0.5
Derrick Jones Jr.,MIA,18/19,113,107,14.0,-0.5,15.6,0.4
Mikal Bridges,PHO,18/19,112,115,10.8,-1.6,12.2,0.3
Justin Jackson,DALSAC,18/19,117,114,11.3,-1.6,14.3,0.2
JaMychal Green,LACMEM,18/19,108,107,14.7,-1.7,19.4,0.1
Doug McDermott,IND,18/19,117,112,11.6,-1.4,16.3,0.2
Dennis Schröder,OKC,18/19,103,110,12.7,-2.0,24.2,0.0
T.J. McConnell,PHI,18/19,110,110,13.4,-0.9,15.0,0.4
Khem Birch,ORL,18/19,134,106,19.2,1.2,14.1,0.5
Gorgui Dieng,MIN,18/19,114,108,18.1,0.6,19.6,0.7
Terrance Ferguson,OKC,18/19,112,112,6.4,-3.8,10.6,-0.9
Zach LaVine,CHI,18/19,106,115,18.7,0.8,30.5,1.5
George Hill,CLEMIL,18/19,114,110,12.1,-1.4,15.1,0.2
Justise Winslow,MIA,18/19,102,108,12.8,-0.6,20.8,0.7
