Player,Team,Season,ORtg,DRtg,PER,BPM,USG%,VORP
Richard Hamilton,DET,08/09,108,112,16.9,0.1,27.0,1.2
Caron Butler,WAS,08/09,108,113,18.8,0.9,25.9,1.9
Wally Szczerbiak,CLE,08/09,116,105,12.1,0.1,15.4,0.8
Kurt Thomas,SAS,08/09,115,101,14.0,-0.3,12.6,0.6
Michael Finley,SAS,08/09,107,107,11.4,-0.4,16.1,1.0
Courtney Lee,ORL,08/09,107,104,10.7,-0.1,15.5,0.9
T.J. Ford,IND,08/09,108,110,16.6,0.3,23.5,1.3
Raymond Felton,CHA,08/09,101,107,13.7,-0.1,21.9,1.4
Mike Miller,MIN,08/09,112,112,13.8,1.1,14.5,1.8
Jeff Foster,IND,08/09,115,108,13.0,-0.6,12.0,0.7
James Posey,NOH,08/09,109,107,10.8,-1.0,15.0,0.6
Jeff Green,OKC,08/09,105,110,13.9,-1.2,21.2,0.6
Chris Duhon,NYK,08/09,110,114,12.2,-1.5,14.9,0.3
Jason Maxiell,DET,08/09,120,108,15.8,-0.6,14.7,0.5
Jarrett Jack,IND,08/09,107,111,13.1,-1.4,18.5,0.4
Kelenna Azubuike,GSW,08/09,114,115,14.7,-0.5,18.7,0.9
Brandon Bass,DAL,08/09,113,108,16.4,-1.5,20.0,0.2
Samuel Dalembert,PHI,08/09,103,103,13.2,-2.1,13.6,0.0
Luc Mbah a Moute,MIL,08/09,106,106,12.3,-0.8,14.3,0.6
Kenyon Martin,DEN,08/09,104,105,13.6,0.3,17.7,1.2
Zaza Pachulia,ATL,08/09,113,106,14.1,-2.6,16.3,-0.2
Andrea Bargnani,TOR,08/09,105,110,14.6,-0.8,22.7,0.7
Al Harrington,GSWNYK,08/09,105,110,15.9,-0.2,25.7,1.2
Marreese Speights,PHI,08/09,115,107,17.9,-1.4,21.9,0.2
Rodney Stuckey,DET,08/09,104,110,14.8,-0.5,23.0,0.9
Maurice Evans,ATL,08/09,115,110,11.1,-0.8,14.2,0.6
Daniel Gibson,CLE,08/09,108,106,10.1,-1.0,16.5,0.4
Peja Stojaković,NOH,08/09,108,109,12.5,-0.7,18.8,0.7
Ben Wallace,CLE,08/09,111,98,12.2,1.6,7.8,1.2
Sasha Vujačić,LAL,08/09,115,104,12.6,0.8,16.0,0.9
Nicolas Batum,POR,08/09,117,107,12.9,1.4,14.0,1.2
Kyle Korver,UTA,08/09,110,109,12.1,0.1,16.9,1.0
Glen Davis,BOS,08/09,106,103,10.7,-2.2,17.1,0.0
Keyon Dooling,NJN,08/09,112,113,13.6,-0.5,17.4,0.7
Linas Kleiza,DEN,08/09,110,110,13.2,-1.5,20.0,0.2
Kyle Lowry,HOUMEM,08/09,109,108,14.4,0.2,18.1,0.9
Aaron Brooks,HOU,08/09,105,108,12.9,-0.9,22.9,0.6
Raja Bell,CHAPHO,08/09,109,111,10.7,-1.3,16.3,0.4
Ronny Turiaf,GSW,08/09,116,110,14.5,1.2,12.4,1.4
Anthony Parker,TOR,08/09,105,111,12.1,-0.7,16.3,0.8
Luke Ridnour,MIL,08/09,105,108,12.9,0.0,18.0,1.0
Bobby Simmons,NJN,08/09,116,112,12.0,0.0,14.3,0.8
Tyson Chandler,NOH,08/09,113,107,13.4,-2.5,13.7,-0.2
Lou Williams,PHI,08/09,105,109,16.3,0.6,27.7,1.3
Michael Beasley,MIA,08/09,103,108,17.2,-1.7,27.7,0.1
O.J. Mayo,MEM,08/09,103,112,14.2,-1.3,24.5,0.6
Marcin Gortat,ORL,08/09,121,97,17.0,1.1,13.5,0.6
Jamal Crawford,GSWNYK,08/09,110,117,15.1,-1.3,22.8,0.5
Corey Maggette,GSW,08/09,112,114,16.9,-2.0,25.2,0.0
Rudy Gay,MEM,08/09,101,110,15.3,-1.1,25.6,0.7
C.J. Watson,GSW,08/09,114,114,14.2,-0.5,16.8,0.7
Michael Redd,MIL,08/09,114,111,17.9,2.2,25.0,1.3
Josh Howard,DAL,08/09,106,109,17.0,0.0,26.7,0.8
Craig Smith,MIN,08/09,112,112,16.9,-0.6,22.5,0.5
Ronald Murray,ATL,08/09,104,109,14.7,-0.5,24.3,0.8
Randy Foye,MIN,08/09,106,113,13.7,-0.8,22.6,0.8
Wilson Chandler,NYK,08/09,103,110,12.9,-1.0,20.5,0.7
Anthony Morrow,GSW,08/09,119,117,14.7,-0.2,17.7,0.7
Zach Randolph,LACNYK,08/09,105,110,19.7,0.1,28.1,0.9
Mickaël Piétrus,ORL,08/09,106,104,11.6,0.3,18.4,0.8
James Singleton,DAL,08/09,122,106,16.4,-0.5,15.1,0.3
Matt Barnes,PHO,08/09,107,111,12.6,-0.4,18.3,0.8
Luol Deng,CHI,08/09,106,109,14.7,-0.4,20.0,0.7
C.J. Miles,UTA,08/09,109,110,11.8,-1.6,18.4,0.2
Allen Iverson,DENDET,08/09,103,109,15.8,0.2,25.7,1.1
Tony Battie,ORL,08/09,106,102,11.9,-1.6,15.6,0.1
Andrés Nocioni,CHISAC,08/09,106,111,12.2,-1.9,20.1,0.0
Anthony Johnson,ORL,08/09,104,105,10.3,-0.8,15.5,0.4
Jared Dudley,CHAPHO,08/09,116,109,13.5,0.2,14.6,0.7
Jason Thompson,SAC,08/09,106,114,13.9,-4.2,19.3,-1.3
Joe Smith,CLEOKC,08/09,112,107,13.8,-1.2,16.2,0.2
Amir Johnson,DET,08/09,120,105,13.5,-1.4,11.1,0.1
Drew Gooden,CHISACSAS,08/09,106,106,16.3,-1.8,23.5,0.1
Tracy McGrady,HOU,08/09,105,104,16.3,2.3,24.5,1.3
Renaldo Balkman,DEN,08/09,118,103,16.8,1.4,14.9,0.7
Von Wafer,HOU,08/09,106,106,14.7,0.2,23.6,0.7
Andrew Bogut,MIL,08/09,107,105,16.2,1.3,17.8,1.0
Carlos Boozer,UTA,08/09,105,105,17.2,-0.6,24.4,0.4
Kirk Hinrich,CHI,08/09,108,109,13.9,0.9,18.1,1.0
Jermaine O'Neal,MIATOR,08/09,100,107,15.4,-1.5,23.2,0.3
Keith Bogans,MILORL,08/09,106,105,9.7,-0.4,14.0,0.5
Ryan Gomes,MIN,08/09,104,113,12.5,-1.7,20.4,0.2
Ryan Anderson,NJN,08/09,108,109,13.6,-1.1,18.6,0.3
Darius Songaila,WAS,08/09,111,113,13.9,-2.0,17.1,0.0
Francisco García,SAC,08/09,107,114,14.1,-0.3,19.4,0.8
Willie Green,PHI,08/09,105,112,11.1,-2.1,18.9,0.0
JJ Redick,ORL,08/09,107,106,9.9,-1.0,16.4,0.3
Chris Paul,NOH,07/08,125,103,28.3,10.4,25.7,9.3
LeBron James,CLE,07/08,116,104,29.1,10.9,33.5,9.8
Amar'e Stoudemire,PHO,07/08,124,104,27.6,4.8,28.2,4.6
Kobe Bryant,LAL,07/08,115,105,24.2,5.8,31.4,6.3
Chauncey Billups,DET,07/08,127,105,23.6,7.7,23.0,6.2
Dwight Howard,ORL,07/08,113,99,22.9,2.8,24.2,3.7
Dirk Nowitzki,DAL,07/08,118,104,24.6,6.6,28.8,6.0
Kevin Garnett,BOS,07/08,118,94,25.3,8.2,25.5,6.0
Paul Pierce,BOS,07/08,115,100,19.6,4.8,24.8,5.0
Allen Iverson,DEN,07/08,115,109,20.9,2.7,26.7,4.0
Deron Williams,UTA,07/08,118,110,20.8,3.8,23.1,4.5
Manu Ginóbili,SAS,07/08,116,100,24.3,8.3,28.7,6.0
Tim Duncan,SAS,07/08,110,97,24.4,5.2,28.2,4.8
Steve Nash,PHO,07/08,121,112,21.1,3.9,22.0,4.2
José Calderón,TOR,07/08,127,109,20.5,4.5,16.8,4.1
Carlos Boozer,UTA,07/08,112,103,21.9,2.8,26.6,3.5
Chris Bosh,TOR,07/08,117,105,23.8,4.4,27.7,3.9
Tyson Chandler,NOH,07/08,122,104,17.5,0.4,14.5,1.7
Rashard Lewis,ORL,07/08,115,106,16.7,3.1,20.7,4.0
Ray Allen,BOS,07/08,116,103,16.4,3.0,21.6,3.3
Lamar Odom,LAL,07/08,116,104,16.9,2.3,16.5,3.2
Andre Iguodala,PHI,07/08,110,105,19.0,4.0,23.8,4.9
Antawn Jamison,WAS,07/08,112,107,20.3,1.7,25.9,2.9
Hedo Türkoğlu,ORL,07/08,111,107,17.8,2.7,24.8,3.6
Monta Ellis,GSW,07/08,117,111,19.0,1.6,21.7,2.8
Baron Davis,GSW,07/08,111,109,19.8,3.6,25.6,4.5
Jason Terry,DAL,07/08,118,108,17.8,3.1,21.7,3.3
Mike Dunleavy,IND,07/08,115,109,17.3,1.7,21.8,2.8
Marcus Camby,DEN,07/08,110,98,17.2,3.4,13.0,3.8
Pau Gasol,LALMEM,07/08,119,109,21.6,3.4,22.1,3.2
Kevin Martin,SAC,07/08,121,112,21.0,2.4,26.2,2.4
David West,NOH,07/08,109,104,19.9,1.5,26.3,2.6
Yao Ming,HOU,07/08,112,99,22.5,3.4,27.1,2.8
Andre Miller,PHI,07/08,112,109,18.4,1.8,22.6,2.9
Carmelo Anthony,DEN,07/08,109,107,21.1,1.6,30.2,2.5
Shane Battier,HOU,07/08,117,103,11.7,2.0,11.7,2.9
Peja Stojaković,NOH,07/08,119,109,15.7,1.7,19.7,2.5
Josh Howard,DAL,07/08,111,106,18.3,1.2,25.9,2.2
Andris Biedriņš,GSW,07/08,127,106,19.2,1.1,14.4,1.6
Brandon Roy,POR,07/08,113,110,19.4,3.3,24.9,3.6
Ronnie Brewer,UTA,07/08,124,106,18.4,3.8,17.5,3.1
Vince Carter,NJN,07/08,111,110,18.8,2.4,25.6,3.3
Al Jefferson,MIN,07/08,109,108,22.7,1.6,27.5,2.6
Richard Hamilton,DET,07/08,113,106,18.2,2.3,24.5,2.6
Richard Jefferson,NJN,07/08,112,112,17.4,0.3,26.1,1.8
Rasheed Wallace,DET,07/08,108,98,17.2,4.1,20.5,3.6
Josh Childress,ATL,07/08,127,110,17.8,2.0,15.8,2.3
Tayshaun Prince,DET,07/08,112,106,15.6,1.6,19.9,2.5
Jason Richardson,CHA,07/08,109,109,18.4,3.0,25.9,4.0
David Lee,NYK,07/08,123,110,18.0,0.4,15.6,1.4
Shawn Marion,MIAPHO,07/08,113,102,19.2,3.3,18.5,3.1
Danny Granger,IND,07/08,110,107,16.7,1.4,23.2,2.5
Caron Butler,WAS,07/08,113,107,20.7,4.1,24.0,3.5
Rajon Rondo,BOS,07/08,107,98,15.6,2.1,18.9,2.4
Andrei Kirilenko,UTA,07/08,118,105,17.2,5.2,16.1,4.0
Tony Parker,SAS,07/08,109,105,20.0,2.4,28.2,2.6
Joe Johnson,ATL,07/08,109,112,17.3,1.2,25.6,2.7
Corey Maggette,LAC,07/08,112,110,19.3,1.9,27.6,2.4
Samuel Dalembert,PHI,07/08,109,103,15.6,-1.0,15.4,0.7
Brendan Haywood,WAS,07/08,119,109,18.3,-0.2,17.3,1.0
Antonio McDyess,DET,07/08,110,100,14.1,-0.5,15.3,0.9
Mehmet Okur,UTA,07/08,114,107,15.2,0.8,19.6,1.7
Brad Miller,SAC,07/08,112,107,16.8,1.7,18.3,2.3
Luis Scola,HOU,07/08,111,101,16.1,0.0,19.8,1.0
Jeff Foster,IND,07/08,126,105,15.7,0.5,11.5,1.2
Jason Maxiell,DET,07/08,117,103,16.7,-0.1,17.0,0.8
LaMarcus Aldridge,POR,07/08,108,107,18.5,0.2,25.3,1.5
Anthony Parker,TOR,07/08,113,108,14.4,0.9,17.4,1.9
James Posey,BOS,07/08,114,98,12.0,2.5,13.5,2.1
Troy Murphy,IND,07/08,115,106,16.0,1.2,18.4,1.7
Kendrick Perkins,BOS,07/08,110,97,13.3,0.5,13.5,1.2
Fabricio Oberto,SAS,07/08,125,101,13.8,0.4,10.9,1.0
Zydrunas Ilgauskas,CLE,07/08,108,104,18.7,-0.4,22.9,0.9
Erick Dampier,DAL,07/08,123,103,15.3,1.1,11.2,1.4
Grant Hill,PHO,07/08,115,108,15.7,1.4,18.0,1.9
Jason Kidd,DALNJN,07/08,104,105,16.7,3.0,17.9,3.6
Tracy McGrady,HOU,07/08,104,103,18.4,2.9,30.4,3.1
Michael Redd,MIL,07/08,112,115,18.8,1.5,27.3,2.4
Emeka Okafor,CHA,07/08,106,105,17.4,-1.1,20.0,0.6
Josh Smith,ATL,07/08,102,103,19.0,3.0,25.0,3.7
Marvin Williams,ATL,07/08,110,110,14.5,-1.4,20.1,0.4
Derek Fisher,LAL,07/08,114,109,13.8,-0.4,18.6,0.9
Jamario Moon,TOR,07/08,110,102,15.0,1.9,14.4,2.2
Devin Harris,DALNJN,07/08,112,108,17.5,1.0,22.6,1.5
Jameer Nelson,ORL,07/08,113,107,15.5,1.2,19.0,1.6
Leandro Barbosa,PHO,07/08,111,111,15.8,0.2,22.8,1.4
Al Horford,ATL,07/08,108,106,14.7,-1.6,16.0,0.3
Al Harrington,GSW,07/08,113,110,15.6,0.2,21.1,1.2
Paul Millsap,UTA,07/08,112,103,16.1,-0.2,18.1,0.8
Ben Gordon,CHI,07/08,110,111,16.4,0.9,26.0,1.7
Jamal Crawford,NYK,07/08,109,115,16.0,0.3,24.6,1.9
Mike Miller,MEM,07/08,112,112,16.1,1.1,19.8,2.0
Rudy Gay,MEM,07/08,106,110,17.4,0.8,25.0,2.1
Kenyon Martin,DEN,07/08,108,104,14.7,-0.8,17.4,0.6
Rafer Alston,HOU,07/08,102,103,13.2,0.5,20.7,1.6
Keith Bogans,ORL,07/08,113,107,10.9,0.6,14.4,1.4
Maurice Evans,LALORL,07/08,118,108,13.9,1.0,16.5,1.3
Ryan Gomes,MIN,07/08,112,112,15.7,-0.1,19.5,1.1
Andrew Bogut,MIL,07/08,107,109,17.5,0.0,20.2,1.4
Andrew Bynum,LAL,07/08,127,101,22.6,4.2,17.5,1.6
Linas Kleiza,DEN,07/08,114,109,14.4,-0.9,18.9,0.5
Metta World Peace,SAC,07/08,106,108,18.8,2.8,25.5,2.6
Gerald Wallace,CHA,07/08,104,106,17.5,2.1,24.6,2.5
Stephen Jackson,GSW,07/08,107,112,14.9,-0.2,23.1,1.3
Mikki Moore,SAC,07/08,116,111,11.5,-2.4,12.7,-0.3
Mo Williams,MIL,07/08,111,114,17.0,0.3,22.1,1.4
Nick Collison,SEA,07/08,109,107,15.0,-1.4,16.2,0.3
Thaddeus Young,PHI,07/08,115,106,16.5,0.5,17.4,1.0
Raja Bell,PHO,07/08,113,111,10.5,-0.8,14.5,0.8
Antonio Daniels,WAS,07/08,117,112,13.7,-0.8,13.5,0.7
Chuck Hayes,HOU,07/08,107,97,11.2,0.8,8.5,1.1
Lou Williams,PHI,07/08,108,108,16.7,1.4,24.3,1.6
Bruce Bowen,SAS,07/08,106,105,7.0,-1.4,9.9,0.4
Luol Deng,CHI,07/08,107,109,17.0,0.1,23.6,1.1
Leon Powe,BOS,07/08,124,100,20.9,0.2,22.8,0.5
Brandon Bass,DAL,07/08,112,106,15.9,-0.4,19.8,0.6
Joel Przybilla,POR,07/08,111,104,12.3,-1.7,10.4,0.1
Francisco García,SAC,07/08,108,109,15.1,0.8,20.7,1.5
Kyle Korver,PHIUTA,07/08,114,109,12.8,0.3,18.3,1.0
Ronny Turiaf,LAL,07/08,112,104,15.0,0.7,16.7,1.0
Michael Finley,SAS,07/08,105,105,11.4,-0.6,18.5,0.8
Joe Smith,CHICLE,07/08,110,108,16.1,-1.1,21.0,0.4
DeShawn Stevenson,WAS,07/08,111,113,12.6,-0.2,17.4,1.2
Eduardo Nájera,DEN,07/08,116,106,12.1,0.2,11.9,0.9
Daniel Gibson,CLE,07/08,116,110,11.7,-0.4,15.1,0.7
Kurt Thomas,SASSEA,07/08,109,102,14.2,0.1,13.5,0.9
Carlos Delfino,TOR,07/08,107,106,13.6,0.4,19.0,1.2
Jordan Farmar,LAL,07/08,109,107,15.4,1.3,20.2,1.4
Eddie House,BOS,07/08,105,100,13.0,1.8,19.6,1.4
Rasho Nesterović,TOR,07/08,114,107,16.1,0.0,17.4,0.7
Joakim Noah,CHI,07/08,109,104,15.5,-0.2,15.6,0.7
Steve Blake,POR,07/08,109,112,12.0,-0.5,15.3,0.9
Morris Peterson,NOH,07/08,112,108,11.2,-0.3,15.4,0.8
Anthony Carter,DEN,07/08,108,107,12.8,-0.1,13.8,1.0
J.R. Smith,DEN,07/08,111,109,18.1,2.6,25.8,1.6
Carl Landry,HOU,07/08,130,102,21.4,1.5,18.8,0.6
James Jones,POR,07/08,126,111,13.6,1.3,14.8,1.1
John Salmons,SAC,07/08,106,110,13.9,-0.6,19.2,0.9
Josh Boone,NJN,07/08,110,108,14.8,-1.8,15.4,0.1
Keyon Dooling,ORL,07/08,115,108,14.1,-0.6,19.6,0.5
Sasha Vujačić,LAL,07/08,116,108,15.1,1.2,19.8,1.0
Ben Wallace,CHICLE,07/08,100,103,12.0,0.2,10.0,1.2
Chris Kaman,LAC,07/08,100,103,17.5,0.3,21.7,1.2
Kirk Hinrich,CHI,07/08,104,109,13.1,-0.8,18.9,0.7
Craig Smith,MIN,07/08,113,111,16.7,-1.3,20.6,0.3
Martell Webster,POR,07/08,107,110,12.0,-0.2,18.0,1.0
Vladimir Radmanović,LAL,07/08,113,108,12.6,0.2,16.0,0.8
Luther Head,HOU,07/08,108,104,13.6,0.8,19.3,1.0
Roger Mason,WAS,07/08,114,113,13.8,0.0,18.9,0.9
Kyle Lowry,MEM,07/08,108,111,14.3,-0.9,18.6,0.6
Kelenna Azubuike,GSW,07/08,112,111,13.5,-0.8,17.2,0.5
Chris Wilcox,SEA,07/08,107,108,16.3,-1.0,21.2,0.4
Nazr Mohammed,CHADET,07/08,106,106,15.8,-2.3,19.5,-0.1
Raymond Felton,CHA,07/08,104,112,13.8,-2.1,20.8,-0.1
Dwyane Wade,MIA,07/08,103,110,21.5,2.9,33.1,2.3
Drew Gooden,CHICLE,07/08,101,105,13.8,-2.8,20.3,-0.4
Hakim Warrick,MEM,07/08,110,112,16.2,-1.9,21.6,0.0
T.J. Ford,TOR,07/08,109,108,20.3,2.5,26.8,1.4
Andrés Nocioni,CHI,07/08,104,109,13.6,-0.8,24.5,0.6
Nate Robinson,NYK,07/08,109,113,15.3,0.0,23.1,1.0
Travis Outlaw,POR,07/08,102,107,15.7,-0.3,26.0,1.0
Channing Frye,POR,07/08,109,106,14.8,-1.8,19.6,0.1
Jarrett Jack,POR,07/08,105,110,13.0,-1.2,19.3,0.5
Luke Walton,LAL,07/08,106,107,12.3,-0.3,16.0,0.7
DeSagana Diop,DALNJN,07/08,111,103,12.5,-0.6,9.6,0.5
Bobby Jackson,HOUNOH,07/08,107,106,13.5,0.6,20.0,0.9
Boris Diaw,PHO,07/08,103,109,12.0,-0.8,16.6,0.7
Amir Johnson,DET,07/08,115,95,17.5,1.3,14.1,0.6
Damon Jones,CLE,07/08,121,112,11.3,-0.4,14.0,0.5
Bonzi Wells,HOUNOH,07/08,99,100,14.4,-0.3,22.7,0.7
Andray Blatche,WAS,07/08,103,105,15.5,-1.7,19.7,0.1
Matt Carroll,CHA,07/08,110,112,10.7,-2.0,16.1,0.0
Zach Randolph,NYK,07/08,101,109,18.0,-0.6,27.4,0.8
Jared Dudley,CHA,07/08,112,109,13.6,-0.7,14.9,0.4
Jarvis Hayes,DET,07/08,105,104,13.0,-0.6,21.1,0.5
Earl Watson,SEA,07/08,105,112,14.6,-0.9,18.8,0.6
Wally Szczerbiak,CLESEA,07/08,108,112,13.9,-0.5,22.1,0.7
Mickaël Piétrus,GSW,07/08,111,107,12.7,-0.2,15.3,0.6
Shaquille O'Neal,MIAPHO,07/08,101,105,17.1,-1.1,23.5,0.4
Carlos Arroyo,ORL,07/08,111,109,12.8,-0.9,17.0,0.3
Ime Udoka,SAS,07/08,101,100,11.5,0.2,16.7,0.7
Matt Harpring,UTA,07/08,107,108,14.1,-1.9,21.5,0.0
Reggie Evans,PHI,07/08,97,103,11.0,-3.0,13.6,-0.5
Tony Allen,BOS,07/08,98,99,10.7,-1.7,19.6,0.1
Chris Quinn,MIA,07/08,113,112,13.8,-0.5,16.6,0.5
Glen Davis,BOS,07/08,105,99,11.3,-3.0,17.4,-0.2
Udonis Haslem,MIA,07/08,104,109,12.7,-2.7,16.7,-0.3
Travis Diener,IND,07/08,111,111,12.2,-1.4,16.5,0.2
Sean Williams,NJN,07/08,105,105,13.9,-2.2,15.5,-0.1
Tyrus Thomas,CHI,07/08,101,103,14.6,-0.6,19.7,0.5
Marko Jarić,MIN,07/08,104,111,12.1,-0.9,15.0,0.6
Beno Udrih,SAC,07/08,105,113,13.3,-1.4,19.8,0.3
Devin Brown,CLE,07/08,102,108,11.3,-2.1,17.8,-0.1
Anderson Varejão,CLE,07/08,103,104,12.0,-2.6,13.4,-0.2
Brent Barry,SAS,07/08,128,104,16.7,3.6,16.1,0.8
Chris Duhon,CHI,07/08,109,111,11.1,-1.7,13.4,0.1
Dikembe Mutombo,HOU,07/08,124,97,14.5,1.3,8.6,0.5
Kevin Durant,SEA,07/08,100,110,15.8,-0.1,28.1,1.3
Jerry Stackhouse,DAL,07/08,105,110,13.3,-0.8,22.4,0.4
Matt Barnes,GSW,07/08,105,108,12.9,-0.2,16.7,0.6
Stephen Curry,GSW,15/16,125,103,31.5,11.9,32.6,9.5
Kevin Durant,OKC,15/16,122,104,28.2,9.9,30.6,7.8
Russell Westbrook,OKC,15/16,115,103,27.6,7.8,31.6,6.8
Kawhi Leonard,SAS,15/16,121,96,26.0,9.1,25.8,6.7
LeBron James,CLE,15/16,116,103,27.5,9.0,31.4,7.5
James Harden,HOU,15/16,115,108,25.3,6.6,32.5,6.8
Chris Paul,LAC,15/16,119,103,26.2,7.9,27.1,6.0
Kyle Lowry,TOR,15/16,115,104,22.2,5.8,26.1,5.7
DeAndre Jordan,LAC,15/16,122,98,20.6,2.8,15.4,3.2
Draymond Green,GSW,15/16,115,100,19.3,5.5,18.8,5.3
Hassan Whiteside,MIA,15/16,117,95,25.6,4.1,20.7,3.3
LaMarcus Aldridge,SAS,15/16,114,99,22.4,2.3,25.9,2.5
Paul Millsap,ATL,15/16,108,96,21.3,4.2,24.3,4.1
Kemba Walker,CHO,15/16,112,105,20.8,4.0,26.5,4.3
DeMar DeRozan,TOR,15/16,113,108,21.5,2.5,29.8,3.2
Isaiah Thomas,BOS,15/16,113,107,21.5,4.3,29.6,4.2
Al Horford,ATL,15/16,113,101,19.4,3.8,20.6,3.9
Paul George,IND,15/16,106,101,20.9,4.9,30.4,4.9
Damian Lillard,POR,15/16,113,110,22.2,4.4,31.3,4.3
Jimmy Butler,CHI,15/16,116,106,21.3,4.4,24.4,3.9
Gordon Hayward,UTA,15/16,110,105,18.3,2.6,25.7,3.3
Tristan Thompson,CLE,15/16,130,104,15.9,0.2,11.7,1.2
Kevin Love,CLE,15/16,112,102,19.0,3.3,23.4,3.3
Karl-Anthony Towns,MIN,15/16,112,106,22.5,2.2,24.9,2.7
Enes Freedom,OKC,15/16,123,105,24.0,1.2,23.4,1.4
Klay Thompson,GSW,15/16,112,107,18.6,1.8,26.3,2.5
Marvin Williams,CHO,15/16,118,104,16.9,2.7,16.8,2.7
Greg Monroe,MIL,15/16,113,106,21.8,2.1,23.5,2.4
Andre Drummond,DET,15/16,103,98,21.2,1.1,24.1,2.0
Jae Crowder,BOS,15/16,113,102,15.8,2.2,18.5,2.5
Marcin Gortat,WAS,15/16,114,104,19.0,0.6,18.9,1.5
Anthony Davis,NOP,15/16,110,104,25.0,3.9,29.6,3.2
Derrick Favors,UTA,15/16,111,101,21.6,3.3,23.9,2.6
Pau Gasol,CHI,15/16,107,101,21.7,4.9,24.6,4.0
Giannis Antetokounmpo,MIL,15/16,109,106,18.8,2.1,22.3,2.9
Reggie Jackson,DET,15/16,109,108,19.6,2.7,29.1,2.8
Jonas Valančiūnas,TOR,15/16,120,102,22.6,1.7,20.9,1.4
Dirk Nowitzki,DAL,15/16,110,106,19.0,2.5,25.5,2.7
Ed Davis,POR,15/16,128,104,18.7,1.9,12.7,1.6
JJ Redick,LAC,15/16,118,109,17.5,2.2,22.6,2.2
Nikola Jokić,DEN,15/16,118,104,21.5,3.9,19.9,2.6
Tobias Harris,DETORL,15/16,112,107,16.2,1.5,19.3,2.2
Dwight Howard,HOU,15/16,111,104,18.9,0.1,18.4,1.2
Steven Adams,OKC,15/16,123,105,15.5,0.2,12.6,1.1
Rudy Gobert,UTA,15/16,112,99,17.5,2.2,14.2,2.0
Luol Deng,MIA,15/16,112,105,15.0,0.8,17.4,1.7
Chris Bosh,MIA,15/16,114,104,20.2,4.0,24.7,2.7
Carmelo Anthony,NYK,15/16,107,107,20.3,3.3,29.7,3.4
Danilo Gallinari,DEN,15/16,120,111,19.0,2.7,23.0,2.2
Cody Zeller,CHO,15/16,119,102,16.1,-0.1,15.4,0.9
George Hill,IND,15/16,112,106,13.2,0.7,15.8,1.7
Ian Mahinmi,IND,15/16,114,100,16.6,0.9,15.7,1.4
Brook Lopez,BRK,15/16,109,109,21.7,1.3,27.3,2.1
Khris Middleton,MIL,15/16,109,110,16.8,0.6,23.0,1.9
Mason Plumlee,POR,15/16,112,104,17.2,1.5,17.1,1.9
CJ McCollum,POR,15/16,108,110,17.7,1.3,27.1,2.3
Zaza Pachulia,DAL,15/16,113,104,16.2,-0.2,16.2,0.9
Rodney Hood,UTA,15/16,109,107,14.1,0.7,21.5,1.7
Amir Johnson,BOS,15/16,117,102,16.0,1.2,13.6,1.4
Bismack Biyombo,TOR,15/16,118,101,14.9,-0.2,11.5,0.8
Jeff Teague,ATL,15/16,105,104,17.9,1.3,26.6,1.9
Gorgui Dieng,MIN,15/16,113,106,17.1,0.8,16.7,1.5
Tony Parker,SAS,15/16,109,103,16.2,0.4,21.2,1.2
Robin Lopez,NYK,15/16,113,107,17.6,-0.2,17.7,1.0
Ricky Rubio,MIN,15/16,110,107,17.6,1.8,17.7,2.3
John Wall,WAS,15/16,102,104,19.8,3.5,28.6,3.9
DeMarcus Cousins,SAC,15/16,103,103,23.6,3.3,35.4,3.0
Evan Fournier,ORL,15/16,111,110,14.6,-0.3,20.1,1.1
Otto Porter Jr.,WAS,15/16,112,105,14.5,1.1,16.2,1.8
Kenneth Faried,DEN,15/16,116,107,21.0,0.3,21.0,1.0
Serge Ibaka,OKC,15/16,108,105,13.9,-0.6,17.6,0.8
J.R. Smith,CLE,15/16,110,106,12.4,0.5,18.0,1.5
Andrew Bogut,GSW,15/16,120,99,15.9,2.4,11.4,1.6
Marcus Morris,DET,15/16,107,108,12.7,-0.2,18.4,1.3
Aaron Gordon,ORL,15/16,114,105,17.0,1.0,17.3,1.4
David West,SAS,15/16,114,98,17.6,2.9,18.0,1.7
Trevor Ariza,HOU,15/16,110,108,12.9,0.4,15.7,1.7
Taj Gibson,CHI,15/16,115,106,15.7,0.0,14.6,1.0
Kentavious Caldwell-Pope,DET,15/16,107,107,12.4,-0.3,18.2,1.2
Mike Conley,MEM,15/16,115,110,19.4,3.0,22.4,2.2
Darren Collison,SAC,15/16,115,112,15.9,0.1,19.2,1.2
Tim Duncan,SAS,15/16,107,96,16.9,3.0,17.6,2.0
Nikola Vučević,ORL,15/16,106,105,21.1,1.9,26.8,2.0
Kyrie Irving,CLE,15/16,109,106,19.9,2.3,29.5,1.8
Nicolas Batum,CHO,15/16,104,105,15.6,1.2,21.4,2.0
Harrison Barnes,GSW,15/16,114,107,12.3,-1.3,15.9,0.3
Dwyane Wade,MIA,15/16,103,106,20.3,1.9,31.6,2.2
Victor Oladipo,ORL,15/16,105,106,16.7,1.7,22.9,2.3
Patty Mills,SAS,15/16,109,102,14.6,1.5,19.7,1.5
Jared Sullinger,BOS,15/16,103,100,16.7,0.6,21.8,1.3
Avery Bradley,BOS,15/16,105,106,13.2,-0.1,19.8,1.2
