Player,Team,Season,PPG,RPG,APG,WS
Marcus Morris,BOS,18/19,13.9,6.1,1.5,4.5
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,4.5
Malik Beasley,DEN,18/19,11.3,2.5,1.2,4.5
Rudy Gay,SAS,18/19,13.7,6.8,2.6,4.4
Jae Crowder,UTA,18/19,11.9,4.8,1.7,4.4
Nerlens Noel,OKC,18/19,4.9,4.2,0.6,4.3
Draymond Green,GSW,18/19,7.4,7.3,6.9,4.3
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,4.3
Delon Wright,MEMTOR,18/19,8.7,3.5,3.3,4.3
Richaun Holmes,PHO,18/19,8.2,4.7,0.9,4.3
Terrence Ross,ORL,18/19,15.1,3.5,1.7,4.3
Andre Iguodala,GSW,18/19,5.7,3.7,3.2,4.2
Jonas Valančiūnas,MEMTOR,18/19,15.6,8.6,1.4,4.2
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,4.0
Dāvis Bertāns,SAS,18/19,8.0,3.5,1.3,4.0
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,4.0
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,4.0
Pat Connaughton,MIL,18/19,6.9,4.2,2.0,3.9
Cody Zeller,CHO,18/19,10.1,6.8,2.1,3.9
Marvin Williams,CHO,18/19,10.1,5.4,1.2,3.8
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,3.8
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,3.7
Nicolas Batum,CHO,18/19,9.3,5.2,3.3,3.7
Ryan Arcidiacono,CHI,18/19,6.7,2.7,3.3,3.7
Derrick White,SAS,18/19,9.9,3.7,3.9,3.6
Jeff Green,WAS,18/19,12.3,4.0,1.8,3.6
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,3.6
Harrison Barnes,DALSAC,18/19,16.4,4.7,1.5,3.6
Landry Shamet,LACPHI,18/19,9.1,1.7,1.5,3.6
Daniel Theis,BOS,18/19,5.7,3.4,1.0,3.5
Devin Booker,PHO,18/19,26.6,4.1,6.8,3.5
Dario Šarić,MINPHI,18/19,10.6,5.6,1.6,3.5
Cory Joseph,IND,18/19,6.5,3.4,3.9,3.5
Maxi Kleber,DAL,18/19,6.8,4.6,1.0,3.5
Nikola Mirotić,MILNOP,18/19,15.2,7.4,1.2,3.5
Patty Mills,SAS,18/19,9.9,2.2,3.0,3.5
Langston Galloway,DET,18/19,8.4,2.1,1.1,3.4
Maurice Harkless,POR,18/19,7.7,4.5,1.2,3.4
Shai Gilgeous-Alexander,LAC,18/19,10.8,2.8,3.3,3.3
Jaren Jackson Jr.,MEM,18/19,13.8,4.7,1.1,3.3
Jonas Jerebko,GSW,18/19,6.3,3.9,1.3,3.3
Dorian Finney-Smith,DAL,18/19,7.5,4.8,1.2,3.3
Royce O'Neale,UTA,18/19,5.2,3.5,1.5,3.3
Trae Young,ATL,18/19,19.1,3.7,8.1,3.3
Otto Porter Jr.,CHIWAS,18/19,13.9,5.6,2.1,3.2
Evan Fournier,ORL,18/19,15.1,3.2,3.6,3.2
Noah Vonleh,NYK,18/19,8.4,7.8,1.9,3.2
Ivica Zubac,LACLAL,18/19,8.9,6.1,1.1,3.2
Terry Rozier,BOS,18/19,9.0,3.9,2.9,3.2
Alex Len,ATL,18/19,11.1,5.5,1.1,3.2
Tony Snell,MIL,18/19,6.0,2.1,0.9,3.2
DeMarre Carroll,BRK,18/19,11.1,5.2,1.3,3.1
Kyle Kuzma,LAL,18/19,18.7,5.5,2.5,3.1
Jake Layman,POR,18/19,7.6,3.1,0.7,3.1
Reggie Bullock,DETLAL,18/19,11.3,2.7,2.0,3.1
Ersan İlyasova,MIL,18/19,6.8,4.5,0.8,3.0
Jaylen Brown,BOS,18/19,13.0,4.2,1.4,3.0
Torrey Craig,DEN,18/19,5.7,3.5,1.0,3.0
