Player,Team,Season,PPG,RPG,APG,WS
Kevin Garnett,BOS,10/11,14.9,8.9,2.4,9.0
Tony Parker,SAS,10/11,17.5,3.1,6.6,8.2
Chauncey Billups,DENNYK,10/11,16.8,2.6,5.4,8.0
Amar'e Stoudemire,NYK,10/11,25.3,8.2,2.6,8.0
Steve Nash,PHO,10/11,14.7,3.5,11.4,7.9
Carmelo Anthony,DENNYK,10/11,25.6,7.3,2.9,7.9
Marc Gasol,MEM,10/11,11.7,7.0,2.5,7.9
Al Jefferson,UTA,10/11,18.6,9.7,1.8,7.8
David West,NOH,10/11,18.9,7.6,2.3,7.8
Paul Millsap,UTA,10/11,17.3,7.6,2.5,7.7
Tim Duncan,SAS,10/11,13.4,8.9,2.7,7.7
Serge Ibaka,OKC,10/11,9.9,7.6,0.3,7.6
Deron Williams,NJNUTA,10/11,20.1,4.0,10.3,7.3
Wesley Matthews,POR,10/11,15.9,3.1,2.0,7.2
Beno Udrih,SAC,10/11,13.7,3.4,4.9,7.2
James Harden,OKC,10/11,12.2,3.1,2.1,7.1
Andre Miller,POR,10/11,12.7,3.7,7.0,7.0
Kyle Lowry,HOU,10/11,13.5,4.1,6.7,7.0
Jason Richardson,ORLPHO,10/11,15.6,4.1,1.8,6.9
Danny Granger,IND,10/11,20.5,5.4,2.6,6.9
Hedo Türkoğlu,ORLPHO,10/11,10.8,4.4,4.2,6.8
Joakim Noah,CHI,10/11,11.7,10.4,2.2,6.7
Andre Iguodala,PHI,10/11,14.1,5.8,6.3,6.7
Ty Lawson,DEN,10/11,11.7,2.6,4.7,6.7
Mike Conley,MEM,10/11,13.7,3.0,6.5,6.6
Stephen Curry,GSW,10/11,18.6,3.9,5.8,6.6
Nicolas Batum,POR,10/11,12.4,4.5,1.5,6.6
Rajon Rondo,BOS,10/11,10.6,4.4,11.2,6.6
Greg Monroe,DET,10/11,9.4,7.5,1.3,6.6
Jameer Nelson,ORL,10/11,13.1,3.0,6.0,6.6
Andrew Bynum,LAL,10/11,11.3,9.4,1.4,6.6
Emeka Okafor,NOH,10/11,10.3,9.5,0.6,6.5
Marcin Gortat,ORLPHO,10/11,10.2,7.9,0.9,6.4
Jason Kidd,DAL,10/11,7.9,4.4,8.2,6.4
Ryan Anderson,ORL,10/11,10.6,5.5,0.8,6.4
Josh Smith,ATL,10/11,16.5,8.5,3.3,6.4
Chuck Hayes,HOU,10/11,7.9,8.1,2.7,6.3
Brook Lopez,NJN,10/11,20.4,6.0,1.6,6.3
Brandon Bass,ORL,10/11,11.2,5.6,0.8,6.3
Arron Afflalo,DEN,10/11,12.6,3.6,2.4,6.2
Gerald Wallace,CHAPOR,10/11,15.7,8.0,2.4,6.2
D.J. Augustin,CHA,10/11,14.4,2.7,6.1,6.2
Thaddeus Young,PHI,10/11,12.7,5.3,1.0,6.2
Danilo Gallinari,DENNYK,10/11,15.6,4.9,1.7,6.1
George Hill,SAS,10/11,11.6,2.6,2.5,6.1
David Lee,GSW,10/11,16.5,9.8,3.2,6.0
Monta Ellis,GSW,10/11,24.1,3.5,5.6,6.0
Richard Jefferson,SAS,10/11,11.0,3.8,1.3,5.9
Carlos Boozer,CHI,10/11,17.5,9.6,2.5,5.8
Dorell Wright,GSW,10/11,16.4,5.3,3.0,5.8
Jrue Holiday,PHI,10/11,14.0,4.0,6.5,5.7
Shawn Marion,DAL,10/11,12.5,6.9,1.4,5.6
Amir Johnson,TOR,10/11,9.6,6.4,1.1,5.6
Jared Dudley,PHO,10/11,10.6,3.9,1.3,5.6
Luis Scola,HOU,10/11,18.3,8.2,2.5,5.5
Rudy Gay,MEM,10/11,19.8,6.2,2.8,5.5
Ronnie Brewer,CHI,10/11,6.2,3.2,1.7,5.4
Andrew Bogut,MIL,10/11,12.8,11.1,2.0,5.4
Raymond Felton,DENNYK,10/11,15.5,3.6,8.3,5.4
Kris Humphries,NJN,10/11,10.0,10.4,1.1,5.4
Jason Terry,DAL,10/11,15.8,1.9,4.1,5.3
Eric Gordon,LAC,10/11,22.3,2.9,4.4,5.3
Landry Fields,NYK,10/11,9.7,6.4,1.9,5.3
JaVale McGee,WAS,10/11,10.1,8.0,0.5,5.3
DeAndre Jordan,LAC,10/11,7.1,7.2,0.5,5.2
Taj Gibson,CHI,10/11,7.1,5.7,0.7,5.2
Lou Williams,PHI,10/11,13.7,2.0,3.4,5.1
Jodie Meeks,PHI,10/11,10.5,2.3,1.1,5.1
Kyle Korver,CHI,10/11,8.3,1.8,1.5,5.1
Shane Battier,HOUMEM,10/11,7.6,4.5,2.3,5.1
Rodney Stuckey,DET,10/11,15.5,3.1,5.2,5.0
J.R. Smith,DEN,10/11,12.3,4.1,2.2,5.0
Glen Davis,BOS,10/11,11.7,5.4,1.2,4.9
Josh McRoberts,IND,10/11,7.4,5.3,2.1,4.9
Jeff Green,BOSOKC,10/11,13.3,4.8,1.4,4.8
Boris Diaw,CHA,10/11,11.3,5.0,4.1,4.8
DeJuan Blair,SAS,10/11,8.3,7.0,1.0,4.8
Luc Mbah a Moute,MIL,10/11,6.7,5.3,0.9,4.8
Channing Frye,PHO,10/11,12.7,6.7,1.2,4.7
Tony Allen,MEM,10/11,8.9,2.7,1.4,4.7
James Jones,MIA,10/11,5.9,2.0,0.5,4.7
Andrei Kirilenko,UTA,10/11,11.7,5.1,3.0,4.5
Mike Dunleavy,IND,10/11,11.2,4.5,1.7,4.5
JJ Redick,ORL,10/11,10.1,1.9,1.7,4.5
Metta World Peace,LAL,10/11,8.5,3.3,2.1,4.4
Ramon Sessions,CLE,10/11,13.3,3.1,5.2,4.4
Matt Bonner,SAS,10/11,7.3,3.6,0.9,4.4
Grant Hill,PHO,10/11,13.2,4.2,2.5,4.4
John Salmons,MIL,10/11,14.0,3.6,3.5,4.3
Darren Collison,IND,10/11,13.2,2.8,5.1,4.3
Joe Johnson,ATL,10/11,18.2,4.0,4.7,4.2
Devin Harris,NJNUTA,10/11,15.2,2.4,7.1,4.2
Toney Douglas,NYK,10/11,10.6,3.0,3.0,4.2
Thabo Sefolosha,OKC,10/11,5.1,4.4,1.4,4.1
Carl Landry,NOHSAC,10/11,11.9,4.6,0.8,4.1
Mike Bibby,ATLMIAWAS,10/11,8.6,2.4,3.3,4.0
Luke Ridnour,MIN,10/11,11.8,2.8,5.4,4.0
Nenad Krstić,BOSOKC,10/11,8.1,4.7,0.4,4.0
Marvin Williams,ATL,10/11,10.4,4.8,1.4,4.0
Ed Davis,TOR,10/11,7.7,7.1,0.6,4.0
Wilson Chandler,DENNYK,10/11,15.3,5.7,1.7,3.9
Brandon Jennings,MIL,10/11,16.2,3.7,4.8,3.9
Vince Carter,ORLPHO,10/11,14.0,3.8,2.0,3.8
Ersan İlyasova,MIL,10/11,9.5,6.1,0.9,3.8
Rudy Fernández,POR,10/11,8.6,2.2,2.5,3.8
Tyler Hansbrough,IND,10/11,11.0,5.2,0.6,3.8
Darrell Arthur,MEM,10/11,9.1,4.3,0.7,3.8
Marcus Camby,POR,10/11,4.7,10.3,2.1,3.7
Derek Fisher,LAL,10/11,6.8,1.9,2.7,3.7
José Calderón,TOR,10/11,9.8,3.0,8.9,3.7
Reggie Williams,GSW,10/11,9.2,2.7,1.5,3.7
Roy Hibbert,IND,10/11,12.7,7.5,2.0,3.6
Keith Bogans,CHI,10/11,4.4,1.8,1.2,3.6
Nick Collison,OKC,10/11,4.6,4.5,1.0,3.6
Marcus Thornton,NOHSAC,10/11,12.8,3.5,1.8,3.5
Gary Neal,SAS,10/11,9.8,2.4,1.2,3.5
Carlos Delfino,MIL,10/11,11.5,4.1,2.3,3.5
Kwame Brown,CHA,10/11,7.9,6.8,0.7,3.5
Chase Budinger,HOU,10/11,9.8,3.6,1.6,3.4
Hakim Warrick,PHO,10/11,8.4,3.7,0.9,3.4
Marco Belinelli,NOH,10/11,10.4,1.9,1.2,3.4
Jamal Crawford,ATL,10/11,14.2,1.7,3.2,3.4
Corey Maggette,MIL,10/11,12.0,3.6,1.3,3.4
Trevor Ariza,NOH,10/11,11.0,5.4,2.2,3.4
Tayshaun Prince,DET,10/11,14.1,4.2,2.8,3.3
Joel Anthony,MIA,10/11,2.0,3.5,0.3,3.3
Anthony Tolliver,MIN,10/11,6.7,4.5,1.3,3.3
DeMar DeRozan,TOR,10/11,17.2,3.8,1.8,3.2
J.J. Barea,DAL,10/11,9.5,2.0,3.9,3.2
Kurt Thomas,CHI,10/11,4.1,5.8,1.2,3.2
Ronny Turiaf,NYK,10/11,4.2,3.2,1.4,3.2
Chris Andersen,DEN,10/11,5.6,4.9,0.4,3.2
Charlie Villanueva,DET,10/11,11.1,3.9,0.6,3.1
Zaza Pachulia,ATL,10/11,4.4,4.2,0.7,3.1
Shannon Brown,LAL,10/11,8.7,1.9,1.2,3.1
Kirk Hinrich,ATLWAS,10/11,10.2,2.5,4.0,3.0
Antonio McDyess,SAS,10/11,5.3,5.4,1.2,3.0
Anthony Morrow,NJN,10/11,13.2,3.0,1.2,3.0
Rashard Lewis,ORLWAS,10/11,11.7,5.1,1.6,3.0
Matt Barnes,LAL,10/11,6.7,4.3,1.3,3.0
Francisco García,SAC,10/11,9.7,2.3,1.2,3.0
Brad Miller,HOU,10/11,6.4,3.7,2.4,3.0
Jeff Foster,IND,10/11,3.3,6.2,0.8,3.0
Mario Chalmers,MIA,10/11,6.4,2.1,2.5,2.9
Zydrunas Ilgauskas,MIA,10/11,5.0,4.0,0.4,2.9
Keyon Dooling,MIL,10/11,7.1,1.5,3.0,2.9
Derrick Favors,NJNUTA,10/11,6.8,5.3,0.5,2.9
Jason Thompson,SAC,10/11,8.8,6.1,1.2,2.9
Sam Young,MEM,10/11,7.3,2.4,0.9,2.9
Samuel Dalembert,SAC,10/11,8.0,8.2,0.8,2.9
Brendan Haywood,DAL,10/11,4.4,5.2,0.3,2.9
Baron Davis,CLELAC,10/11,13.1,2.7,6.7,2.8
Chris Wilcox,DET,10/11,7.4,4.8,0.8,2.8
Nick Young,WAS,10/11,17.4,2.7,1.2,2.8
Shaquille O'Neal,BOS,10/11,9.2,4.8,0.7,2.7
Courtney Lee,HOU,10/11,8.3,2.6,1.2,2.7
Kenyon Martin,DEN,10/11,8.6,6.2,2.3,2.7
Ömer Aşık,CHI,10/11,2.8,3.7,0.4,2.7
Nazr Mohammed,CHAOKC,10/11,7.1,4.9,0.3,2.7
Trevor Booker,WAS,10/11,5.3,3.9,0.5,2.6
Andris Biedriņš,GSW,10/11,5.0,7.2,1.0,2.6
Brandon Rush,IND,10/11,9.1,3.2,0.9,2.6
Antawn Jamison,CLE,10/11,18.0,6.7,1.7,2.6
Andrea Bargnani,TOR,10/11,21.4,5.2,1.8,2.5
C.J. Miles,UTA,10/11,12.8,3.3,1.7,2.5
Ryan Gomes,LAC,10/11,7.2,3.3,1.6,2.5
Shawne Williams,NYK,10/11,7.1,3.7,0.7,2.5
Omri Casspi,SAC,10/11,8.6,4.3,1.0,2.5
O.J. Mayo,MEM,10/11,11.3,2.4,2.0,2.4
Patrick Patterson,HOU,10/11,6.3,3.8,0.8,2.4
Daniel Gibson,CLE,10/11,11.6,2.6,3.0,2.4
Paul George,IND,10/11,7.8,3.7,1.1,2.4
Andray Blatche,WAS,10/11,16.8,8.2,2.2,2.4
Jarrett Jack,NOHTOR,10/11,8.9,2.1,2.9,2.4
Spencer Hawes,PHI,10/11,7.2,5.7,1.5,2.4
Dirk Nowitzki,DAL,05/06,26.6,9.0,2.8,17.7
LeBron James,CLE,05/06,31.4,7.0,6.6,16.3
Chauncey Billups,DET,05/06,18.5,3.1,8.6,15.5
Kobe Bryant,LAL,05/06,35.4,5.3,4.5,15.3
Kevin Garnett,MIN,05/06,21.8,12.7,4.1,14.9
Elton Brand,LAC,05/06,24.7,10.0,2.6,14.8
Shawn Marion,PHO,05/06,21.8,11.8,1.8,14.6
Dwyane Wade,MIA,05/06,27.2,5.7,6.7,14.4
Gilbert Arenas,WAS,05/06,29.3,3.5,6.0,13.6
Steve Nash,PHO,05/06,18.8,4.2,10.5,12.4
Pau Gasol,MEM,05/06,20.4,8.9,4.6,12.0
Richard Jefferson,NJN,05/06,19.5,6.8,3.8,11.7
Paul Pierce,BOS,05/06,26.8,6.7,4.7,11.5
Tim Duncan,SAS,05/06,18.6,11.0,3.2,10.8
Michael Redd,MIL,05/06,25.4,4.3,2.9,10.8
Allen Iverson,PHI,05/06,33.0,3.2,7.4,10.6
Chris Paul,NOK,05/06,16.1,5.1,7.8,10.4
Jason Kidd,NJN,05/06,13.3,7.2,8.4,10.1
Ben Wallace,DET,05/06,7.3,11.3,1.9,10.1
Chris Bosh,TOR,05/06,22.5,9.2,2.6,9.8
Jason Terry,DAL,05/06,17.1,2.0,3.8,9.6
Tony Parker,SAS,05/06,18.9,3.3,5.8,9.6
Ray Allen,SEA,05/06,25.1,4.3,3.7,9.5
Carmelo Anthony,DEN,05/06,26.5,4.9,2.7,9.4
Mehmet Okur,UTA,05/06,18.0,9.1,2.4,9.3
Vince Carter,NJN,05/06,24.2,5.8,4.3,9.3
Lamar Odom,LAL,05/06,14.8,9.2,5.5,9.2
Brad Miller,SAC,05/06,15.0,7.8,4.7,9.1
Shane Battier,MEM,05/06,10.1,5.3,1.7,9.1
Boris Diaw,PHO,05/06,13.3,6.9,6.2,8.9
Rasheed Wallace,DET,05/06,15.1,6.8,2.3,8.9
Manu Ginóbili,SAS,05/06,15.1,3.5,3.6,8.8
Zydrunas Ilgauskas,CLE,05/06,15.6,7.6,1.2,8.7
Dwight Howard,ORL,05/06,15.8,12.5,1.5,8.6
Yao Ming,HOU,05/06,22.3,10.2,1.5,8.6
Mike Bibby,SAC,05/06,21.1,2.9,5.4,8.4
Rashard Lewis,SEA,05/06,20.1,5.0,2.3,8.3
Antawn Jamison,WAS,05/06,20.5,9.3,1.9,8.2
Wally Szczerbiak,BOSMIN,05/06,19.0,4.3,3.0,8.0
Peja Stojaković,INDSAC,05/06,18.2,5.8,1.9,8.0
Andrei Kirilenko,UTA,05/06,15.3,8.0,4.3,7.9
Richard Hamilton,DET,05/06,20.1,3.2,3.4,7.6
Kirk Hinrich,CHI,05/06,15.9,3.6,6.3,7.6
Hedo Türkoğlu,ORL,05/06,14.9,4.3,2.8,7.6
Mike James,TOR,05/06,20.3,3.3,5.8,7.6
Sam Cassell,LAC,05/06,17.2,3.7,6.3,7.6
Andre Iguodala,PHI,05/06,12.3,5.9,3.1,7.5
Mike Miller,MEM,05/06,13.7,5.4,2.7,7.4
David West,NOK,05/06,17.1,7.4,1.2,7.4
Jason Richardson,GSW,05/06,23.2,5.8,3.1,7.3
Eddie Jones,MEM,05/06,11.8,3.7,2.4,7.2
Udonis Haslem,MIA,05/06,9.3,7.8,1.2,7.0
Tayshaun Prince,DET,05/06,14.1,4.2,2.3,7.0
Raja Bell,PHO,05/06,14.7,3.2,2.6,6.8
Josh Howard,DAL,05/06,15.6,6.3,1.9,6.7
Andrés Nocioni,CHI,05/06,13.0,6.1,1.4,6.7
Drew Gooden,CLE,05/06,10.7,8.4,0.7,6.6
Troy Murphy,GSW,05/06,14.0,10.0,1.4,6.5
Luol Deng,CHI,05/06,14.3,6.6,1.9,6.5
Gerald Wallace,CHA,05/06,15.2,7.5,1.7,6.4
Caron Butler,WAS,05/06,17.6,6.2,2.5,6.3
Shareef Abdur-Rahim,SAC,05/06,12.3,5.0,2.1,6.2
Andre Miller,DEN,05/06,13.7,4.3,8.2,6.2
Bruce Bowen,SAS,05/06,7.5,3.9,1.5,6.2
Shaquille O'Neal,MIA,05/06,20.0,9.2,1.9,6.2
Chris Kaman,LAC,05/06,11.9,9.6,1.0,6.1
Joe Johnson,ATL,05/06,20.2,4.1,6.5,6.0
Morris Peterson,TOR,05/06,16.8,4.6,2.3,5.9
Smush Parker,LAL,05/06,11.5,3.3,3.7,5.8
Derek Fisher,GSW,05/06,13.3,2.6,4.3,5.8
Delonte West,BOS,05/06,11.8,4.1,4.6,5.7
Jeff Foster,IND,05/06,5.9,9.1,0.8,5.7
Josh Childress,ATL,05/06,10.0,5.2,1.8,5.7
Andrew Bogut,MIL,05/06,9.4,7.0,2.3,5.5
Kenny Thomas,SAC,05/06,9.1,7.5,2.0,5.5
Kevin Martin,SAC,05/06,10.8,3.6,1.3,5.5
Marcus Camby,DEN,05/06,12.8,11.9,2.1,5.5
Tyson Chandler,CHI,05/06,5.3,9.0,1.0,5.4
Nenad Krstić,NJN,05/06,13.5,6.4,1.1,5.4
Bobby Simmons,MIL,05/06,13.4,4.4,2.3,5.3
Cuttino Mobley,LAC,05/06,14.8,4.3,3.0,5.3
Antonio Daniels,WAS,05/06,9.6,2.2,3.6,5.3
Chris Duhon,CHI,05/06,8.7,3.0,5.0,5.2
Danny Granger,IND,05/06,7.5,4.9,1.2,5.1
Ricky Davis,BOSMIN,05/06,19.4,4.5,5.1,5.0
Michael Finley,SAS,05/06,10.1,3.2,1.5,5.0
Brevin Knight,CHA,05/06,12.6,3.2,8.8,4.9
Jameer Nelson,ORL,05/06,14.6,2.9,4.9,4.9
Jermaine O'Neal,IND,05/06,20.1,9.3,2.6,4.9
Jason Williams,MIA,05/06,12.3,2.4,4.9,4.8
Erick Dampier,DAL,05/06,5.7,7.8,0.6,4.8
Alonzo Mourning,MIA,05/06,7.8,5.5,0.2,4.8
Matt Harpring,UTA,05/06,12.5,5.2,1.4,4.7
Antonio McDyess,DET,05/06,7.8,5.3,1.1,4.6
Kyle Korver,PHI,05/06,11.5,3.3,2.0,4.6
Primož Brezec,CHA,05/06,12.4,5.6,0.6,4.6
Brian Cook,LAL,05/06,7.9,3.4,0.9,4.5
Nazr Mohammed,SAS,05/06,6.2,5.2,0.5,4.5
Jamal Crawford,NYK,05/06,14.3,3.1,3.8,4.5
Anthony Johnson,IND,05/06,9.2,2.2,4.3,4.5
Chris Webber,PHI,05/06,20.2,9.9,3.4,4.4
Stephen Jackson,IND,05/06,16.4,3.9,2.8,4.4
Ben Gordon,CHI,05/06,16.9,2.7,3.0,4.4
Luke Ridnour,SEA,05/06,11.5,3.0,7.0,4.4
Chris Wilcox,LACSEA,05/06,8.1,5.3,0.7,4.4
Baron Davis,GSW,05/06,17.9,4.4,8.9,4.4
P.J. Brown,NOK,05/06,9.0,7.3,1.2,4.4
Raef LaFrentz,BOS,05/06,7.8,5.0,1.4,4.3
Brent Barry,SAS,05/06,5.8,2.1,1.7,4.3
Marquis Daniels,DAL,05/06,10.2,3.6,2.8,4.2
Donyell Marshall,CLE,05/06,9.3,6.1,0.7,4.2
Mike Dunleavy,GSW,05/06,11.5,4.9,2.9,4.2
James Posey,MIA,05/06,7.2,4.8,1.3,4.2
Austin Croshere,IND,05/06,8.2,5.3,1.2,4.1
DeSagana Diop,DAL,05/06,2.3,4.6,0.3,4.1
Tracy McGrady,HOU,05/06,24.4,6.5,4.8,4.1
Gary Payton,MIA,05/06,7.7,2.9,3.2,4.1
Matt Bonner,TOR,05/06,7.5,3.6,0.7,4.1
James Jones,PHO,05/06,9.3,3.4,0.8,4.0
Chris Mihm,LAL,05/06,10.2,6.3,1.0,4.0
Zaza Pachulia,ATL,05/06,11.7,7.9,1.7,3.9
Charlie Villanueva,TOR,05/06,13.0,6.4,1.1,3.9
Brendan Haywood,WAS,05/06,7.3,5.9,0.6,3.9
Jarron Collins,UTA,05/06,5.3,4.2,1.2,3.9
Stephon Marbury,NYK,05/06,16.3,2.9,6.4,3.9
Tony Battie,ORL,05/06,7.9,5.6,0.6,3.8
Leandro Barbosa,PHO,05/06,13.1,2.6,2.8,3.8
Greg Buckner,DEN,05/06,6.7,2.9,1.7,3.8
Kenyon Martin,DEN,05/06,12.9,6.3,1.4,3.8
Al Harrington,ATL,05/06,18.6,6.9,3.1,3.8
Vladimir Radmanović,LACSEA,05/06,9.8,4.6,1.8,3.8
Lorenzen Wright,MEM,05/06,5.8,5.1,0.6,3.7
Rasho Nesterović,SAS,05/06,4.5,3.9,0.4,3.7
Metta World Peace,INDSAC,05/06,17.6,5.1,3.6,3.7
Devin Harris,DAL,05/06,9.9,2.2,3.2,3.7
Juwan Howard,HOU,05/06,11.8,6.7,1.4,3.7
Antoine Walker,MIA,05/06,12.2,5.1,2.0,3.6
Kwame Brown,LAL,05/06,7.4,6.6,1.0,3.6
Steve Francis,NYKORL,05/06,14.4,4.1,4.9,3.6
David Wesley,HOU,05/06,9.9,2.5,2.9,3.6
Robert Horry,SAS,05/06,5.1,3.8,1.3,3.6
Chucky Atkins,MEMWAS,05/06,9.5,1.7,2.8,3.6
Samuel Dalembert,PHI,05/06,7.3,8.2,0.4,3.6
Josh Smith,ATL,05/06,11.3,6.6,2.4,3.6
Channing Frye,NYK,05/06,12.3,5.8,0.8,3.5
Bobby Jackson,MEM,05/06,11.4,3.1,2.7,3.5
Luther Head,HOU,05/06,8.8,3.3,2.7,3.5
Carlos Boozer,UTA,05/06,16.3,8.6,2.7,3.5
Rafer Alston,HOU,05/06,12.1,4.0,6.7,3.4
Bonzi Wells,SAC,05/06,13.6,7.7,2.8,3.4
Damon Jones,CLE,05/06,6.7,1.6,2.1,3.4
Šarūnas Jasikevičius,IND,05/06,7.3,2.0,3.0,3.3
Kurt Thomas,PHO,05/06,8.6,7.8,1.1,3.3
Charlie Bell,MIL,05/06,8.4,2.0,2.2,3.3
Eddy Curry,NYK,05/06,13.6,6.0,0.3,3.3
Maurice Evans,DET,05/06,5.0,2.0,0.8,3.2
Dikembe Mutombo,HOU,05/06,2.6,4.8,0.1,3.1
Ryan Gomes,BOS,05/06,7.6,4.9,1.0,3.1
Jared Jeffries,WAS,05/06,6.4,4.9,1.9,3.1
Speedy Claxton,NOK,05/06,12.3,2.7,4.8,3.0
Corey Maggette,LAC,05/06,17.8,5.3,2.1,3.0
Jumaine Jones,CHA,05/06,10.5,4.9,0.8,3.0
Adrian Griffin,DAL,05/06,4.6,4.4,1.7,2.9
Earl Boykins,DEN,05/06,12.6,1.4,3.8,2.9
Francisco Elson,DEN,05/06,4.9,4.7,0.7,2.9
Andris Biedriņš,GSW,05/06,3.8,4.2,0.4,2.9
Jake Tsakalidis,MEM,05/06,5.0,4.2,0.3,2.8
Adonal Foyle,GSW,05/06,4.5,5.5,0.4,2.8
Clifford Robinson,NJN,05/06,6.9,3.3,1.1,2.8
Steve Blake,POR,05/06,8.2,2.1,4.5,2.8
Marvin Williams,ATL,05/06,8.5,4.8,0.8,2.8
Deron Williams,UTA,05/06,10.8,2.4,4.5,2.8
David Lee,NYK,05/06,5.1,4.5,0.6,2.7
Eduardo Nájera,DEN,05/06,5.4,5.1,0.8,2.7
Tyronn Lue,ATL,05/06,11.0,1.6,3.1,2.7
Earl Watson,DENSEA,05/06,8.9,2.3,4.1,2.7
Carlos Arroyo,DETORL,05/06,5.8,1.7,3.0,2.7
Fred Jones,IND,05/06,9.6,2.5,2.3,2.6
Devean George,LAL,05/06,6.3,3.9,1.0,2.6
Ike Diogu,GSW,05/06,7.0,3.3,0.4,2.6
Matt Carroll,CHA,05/06,7.6,2.0,0.4,2.6
Raymond Felton,CHA,05/06,11.8,3.3,5.6,2.6
Stromile Swift,HOU,05/06,8.9,4.4,0.4,2.5
Mo Williams,MIL,05/06,12.1,2.5,4.0,2.5
Darius Songaila,CHI,05/06,9.2,4.0,1.4,2.5
T.J. Ford,MIL,05/06,12.2,4.3,6.6,2.5
Etan Thomas,WAS,05/06,4.7,3.9,0.2,2.5
Jalen Rose,NYKTOR,05/06,12.3,2.9,2.5,2.5
Dan Gadzuric,MIL,05/06,5.2,3.1,0.3,2.5
Steven Hunter,PHI,05/06,6.1,3.9,0.2,2.5
DeShawn Stevenson,ORL,05/06,11.0,2.9,2.0,2.4
Jerry Stackhouse,DAL,05/06,13.0,2.8,2.9,2.4
Chuck Hayes,HOU,05/06,3.7,4.5,0.4,2.4
Keith Bogans,CHAHOU,05/06,8.6,3.5,1.8,2.3
Al Jefferson,BOS,05/06,7.9,5.1,0.5,2.3
Anderson Varejão,CLE,05/06,4.6,4.9,0.4,2.3
Trenton Hassell,MIN,05/06,9.2,2.8,2.6,2.3
James Singleton,LAC,05/06,3.4,3.3,0.5,2.3
Marko Jarić,MIN,05/06,7.8,3.1,3.9,2.3
Keith Van Horn,DAL,05/06,8.9,3.6,0.7,2.3
LeBron James,CLE,08/09,28.4,7.6,7.2,20.3
Chris Paul,NOH,08/09,22.8,5.5,11.0,18.3
Dwyane Wade,MIA,08/09,30.2,5.0,7.5,14.7
Pau Gasol,LAL,08/09,18.9,9.6,3.5,13.9
Dwight Howard,ORL,08/09,20.6,13.8,1.4,13.8
Brandon Roy,POR,08/09,22.6,4.7,5.1,13.5
Kobe Bryant,LAL,08/09,26.8,5.2,4.9,12.7
Ray Allen,BOS,08/09,18.2,3.5,2.8,11.1
Dirk Nowitzki,DAL,08/09,25.9,8.4,2.4,10.9
Yao Ming,HOU,08/09,19.7,9.9,1.8,10.6
Paul Pierce,BOS,08/09,20.5,5.6,3.6,10.3
Chauncey Billups,DENDET,08/09,17.7,3.0,6.4,10.1
Tim Duncan,SAS,08/09,19.3,10.7,3.5,10.1
Rajon Rondo,BOS,08/09,11.9,5.2,8.2,9.9
Mo Williams,CLE,08/09,17.8,3.4,4.1,9.8
Chris Bosh,TOR,08/09,22.7,10.0,2.5,9.7
Gerald Wallace,CHA,08/09,16.6,7.8,2.7,9.5
Rashard Lewis,ORL,08/09,17.7,5.7,2.6,9.5
LaMarcus Aldridge,POR,08/09,18.1,7.5,1.9,9.5
Nenê,DEN,08/09,14.6,7.8,1.4,9.3
Andre Iguodala,PHI,08/09,18.8,5.7,5.3,9.2
David Lee,NYK,08/09,16.0,11.7,2.1,9.0
Andre Miller,PHI,08/09,16.3,4.5,6.5,8.8
Tony Parker,SAS,08/09,22.0,3.1,6.9,8.6
Luis Scola,HOU,08/09,12.7,8.8,1.5,8.6
Troy Murphy,IND,08/09,14.3,11.8,2.4,8.5
Jason Kidd,DAL,08/09,9.0,6.2,8.7,8.5
Deron Williams,UTA,08/09,19.4,2.9,10.7,8.4
Emeka Okafor,CHA,08/09,13.2,10.1,0.6,8.2
Antawn Jamison,WAS,08/09,22.2,8.9,1.9,8.1
Danny Granger,IND,08/09,25.8,5.1,2.7,8.0
Anderson Varejão,CLE,08/09,8.6,7.2,1.0,8.0
Kevin Durant,OKC,08/09,25.3,6.5,2.8,7.9
Shaquille O'Neal,PHO,08/09,17.8,8.4,1.7,7.8
David West,NOH,08/09,21.0,8.5,2.3,7.8
Paul Millsap,UTA,08/09,13.5,8.6,1.8,7.7
Joe Johnson,ATL,08/09,21.4,4.4,5.8,7.6
Vince Carter,NJN,08/09,20.8,5.1,4.7,7.5
Devin Harris,NJN,08/09,21.3,3.3,6.9,7.5
José Calderón,TOR,08/09,12.8,2.9,8.9,7.5
Mehmet Okur,UTA,08/09,17.0,7.7,1.7,7.4
Hedo Türkoğlu,ORL,08/09,16.8,5.3,4.9,7.3
Jason Terry,DAL,08/09,19.6,2.4,3.4,7.3
Steve Nash,PHO,08/09,15.7,3.0,9.7,7.3
Kevin Garnett,BOS,08/09,15.8,8.5,2.5,7.1
Lamar Odom,LAL,08/09,11.3,8.2,2.6,6.9
Ben Gordon,CHI,08/09,20.7,3.5,3.4,6.9
Mike Bibby,ATL,08/09,14.9,3.5,5.0,6.9
Ronnie Brewer,UTA,08/09,13.7,3.7,2.2,6.8
Matt Bonner,SAS,08/09,8.2,4.8,1.0,6.8
Al Horford,ATL,08/09,11.5,9.3,2.4,6.8
Richard Jefferson,MIL,08/09,19.6,4.6,2.4,6.6
Joel Przybilla,POR,08/09,5.5,8.7,0.3,6.6
Joakim Noah,CHI,08/09,6.7,7.6,1.3,6.4
Delonte West,CLE,08/09,11.7,3.2,3.5,6.4
