Player,Team,Season,PPG,RPG,APG
James Harden,HOU,17_18,30.4,5.4,8.8
Anthony Davis,NOP,17_18,28.1,11.1,2.3
LeBron James,CLE,17_18,27.5,8.6,9.1
Damian Lillard,POR,17_18,26.9,4.5,6.6
Giannis Antetokounmpo,MIL,17_18,26.9,10.0,4.8
Stephen Curry,GSW,17_18,26.4,5.1,6.1
Kevin Durant,GSW,17_18,26.4,6.8,5.4
Russell Westbrook,OKC,17_18,25.4,10.0,10.2
DeMarcus Cousins,NOP,17_18,25.2,12.9,5.4
Devin Booker,PHO,17_18,24.9,4.5,4.7
Kyrie Irving,BOS,17_18,24.4,3.8,5.1
LaMarcus Aldridge,SAS,17_18,23.1,8.5,2.0
Victor Oladipo,IND,17_18,23.1,5.2,4.3
DeMar DeRozan,TOR,17_18,23.0,3.9,5.2
Joel Embiid,PHI,17_18,22.9,11.0,3.2
Kristaps Porziņģis,NYK,17_18,22.7,6.6,1.2
Bradley Beal,WAS,17_18,22.6,4.4,4.5
Lou Williams,LAC,17_18,22.6,2.5,5.3
Jimmy Butler,MIN,17_18,22.2,5.3,4.9
Kemba Walker,CHO,17_18,22.1,3.1,5.6
Paul George,OKC,17_18,21.9,5.7,3.3
Blake Griffin,DETLAC,17_18,21.4,7.4,5.8
CJ McCollum,POR,17_18,21.4,4.0,3.4
Karl-Anthony Towns,MIN,17_18,21.3,12.3,2.4
Donovan Mitchell,UTA,17_18,20.5,3.7,3.7
Khris Middleton,MIL,17_18,20.1,5.2,4.0
MarShon Brooks,MEM,17_18,20.1,3.0,3.6
Klay Thompson,GSW,17_18,20.0,3.8,2.5
T.J. Warren,PHO,17_18,19.6,5.1,1.3
John Wall,WAS,17_18,19.4,3.7,9.6
Tyreke Evans,MEM,17_18,19.4,5.1,5.2
Dennis Schröder,ATL,17_18,19.4,3.1,6.2
Jrue Holiday,NOP,17_18,19.0,4.5,6.0
Harrison Barnes,DAL,17_18,18.9,6.1,2.0
Chris Paul,HOU,17_18,18.6,5.4,7.9
Tobias Harris,DETLAC,17_18,18.6,5.5,2.4
Nikola Jokić,DEN,17_18,18.5,10.7,6.1
Eric Gordon,HOU,17_18,18.0,2.5,2.2
Jeremy Lin,BRK,17_18,18.0,0.0,4.0
Evan Fournier,ORL,17_18,17.8,3.2,2.9
Eric Bledsoe,MILPHO,17_18,17.7,3.8,5.0
Andrew Wiggins,MIN,17_18,17.7,4.4,2.0
Aaron Gordon,ORL,17_18,17.6,7.9,2.3
Kevin Love,CLE,17_18,17.6,9.3,1.7
Tim Hardaway Jr.,NYK,17_18,17.5,3.9,2.7
Gary Harris,DEN,17_18,17.5,2.6,2.9
Goran Dragić,MIA,17_18,17.3,4.1,4.8
Marc Gasol,MEM,17_18,17.2,8.1,4.2
JJ Redick,PHI,17_18,17.1,2.5,3.0
Mike Conley,MEM,17_18,17.1,2.2,4.1
Zach LaVine,CHI,17_18,16.7,3.9,3.0
Jamal Murray,DEN,17_18,16.7,3.7,3.4
Dwight Howard,CHO,17_18,16.6,12.5,1.3
Nikola Vučević,ORL,17_18,16.5,9.2,3.4
Kyle Lowry,TOR,17_18,16.2,5.6,6.9
Kawhi Leonard,SAS,17_18,16.2,4.7,2.3
Carmelo Anthony,OKC,17_18,16.2,5.8,1.3
Julius Randle,LAL,17_18,16.1,8.0,2.6
Kyle Kuzma,LAL,17_18,16.1,6.3,1.8
Brandon Ingram,LAL,17_18,16.1,5.3,3.9
Ben Simmons,PHI,17_18,15.8,8.1,8.2
Will Barton,DEN,17_18,15.7,5.0,4.1
Nikola Mirotić,CHINOP,17_18,15.6,7.4,1.5
D'Angelo Russell,BRK,17_18,15.5,3.9,5.2
Danilo Gallinari,LAC,17_18,15.3,4.8,2.0
Lauri Markkanen,CHI,17_18,15.2,7.5,1.2
Dennis Smith Jr.,DAL,17_18,15.2,3.8,5.2
Isaiah Thomas,CLELAL,17_18,15.2,2.1,4.8
Austin Rivers,LAC,17_18,15.1,2.4,4.0
Andre Drummond,DET,17_18,15.0,16.0,3.0
Otto Porter Jr.,WAS,17_18,14.7,6.4,2.0
Rodney Hood,CLEUTA,17_18,14.7,2.8,1.6
Dario Šarić,PHI,17_18,14.6,6.7,2.6
Paul Millsap,DEN,17_18,14.6,6.4,2.8
Reggie Jackson,DET,17_18,14.6,2.8,5.3
Jaylen Brown,BOS,17_18,14.5,4.9,1.6
Zach Randolph,SAC,17_18,14.5,6.7,2.2
Jusuf Nurkić,POR,17_18,14.3,9.0,1.8
Dion Waiters,MIA,17_18,14.3,2.6,3.8
Bojan Bogdanović,IND,17_18,14.3,3.4,1.5
Avery Bradley,DETLAC,17_18,14.3,2.5,2.0
Jeff Teague,MIN,17_18,14.2,3.0,7.0
Taurean Prince,ATL,17_18,14.1,4.7,2.6
Enes Freedom,NYK,17_18,14.1,11.0,1.5
Hassan Whiteside,MIA,17_18,14.0,11.4,1.0
Jonathon Simmons,ORL,17_18,13.9,3.5,2.5
Rondae Hollis-Jefferson,BRK,17_18,13.9,6.8,2.5
Jayson Tatum,BOS,17_18,13.9,5.0,1.6
Steven Adams,OKC,17_18,13.9,9.0,1.2
Jordan Clarkson,CLELAL,17_18,13.9,2.7,2.7
Clint Capela,HOU,17_18,13.9,10.8,0.9
Marcus Morris,BOS,17_18,13.6,5.4,1.3
Rudy Gobert,UTA,17_18,13.5,10.7,1.4
Buddy Hield,SAC,17_18,13.5,3.8,1.9
DeMarre Carroll,BRK,17_18,13.5,6.6,2.0
Kris Dunn,CHI,17_18,13.4,4.2,6.0
Kentavious Caldwell-Pope,LAL,17_18,13.4,5.2,2.2
Bobby Portis,CHI,17_18,13.2,6.8,1.7
Allen Crabbe,BRK,17_18,13.2,4.3,1.6
Michael Beasley,NYK,17_18,13.2,5.6,1.7
Josh Jackson,PHO,17_18,13.1,4.6,1.5
Ricky Rubio,UTA,17_18,13.1,4.6,5.3
Malcolm Brogdon,MIL,17_18,13.0,3.2,3.2
Brook Lopez,LAL,17_18,13.0,4.0,1.7
Jeremy Lamb,CHO,17_18,12.9,4.0,2.3
Josh Richardson,MIA,17_18,12.9,3.5,2.9
Al Horford,BOS,17_18,12.9,7.4,4.7
Kent Bazemore,ATL,17_18,12.9,3.8,3.5
Trey Burke,NYK,17_18,12.8,2.0,4.7
Willie Cauley-Stein,SAC,17_18,12.8,7.0,2.4
Myles Turner,IND,17_18,12.7,6.4,1.3
Wesley Matthews,DAL,17_18,12.7,3.1,2.7
Jonas Valančiūnas,TOR,17_18,12.7,8.6,1.1
Elfrid Payton,ORLPHO,17_18,12.7,4.3,6.2
Serge Ibaka,TOR,17_18,12.6,6.3,0.8
Jabari Parker,MIL,17_18,12.6,4.9,1.9
Robert Covington,PHI,17_18,12.6,5.4,2.0
Spencer Dinwiddie,BRK,17_18,12.6,3.2,6.6
E'Twaun Moore,NOP,17_18,12.5,2.9,2.3
Darren Collison,IND,17_18,12.4,2.6,5.3
Derrick Favors,UTA,17_18,12.3,7.2,1.3
Taj Gibson,MIN,17_18,12.2,7.1,1.2
Patrick Beverley,LAC,17_18,12.2,4.1,2.9
Justin Holiday,CHI,17_18,12.2,4.0,2.1
Marco Belinelli,ATLPHI,17_18,12.1,1.9,1.8
