Player,Team,Season,PPG,RPG,APG
Bam Adebayo,MIA,22_23,20.4,9.2,3.2
Tyrese Maxey,PHI,22_23,20.3,2.9,3.5
Kelly Oubre Jr.,CHO,22_23,20.3,5.2,1.1
Mikal Bridges,BRKPHO,22_23,20.1,4.4,3.3
Tyler Herro,MIA,22_23,20.1,5.4,4.2
Louis King,PHI,22_23,20.0,4.0,2.0
Jamal Murray,DEN,22_23,20.0,4.0,6.2
Paolo Banchero,ORL,22_23,20.0,6.9,3.7
Cade Cunningham,DET,22_23,19.9,6.2,6.0
RJ Barrett,NYK,22_23,19.6,5.0,2.8
Fred VanVleet,TOR,22_23,19.3,4.1,7.2
Jrue Holiday,MIL,22_23,19.3,5.1,7.4
Kevin Porter Jr.,HOU,22_23,19.2,5.3,5.7
Domantas Sabonis,SAC,22_23,19.1,12.3,7.3
Jaren Jackson Jr.,MEM,22_23,18.6,6.8,1.0
Franz Wagner,ORL,22_23,18.6,4.1,3.5
Devin Vassell,SAS,22_23,18.5,3.9,3.6
Deandre Ayton,PHO,22_23,18.0,10.0,1.7
Myles Turner,IND,22_23,18.0,7.5,1.4
D'Angelo Russell,LALMIN,22_23,17.8,3.0,6.2
Nikola Vučević,CHI,22_23,17.6,11.0,3.2
Michael Porter Jr.,DEN,22_23,17.4,5.5,1.0
Gary Trent Jr.,TOR,22_23,17.4,2.6,1.6
Spencer Dinwiddie,BRKDAL,22_23,17.3,3.4,6.5
Andrew Wiggins,GSW,22_23,17.1,5.0,2.3
Norman Powell,LAC,22_23,17.0,2.9,1.8
Buddy Hield,IND,22_23,16.8,5.0,2.8
OG Anunoby,TOR,22_23,16.8,5.0,2.0
Bennedict Mathurin,IND,22_23,16.7,4.1,1.5
Christian Wood,DAL,22_23,16.6,7.3,1.8
Josh Giddey,OKC,22_23,16.6,7.9,6.2
Aaron Gordon,DEN,22_23,16.3,6.6,3.0
Jaden Ivey,DET,22_23,16.3,3.9,5.2
Evan Mobley,CLE,22_23,16.2,9.0,2.8
RaiQuan Gray,BRK,22_23,16.0,9.0,7.0
Brook Lopez,MIL,22_23,15.9,6.7,1.3
Russell Westbrook,LACLAL,22_23,15.9,5.8,7.5
P.J. Washington,CHO,22_23,15.7,4.9,2.4
Cameron Johnson,BRKPHO,22_23,15.5,4.4,1.9
De'Andre Hunter,ATL,22_23,15.4,4.2,1.4
Skylar Mays,POR,22_23,15.3,3.2,8.3
Scottie Barnes,TOR,22_23,15.3,6.6,4.8
Wendell Carter Jr.,ORL,22_23,15.2,8.7,2.3
Kevin Huerter,SAC,22_23,15.2,3.3,2.9
Khris Middleton,MIL,22_23,15.1,4.2,4.9
Harrison Barnes,SAC,22_23,15.0,4.5,1.6
Immanuel Quickley,NYK,22_23,14.9,4.2,3.4
Malcolm Brogdon,BOS,22_23,14.9,4.2,3.7
Alperen Şengün,HOU,22_23,14.8,9.0,3.9
Tobias Harris,PHI,22_23,14.7,5.7,2.5
Gordon Hayward,CHO,22_23,14.7,4.3,4.1
Trey Murphy III,NOP,22_23,14.5,3.6,1.4
Tim Hardaway Jr.,DAL,22_23,14.4,3.5,1.8
Dillon Brooks,MEM,22_23,14.3,3.3,2.6
Collin Sexton,UTA,22_23,14.3,2.2,2.9
Jarrett Allen,CLE,22_23,14.3,9.8,1.7
Jonas Valančiūnas,NOP,22_23,14.1,10.2,1.8
Bobby Portis,MIL,22_23,14.1,9.6,1.5
Jalen Williams,OKC,22_23,14.1,4.5,3.3
Bogdan Bogdanović,ATL,22_23,14.0,3.1,2.8
Markelle Fultz,ORL,22_23,14.0,3.9,5.7
Chris Paul,PHO,22_23,13.9,4.3,8.9
Saddiq Bey,ATLDET,22_23,13.8,4.7,1.5
Luguentz Dort,OKC,22_23,13.7,4.6,2.1
Malik Monk,SAC,22_23,13.5,2.6,3.9
Rudy Gobert,MIN,22_23,13.4,11.6,1.2
Jusuf Nurkić,POR,22_23,13.3,9.1,2.9
Kris Dunn,UTA,22_23,13.2,4.5,5.6
John Collins,ATL,22_23,13.1,6.5,1.2
Cole Anthony,ORL,22_23,13.0,4.8,3.9
Austin Reaves,LAL,22_23,13.0,3.0,3.4
Tre Jones,SAS,22_23,12.9,3.6,6.6
Jabari Smith Jr.,HOU,22_23,12.8,7.2,1.3
Alec Burks,DET,22_23,12.8,3.1,2.2
KJ Martin,HOU,22_23,12.7,5.5,1.5
Malik Beasley,LALUTA,22_23,12.7,3.5,1.5
Nic Claxton,BRK,22_23,12.6,9.2,1.9
Dennis Schröder,LAL,22_23,12.6,2.5,4.5
Mac McClung,PHI,22_23,12.5,5.0,4.5
Jakob Poeltl,SASTOR,22_23,12.5,9.1,2.7
Kelly Olynyk,UTA,22_23,12.5,6.2,3.7
Eric Gordon,HOULAC,22_23,12.4,1.9,2.7
Derrick White,BOS,22_23,12.4,3.6,3.9
Keegan Murray,SAC,22_23,12.2,4.6,1.2
Caris LeVert,CLE,22_23,12.1,3.8,3.9
Jaden McDaniels,MIN,22_23,12.1,3.9,1.9
Marvin Bagley III,DET,22_23,12.0,6.4,0.9
Clint Capela,ATL,22_23,12.0,11.0,0.9
Mike Conley,MINUTA,22_23,11.9,2.7,6.7
Bones Hyland,DENLAC,22_23,11.8,2.4,3.1
Lonnie Walker IV,LAL,22_23,11.7,1.9,1.1
Zach Collins,SAS,22_23,11.6,6.4,2.9
Bruce Brown,DEN,22_23,11.5,4.1,3.4
Max Strus,MIA,22_23,11.5,3.2,2.1
Marcus Smart,BOS,22_23,11.5,3.1,6.3
Naz Reid,MIN,22_23,11.5,4.9,1.1
John Wall,LAC,22_23,11.4,2.7,5.2
Isaiah Stewart,DET,22_23,11.3,8.1,1.4
Quentin Grimes,NYK,22_23,11.3,3.2,2.1
Rui Hachimura,LALWAS,22_23,11.2,4.5,0.9
Marcus Morris,LAC,22_23,11.2,4.0,1.8
Kyle Lowry,MIA,22_23,11.2,4.1,5.1
Corey Kispert,WAS,22_23,11.1,2.8,1.2
Jeremy Sochan,SAS,22_23,11.0,5.3,2.5
Mason Plumlee,CHOLAC,22_23,10.8,8.9,3.1
Jaylen Nowell,MIN,22_23,10.8,2.6,2.0
Kentavious Caldwell-Pope,DEN,22_23,10.8,2.7,2.4
Ivica Zubac,LAC,22_23,10.8,9.9,1.0
Talen Horton-Tucker,UTA,22_23,10.7,3.2,3.8
Victor Oladipo,MIA,22_23,10.7,3.0,3.5
Jeenathan Williams,POR,22_23,10.6,3.0,2.0
Cam Thomas,BRK,22_23,10.6,1.7,1.4
Moritz Wagner,ORL,22_23,10.5,4.5,1.5
Grayson Allen,MIL,22_23,10.4,3.3,2.3
Killian Hayes,DET,22_23,10.3,2.9,6.2
Tyus Jones,MEM,22_23,10.3,2.5,5.2
Cameron Payne,PHO,22_23,10.3,2.2,4.5
Monte Morris,WAS,22_23,10.3,3.4,5.3
Doug McDermott,SAS,22_23,10.2,2.2,1.4
Malaki Branham,SAS,22_23,10.2,2.7,1.9
Reggie Jackson,DENLAC,22_23,10.2,2.1,3.4
Patrick Williams,CHI,22_23,10.2,4.0,1.2
De'Anthony Melton,PHI,22_23,10.1,4.1,2.6
Aaron Nesmith,IND,22_23,10.1,3.8,1.3
Josh Richardson,NOPSAS,22_23,10.1,2.7,2.7
James Wiseman,DETGSW,22_23,10.0,5.9,0.7
Brandon Clarke,MEM,22_23,10.0,5.5,1.3
Jonathan Kuminga,GSW,22_23,9.9,3.4,1.9
Onyeka Okongwu,ATL,22_23,9.9,7.2,1.0
Jalen Suggs,ORL,22_23,9.9,3.0,2.9
Shaedon Sharpe,POR,22_23,9.9,3.0,1.2
Luka Šamanić,UTA,22_23,9.9,4.3,2.1
Herbert Jones,NOP,22_23,9.8,4.1,2.5
Thomas Bryant,DENLAL,22_23,9.8,5.7,0.5
Al Horford,BOS,22_23,9.8,6.2,3.0
Josh Hart,NYKPOR,22_23,9.8,7.8,3.8
Julian Champagnie,PHISAS,22_23,9.7,3.5,0.6
Cam Reddish,NYKPOR,22_23,9.7,2.2,1.4
Coby White,CHI,22_23,9.7,2.9,2.8
Keita Bates-Diop,SAS,22_23,9.7,3.7,1.5
Caleb Martin,MIA,22_23,9.6,4.8,1.6
Isaiah Joe,OKC,22_23,9.5,2.4,1.2
Andrew Nembhard,IND,22_23,9.5,2.7,4.5
Jalen Smith,IND,22_23,9.4,5.8,1.0
Jalen McDaniels,CHOPHI,22_23,9.4,4.3,1.6
Gabe Vincent,MIA,22_23,9.4,2.1,2.5
Donte DiVincenzo,GSW,22_23,9.4,4.5,3.5
Kyle Anderson,MIN,22_23,9.4,5.3,4.9
Chris Boucher,TOR,22_23,9.4,5.5,0.4
Hamidou Diallo,DET,22_23,9.3,3.5,1.0
