Player,Team,Season,PPG,RPG,APG
Joel Embiid,PHI,22_23,33.1,10.2,4.2
Luka Dončić,DAL,22_23,32.4,8.6,8.0
Damian Lillard,POR,22_23,32.2,4.8,7.3
Shai Gilgeous-Alexander,OKC,22_23,31.4,4.8,5.5
Giannis Antetokounmpo,MIL,22_23,31.1,11.8,5.7
Jayson Tatum,BOS,22_23,30.1,8.8,4.6
Stephen Curry,GSW,22_23,29.4,6.1,6.3
Kevin Durant,BRKPHO,22_23,29.1,6.7,5.0
LeBron James,LAL,22_23,28.9,8.3,6.8
Donovan Mitchell,CLE,22_23,28.3,4.2,4.4
Devin Booker,PHO,22_23,27.8,4.5,5.5
Kyrie Irving,BRKDAL,22_23,27.1,5.1,5.5
Jaylen Brown,BOS,22_23,26.6,6.9,3.5
Trae Young,ATL,22_23,26.2,3.0,10.2
Ja Morant,MEM,22_23,26.2,5.9,8.1
Zion Williamson,NOP,22_23,26.0,7.0,4.6
Anthony Davis,LAL,22_23,25.9,12.5,2.6
Lauri Markkanen,UTA,22_23,25.6,8.6,1.9
Julius Randle,NYK,22_23,25.1,10.0,4.1
De'Aaron Fox,SAC,22_23,25.0,4.2,6.1
Zach LaVine,CHI,22_23,24.8,4.5,4.2
Brandon Ingram,NOP,22_23,24.7,5.5,5.8
Anthony Edwards,MIN,22_23,24.6,5.8,4.4
DeMar DeRozan,CHI,22_23,24.5,4.6,5.1
Nikola Jokić,DEN,22_23,24.5,11.8,9.8
Pascal Siakam,TOR,22_23,24.2,7.8,5.8
Jalen Brunson,NYK,22_23,24.0,3.5,6.2
Kawhi Leonard,LAC,22_23,23.8,6.5,3.9
Paul George,LAC,22_23,23.8,6.1,5.1
LaMelo Ball,CHO,22_23,23.3,6.4,8.4
Bradley Beal,WAS,22_23,23.2,3.9,5.4
Kristaps Porziņģis,WAS,22_23,23.2,8.4,2.7
Jimmy Butler,MIA,22_23,22.9,5.9,5.3
Jalen Green,HOU,22_23,22.1,3.7,3.7
Keldon Johnson,SAS,22_23,22.0,5.0,2.9
Klay Thompson,GSW,22_23,21.9,4.1,2.4
Darius Garland,CLE,22_23,21.6,2.7,7.8
Bojan Bogdanović,DET,22_23,21.6,3.8,2.6
Desmond Bane,MEM,22_23,21.5,5.0,4.4
Kyle Kuzma,WAS,22_23,21.2,7.2,3.7
Terry Rozier,CHO,22_23,21.1,4.1,5.1
Anfernee Simons,POR,22_23,21.1,2.6,4.1
James Harden,PHI,22_23,21.0,6.1,10.7
CJ McCollum,NOP,22_23,20.9,4.4,5.7
Jordan Clarkson,UTA,22_23,20.8,4.0,4.4
Karl-Anthony Towns,MIN,22_23,20.8,8.1,4.8
Tyrese Haliburton,IND,22_23,20.7,3.7,10.4
Jerami Grant,POR,22_23,20.5,4.5,2.4
Dejounte Murray,ATL,22_23,20.5,5.3,6.1
Jordan Poole,GSW,22_23,20.4,2.7,4.5
