Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Joel Embiid;30.6;2021-22;27;PHI;68;68;1;2297;666;1334;573;1083;93;251;654;803;146;650;796;284;77;99;214;181;2079;0.499;0.529;0.371;0.814;0.616;0.534;C;embiijo01
2;LeBron James;30.3;2021-22;37;LAL;56;56;1;2084;640;1221;479;773;161;448;254;336;63;396;459;349;73;59;196;121;1695;0.524;0.62;0.359;0.756;0.619;0.59;F-G;jamesle01
3;Giannis Antetokounmpo;29.9;2021-22;27;MIL;67;67;1;2204;689;1245;618;1003;71;242;553;766;134;644;778;388;72;91;219;212;2002;0.553;0.616;0.293;0.722;0.633;0.582;F-G;antetgi01
4;Kevin Durant;29.9;2021-22;33;BRK;55;55;1;2047;578;1115;463;815;115;300;372;409;29;378;407;351;48;52;191;113;1643;0.518;0.568;0.383;0.91;0.634;0.57;F-G;duranke01
5;Luka Dončić;28.4;2021-22;22;DAL;65;65;1;2301;641;1403;440;834;201;569;364;489;56;537;593;568;75;36;292;145;1847;0.457;0.528;0.353;0.744;0.571;0.529;G-F;doncilu01
6;Trae Young;28.4;2021-22;23;ATL;76;76;1;2652;711;1544;478;934;233;610;500;553;50;234;284;737;72;7;303;128;2155;0.46;0.512;0.382;0.904;0.603;0.536;G;youngtr01
7;DeMar DeRozan;27.9;2021-22;32;CHI;76;76;1;2743;774;1535;724;1393;50;142;520;593;56;336;392;374;68;24;181;178;2118;0.504;0.52;0.352;0.877;0.59;0.521;G-F;derozde01
8;Kyrie Irving;27.4;2021-22;29;BRK;29;29;0;1091;289;616;189;377;100;239;118;129;16;111;127;167;41;17;73;81;796;0.469;0.501;0.418;0.915;0.592;0.55;G;irvinky01
9;Ja Morant;27.4;2021-22;22;MEM;57;57;1;1889;580;1177;492;921;88;256;316;415;77;248;325;384;66;22;196;86;1564;0.493;0.534;0.344;0.761;0.575;0.53;G;moranja01
10;Nikola Jokić;27.1;2021-22;26;DEN;74;74;1;2476;764;1311;667;1023;97;288;379;468;206;813;1019;584;109;63;281;191;2004;0.583;0.652;0.337;0.81;0.661;0.62;C-F;jokicni01
11;Jayson Tatum;26.9;2021-22;23;BOS;76;76;1;2731;708;1564;478;913;230;651;400;469;85;524;609;334;75;49;217;174;2046;0.453;0.524;0.353;0.853;0.578;0.526;F;tatumja01
12;Devin Booker;26.8;2021-22;25;PHO;68;68;1;2345;662;1421;479;943;183;478;315;363;45;297;342;329;77;26;162;180;1822;0.466;0.508;0.383;0.868;0.576;0.53;G;bookede01
13;Donovan Mitchell;25.9;2021-22;25;UTA;67;67;1;2266;617;1376;385;722;232;654;267;313;55;227;282;358;99;12;200;164;1733;0.448;0.533;0.355;0.853;0.572;0.533;G;mitchdo01
14;Stephen Curry;25.5;2021-22;33;GSW;64;64;1;2211;535;1224;250;474;285;750;275;298;34;301;335;404;85;23;206;130;1630;0.437;0.527;0.38;0.923;0.601;0.554;G;curryst01
15;Karl-Anthony Towns;24.6;2021-22;26;MIN;74;74;1;2476;642;1214;492;848;150;366;384;467;194;533;727;269;72;83;226;267;1818;0.529;0.58;0.41;0.822;0.64;0.591;C-F;townska01
16;Shai Gilgeous-Alexander;24.5;2021-22;23;OKC;56;56;0;1942;477;1052;388;755;89;297;328;405;37;241;278;331;71;46;154;142;1371;0.453;0.514;0.3;0.81;0.557;0.496;G;gilgesh01
17;Zach LaVine;24.4;2021-22;26;CHI;67;67;1;2328;565;1186;380;711;185;475;320;375;22;286;308;303;41;23;171;120;1635;0.476;0.534;0.389;0.853;0.605;0.554;G-F;lavinza01
18;Paul George;24.3;2021-22;31;LAC;31;31;0;1077;268;636;177;379;91;257;127;148;12;201;213;176;67;13;126;74;754;0.421;0.467;0.354;0.858;0.538;0.493;F-G;georgpa01
19;Damian Lillard;24;2021-22;31;POR;29;29;0;1056;222;552;130;268;92;284;159;181;13;107;120;212;17;11;83;37;695;0.402;0.485;0.324;0.878;0.55;0.486;G;lillada01
20;Jaylen Brown;23.6;2021-22;25;BOS;66;66;0;2220;576;1217;410;753;166;464;241;318;53;351;404;231;70;18;178;163;1559;0.473;0.544;0.358;0.758;0.574;0.541;F-G;brownja02
21;Bradley Beal;23.2;2021-22;28;WAS;40;40;0;1439;348;771;285;561;63;210;169;203;38;151;189;265;36;15;135;95;928;0.451;0.508;0.3;0.833;0.539;0.492;G;bealbr01
22;Anthony Davis;23.2;2021-22;28;LAL;40;40;0;1404;370;695;357;625;13;70;174;244;106;288;394;122;49;90;82;97;927;0.532;0.571;0.186;0.713;0.578;0.542;F-C;davisan02
23;De'Aaron Fox;23.2;2021-22;24;SAC;59;59;0;2083;516;1092;442;843;74;249;261;348;25;206;231;330;68;25;168;172;1367;0.473;0.524;0.297;0.75;0.549;0.506;G;foxde01
24;Pascal Siakam;22.8;2021-22;27;TOR;68;68;0;2578;596;1207;521;989;75;218;284;379;128;452;580;360;85;42;181;225;1551;0.494;0.527;0.344;0.749;0.565;0.525;F-C;siakapa01
