Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP
Kevin Durant,OKC,09/10,30.1,7.6,2.8,0.61,16.1,0
Kobe Bryant,LAL,09/10,27.0,5.4,5.0,0.695,9.4,0
Dwight Howard,ORL,09/10,18.3,13.2,1.8,0.72,13.2,0
Dwyane Wade,MIA,09/10,26.6,4.8,6.5,0.573,13.0,0
Carmelo Anthony,DEN,09/10,28.2,6.6,3.2,0.646,7.9,0
Dirk Nowitzki,DAL,09/10,25.0,7.7,2.7,0.671,12.3,0
Steve Nash,PHO,09/10,16.5,3.3,11.0,0.659,9.9,0
Deron Williams,UTA,09/10,18.7,4.0,10.5,0.646,10.3,0
Amar'e Stoudemire,PHO,09/10,23.1,8.9,1.0,0.659,10.7,0
Manu Ginóbili,SAS,09/10,16.5,3.8,4.9,0.61,9.7,0
Chauncey Billups,DEN,09/10,19.5,3.1,5.6,0.646,9.5,0
Chris Bosh,TOR,09/10,24.0,10.8,2.4,0.488,9.6,0
Joe Johnson,ATL,09/10,21.3,4.6,4.9,0.646,8.4,0
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,0.653,15.6,1
Joel Embiid,PHI,20/21,28.5,10.6,2.8,0.681,8.8,0
Stephen Curry,GSW,20/21,32.0,5.5,5.8,0.542,9.0,0
Giannis Antetokounmpo,MIL,20/21,28.1,11.0,5.9,0.639,10.2,0
Chris Paul,PHO,20/21,16.4,4.5,8.9,0.708,9.2,0
Luka Dončić,DAL,20/21,27.7,8.0,8.6,0.583,7.7,0
Damian Lillard,POR,20/21,28.8,4.2,7.5,0.583,10.4,0
Julius Randle,NYK,20/21,24.1,10.2,6.0,0.569,7.8,0
Rudy Gobert,UTA,20/21,14.3,13.5,1.3,0.722,11.3,0
Russell Westbrook,WAS,20/21,22.2,11.5,11.7,0.472,3.7,0
Ben Simmons,PHI,20/21,14.3,7.2,6.9,0.681,6.0,0
LeBron James,LAL,20/21,25.0,7.7,7.8,0.583,5.6,0
Kawhi Leonard,LAC,20/21,24.8,6.5,5.2,0.653,8.8,0
Kevin Durant,OKC,13/14,32.0,7.4,5.5,0.72,19.2,1
LeBron James,MIA,13/14,27.1,6.9,6.3,0.659,15.9,0
Blake Griffin,LAC,13/14,24.1,9.5,3.9,0.695,12.2,0
Joakim Noah,CHI,13/14,12.6,11.3,5.4,0.585,11.2,0
James Harden,HOU,13/14,25.4,4.7,6.1,0.659,12.8,0
Stephen Curry,GSW,13/14,24.0,4.3,8.5,0.622,13.4,0
Chris Paul,LAC,13/14,19.1,4.3,10.7,0.695,12.2,0
Al Jefferson,CHO,13/14,21.8,10.8,2.1,0.524,7.8,0
Paul George,IND,13/14,21.7,6.8,3.5,0.683,10.8,0
LaMarcus Aldridge,POR,13/14,23.2,11.1,2.6,0.659,7.5,0
Kevin Love,MIN,13/14,26.1,12.5,4.4,0.488,14.3,0
Tim Duncan,SAS,13/14,15.1,9.7,3.0,0.756,7.4,0
Tony Parker,SAS,13/14,16.7,2.3,5.7,0.756,5.9,0
Dirk Nowitzki,DAL,13/14,21.7,6.2,2.7,0.598,10.9,0
Carmelo Anthony,NYK,13/14,27.4,8.1,3.1,0.451,10.7,0
Mike Conley,MEM,13/14,17.2,2.9,6.0,0.61,8.2,0
Derrick Rose,CHI,10/11,25.0,4.1,7.7,0.756,13.1,1
Dwight Howard,ORL,10/11,22.9,14.1,1.4,0.634,14.4,0
LeBron James,MIA,10/11,26.7,7.5,7.0,0.707,15.6,0
Kobe Bryant,LAL,10/11,25.3,5.1,4.7,0.695,10.3,0
Kevin Durant,OKC,10/11,27.7,6.8,2.7,0.671,12.0,0
Dirk Nowitzki,DAL,10/11,23.0,7.0,2.6,0.695,11.1,0
Dwyane Wade,MIA,10/11,25.5,6.4,4.6,0.707,12.8,0
Manu Ginóbili,SAS,10/11,17.4,3.7,4.9,0.744,9.9,0
Amar'e Stoudemire,NYK,10/11,25.3,8.2,2.6,0.512,8.0,0
Blake Griffin,LAC,10/11,22.5,12.1,3.8,0.39,9.8,0
Rajon Rondo,BOS,10/11,10.6,4.4,11.2,0.683,6.6,0
Tony Parker,SAS,10/11,17.5,3.1,6.6,0.744,8.2,0
Chris Paul,NOH,10/11,15.9,4.1,9.8,0.561,13.9,0
James Harden,HOU,17/18,30.4,5.4,8.8,0.793,15.4,1
LeBron James,CLE,17/18,27.5,8.6,9.1,0.61,14.0,0
Anthony Davis,NOP,17/18,28.1,11.1,2.3,0.585,13.7,0
Damian Lillard,POR,17/18,26.9,4.5,6.6,0.598,12.6,0
Russell Westbrook,OKC,17/18,25.4,10.1,10.3,0.585,10.1,0
Giannis Antetokounmpo,MIL,17/18,26.9,10.0,4.8,0.537,11.9,0
Kevin Durant,GSW,17/18,26.4,6.8,5.4,0.707,10.4,0
DeMar DeRozan,TOR,17/18,23.0,3.9,5.2,0.72,9.6,0
LaMarcus Aldridge,SAS,17/18,23.1,8.5,2.0,0.573,10.9,0
Jimmy Butler,MIN,17/18,22.2,5.3,4.9,0.573,8.9,0
Stephen Curry,GSW,17/18,26.4,5.1,6.1,0.707,9.1,0
Joel Embiid,PHI,17/18,22.9,11.0,3.2,0.634,6.2,0
Victor Oladipo,IND,17/18,23.1,5.2,4.3,0.585,8.2,0
LeBron James,MIA,12/13,26.8,8.0,7.3,0.805,19.3,1
Kevin Durant,OKC,12/13,28.1,7.9,4.6,0.732,18.9,0
Carmelo Anthony,NYK,12/13,28.7,6.9,2.6,0.659,9.5,0
Chris Paul,LAC,12/13,16.9,3.7,9.7,0.683,13.9,0
Kobe Bryant,LAL,12/13,27.3,5.6,6.0,0.549,10.9,0
Tony Parker,SAS,12/13,20.3,3.0,7.6,0.707,9.3,0
Tim Duncan,SAS,12/13,17.8,9.9,2.7,0.707,8.3,0
James Harden,HOU,12/13,25.9,4.9,5.8,0.549,12.8,0
Russell Westbrook,OKC,12/13,23.2,5.2,7.4,0.732,11.6,0
Dwyane Wade,MIA,12/13,21.2,5.0,5.1,0.805,9.6,0
Stephen Curry,GSW,12/13,22.9,4.0,6.9,0.573,11.2,0
Kevin Garnett,BOS,12/13,14.8,7.8,2.3,0.506,5.6,0
Marc Gasol,MEM,12/13,14.1,7.8,4.0,0.683,11.5,0
Ty Lawson,DEN,12/13,16.7,2.7,6.9,0.695,7.4,0
David Lee,GSW,12/13,18.5,11.2,3.5,0.573,9.1,0
Joakim Noah,CHI,12/13,11.9,11.1,4.0,0.549,7.3,0
Steve Nash,PHO,04/05,15.5,3.3,11.5,0.756,10.9,1
Shaquille O'Neal,MIA,04/05,22.9,10.4,2.7,0.72,11.0,0
Dirk Nowitzki,DAL,04/05,26.1,9.7,3.1,0.707,15.6,0
Tim Duncan,SAS,04/05,20.3,11.1,2.7,0.72,11.2,0
Allen Iverson,PHI,04/05,30.7,4.0,7.9,0.524,9.0,0
LeBron James,CLE,04/05,27.2,7.4,7.2,0.512,14.3,0
Tracy McGrady,HOU,04/05,25.7,6.2,5.7,0.622,12.0,0
Dwyane Wade,MIA,04/05,24.1,5.2,6.8,0.72,11.0,0
Amar'e Stoudemire,PHO,04/05,26.0,8.9,1.6,0.756,14.6,0
Ray Allen,OKC,04/05,23.9,4.4,3.7,0.634,10.7,0
Kevin Garnett,MIN,04/05,22.2,13.5,5.7,0.537,16.1,0
Gilbert Arenas,WAS,04/05,25.5,4.7,5.1,0.549,11.5,0
P.J. Brown,NOH,04/05,10.8,9.0,2.2,0.22,6.9,0
Marcus Camby,DEN,04/05,10.3,10.0,2.3,0.598,5.8,0
Shawn Marion,PHO,04/05,19.4,11.3,1.9,0.756,12.5,0
Giannis Antetokounmpo,MIL,19/20,29.5,13.6,5.6,0.767,11.1,1
LeBron James,LAL,19/20,25.3,7.8,10.2,0.732,9.8,0
James Harden,HOU,19/20,34.3,6.6,7.5,0.611,13.1,0
Luka Dončić,DAL,19/20,28.8,9.4,8.8,0.573,8.8,0
Kawhi Leonard,LAC,19/20,27.1,7.1,4.9,0.681,8.7,0
Anthony Davis,LAL,19/20,26.1,9.3,3.2,0.732,11.1,0
Chris Paul,OKC,19/20,17.6,5.0,6.7,0.611,8.9,0
Damian Lillard,POR,19/20,30.0,4.3,8.0,0.473,11.6,0
Nikola Jokić,DEN,19/20,19.9,9.7,7.0,0.63,9.8,0
Pascal Siakam,TOR,19/20,22.9,7.3,3.5,0.736,5.4,0
Jimmy Butler,MIA,19/20,19.9,6.7,6.0,0.603,9.0,0
Jayson Tatum,BOS,19/20,23.4,7.0,3.0,0.667,6.9,0
LeBron James,CLE,08/09,28.4,7.6,7.2,0.805,20.3,1
Kobe Bryant,LAL,08/09,26.8,5.2,4.9,0.793,12.7,0
Dwyane Wade,MIA,08/09,30.2,5.0,7.5,0.524,14.7,0
Dwight Howard,ORL,08/09,20.6,13.8,1.4,0.72,13.8,0
Chris Paul,NOH,08/09,22.8,5.5,11.0,0.598,18.3,0
Paul Pierce,BOS,08/09,20.5,5.6,3.6,0.756,10.3,0
Tony Parker,SAS,08/09,22.0,3.1,6.9,0.659,8.6,0
Brandon Roy,POR,08/09,22.6,4.7,5.1,0.659,13.5,0
Dirk Nowitzki,DAL,08/09,25.9,8.4,2.4,0.61,10.9,0
Tim Duncan,SAS,08/09,19.3,10.7,3.5,0.659,10.1,0
Yao Ming,HOU,08/09,19.7,9.9,1.8,0.646,10.6,0
Clint Capela,HOU,18/19,16.6,12.7,1.4,0.646,10.8,0
Karl-Anthony Towns,MIN,18/19,24.4,12.4,3.4,0.439,10.4,0
Nikola Vučević,ORL,18/19,20.8,12.0,3.8,0.512,10.1,0
Andre Drummond,DET,18/19,17.3,15.6,1.4,0.5,10.0,0
Anthony Davis,NOP,18/19,25.9,12.0,3.9,0.402,9.5,0
LaMarcus Aldridge,SAS,18/19,21.3,9.2,2.4,0.585,9.3,0
Pascal Siakam,TOR,18/19,16.9,6.9,3.1,0.707,9.3,0
Kyrie Irving,BOS,18/19,23.8,5.0,6.9,0.598,9.1,0
Steven Adams,OKC,18/19,13.8,9.5,1.6,0.598,9.1,0
Montrezl Harrell,LAC,18/19,16.6,6.5,2.0,0.585,8.7,0
Ben Simmons,PHI,18/19,16.9,8.8,7.7,0.622,8.2,0
Eric Bledsoe,MIL,18/19,15.9,4.6,5.5,0.732,8.2,0
Danilo Gallinari,LAC,18/19,19.8,6.1,2.6,0.585,8.2,0
Mike Conley,MEM,18/19,21.1,3.4,6.4,0.402,8.0,0
Blake Griffin,DET,18/19,24.5,7.5,5.4,0.5,8.0,0
Derrick Favors,UTA,18/19,11.8,7.4,1.2,0.61,7.9,0
Jusuf Nurkić,POR,18/19,15.6,10.4,3.2,0.646,7.8,0
Jarrett Allen,BRK,18/19,10.9,8.4,1.4,0.512,7.6,0
Bradley Beal,WAS,18/19,25.6,5.0,5.5,0.39,7.6,0
Domantas Sabonis,IND,18/19,14.1,9.3,2.9,0.585,7.6,0
Dwight Powell,DAL,18/19,10.6,5.3,1.5,0.402,7.5,0
Al Horford,BOS,18/19,13.6,6.7,4.2,0.598,7.5,0
Kemba Walker,CHO,18/19,25.6,4.4,5.9,0.476,7.4,0
Jerami Grant,OKC,18/19,13.6,5.2,1.0,0.598,7.3,0
D.J. Augustin,ORL,18/19,11.7,2.5,5.3,0.512,6.9,0
Thaddeus Young,IND,18/19,12.6,6.5,2.5,0.585,6.9,0
Darren Collison,IND,18/19,11.2,3.1,6.0,0.585,6.8,0
Bam Adebayo,MIA,18/19,8.9,7.3,2.2,0.476,6.8,0
Bojan Bogdanović,IND,18/19,18.0,4.1,2.0,0.585,6.8,0
Willie Cauley-Stein,SAC,18/19,11.9,8.4,2.4,0.476,6.7,0
Brook Lopez,MIL,18/19,12.5,4.9,1.2,0.732,6.7,0
Kyle Lowry,TOR,18/19,14.2,4.8,8.7,0.707,6.6,0
Chris Paul,HOU,18/19,15.6,4.6,8.2,0.646,6.6,0
Malcolm Brogdon,MIL,18/19,15.6,4.5,3.2,0.732,6.5,0
Myles Turner,IND,18/19,13.3,7.2,1.6,0.585,6.3,0
Hassan Whiteside,MIA,18/19,12.3,11.3,0.8,0.476,6.3,0
DeMar DeRozan,SAS,18/19,21.2,6.0,6.2,0.585,6.3,0
Monte Morris,DEN,18/19,10.4,2.4,3.6,0.659,6.2,0
Mitchell Robinson,NYK,18/19,7.3,6.4,0.6,0.207,6.1,0
Khris Middleton,MIL,18/19,18.3,6.0,4.3,0.732,6.1,0
Paul Millsap,DEN,18/19,12.6,7.2,2.0,0.659,6.1,0
Serge Ibaka,TOR,18/19,15.0,8.1,1.3,0.707,6.1,0
Julius Randle,NOP,18/19,21.4,8.7,3.1,0.402,6.1,0
Joe Ingles,UTA,18/19,12.1,4.0,5.7,0.61,6.0,0
John Collins,ATL,18/19,19.5,9.8,2.0,0.354,6.0,0
Kevon Looney,GSW,18/19,6.2,5.2,1.5,0.695,6.0,0
JaVale McGee,LAL,18/19,12.0,7.5,0.7,0.451,5.9,0
Danny Green,TOR,18/19,10.3,4.0,1.6,0.707,5.9,0
Buddy Hield,SAC,18/19,20.7,5.0,2.5,0.476,5.9,0
JJ Redick,PHI,18/19,18.1,2.4,2.7,0.622,5.9,0
Deandre Ayton,PHO,18/19,16.3,10.3,1.8,0.232,5.8,0
Mason Plumlee,DEN,18/19,7.8,6.4,3.0,0.659,5.8,0
Al-Farouq Aminu,POR,18/19,9.4,7.5,1.3,0.646,5.8,0
Ed Davis,BRK,18/19,5.8,8.6,0.8,0.512,5.7,0
De'Aaron Fox,SAC,18/19,17.3,3.8,7.3,0.476,5.6,0
CJ McCollum,POR,18/19,21.0,4.0,3.0,0.646,5.6,0
Josh Richardson,MIA,18/19,16.6,3.6,4.1,0.476,5.6,0
Thomas Bryant,WAS,18/19,10.5,6.3,1.3,0.39,5.6,0
Joe Harris,BRK,18/19,13.7,3.8,2.4,0.512,5.5,0
Jrue Holiday,NOP,18/19,21.2,5.0,7.7,0.402,5.4,0
Marcus Smart,BOS,18/19,8.8,2.9,4.0,0.598,5.3,0
Jeremy Lamb,CHO,18/19,15.3,5.5,2.2,0.476,5.3,0
Klay Thompson,GSW,18/19,21.5,3.8,2.4,0.695,5.3,0
Jakob Poeltl,SAS,18/19,5.5,5.3,1.2,0.585,5.1,0
Jamal Murray,DEN,18/19,18.2,4.2,4.8,0.659,5.1,0
Lou Williams,LAC,18/19,20.0,3.0,5.4,0.585,5.1,0
Aaron Gordon,ORL,18/19,16.0,7.4,3.7,0.512,5.1,0
Taj Gibson,MIN,18/19,10.8,6.5,1.2,0.439,5.1,0
P.J. Tucker,HOU,18/19,7.3,5.8,1.2,0.646,5.0,0
Donovan Mitchell,UTA,18/19,23.8,4.1,4.2,0.61,5.0,0
Reggie Jackson,DET,18/19,15.4,2.6,4.2,0.5,5.0,0
Jayson Tatum,BOS,18/19,15.7,6.0,2.1,0.598,5.0,0
D'Angelo Russell,BRK,18/19,21.1,3.9,7.0,0.512,5.0,0
Larry Nance Jr.,CLE,18/19,9.4,8.2,3.2,0.232,4.9,0
Gordon Hayward,BOS,18/19,11.5,4.5,3.4,0.598,4.9,0
Luka Dončić,DAL,18/19,21.2,7.8,6.0,0.402,4.9,0
Spencer Dinwiddie,BRK,18/19,16.8,2.4,4.6,0.512,4.8,0
Patrick Beverley,LAC,18/19,7.6,5.0,3.8,0.585,4.8,0
Kelly Olynyk,MIA,18/19,10.0,4.7,1.8,0.476,4.7,0
Tomáš Satoranský,WAS,18/19,8.9,3.5,5.0,0.39,4.7,0
Marcus Morris,BOS,18/19,13.9,6.1,1.5,0.598,4.5,0
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,0.476,4.5,0
Malik Beasley,DEN,18/19,11.3,2.5,1.2,0.659,4.5,0
Rudy Gay,SAS,18/19,13.7,6.8,2.6,0.585,4.4,0
Jae Crowder,UTA,18/19,11.9,4.8,1.7,0.61,4.4,0
Nerlens Noel,OKC,18/19,4.9,4.2,0.6,0.598,4.3,0
Draymond Green,GSW,18/19,7.4,7.3,6.9,0.695,4.3,0
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,0.707,4.3,0
Richaun Holmes,PHO,18/19,8.2,4.7,0.9,0.232,4.3,0
Terrence Ross,ORL,18/19,15.1,3.5,1.7,0.512,4.3,0
Andre Iguodala,GSW,18/19,5.7,3.7,3.2,0.695,4.2,0
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,0.451,4.0,0
Dāvis Bertāns,SAS,18/19,8.0,3.5,1.3,0.585,4.0,0
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,0.512,4.0,0
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,0.354,4.0,0
Pat Connaughton,MIL,18/19,6.9,4.2,2.0,0.732,3.9,0
Cody Zeller,CHO,18/19,10.1,6.8,2.1,0.476,3.9,0
Marvin Williams,CHO,18/19,10.1,5.4,1.2,0.476,3.8,0
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,0.585,3.8,0
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,0.61,3.7,0
Nicolas Batum,CHO,18/19,9.3,5.2,3.3,0.476,3.7,0
Ryan Arcidiacono,CHI,18/19,6.7,2.7,3.3,0.268,3.7,0
Derrick White,SAS,18/19,9.9,3.7,3.9,0.585,3.6,0
Jeff Green,WAS,18/19,12.3,4.0,1.8,0.39,3.6,0
