Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Taj Gibson,MIN,18/19,10.8,6.5,1.2,0.439,5.1,0,123,112,17.8,-0.1,17.2,0.8
P.J. Tucker,HOU,18/19,7.3,5.8,1.2,0.646,5.0,0,114,110,9.2,-0.6,9.5,1.0
Donovan Mitchell,UTA,18/19,23.8,4.1,4.2,0.61,5.0,0,104,107,17.2,1.3,31.6,2.2
Reggie Jackson,DET,18/19,15.4,2.6,4.2,0.5,5.0,0,111,112,15.2,0.4,24.5,1.4
Jayson Tatum,BOS,18/19,15.7,6.0,2.1,0.598,5.0,0,107,107,15.1,-0.2,22.1,1.1
D'Angelo Russell,BRK,18/19,21.1,3.9,7.0,0.512,5.0,0,107,110,19.4,3.4,31.9,3.4
Larry Nance Jr.,CLE,18/19,9.4,8.2,3.2,0.232,4.9,0,120,112,18.6,2.4,15.5,2.0
Gordon Hayward,BOS,18/19,11.5,4.5,3.4,0.598,4.9,0,114,109,15.6,0.8,19.0,1.3
Luka Dončić,DAL,18/19,21.2,7.8,6.0,0.402,4.9,0,107,109,19.6,3.9,30.5,3.4
Spencer Dinwiddie,BRK,18/19,16.8,2.4,4.6,0.512,4.8,0,114,113,16.3,0.6,24.9,1.3
Patrick Beverley,LAC,18/19,7.6,5.0,3.8,0.585,4.8,0,119,111,11.8,0.9,12.2,1.5
Kelly Olynyk,MIA,18/19,10.0,4.7,1.8,0.476,4.7,0,114,108,14.4,0.7,18.0,1.2
Tomáš Satoranský,WAS,18/19,8.9,3.5,5.0,0.39,4.7,0,121,116,14.1,-0.7,14.1,0.7
Marcus Morris,BOS,18/19,13.9,6.1,1.5,0.598,4.5,0,110,109,14.2,-0.9,20.9,0.6
Nemanja Bjelica,SAC,18/19,9.6,5.8,1.9,0.476,4.5,0,117,110,15.4,0.9,16.5,1.3
Malik Beasley,DEN,18/19,11.3,2.5,1.2,0.659,4.5,0,117,112,14.2,0.1,18.7,1.0
Rudy Gay,SAS,18/19,13.7,6.8,2.6,0.585,4.4,0,111,109,17.5,1.4,22.1,1.6
Jae Crowder,UTA,18/19,11.9,4.8,1.7,0.61,4.4,0,107,107,12.1,0.3,19.1,1.2
Nerlens Noel,OKC,18/19,4.9,4.2,0.6,0.598,4.3,0,122,99,19.3,2.1,13.8,1.1
Draymond Green,GSW,18/19,7.4,7.3,6.9,0.695,4.3,0,108,106,12.9,1.4,13.1,1.8
Fred VanVleet,TOR,18/19,11.0,2.6,4.8,0.707,4.3,0,114,110,13.7,0.5,17.9,1.1
Richaun Holmes,PHO,18/19,8.2,4.7,0.9,0.232,4.3,0,127,111,20.7,0.6,17.9,0.8
Terrence Ross,ORL,18/19,15.1,3.5,1.7,0.512,4.3,0,108,109,15.4,0.8,23.9,1.5
Andre Iguodala,GSW,18/19,5.7,3.7,3.2,0.695,4.2,0,124,109,13.1,1.8,10.4,1.5
Kentavious Caldwell-Pope,LAL,18/19,11.4,2.9,1.3,0.451,4.0,0,113,112,12.9,-0.5,18.1,0.8
Dāvis Bertāns,SAS,18/19,8.0,3.5,1.3,0.585,4.0,0,122,112,13.0,1.3,14.1,1.4
Jonathan Isaac,ORL,18/19,9.6,5.5,1.1,0.512,4.0,0,107,106,13.0,-0.4,16.3,0.8
Dewayne Dedmon,ATL,18/19,10.8,7.5,1.4,0.354,4.0,0,115,109,16.0,0.5,16.7,1.0
Pat Connaughton,MIL,18/19,6.9,4.2,2.0,0.732,3.9,0,122,107,13.6,1.2,13.3,1.0
Cody Zeller,CHO,18/19,10.1,6.8,2.1,0.476,3.9,0,123,111,17.2,0.1,16.3,0.7
Marvin Williams,CHO,18/19,10.1,5.4,1.2,0.476,3.8,0,112,111,12.6,-0.3,14.9,0.9
Bryn Forbes,SAS,18/19,11.8,2.9,2.1,0.585,3.8,0,113,114,12.0,-1.2,17.4,0.5
Ricky Rubio,UTA,18/19,12.7,3.6,6.1,0.61,3.7,0,105,107,14.0,-0.2,22.7,0.9
Nicolas Batum,CHO,18/19,9.3,5.2,3.3,0.476,3.7,0,112,113,11.9,-0.3,13.2,1.0
Ryan Arcidiacono,CHI,18/19,6.7,2.7,3.3,0.268,3.7,0,121,115,11.6,-1.9,11.7,0.1
Derrick White,SAS,18/19,9.9,3.7,3.9,0.585,3.6,0,111,110,14.8,0.9,17.7,1.3
Jeff Green,WAS,18/19,12.3,4.0,1.8,0.39,3.6,0,115,116,13.6,-1.4,17.8,0.3
Marvin Bagley III,SAC,18/19,14.9,7.6,1.0,0.476,3.6,0,111,110,18.9,-1.0,24.2,0.4
