Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,ORtg,DRtg,PER,BPM,USG%,VORP
Jonas Valančiūnas,TOR,14/15,12.0,8.7,0.5,0.598,8.2,0,121,105,20.6,0.5,19.1,1.3
Danny Green,SAS,14/15,11.7,4.2,2.0,0.671,7.8,0,114,100,16.5,4.6,17.5,3.8
Jeff Teague,ATL,14/15,15.9,2.5,7.0,0.732,7.7,0,111,104,20.6,2.9,25.3,2.8
Kyle Korver,ATL,14/15,12.1,4.1,2.6,0.732,7.5,0,122,106,14.8,2.8,14.4,3.0
Dirk Nowitzki,DAL,14/15,17.3,5.9,1.9,0.61,7.2,0,113,107,19.2,2.2,24.9,2.4
Zach Randolph,MEM,14/15,16.1,10.5,2.2,0.671,7.2,0,107,101,19.5,1.3,24.3,1.9
Kyle Lowry,TOR,14/15,17.8,4.7,6.8,0.598,7.1,0,110,107,19.3,3.0,25.4,3.1
DeMarre Carroll,ATL,14/15,12.6,5.3,1.7,0.732,7.0,0,117,104,15.9,1.7,16.9,2.0
Nikola Vučević,ORL,14/15,19.3,10.9,2.0,0.305,7.0,0,109,106,21.5,0.9,26.0,1.8
Brook Lopez,BRK,14/15,17.2,7.4,0.7,0.463,7.0,0,112,105,22.7,1.2,26.3,1.6
Eric Bledsoe,PHO,14/15,17.0,5.2,6.1,0.476,7.0,0,107,106,18.4,2.1,23.7,2.9
Mike Conley,MEM,14/15,15.8,3.0,5.4,0.671,6.8,0,110,104,18.6,2.8,23.7,2.7
Greg Monroe,DET,14/15,15.9,10.2,2.1,0.39,6.8,0,110,103,21.2,2.0,23.9,2.1
Tristan Thompson,CLE,14/15,8.5,8.0,0.5,0.646,6.8,0,121,106,15.6,-1.2,14.0,0.4
Harrison Barnes,GSW,14/15,10.1,5.5,1.4,0.817,6.7,0,116,104,13.4,0.1,14.9,1.2
JJ Redick,LAC,14/15,16.4,2.1,1.8,0.683,6.7,0,118,111,16.2,1.3,21.0,2.0
Khris Middleton,MIL,14/15,13.4,4.4,2.3,0.5,6.7,0,109,102,15.6,1.6,19.9,2.2
Lou Williams,TOR,14/15,15.5,1.9,2.0,0.598,6.6,0,114,109,19.9,2.6,27.0,2.3
Trevor Ariza,HOU,14/15,12.8,5.6,2.5,0.683,6.6,0,107,103,12.7,1.0,16.5,2.2
Tyler Zeller,BOS,14/15,10.2,5.7,1.4,0.488,6.5,0,119,105,18.9,0.9,19.6,1.3
Ed Davis,LAL,14/15,8.3,7.6,1.2,0.256,6.3,0,124,107,20.0,1.5,14.8,1.6
Giannis Antetokounmpo,MIL,14/15,12.7,6.7,2.6,0.5,6.2,0,105,101,14.8,0.0,19.6,1.2
Wesley Matthews,POR,14/15,15.9,3.7,2.3,0.622,6.2,0,114,105,16.1,3.1,19.8,2.6
Patrick Patterson,TOR,14/15,8.0,5.3,1.9,0.598,6.1,0,122,108,14.6,2.5,13.1,2.4
Rudy Gay,SAC,14/15,21.1,5.9,3.7,0.354,6.1,0,110,110,19.7,2.7,27.0,2.9
Nikola Mirotić,CHI,14/15,10.2,4.9,1.2,0.61,5.7,0,111,101,17.9,2.3,22.8,1.8
Anthony Morrow,OKC,14/15,10.7,2.6,0.8,0.549,5.7,0,124,108,14.8,1.8,16.5,1.7
Kenneth Faried,DEN,14/15,12.6,8.9,1.2,0.366,5.6,0,111,106,18.4,-0.1,20.3,1.0
Serge Ibaka,OKC,14/15,14.3,7.8,0.9,0.549,5.6,0,109,104,16.6,0.9,18.9,1.6
Joakim Noah,CHI,14/15,7.2,9.6,4.7,0.61,5.6,0,109,102,15.3,2.1,13.7,2.1
Chandler Parsons,DAL,14/15,15.7,4.9,2.4,0.61,5.5,0,112,108,16.3,1.6,20.6,2.0
Paul Pierce,WAS,14/15,11.9,4.0,2.0,0.561,5.5,0,112,104,15.2,1.5,19.9,1.7
George Hill,IND,14/15,16.1,4.2,5.1,0.463,5.4,0,117,103,21.5,5.3,23.8,2.3
Luol Deng,MIA,14/15,14.0,5.2,1.9,0.451,5.4,0,110,109,15.5,0.0,19.5,1.2
Brandon Bass,BOS,14/15,10.6,4.9,1.3,0.488,5.3,0,112,106,16.3,0.0,19.5,1.0
Hassan Whiteside,MIA,14/15,11.8,10.0,0.1,0.451,5.3,0,117,97,26.2,4.1,21.1,1.8
Andrew Bogut,GSW,14/15,6.3,8.1,2.7,0.817,5.2,0,110,97,15.8,2.4,13.2,1.8
Nicolas Batum,POR,14/15,9.4,5.9,4.8,0.622,5.2,0,106,103,13.1,2.1,14.6,2.4
Robin Lopez,POR,14/15,9.6,6.7,0.9,0.622,5.1,0,117,104,16.2,0.1,15.5,0.9
Amir Johnson,TOR,14/15,9.3,6.1,1.6,0.598,5.1,0,115,107,15.4,-0.1,15.7,0.9
Andre Iguodala,GSW,14/15,7.8,3.3,3.0,0.817,5.1,0,110,103,12.3,0.9,13.3,1.5
Ömer Aşık,NOP,14/15,7.3,9.8,0.9,0.549,5.0,0,112,105,15.5,-1.2,14.0,0.4
Gorgui Dieng,MIN,14/15,9.7,8.3,2.0,0.195,4.9,0,113,108,17.2,0.2,15.0,1.2
P.J. Tucker,PHO,14/15,9.1,6.4,1.6,0.476,4.9,0,108,105,12.5,0.4,13.9,1.4
Courtney Lee,MEM,14/15,10.1,2.3,2.0,0.671,4.8,0,109,106,11.5,-0.5,15.2,0.9
Taj Gibson,CHI,14/15,10.3,6.4,1.1,0.61,4.8,0,112,104,16.1,-0.4,17.6,0.7
Tobias Harris,ORL,14/15,17.1,6.3,1.8,0.305,4.8,0,107,108,16.7,0.5,22.5,1.5
Mason Plumlee,BRK,14/15,8.7,6.2,0.9,0.463,4.8,0,109,103,18.0,0.1,19.2,0.9
Al Jefferson,CHO,14/15,16.6,8.4,1.7,0.402,4.7,0,101,100,19.7,1.6,26.3,1.8
Donatas Motiejūnas,HOU,14/15,12.0,5.9,1.8,0.683,4.7,0,107,105,14.4,-0.5,19.1,0.8
Tyreke Evans,NOP,14/15,16.6,5.3,6.6,0.549,4.6,0,103,107,17.7,1.2,26.1,2.2
Markieff Morris,PHO,14/15,15.3,6.2,2.3,0.476,4.6,0,102,105,15.8,-0.3,23.3,1.1
Cory Joseph,SAS,14/15,6.8,2.4,2.4,0.671,4.5,0,115,104,15.5,1.4,17.0,1.2
Kemba Walker,CHO,14/15,17.3,3.5,5.1,0.402,4.5,0,103,104,17.6,2.3,25.9,2.3
Luis Scola,IND,14/15,9.4,6.5,1.3,0.463,4.4,0,104,101,16.8,-0.3,22.8,0.7
Marvin Williams,CHO,14/15,7.4,4.9,1.3,0.402,4.3,0,106,103,11.8,0.0,13.3,1.0
Matt Barnes,LAC,14/15,10.1,4.0,1.5,0.683,4.3,0,108,107,11.3,-0.3,14.9,1.0
David West,IND,14/15,11.7,6.8,3.4,0.463,4.3,0,103,102,16.0,1.6,21.0,1.7
Roy Hibbert,IND,14/15,10.6,7.1,1.1,0.463,4.2,0,101,101,15.4,-1.2,21.3,0.4
Devin Harris,DAL,14/15,8.8,1.8,3.1,0.61,4.2,0,113,108,14.8,1.4,18.0,1.4
Zaza Pachulia,MIL,14/15,8.3,6.8,2.4,0.5,4.2,0,103,100,15.6,0.4,19.1,1.0
Jared Dudley,MIL,14/15,7.2,3.1,1.8,0.5,4.1,0,112,104,12.3,0.6,13.5,1.1
Mike Dunleavy,CHI,14/15,9.4,3.9,1.8,0.61,4.1,0,113,106,11.6,0.0,14.2,0.9
Steven Adams,OKC,14/15,7.7,7.5,0.9,0.549,4.1,0,108,104,14.1,-1.3,14.3,0.3
Tony Allen,MEM,14/15,8.6,4.4,1.4,0.671,4.1,0,103,98,14.6,1.6,16.6,1.5
James Johnson,TOR,14/15,7.9,3.7,1.4,0.598,4.1,0,114,104,17.9,2.4,17.4,1.5
Joe Johnson,BRK,14/15,14.4,4.8,3.6,0.463,4.1,0,105,110,14.1,-0.1,20.3,1.3
Tony Parker,SAS,14/15,14.4,1.9,4.9,0.671,4.1,0,105,107,15.9,-1.3,24.5,0.3
Tiago Splitter,SAS,14/15,8.2,4.8,1.5,0.671,4.0,0,117,101,18.9,2.3,18.4,1.1
Rodney Stuckey,IND,14/15,12.6,3.5,3.1,0.463,4.0,0,104,105,15.4,0.3,23.4,1.1
Bismack Biyombo,CHO,14/15,4.8,6.4,0.2,0.402,4.0,0,115,99,15.2,-1.1,11.6,0.3
Jared Sullinger,BOS,14/15,13.3,7.6,2.3,0.488,4.0,0,106,103,17.9,1.1,23.6,1.2
Ersan İlyasova,MIL,14/15,11.5,4.8,1.0,0.5,4.0,0,111,103,16.8,1.1,22.1,1.0
C.J. Watson,IND,14/15,10.0,2.9,3.6,0.463,4.0,0,110,104,15.4,1.3,18.8,1.2
Nerlens Noel,PHI,14/15,9.9,8.1,1.7,0.22,4.0,0,96,99,15.0,-0.3,17.0,1.0
Marcus Morris,PHO,14/15,10.4,4.8,1.6,0.476,4.0,0,107,107,13.7,0.1,19.0,1.1
Marreese Speights,GSW,14/15,10.4,4.3,0.9,0.817,4.0,0,108,102,19.5,-1.9,29.1,0.0
Robert Covington,PHI,14/15,13.5,4.5,1.5,0.22,4.0,0,104,104,14.7,0.7,21.8,1.3
DeMar DeRozan,TOR,14/15,20.1,4.6,3.5,0.598,4.0,0,104,109,17.4,-0.9,28.4,0.6
Danilo Gallinari,DEN,14/15,12.4,3.7,1.4,0.366,3.9,0,114,109,16.8,2.4,21.5,1.6
Aron Baynes,SAS,14/15,6.6,4.5,0.5,0.671,3.9,0,116,103,15.9,-1.8,17.8,0.1
Cody Zeller,CHO,14/15,7.6,5.8,1.6,0.402,3.8,0,108,102,14.1,-0.6,15.6,0.5
Darren Collison,SAC,14/15,16.1,3.2,5.6,0.354,3.8,0,112,110,17.5,2.1,20.9,1.6
Michael Kidd-Gilchrist,CHO,14/15,10.9,7.6,1.4,0.402,3.8,0,106,103,15.1,-0.5,18.4,0.6
Kris Humphries,WAS,14/15,8.0,6.5,0.9,0.561,3.8,0,108,101,15.4,-1.0,18.3,0.3
Bradley Beal,WAS,14/15,15.3,3.8,3.1,0.561,3.7,0,102,105,14.0,0.1,22.5,1.1
Manu Ginóbili,SAS,14/15,10.5,3.0,4.2,0.671,3.7,0,103,102,16.2,1.7,23.9,1.5
Wilson Chandler,DEN,14/15,13.9,6.1,1.7,0.366,3.6,0,104,109,13.2,-0.6,20.1,0.9
Boris Diaw,SAS,14/15,8.7,4.3,2.9,0.671,3.6,0,103,105,12.7,-0.4,18.3,0.8
Deron Williams,BRK,14/15,13.0,3.5,6.6,0.463,3.6,0,105,109,15.7,0.2,22.3,1.2
Monta Ellis,DAL,14/15,18.9,2.4,4.1,0.61,3.6,0,100,107,16.5,-0.1,27.9,1.3
John Henson,MIL,14/15,7.0,4.7,0.9,0.5,3.6,0,106,98,18.0,0.7,18.1,0.8
Chris Bosh,MIA,14/15,21.1,7.0,2.2,0.451,3.6,0,106,106,19.8,1.3,28.4,1.3
Jamal Crawford,LAC,14/15,15.8,1.9,2.5,0.683,3.6,0,106,109,16.6,0.7,27.6,1.2
Trevor Booker,UTA,14/15,7.2,5.0,1.1,0.463,3.6,0,107,104,15.3,-0.2,18.1,0.7
C.J. Miles,IND,14/15,13.5,3.1,1.1,0.463,3.6,0,103,104,14.1,0.9,23.9,1.3
Gerald Henderson,CHO,14/15,12.1,3.4,2.6,0.402,3.6,0,102,106,13.2,-1.4,20.7,0.4
Beno Udrih,MEM,14/15,7.7,1.8,2.8,0.671,3.6,0,108,105,15.4,0.5,19.6,0.9
Chris Andersen,MIA,14/15,5.3,5.0,0.7,0.451,3.6,0,121,103,16.1,1.1,12.3,0.9
Kelly Olynyk,BOS,14/15,10.2,4.7,1.7,0.488,3.6,0,105,102,15.9,0.4,21.1,0.8
Dwight Howard,HOU,14/15,15.8,10.5,1.2,0.683,3.6,0,105,100,19.2,-0.4,23.3,0.5
Jason Terry,HOU,14/15,7.0,1.6,1.9,0.683,3.6,0,112,106,11.4,0.5,14.3,1.0
Solomon Hill,IND,14/15,8.9,3.8,2.2,0.463,3.5,0,101,105,10.2,-1.5,15.9,0.3
Dwyane Wade,MIA,14/15,21.5,3.5,4.8,0.451,3.5,0,102,108,21.4,2.1,34.7,2.1
Ryan Anderson,NOP,14/15,13.7,4.8,0.9,0.549,3.5,0,109,110,15.6,-0.3,23.4,0.7
Victor Oladipo,ORL,14/15,17.9,4.2,4.1,0.305,3.5,0,101,108,15.9,-0.4,25.2,1.1
Patrick Beverley,HOU,14/15,10.1,4.2,3.4,0.683,3.5,0,107,106,11.3,0.1,16.1,0.9
Alex Len,PHO,14/15,6.3,6.6,0.5,0.476,3.4,0,107,103,13.5,-1.8,13.7,0.1
Jrue Holiday,NOP,14/15,14.8,3.4,6.8,0.549,3.4,0,109,107,18.8,2.8,23.1,1.6
Brandon Jennings,DET,14/15,15.4,2.5,6.6,0.39,3.3,0,110,109,19.7,3.3,26.3,1.6
Kosta Koufos,MEM,14/15,5.2,5.3,0.5,0.671,3.3,0,103,99,14.2,-1.2,15.8,0.2
Al-Farouq Aminu,DAL,14/15,5.6,4.6,0.8,0.61,3.3,0,107,102,14.4,0.7,15.2,1.0
Chris Kaman,POR,14/15,8.6,6.5,0.9,0.622,3.3,0,103,101,17.3,-0.8,22.5,0.4
Shaun Livingston,GSW,14/15,5.9,2.3,3.3,0.817,3.3,0,107,104,12.9,-0.8,15.9,0.4
Aaron Brooks,CHI,14/15,11.6,2.0,3.2,0.61,3.3,0,103,107,14.4,-0.8,25.0,0.5
Alexis Ajinça,NOP,14/15,6.5,4.6,0.7,0.549,3.2,0,113,103,19.9,-0.3,21.1,0.4
David Lee,GSW,14/15,7.9,5.2,1.7,0.817,3.2,0,112,100,17.8,0.9,19.6,0.7
Jodie Meeks,DET,14/15,11.0,1.7,1.3,0.39,3.1,0,110,109,14.1,-0.5,20.1,0.5
Nenê,WAS,14/15,11.0,5.1,1.8,0.561,3.0,0,100,102,14.3,-0.8,21.8,0.5
Terrence Jones,HOU,14/15,11.7,6.7,1.1,0.683,3.0,0,114,102,18.3,1.2,18.4,0.7
Marcus Smart,BOS,14/15,7.8,3.3,3.1,0.488,2.9,0,101,104,11.0,-0.5,15.1,0.7
Marco Belinelli,SAS,14/15,9.2,2.5,1.5,0.671,2.9,0,107,106,12.4,-1.0,18.8,0.4
Carmelo Anthony,NYK,14/15,24.2,6.6,3.0,0.207,2.9,0,106,110,21.5,3.0,32.2,1.8
Eric Gordon,NOP,14/15,13.4,2.6,3.8,0.549,2.9,0,106,111,12.7,-1.0,19.8,0.5
Lavoy Allen,IND,14/15,5.0,5.1,1.2,0.463,2.8,0,109,102,14.9,0.0,15.2,0.6
Kentavious Caldwell-Pope,DET,14/15,12.7,3.1,1.3,0.39,2.8,0,101,109,11.2,-1.7,19.5,0.2
Leandro Barbosa,GSW,14/15,7.1,1.4,1.5,0.817,2.8,0,111,104,15.3,0.3,20.5,0.6
O.J. Mayo,MIL,14/15,11.4,2.6,2.8,0.5,2.8,0,101,105,13.5,-0.6,23.6,0.6
Carl Landry,SAC,14/15,7.2,3.8,0.4,0.354,2.8,0,115,111,14.9,-2.3,18.1,-0.1
Meyers Leonard,POR,14/15,5.9,4.5,0.6,0.622,2.8,0,117,102,14.8,0.6,15.8,0.6
Mario Chalmers,MIA,14/15,10.2,2.6,3.8,0.451,2.8,0,100,107,11.7,-2.5,18.9,-0.3
Greivis Vásquez,TOR,14/15,9.5,2.6,3.7,0.598,2.8,0,105,110,12.6,-1.0,19.8,0.5
Otto Porter Jr.,WAS,14/15,6.0,3.0,0.9,0.561,2.7,0,105,104,11.6,-0.5,15.1,0.6
Alan Anderson,BRK,14/15,7.4,2.8,1.1,0.463,2.7,0,109,109,10.6,-1.5,14.2,0.2
J.J. Barea,DAL,14/15,7.5,1.7,3.4,0.61,2.7,0,109,110,15.1,-0.3,21.2,0.6
Omri Casspi,SAC,14/15,8.9,3.9,1.5,0.354,2.7,0,110,110,14.4,-0.8,18.7,0.4
Mike Scott,ATL,14/15,7.8,2.9,1.1,0.732,2.7,0,108,106,15.1,-0.5,21.4,0.4
Jeremy Lin,LAL,14/15,11.2,2.6,4.6,0.256,2.7,0,104,110,15.6,-0.4,21.9,0.8
Rasual Butler,WAS,14/15,7.7,2.6,0.8,0.561,2.6,0,104,105,11.4,-0.8,17.9,0.4
Jarrett Jack,BRK,14/15,12.0,3.1,4.7,0.463,2.6,0,101,109,14.6,-1.1,22.6,0.5
Hollis Thompson,PHI,14/15,8.8,2.8,1.2,0.22,2.6,0,105,108,10.9,-1.8,15.9,0.1
Evan Turner,BOS,14/15,9.5,5.1,5.5,0.488,2.5,0,96,104,12.8,-1.0,19.5,0.6
Ben McLemore,SAC,14/15,12.1,2.9,1.7,0.354,2.5,0,104,112,10.4,-2.2,17.2,-0.2
Dennis Schröder,ATL,14/15,10.0,2.1,4.1,0.732,2.5,0,101,106,15.7,-1.3,27.0,0.2
Avery Bradley,BOS,14/15,13.9,3.1,1.8,0.488,2.5,0,99,107,11.5,-2.2,21.0,-0.1
Thabo Sefolosha,ATL,14/15,5.3,4.3,1.4,0.732,2.5,0,106,100,13.8,1.0,14.6,0.8
Tony Snell,CHI,14/15,6.0,2.4,0.9,0.61,2.4,0,108,107,10.2,-1.4,14.1,0.2
Nikola Jokić,DEN,20/21,26.4,10.8,8.3,0.653,15.6,1,130,109,31.3,12.1,29.6,8.8
Bam Adebayo,MIA,20/21,18.7,9.0,5.4,0.556,8.8,0,122,108,22.7,4.9,23.7,3.7
Deandre Ayton,PHO,20/21,14.4,10.5,1.4,0.708,8.4,0,127,109,20.3,1.2,18.2,1.7
Julius Randle,NYK,20/21,24.1,10.2,6.0,0.569,7.8,0,111,107,19.7,3.8,29.3,3.9
Kyrie Irving,BRK,20/21,26.9,4.8,6.0,0.667,7.4,0,121,114,24.4,5.5,30.4,3.6
DeMar DeRozan,SAS,20/21,21.6,4.2,6.9,0.458,7.4,0,122,115,22.0,3.1,26.1,2.6
Montrezl Harrell,LAL,20/21,13.5,6.2,1.1,0.583,7.3,0,127,106,22.7,3.0,21.7,2.0
Tobias Harris,PHI,20/21,19.5,6.8,3.5,0.681,7.1,0,118,108,20.0,3.7,23.9,2.9
Joe Ingles,UTA,20/21,12.1,3.6,4.7,0.722,7.0,0,129,111,15.9,3.5,16.6,2.6
Michael Porter Jr.,DEN,20/21,19.0,7.3,1.1,0.653,6.9,0,125,112,20.6,3.1,21.7,2.5
John Collins,ATL,20/21,17.6,7.4,1.2,0.569,6.7,0,125,112,20.6,2.3,22.2,2.0
Jrue Holiday,MIL,20/21,17.7,4.5,6.1,0.639,6.6,0,121,111,20.0,3.4,22.2,2.6
Jayson Tatum,BOS,20/21,26.4,7.4,4.3,0.5,6.5,0,114,112,21.3,3.9,30.8,3.4
Khris Middleton,MIL,20/21,20.4,6.0,5.4,0.639,6.4,0,116,113,18.2,1.3,25.0,1.9
Donovan Mitchell,UTA,20/21,26.4,4.4,5.2,0.722,6.2,0,115,110,21.3,4.3,33.5,2.8
Mike Conley,UTA,20/21,16.2,3.5,6.0,0.722,6.1,0,123,109,19.2,4.9,23.1,2.6
Richaun Holmes,SAC,20/21,14.2,8.3,1.7,0.431,6.1,0,130,115,20.2,0.6,17.5,1.2
Chris Boucher,TOR,20/21,13.6,6.7,1.0,0.375,6.1,0,127,109,21.9,3.3,20.5,2.0
Ben Simmons,PHI,20/21,14.3,7.2,6.9,0.681,6.0,0,114,106,18.3,2.9,20.2,2.3
Zach LaVine,CHI,20/21,27.4,5.0,4.9,0.431,5.9,0,115,114,21.5,4.0,31.0,3.1
Jakob Poeltl,SAS,20/21,8.6,7.9,1.9,0.458,5.7,0,123,109,17.5,0.8,13.4,1.3
Royce O'Neale,UTA,20/21,7.0,6.8,2.5,0.722,5.6,0,121,108,9.9,1.0,9.6,1.7
Kyle Anderson,MEM,20/21,12.4,5.7,3.6,0.528,5.6,0,118,109,17.2,3.3,18.5,2.5
Karl-Anthony Towns,MIN,20/21,24.8,10.6,4.5,0.319,5.4,0,117,113,23.1,4.5,29.1,2.8
Paul George,LAC,20/21,23.3,6.6,5.2,0.653,5.3,0,113,110,20.5,4.2,30.0,2.9
Brook Lopez,MIL,20/21,12.3,5.0,0.7,0.639,5.3,0,121,111,15.4,0.0,16.9,0.9
Brandon Ingram,NOP,20/21,23.8,4.9,4.9,0.431,5.3,0,115,116,19.2,2.2,28.0,2.2
Terry Rozier,CHO,20/21,20.4,4.4,4.2,0.458,5.2,0,113,114,17.1,1.6,24.4,2.2
Joe Harris,BRK,20/21,14.1,3.6,1.9,0.667,5.2,0,126,117,14.1,0.4,16.2,1.3
Nerlens Noel,NYK,20/21,5.1,6.4,0.7,0.569,5.2,0,121,101,14.8,1.4,9.2,1.3
Bojan Bogdanović,UTA,20/21,17.0,3.9,1.9,0.722,5.2,0,113,112,14.0,-0.4,22.8,0.9
Mason Plumlee,DET,20/21,10.4,9.3,3.6,0.278,5.1,0,122,109,18.7,2.2,16.3,1.6
Thaddeus Young,CHI,20/21,12.1,6.2,4.3,0.431,5.1,0,116,110,20.3,3.3,22.3,2.2
Jalen Brunson,DAL,20/21,12.6,3.4,3.5,0.583,5.1,0,123,116,17.1,0.9,20.2,1.2
Nicolas Batum,LAC,20/21,8.1,4.7,2.2,0.653,5.0,0,124,110,12.9,2.1,11.8,1.9
Devin Booker,PHO,20/21,25.6,4.2,4.3,0.708,4.9,0,110,114,19.2,0.3,32.7,1.3
Jaylen Brown,BOS,20/21,24.7,6.0,3.4,0.5,4.8,0,112,113,19.9,2.5,29.7,2.3
T.J. McConnell,IND,20/21,8.6,3.7,6.6,0.472,4.8,0,117,110,16.9,1.4,15.3,1.5
Bobby Portis,MIL,20/21,11.4,7.1,1.1,0.639,4.8,0,121,109,19.9,1.5,20.9,1.2
CJ McCollum,POR,20/21,23.1,3.9,4.7,0.583,4.7,0,120,118,20.8,3.9,27.1,2.4
Reggie Bullock,NYK,20/21,10.9,3.4,1.5,0.569,4.6,0,118,111,11.1,-0.1,14.4,0.9
Danny Green,PHI,20/21,9.5,3.8,1.7,0.681,4.6,0,114,108,12.1,1.9,14.0,1.9
Jamal Murray,DEN,20/21,21.2,4.0,4.8,0.653,4.6,0,116,114,18.3,2.0,24.8,1.7
Harrison Barnes,SAC,20/21,16.1,6.6,3.5,0.431,4.5,0,123,119,15.4,0.2,17.2,1.1
Dorian Finney-Smith,DAL,20/21,9.8,5.4,1.7,0.583,4.4,0,124,114,12.0,0.1,12.2,1.0
Bruce Brown,BRK,20/21,8.8,5.4,1.6,0.667,4.4,0,124,112,16.1,-0.1,15.9,0.7
Tim Hardaway Jr.,DAL,20/21,16.6,3.3,1.8,0.583,4.3,0,116,116,15.7,0.4,23.4,1.2
Fred VanVleet,TOR,20/21,19.6,4.2,6.3,0.375,4.3,0,113,113,16.8,2.5,23.9,2.2
Kristaps Porziņģis,DAL,20/21,20.1,8.9,1.6,0.583,4.3,0,117,110,21.3,2.2,26.5,1.4
Kentavious Caldwell-Pope,LAL,20/21,9.7,2.7,1.9,0.583,4.2,0,114,109,10.7,-0.5,14.2,0.7
Pascal Siakam,TOR,20/21,21.4,7.2,4.5,0.375,4.2,0,111,113,17.7,0.8,26.3,1.4
Miles Bridges,CHO,20/21,12.7,6.0,2.2,0.458,4.2,0,116,113,14.7,0.2,17.3,1.1
Malcolm Brogdon,IND,20/21,21.2,5.2,5.9,0.472,4.2,0,113,115,17.9,2.1,25.9,2.0
Jordan Clarkson,UTA,20/21,18.4,4.0,2.5,0.722,4.2,0,109,110,17.1,1.4,29.7,1.6
Brandon Clarke,MEM,20/21,10.3,5.6,1.6,0.528,4.2,0,119,109,17.3,1.5,17.2,1.3
De'Aaron Fox,SAC,20/21,25.2,3.5,7.2,0.431,4.2,0,113,118,20.7,1.8,31.0,2.0
Kyle Lowry,TOR,20/21,17.2,5.4,7.3,0.375,4.1,0,117,115,16.5,1.6,21.4,1.5
RJ Barrett,NYK,20/21,17.6,5.8,3.0,0.569,4.1,0,106,110,13.4,-1.2,23.4,0.5
Jeff Green,BRK,20/21,11.0,3.9,1.6,0.667,4.1,0,122,116,13.0,-0.8,15.6,0.5
Seth Curry,PHI,20/21,12.5,2.4,2.7,0.681,4.0,0,118,112,12.9,-0.3,17.1,0.7
Isaiah Stewart,DET,20/21,7.9,6.7,0.9,0.278,4.0,0,118,109,16.4,-1.1,15.5,0.3
Steven Adams,NOP,20/21,7.6,8.9,1.9,0.431,4.0,0,122,112,15.1,-0.3,11.7,0.7
Dwight Howard,PHI,20/21,7.0,8.4,0.9,0.681,4.0,0,113,102,17.8,-1.5,18.2,0.1
DeAndre Jordan,BRK,20/21,7.5,7.5,1.6,0.667,3.9,0,127,111,17.1,1.0,13.1,0.9
Andrew Wiggins,GSW,20/21,18.6,4.9,2.4,0.542,3.9,0,107,111,15.0,-0.4,23.3,1.0
Bogdan Bogdanović,ATL,20/21,16.4,3.6,3.3,0.569,3.9,0,122,114,17.6,3.6,21.3,1.8
Dennis Schröder,LAL,20/21,15.4,3.5,5.8,0.583,3.8,0,107,109,13.8,-1.1,22.9,0.4
Doug McDermott,IND,20/21,13.6,3.3,1.3,0.472,3.8,0,121,118,15.6,-0.6,20.0,0.6
Jae'Sean Tate,HOU,20/21,11.3,5.3,2.5,0.236,3.8,0,114,115,13.8,-1.4,16.4,0.3
Robert Covington,POR,20/21,8.5,6.7,1.7,0.583,3.7,0,113,112,11.2,0.2,11.5,1.2
Duncan Robinson,MIA,20/21,13.1,3.5,1.8,0.556,3.7,0,113,114,11.0,-1.0,16.6,0.6
Danilo Gallinari,ATL,20/21,13.3,4.1,1.5,0.569,3.7,0,123,114,16.3,1.1,21.2,1.0
Terance Mann,LAC,20/21,7.0,3.6,1.6,0.653,3.7,0,125,112,13.8,-0.2,15.1,0.6
Reggie Jackson,LAC,20/21,10.7,2.9,3.1,0.653,3.7,0,116,113,14.2,0.4,19.9,0.9
Robin Lopez,WAS,20/21,9.0,3.8,0.8,0.472,3.7,0,124,116,16.7,-1.0,17.1,0.4
Anthony Davis,LAL,20/21,21.8,7.9,3.1,0.583,3.7,0,110,104,22.1,4.8,29.2,2.0
Donte DiVincenzo,MIL,20/21,10.4,5.8,3.1,0.639,3.6,0,112,112,13.0,0.2,16.7,1.0
Marcus Morris,LAC,20/21,13.4,4.1,1.0,0.653,3.6,0,117,113,14.5,0.0,20.1,0.8
Kevin Huerter,ATL,20/21,11.9,3.3,3.5,0.569,3.6,0,112,115,12.2,-0.3,17.2,1.0
Cameron Payne,PHO,20/21,8.4,2.4,3.6,0.708,3.6,0,122,112,17.4,3.1,19.8,1.4
Pat Connaughton,MIL,20/21,6.8,4.8,1.2,0.639,3.5,0,121,112,11.3,0.0,11.6,0.8
Gordon Hayward,CHO,20/21,19.6,5.9,4.1,0.458,3.5,0,114,113,17.6,1.6,23.9,1.4
Shai Gilgeous-Alexander,OKC,20/21,23.7,4.7,5.9,0.306,3.5,0,118,115,21.6,4.1,27.8,1.8
Collin Sexton,CLE,20/21,24.3,3.1,4.4,0.306,3.5,0,111,118,18.0,-0.2,29.7,1.0
Tyrese Haliburton,SAC,20/21,13.0,3.0,5.3,0.431,3.5,0,118,118,16.2,1.4,18.1,1.5
Devonte' Graham,CHO,20/21,14.8,2.7,5.4,0.458,3.4,0,115,116,14.6,0.7,21.4,1.1
Kevon Looney,GSW,20/21,4.1,5.3,2.0,0.542,3.4,0,130,111,11.9,-0.9,9.4,0.3
Myles Turner,IND,20/21,12.6,6.5,1.0,0.472,3.3,0,112,108,15.3,0.4,16.4,0.9
Jae Crowder,PHO,20/21,10.0,4.7,2.1,0.708,3.3,0,113,111,11.8,1.1,15.7,1.3
