Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;LeBron James;30;2007-08;23;CLE;75;74;1;3027;794;1642;681;1283;113;359;549;771;133;459;592;539;138;81;255;165;2250;0.484;0.531;0.315;0.712;0.568;0.518;F-G;jamesle01
2;Kobe Bryant;28.3;2007-08;29;LAL;82;82;1;3192;775;1690;625;1275;150;415;623;742;94;423;517;441;151;40;257;227;2323;0.459;0.49;0.361;0.84;0.576;0.503;G-F;bryanko01
3;Allen Iverson;26.4;2007-08;32;DEN;82;82;1;3424;712;1556;617;1281;95;275;645;797;47;196;243;586;160;12;245;109;2164;0.458;0.482;0.345;0.809;0.567;0.488;G;iversal01
4;Carmelo Anthony;25.7;2007-08;23;DEN;77;77;1;2806;728;1481;670;1317;58;164;464;590;178;393;571;259;98;39;253;253;1978;0.492;0.509;0.354;0.786;0.568;0.511;F;anthoca01
5;Amar'e Stoudemire;25.2;2007-08;25;PHO;79;79;1;2677;714;1211;709;1180;5;31;556;691;178;541;719;118;64;163;174;294;1989;0.59;0.601;0.161;0.805;0.656;0.592;F-C;stoudam01
6;Dwyane Wade;24.6;2007-08;26;MIA;51;49;1;1954;439;937;417;860;22;77;354;467;45;169;214;354;87;37;224;137;1254;0.469;0.485;0.286;0.758;0.549;0.48;G;wadedw01
7;Kevin Martin;23.7;2007-08;24;SAC;61;57;0;2216;417;914;310;648;107;266;502;578;48;225;273;129;62;5;131;150;1443;0.456;0.478;0.402;0.869;0.618;0.515;G;martike02
8;Dirk Nowitzki;23.6;2007-08;29;DAL;77;77;1;2769;630;1314;551;1094;79;220;478;544;95;564;659;266;51;71;160;198;1817;0.479;0.504;0.359;0.879;0.585;0.51;F-C;nowitdi01
9;Michael Redd;22.7;2007-08;28;MIL;72;71;0;2702;550;1243;420;884;130;359;402;490;85;224;309;247;65;13;181;120;1632;0.442;0.475;0.362;0.82;0.559;0.495;G;reddmi01
10;Richard Jefferson;22.6;2007-08;27;NJN;82;82;0;3200;619;1328;542;1115;77;213;542;679;93;249;342;252;76;21;199;225;1857;0.466;0.486;0.362;0.798;0.571;0.495;F;jefferi01
11;Chris Bosh;22.3;2007-08;23;TOR;67;67;1;2425;507;1027;497;1002;10;25;472;559;174;409;583;171;63;67;153;157;1496;0.494;0.496;0.4;0.844;0.588;0.499;F-C;boshch01
12;Corey Maggette;22.1;2007-08;28;LAC;70;65;0;2502;458;1000;380;797;78;203;553;681;78;316;394;189;71;7;195;210;1547;0.458;0.477;0.384;0.812;0.595;0.497;F;maggeco01
13;Yao Ming;22;2007-08;27;HOU;55;55;1;2044;432;852;432;850;0;2;345;406;172;422;594;129;25;111;183;171;1209;0.507;0.508;0;0.85;0.587;0.507;C;mingya01
14;Baron Davis;21.8;2007-08;28;GSW;82;82;0;3196;650;1526;477;1001;173;525;318;424;96;289;385;623;191;43;232;247;1791;0.426;0.477;0.33;0.75;0.523;0.483;G;davisba01
15;Jason Richardson;21.8;2007-08;27;CHA;82;82;0;3149;648;1468;405;869;243;599;249;331;80;361;441;258;116;57;166;241;1788;0.441;0.466;0.406;0.752;0.554;0.524;G;richaja01
