Player,Team,Season,PPG,RPG,APG,Win%,WS,MVP,Standings
Francisco Elson,DEN,05/06,4.9,4.7,0.7,0.537,2.9,0,10
Andris Biedriņš,GSW,05/06,3.8,4.2,0.4,0.415,2.9,0,17
Jake Tsakalidis,MEM,05/06,5.0,4.2,0.3,0.598,2.8,0,7
Adonal Foyle,GSW,05/06,4.5,5.5,0.4,0.415,2.8,0,17
Clifford Robinson,NJN,05/06,6.9,3.3,1.1,0.598,2.8,0,7
Steve Blake,POR,05/06,8.2,2.1,4.5,0.256,2.8,0,22
Marvin Williams,ATL,05/06,8.5,4.8,0.8,0.317,2.8,0,20
Deron Williams,UTA,05/06,10.8,2.4,4.5,0.5,2.8,0,12
David Lee,NYK,05/06,5.1,4.5,0.6,0.28,2.7,0,21
Eduardo Nájera,DEN,05/06,5.4,5.1,0.8,0.537,2.7,0,10
Tyronn Lue,ATL,05/06,11.0,1.6,3.1,0.317,2.7,0,20
Fred Jones,IND,05/06,9.6,2.5,2.3,0.5,2.6,0,12
Devean George,LAL,05/06,6.3,3.9,1.0,0.549,2.6,0,9
Ike Diogu,GSW,05/06,7.0,3.3,0.4,0.415,2.6,0,17
Matt Carroll,CHO,05/06,7.6,2.0,0.4,0.317,2.6,0,20
Raymond Felton,CHO,05/06,11.8,3.3,5.6,0.317,2.6,0,20
Stromile Swift,HOU,05/06,8.9,4.4,0.4,0.415,2.5,0,17
Mo Williams,MIL,05/06,12.1,2.5,4.0,0.488,2.5,0,13
Darius Songaila,CHI,05/06,9.2,4.0,1.4,0.5,2.5,0,12
T.J. Ford,MIL,05/06,12.2,4.3,6.6,0.488,2.5,0,13
Etan Thomas,WAS,05/06,4.7,3.9,0.2,0.512,2.5,0,11
Dan Gadzuric,MIL,05/06,5.2,3.1,0.3,0.488,2.5,0,13
Steven Hunter,PHI,05/06,6.1,3.9,0.2,0.463,2.5,0,14
DeShawn Stevenson,ORL,05/06,11.0,2.9,2.0,0.439,2.4,0,15
Jerry Stackhouse,DAL,05/06,13.0,2.8,2.9,0.732,2.4,0,3
Chuck Hayes,HOU,05/06,3.7,4.5,0.4,0.415,2.4,0,17
Al Jefferson,BOS,05/06,7.9,5.1,0.5,0.402,2.3,0,18
Anderson Varejão,CLE,05/06,4.6,4.9,0.4,0.61,2.3,0,6
Trenton Hassell,MIN,05/06,9.2,2.8,2.6,0.402,2.3,0,18
James Singleton,LAC,05/06,3.4,3.3,0.5,0.573,2.3,0,8
Marko Jarić,MIN,05/06,7.8,3.1,3.9,0.402,2.3,0,18
Keith Van Horn,DAL,05/06,8.9,3.6,0.7,0.732,2.3,0,3
Pau Gasol,LAL,08/09,18.9,9.6,3.5,0.793,13.9,0,2
Ray Allen,BOS,08/09,18.2,3.5,2.8,0.756,11.1,0,3
Rajon Rondo,BOS,08/09,11.9,5.2,8.2,0.756,9.9,0,3
Mo Williams,CLE,08/09,17.8,3.4,4.1,0.805,9.8,0,1
Chris Bosh,TOR,08/09,22.7,10.0,2.5,0.402,9.7,0,18
Gerald Wallace,CHO,08/09,16.6,7.8,2.7,0.427,9.5,0,16
Rashard Lewis,ORL,08/09,17.7,5.7,2.6,0.72,9.5,0,4
LaMarcus Aldridge,POR,08/09,18.1,7.5,1.9,0.659,9.5,0,5
Nenê,DEN,08/09,14.6,7.8,1.4,0.659,9.3,0,5
Andre Iguodala,PHI,08/09,18.8,5.7,5.3,0.5,9.2,0,13
David Lee,NYK,08/09,16.0,11.7,2.1,0.39,9.0,0,19
Andre Miller,PHI,08/09,16.3,4.5,6.5,0.5,8.8,0,13
Luis Scola,HOU,08/09,12.7,8.8,1.5,0.646,8.6,0,6
Troy Murphy,IND,08/09,14.3,11.8,2.4,0.439,8.5,0,15
Jason Kidd,DAL,08/09,9.0,6.2,8.7,0.61,8.5,0,7
Deron Williams,UTA,08/09,19.4,2.9,10.7,0.585,8.4,0,9
Emeka Okafor,CHO,08/09,13.2,10.1,0.6,0.427,8.2,0,16
Antawn Jamison,WAS,08/09,22.2,8.9,1.9,0.232,8.1,0,23
Danny Granger,IND,08/09,25.8,5.1,2.7,0.439,8.0,0,15
Anderson Varejão,CLE,08/09,8.6,7.2,1.0,0.805,8.0,0,1
Kevin Durant,OKC,08/09,25.3,6.5,2.8,0.28,7.9,0,22
Shaquille O'Neal,PHO,08/09,17.8,8.4,1.7,0.561,7.8,0,11
David West,NOH,08/09,21.0,8.5,2.3,0.598,7.8,0,8
Paul Millsap,UTA,08/09,13.5,8.6,1.8,0.585,7.7,0,9
Joe Johnson,ATL,08/09,21.4,4.4,5.8,0.573,7.6,0,10
Vince Carter,NJN,08/09,20.8,5.1,4.7,0.415,7.5,0,17
Devin Harris,NJN,08/09,21.3,3.3,6.9,0.415,7.5,0,17
José Calderón,TOR,08/09,12.8,2.9,8.9,0.402,7.5,0,18
Mehmet Okur,UTA,08/09,17.0,7.7,1.7,0.585,7.4,0,9
Hedo Türkoğlu,ORL,08/09,16.8,5.3,4.9,0.72,7.3,0,4
Jason Terry,DAL,08/09,19.6,2.4,3.4,0.61,7.3,0,7
Steve Nash,PHO,08/09,15.7,3.0,9.7,0.561,7.3,0,11
Kevin Garnett,BOS,08/09,15.8,8.5,2.5,0.756,7.1,0,3
Lamar Odom,LAL,08/09,11.3,8.2,2.6,0.793,6.9,0,2
Ben Gordon,CHI,08/09,20.7,3.5,3.4,0.5,6.9,0,13
Mike Bibby,ATL,08/09,14.9,3.5,5.0,0.573,6.9,0,10
Ronnie Brewer,UTA,08/09,13.7,3.7,2.2,0.585,6.8,0,9
Matt Bonner,SAS,08/09,8.2,4.8,1.0,0.659,6.8,0,5
Al Horford,ATL,08/09,11.5,9.3,2.4,0.573,6.8,0,10
Richard Jefferson,MIL,08/09,19.6,4.6,2.4,0.415,6.6,0,17
Joel Przybilla,POR,08/09,5.5,8.7,0.3,0.659,6.6,0,5
Joakim Noah,CHI,08/09,6.7,7.6,1.3,0.5,6.4,0,13
Delonte West,CLE,08/09,11.7,3.2,3.5,0.805,6.4,0,1
Marc Gasol,MEM,08/09,11.9,7.4,1.7,0.293,6.4,0,21
Derek Fisher,LAL,08/09,9.9,2.3,3.2,0.793,6.3,0,2
Tayshaun Prince,DET,08/09,14.2,5.8,3.1,0.476,6.2,0,14
Erick Dampier,DAL,08/09,5.7,7.1,1.0,0.61,6.1,0,7
Marvin Williams,ATL,08/09,13.9,6.3,1.3,0.573,6.1,0,10
Rudy Fernández,POR,08/09,10.4,2.7,2.0,0.659,6.1,0,5
Trevor Ariza,LAL,08/09,8.9,4.3,1.8,0.793,6.1,0,2
Amar'e Stoudemire,PHO,08/09,21.4,8.1,2.0,0.561,6.1,0,11
Jameer Nelson,ORL,08/09,16.7,3.5,5.4,0.72,6.0,0,4
Carl Landry,HOU,08/09,9.2,5.0,0.6,0.646,5.9,0,6
Nate Robinson,NYK,08/09,17.2,3.9,4.1,0.39,5.9,0,19
Brook Lopez,NJN,08/09,13.0,8.1,1.0,0.415,5.8,0,17
Steve Blake,POR,08/09,11.0,2.5,5.0,0.659,5.8,0,5
J.R. Smith,DEN,08/09,15.2,3.7,2.8,0.659,5.8,0,5
Udonis Haslem,MIA,08/09,10.6,8.2,1.1,0.524,5.7,0,12
Antonio McDyess,DET,08/09,9.6,9.8,1.3,0.476,5.6,0,14
Ramon Sessions,MIL,08/09,12.4,3.4,5.7,0.415,5.6,0,17
Kendrick Perkins,BOS,08/09,8.5,8.1,1.3,0.756,5.6,0,3
Zydrunas Ilgauskas,CLE,08/09,12.9,7.5,1.0,0.805,5.6,0,1
Andrew Bynum,LAL,08/09,14.3,8.0,1.4,0.793,5.5,0,2
Metta World Peace,HOU,08/09,17.1,5.2,3.3,0.646,5.5,0,6
Thaddeus Young,PHI,08/09,15.3,5.0,1.1,0.5,5.5,0,13
Andris Biedriņš,GSW,08/09,11.9,11.2,2.0,0.354,5.4,0,20
Chris Andersen,DEN,08/09,6.4,6.2,0.4,0.659,5.4,0,5
Kevin Love,MIN,08/09,11.1,9.1,1.0,0.293,5.3,0,21
Travis Outlaw,POR,08/09,12.8,4.1,1.0,0.659,5.3,0,5
Grant Hill,PHO,08/09,12.0,4.9,2.3,0.561,5.3,0,11
Shane Battier,HOU,08/09,7.3,4.8,2.3,0.646,5.2,0,6
Mario Chalmers,MIA,08/09,10.0,2.8,4.9,0.524,5.2,0,12
Marcus Camby,LAC,08/09,10.3,11.1,2.0,0.232,5.2,0,23
D.J. Augustin,CHO,08/09,11.8,1.8,3.5,0.427,5.1,0,16
Rasheed Wallace,DET,08/09,12.0,7.4,1.4,0.476,5.1,0,14
Leandro Barbosa,PHO,08/09,14.2,2.6,2.3,0.561,5.0,0,11
Carmelo Anthony,DEN,08/09,22.8,6.8,3.4,0.659,5.0,0,5
Manu Ginóbili,SAS,08/09,15.5,4.5,3.6,0.659,5.0,0,5
Nick Collison,OKC,08/09,8.2,6.9,0.9,0.28,5.0,0,22
Leon Powe,BOS,08/09,7.7,4.9,0.7,0.756,4.9,0,3
Josh Smith,ATL,08/09,15.6,7.2,2.4,0.573,4.9,0,10
Al Jefferson,MIN,08/09,23.1,11.0,1.6,0.293,4.9,0,21
Charlie Villanueva,MIL,08/09,16.2,6.7,1.8,0.415,4.9,0,17
Derrick Rose,CHI,08/09,16.8,3.9,6.3,0.5,4.9,0,13
Eddie House,BOS,08/09,8.5,1.9,1.1,0.756,4.9,0,3
Kevin Martin,SAC,08/09,24.6,3.6,2.7,0.207,4.7,0,24
Roger Mason,SAS,08/09,11.8,3.1,2.1,0.659,4.7,0,5
Hakim Warrick,MEM,08/09,11.6,5.0,0.8,0.293,4.7,0,21
Andrei Kirilenko,UTA,08/09,11.6,4.8,2.6,0.585,4.6,0,9
Eric Gordon,LAC,08/09,16.1,2.6,2.8,0.232,4.6,0,23
Tyrus Thomas,CHI,08/09,10.8,6.4,1.0,0.5,4.6,0,13
Rasual Butler,NOH,08/09,11.2,3.3,0.9,0.598,4.6,0,8
Greg Oden,POR,08/09,8.9,7.0,0.5,0.659,4.6,0,5
Mike Conley,MEM,08/09,10.9,3.4,4.3,0.293,4.5,0,21
Richard Hamilton,DET,08/09,18.3,3.1,4.4,0.476,4.5,0,14
Caron Butler,WAS,08/09,20.8,6.2,4.3,0.232,4.5,0,23
Wally Szczerbiak,CLE,08/09,7.0,3.1,1.1,0.805,4.5,0,1
Kurt Thomas,SAS,08/09,4.3,5.1,0.8,0.659,4.5,0,5
Michael Finley,SAS,08/09,9.7,3.3,1.4,0.659,4.4,0,5
Courtney Lee,ORL,08/09,8.4,2.3,1.2,0.72,4.4,0,4
T.J. Ford,IND,08/09,14.9,3.5,5.3,0.439,4.3,0,15
Raymond Felton,CHO,08/09,14.2,3.8,6.7,0.427,4.3,0,16
Mike Miller,MIN,08/09,9.9,6.6,4.5,0.293,4.2,0,21
Jeff Foster,IND,08/09,6.1,6.9,1.8,0.439,4.2,0,15
James Posey,NOH,08/09,8.9,4.8,1.1,0.598,4.2,0,8
Jeff Green,OKC,08/09,16.5,6.7,2.0,0.28,4.2,0,22
Chris Duhon,NYK,08/09,11.1,3.1,7.2,0.39,4.2,0,19
Jason Maxiell,DET,08/09,5.8,4.2,0.3,0.476,4.1,0,14
Jarrett Jack,IND,08/09,13.1,3.4,4.1,0.439,4.1,0,15
Kelenna Azubuike,GSW,08/09,14.4,5.0,1.6,0.354,4.1,0,20
Brandon Bass,DAL,08/09,8.5,4.5,0.5,0.61,4.1,0,7
Samuel Dalembert,PHI,08/09,6.4,8.5,0.2,0.5,4.0,0,13
Luc Mbah a Moute,MIL,08/09,7.2,5.9,1.1,0.415,4.0,0,17
Kenyon Martin,DEN,08/09,11.7,6.0,2.0,0.659,4.0,0,5
Zaza Pachulia,ATL,08/09,6.2,5.7,0.7,0.573,3.9,0,10
Andrea Bargnani,TOR,08/09,15.4,5.3,1.2,0.402,3.9,0,18
Marreese Speights,PHI,08/09,7.7,3.7,0.4,0.5,3.8,0,13
Rodney Stuckey,DET,08/09,13.4,3.5,4.9,0.476,3.8,0,14
Maurice Evans,ATL,08/09,7.2,3.0,0.7,0.573,3.8,0,10
Daniel Gibson,CLE,08/09,7.8,2.1,1.8,0.805,3.8,0,1
Peja Stojaković,NOH,08/09,13.3,4.3,1.2,0.598,3.8,0,8
Ben Wallace,CLE,08/09,2.9,6.5,0.8,0.805,3.8,0,1
Sasha Vujačić,LAL,08/09,5.8,1.7,1.4,0.793,3.7,0,2
Nicolas Batum,POR,08/09,5.4,2.8,0.9,0.659,3.7,0,5
Kyle Korver,UTA,08/09,9.0,3.3,1.8,0.585,3.7,0,9
Glen Davis,BOS,08/09,7.0,4.0,0.9,0.756,3.7,0,3
Keyon Dooling,NJN,08/09,9.7,2.0,3.5,0.415,3.7,0,17
Linas Kleiza,DEN,08/09,9.9,4.0,0.8,0.659,3.6,0,5
Aaron Brooks,HOU,08/09,11.2,2.0,3.0,0.646,3.6,0,6
Ronny Turiaf,GSW,08/09,5.9,4.6,2.1,0.354,3.6,0,20
Anthony Parker,TOR,08/09,10.7,4.0,3.4,0.402,3.4,0,18
Luke Ridnour,MIL,08/09,9.6,3.0,5.1,0.415,3.4,0,17
Bobby Simmons,NJN,08/09,7.8,3.9,1.3,0.415,3.4,0,17
Tyson Chandler,NOH,08/09,8.8,8.7,0.5,0.598,3.4,0,8
Lou Williams,PHI,08/09,12.8,2.0,3.0,0.5,3.4,0,13
Michael Beasley,MIA,08/09,13.9,5.4,1.0,0.524,3.4,0,12
O.J. Mayo,MEM,08/09,18.5,3.8,3.2,0.293,3.4,0,21
Marcin Gortat,ORL,08/09,3.8,4.5,0.2,0.72,3.3,0,4
Corey Maggette,GSW,08/09,18.6,5.5,1.8,0.354,3.3,0,20
Rudy Gay,MEM,08/09,18.9,5.5,1.7,0.293,3.3,0,21
C.J. Watson,GSW,08/09,9.5,2.5,2.7,0.354,3.3,0,20
Michael Redd,MIL,08/09,21.2,3.2,2.7,0.415,3.2,0,17
Josh Howard,DAL,08/09,18.0,5.1,1.6,0.61,3.2,0,7
Craig Smith,MIN,08/09,10.1,3.8,1.1,0.293,3.1,0,21
Ronald Murray,ATL,08/09,12.2,2.1,2.0,0.573,3.1,0,10
Randy Foye,MIN,08/09,16.3,3.1,4.3,0.293,3.1,0,21
Wilson Chandler,NYK,08/09,14.4,5.4,2.1,0.39,3.1,0,19
Anthony Morrow,GSW,08/09,10.1,3.0,1.2,0.354,3.0,0,20
Mickaël Piétrus,ORL,08/09,9.4,3.3,1.2,0.72,3.0,0,4
James Singleton,DAL,08/09,5.1,4.0,0.3,0.61,3.0,0,7
Matt Barnes,PHO,08/09,10.2,5.5,2.8,0.561,3.0,0,11
Luol Deng,CHI,08/09,14.1,6.0,1.9,0.5,3.0,0,13
C.J. Miles,UTA,08/09,9.1,2.3,1.5,0.585,2.9,0,9
Tony Battie,ORL,08/09,4.8,3.6,0.4,0.72,2.8,0,4
Anthony Johnson,ORL,08/09,5.3,1.8,2.5,0.72,2.8,0,4
Jason Thompson,SAC,08/09,11.1,7.4,1.1,0.207,2.7,0,24
Amir Johnson,DET,08/09,3.5,3.7,0.3,0.476,2.7,0,14
Tracy McGrady,HOU,08/09,15.6,4.4,5.0,0.646,2.7,0,6
Renaldo Balkman,DEN,08/09,5.0,3.8,0.6,0.659,2.6,0,5
Von Wafer,HOU,08/09,9.7,1.8,1.1,0.646,2.6,0,6
Andrew Bogut,MIL,08/09,11.7,10.2,2.0,0.415,2.6,0,17
Carlos Boozer,UTA,08/09,16.2,10.4,2.1,0.585,2.6,0,9
Kirk Hinrich,CHI,08/09,9.9,2.4,3.9,0.5,2.6,0,13
Ryan Gomes,MIN,08/09,13.3,4.8,1.6,0.293,2.5,0,21
Ryan Anderson,NJN,08/09,7.4,4.7,0.8,0.415,2.5,0,17
Darius Songaila,WAS,08/09,7.4,2.9,1.2,0.232,2.4,0,23
Francisco García,SAC,08/09,12.7,3.4,2.3,0.207,2.4,0,24
Willie Green,PHI,08/09,8.5,1.6,2.0,0.5,2.3,0,13
JJ Redick,ORL,08/09,6.0,1.7,1.1,0.72,2.3,0,4
Chauncey Billups,DET,07/08,17.0,2.7,6.8,0.72,13.5,0,2
Allen Iverson,DEN,07/08,26.4,3.0,7.1,0.61,11.6,0,9
José Calderón,TOR,07/08,11.2,2.9,8.3,0.5,10.2,0,13
Chris Bosh,TOR,07/08,22.3,8.7,2.6,0.5,10.1,0,13
Tyson Chandler,NOH,07/08,11.8,11.7,1.0,0.683,10.0,0,4
Rashard Lewis,ORL,07/08,18.2,5.4,2.4,0.634,9.8,0,7
Ray Allen,BOS,07/08,17.4,3.7,3.1,0.805,9.7,0,1
Lamar Odom,LAL,07/08,14.2,10.6,3.5,0.695,9.7,0,3
Andre Iguodala,PHI,07/08,19.9,5.4,4.8,0.488,9.6,0,14
Hedo Türkoğlu,ORL,07/08,19.5,5.7,5.0,0.634,9.0,0,7
Monta Ellis,GSW,07/08,20.2,5.0,3.9,0.585,9.0,0,10
Baron Davis,GSW,07/08,21.8,4.7,7.6,0.585,8.7,0,10
Jason Terry,DAL,07/08,15.5,2.5,3.2,0.622,8.6,0,8
Mike Dunleavy,IND,07/08,19.1,5.2,3.5,0.439,8.5,0,17
Marcus Camby,DEN,07/08,9.1,13.1,3.3,0.61,8.5,0,9
Kevin Martin,SAC,07/08,23.7,4.5,2.1,0.463,8.4,0,15
David West,NOH,07/08,20.6,8.9,2.3,0.683,8.4,0,4
Yao Ming,HOU,07/08,22.0,10.8,2.3,0.671,8.3,0,5
Andre Miller,PHI,07/08,17.0,4.0,6.9,0.488,8.3,0,14
Shane Battier,HOU,07/08,9.3,5.1,1.9,0.671,8.2,0,5
Peja Stojaković,NOH,07/08,16.4,4.3,1.2,0.683,8.1,0,4
Josh Howard,DAL,07/08,19.9,7.0,2.2,0.622,8.0,0,8
Andris Biedriņš,GSW,07/08,10.5,9.8,1.0,0.585,8.0,0,10
Brandon Roy,POR,07/08,19.1,4.7,5.8,0.5,8.0,0,13
Ronnie Brewer,UTA,07/08,12.0,2.9,1.8,0.659,7.8,0,6
Vince Carter,NJN,07/08,21.3,6.0,5.1,0.415,7.7,0,18
Al Jefferson,MIN,07/08,21.0,11.1,1.4,0.268,7.7,0,23
Richard Hamilton,DET,07/08,17.3,3.3,4.2,0.72,7.7,0,2
Richard Jefferson,NJN,07/08,22.6,4.2,3.1,0.415,7.6,0,18
Josh Childress,ATL,07/08,11.8,4.9,1.5,0.451,7.6,0,16
Tayshaun Prince,DET,07/08,13.2,4.9,3.3,0.72,7.5,0,2
Jason Richardson,CHO,07/08,21.8,5.4,3.1,0.39,7.4,0,20
David Lee,NYK,07/08,10.8,8.9,1.2,0.28,7.4,0,22
Danny Granger,IND,07/08,19.6,6.1,2.1,0.439,7.3,0,17
Caron Butler,WAS,07/08,20.3,6.7,4.9,0.524,7.2,0,12
Rajon Rondo,BOS,07/08,10.6,4.2,5.1,0.805,7.2,0,1
Andrei Kirilenko,UTA,07/08,11.0,4.7,4.0,0.659,7.1,0,6
Tony Parker,SAS,07/08,18.8,3.2,6.0,0.683,7.0,0,4
Joe Johnson,ATL,07/08,21.7,4.5,5.8,0.451,7.0,0,16
Corey Maggette,LAC,07/08,22.1,5.6,2.7,0.28,6.9,0,22
Samuel Dalembert,PHI,07/08,10.5,10.4,0.5,0.488,6.9,0,14
Brendan Haywood,WAS,07/08,10.6,7.2,0.9,0.524,6.8,0,12
Antonio McDyess,DET,07/08,8.8,8.5,1.1,0.72,6.7,0,2
Mehmet Okur,UTA,07/08,14.5,7.7,2.0,0.659,6.7,0,6
Brad Miller,SAC,07/08,13.4,9.5,3.7,0.463,6.5,0,15
Luis Scola,HOU,07/08,10.3,6.4,1.3,0.671,6.5,0,5
Jeff Foster,IND,07/08,6.4,8.7,1.7,0.439,6.5,0,17
Jason Maxiell,DET,07/08,7.9,5.3,0.6,0.72,6.3,0,2
LaMarcus Aldridge,POR,07/08,17.8,7.6,1.6,0.5,6.2,0,13
Anthony Parker,TOR,07/08,12.5,4.1,2.2,0.5,6.2,0,13
James Posey,BOS,07/08,7.4,4.4,1.5,0.805,6.2,0,1
Troy Murphy,IND,07/08,12.2,7.2,2.2,0.439,6.2,0,17
Kendrick Perkins,BOS,07/08,6.9,6.1,1.1,0.805,6.2,0,1
Fabricio Oberto,SAS,07/08,4.8,5.2,1.2,0.683,6.1,0,4
Zydrunas Ilgauskas,CLE,07/08,14.1,9.3,1.4,0.549,6.1,0,11
Erick Dampier,DAL,07/08,6.1,7.5,0.9,0.622,6.0,0,8
Grant Hill,PHO,07/08,13.1,5.0,2.9,0.671,5.9,0,5
Michael Redd,MIL,07/08,22.7,4.3,3.4,0.317,5.8,0,21
Emeka Okafor,CHO,07/08,13.8,10.7,0.9,0.39,5.8,0,20
Josh Smith,ATL,07/08,17.2,8.2,3.4,0.451,5.8,0,16
Marvin Williams,ATL,07/08,14.8,5.7,1.7,0.451,5.7,0,16
Derek Fisher,LAL,07/08,11.7,2.1,2.9,0.695,5.7,0,3
Jamario Moon,TOR,07/08,8.5,6.2,1.2,0.5,5.7,0,13
Jameer Nelson,ORL,07/08,10.9,3.5,5.6,0.634,5.6,0,7
Leandro Barbosa,PHO,07/08,15.6,2.8,2.6,0.671,5.5,0,5
Al Horford,ATL,07/08,10.1,9.7,1.5,0.451,5.5,0,16
Al Harrington,GSW,07/08,13.6,5.4,1.6,0.585,5.4,0,10
Paul Millsap,UTA,07/08,8.1,5.6,1.0,0.659,5.2,0,6
Ben Gordon,CHI,07/08,18.6,3.1,3.0,0.402,5.1,0,19
Jamal Crawford,NYK,07/08,20.6,2.6,5.0,0.28,5.0,0,22
Mike Miller,MEM,07/08,16.4,6.7,3.4,0.268,5.0,0,23
Rudy Gay,MEM,07/08,20.1,6.2,2.0,0.268,5.0,0,23
Kenyon Martin,DEN,07/08,12.4,6.5,1.3,0.61,5.0,0,9
Rafer Alston,HOU,07/08,13.1,3.5,5.3,0.671,5.0,0,5
Keith Bogans,ORL,07/08,8.7,3.2,1.3,0.634,4.9,0,7
Ryan Gomes,MIN,07/08,12.6,5.8,1.8,0.268,4.8,0,23
Andrew Bogut,MIL,07/08,14.3,9.8,2.6,0.317,4.8,0,21
Andrew Bynum,LAL,07/08,13.1,10.2,1.7,0.695,4.8,0,3
Linas Kleiza,DEN,07/08,11.1,4.2,1.2,0.61,4.7,0,9
Metta World Peace,SAC,07/08,20.5,5.8,3.5,0.463,4.7,0,15
Gerald Wallace,CHO,07/08,19.4,6.0,3.5,0.39,4.6,0,20
Stephen Jackson,GSW,07/08,20.1,4.4,4.1,0.585,4.6,0,10
Mikki Moore,SAC,07/08,8.5,6.0,1.0,0.463,4.6,0,15
Mo Williams,MIL,07/08,17.2,3.5,6.3,0.317,4.5,0,21
Nick Collison,OKC,07/08,9.8,9.4,1.4,0.244,4.5,0,24
Thaddeus Young,PHI,07/08,8.2,4.2,0.8,0.488,4.5,0,14
Raja Bell,PHO,07/08,11.9,3.7,2.2,0.671,4.5,0,5
Antonio Daniels,WAS,07/08,8.4,2.9,4.8,0.524,4.5,0,12
Chuck Hayes,HOU,07/08,3.0,5.4,1.2,0.671,4.4,0,5
Lou Williams,PHI,07/08,11.5,2.1,3.2,0.488,4.4,0,14
Bruce Bowen,SAS,07/08,6.0,2.9,1.1,0.683,4.4,0,4
Luol Deng,CHI,07/08,17.0,6.3,2.5,0.402,4.4,0,19
Leon Powe,BOS,07/08,7.9,4.1,0.3,0.805,4.3,0,1
Brandon Bass,DAL,07/08,8.3,4.4,0.7,0.622,4.3,0,8
Joel Przybilla,POR,07/08,4.8,8.4,0.4,0.5,4.3,0,13
Francisco García,SAC,07/08,12.3,3.3,1.6,0.463,4.2,0,15
Ronny Turiaf,LAL,07/08,6.6,3.9,1.6,0.695,4.2,0,3
Michael Finley,SAS,07/08,10.1,3.1,1.4,0.683,4.2,0,4
DeShawn Stevenson,WAS,07/08,11.2,2.9,3.1,0.524,4.1,0,12
Eduardo Nájera,DEN,07/08,5.9,4.3,1.2,0.61,4.1,0,9
Daniel Gibson,CLE,07/08,10.4,2.3,2.5,0.549,4.1,0,11
Carlos Delfino,TOR,07/08,9.0,4.4,1.8,0.5,4.0,0,13
Jordan Farmar,LAL,07/08,9.1,2.2,2.7,0.695,3.9,0,3
Eddie House,BOS,07/08,7.5,2.1,1.9,0.805,3.9,0,1
Rasho Nesterović,TOR,07/08,7.8,4.8,1.2,0.5,3.9,0,13
Joakim Noah,CHI,07/08,6.6,5.6,1.1,0.402,3.8,0,19
Steve Blake,POR,07/08,8.5,2.4,5.1,0.5,3.8,0,13
Morris Peterson,NOH,07/08,8.0,2.7,0.9,0.683,3.8,0,4
Anthony Carter,DEN,07/08,7.8,2.9,5.5,0.61,3.8,0,9
J.R. Smith,DEN,07/08,12.3,2.1,1.7,0.61,3.7,0,9
Carl Landry,HOU,07/08,8.1,4.9,0.5,0.671,3.7,0,5
James Jones,POR,07/08,8.0,2.8,0.6,0.5,3.7,0,13
John Salmons,SAC,07/08,12.5,4.3,2.6,0.463,3.7,0,15
Josh Boone,NJN,07/08,8.2,7.3,0.8,0.415,3.7,0,18
Keyon Dooling,ORL,07/08,8.1,1.4,1.8,0.634,3.7,0,7
Sasha Vujačić,LAL,07/08,8.8,2.1,1.0,0.695,3.6,0,3
Chris Kaman,LAC,07/08,15.7,12.7,1.9,0.28,3.6,0,22
Kirk Hinrich,CHI,07/08,11.5,3.3,6.0,0.402,3.6,0,19
Craig Smith,MIN,07/08,9.4,4.6,0.8,0.268,3.5,0,23
Martell Webster,POR,07/08,10.7,3.9,1.2,0.5,3.5,0,13
Vladimir Radmanović,LAL,07/08,8.4,3.3,1.9,0.695,3.5,0,3
Luther Head,HOU,07/08,7.6,1.8,1.9,0.671,3.5,0,5
Roger Mason,WAS,07/08,9.0,1.6,1.7,0.524,3.4,0,12
Kyle Lowry,MEM,07/08,9.6,3.0,3.6,0.268,3.4,0,23
Kelenna Azubuike,GSW,07/08,8.5,4.0,0.9,0.585,3.4,0,10
Chris Wilcox,OKC,07/08,13.4,7.0,1.2,0.244,3.4,0,24
Raymond Felton,CHO,07/08,14.4,3.0,7.4,0.39,3.4,0,20
Dwyane Wade,MIA,07/08,24.6,4.2,6.9,0.183,3.3,0,25
Hakim Warrick,MEM,07/08,11.4,4.7,0.7,0.268,3.3,0,23
T.J. Ford,TOR,07/08,12.1,2.0,6.1,0.5,3.3,0,13
Andrés Nocioni,CHI,07/08,13.2,4.2,1.2,0.402,3.3,0,19
Nate Robinson,NYK,07/08,12.7,3.1,2.9,0.28,3.2,0,22
Travis Outlaw,POR,07/08,13.3,4.6,1.3,0.5,3.2,0,13
Channing Frye,POR,07/08,6.8,4.5,0.7,0.5,3.2,0,13
Jarrett Jack,POR,07/08,9.9,2.9,3.8,0.5,3.2,0,13
Luke Walton,LAL,07/08,7.2,3.9,2.9,0.695,3.2,0,3
Boris Diaw,PHO,07/08,8.8,4.6,3.9,0.671,3.0,0,5
Amir Johnson,DET,07/08,3.6,3.8,0.5,0.72,3.0,0,2
Damon Jones,CLE,07/08,6.5,1.1,1.9,0.549,3.0,0,11
Andray Blatche,WAS,07/08,7.5,5.2,1.1,0.524,3.0,0,12
Matt Carroll,CHO,07/08,9.0,2.8,0.9,0.39,3.0,0,20
Zach Randolph,NYK,07/08,17.6,10.3,2.0,0.28,3.0,0,22
Jared Dudley,CHO,07/08,5.8,3.9,1.1,0.39,2.9,0,20
Jarvis Hayes,DET,07/08,6.7,2.2,0.8,0.72,2.9,0,2
Earl Watson,OKC,07/08,10.7,2.9,6.8,0.244,2.9,0,24
Mickaël Piétrus,GSW,07/08,7.2,3.7,0.7,0.585,2.8,0,10
