Player,Team,Season,PPG,RPG,APG
Kevin Durant,OKC,10_11,27.7,6.8,2.7
LeBron James,MIA,10_11,26.7,7.5,7.0
Carmelo Anthony,DENNYK,10_11,25.6,7.3,2.9
Dwyane Wade,MIA,10_11,25.5,6.4,4.6
Kobe Bryant,LAL,10_11,25.3,5.1,4.7
Amar'e Stoudemire,NYK,10_11,25.3,8.2,2.6
Derrick Rose,CHI,10_11,25.0,4.1,7.7
Monta Ellis,GSW,10_11,24.1,3.5,5.6
Kevin Martin,HOU,10_11,23.5,3.2,2.5
Dirk Nowitzki,DAL,10_11,23.0,7.0,2.6
Dwight Howard,ORL,10_11,22.9,14.1,1.4
Blake Griffin,LAC,10_11,22.5,12.1,3.8
Eric Gordon,LAC,10_11,22.3,2.9,4.4
Russell Westbrook,OKC,10_11,21.9,4.6,8.2
LaMarcus Aldridge,POR,10_11,21.8,8.8,2.1
Andrea Bargnani,TOR,10_11,21.4,5.2,1.8
Danny Granger,IND,10_11,20.5,5.4,2.6
Brook Lopez,NJN,10_11,20.4,6.0,1.6
Kevin Love,MIN,10_11,20.2,15.2,2.5
Deron Williams,NJNUTA,10_11,20.1,4.0,10.3
Zach Randolph,MEM,10_11,20.1,12.2,2.2
Rudy Gay,MEM,10_11,19.8,6.2,2.8
Michael Beasley,MIN,10_11,19.2,5.6,2.2
Paul Pierce,BOS,10_11,18.9,5.4,3.2
David West,NOH,10_11,18.9,7.6,2.3
Pau Gasol,LAL,10_11,18.8,10.2,3.3
Chris Bosh,MIA,10_11,18.7,8.3,1.9
Al Jefferson,UTA,10_11,18.6,9.7,1.8
Stephen Curry,GSW,10_11,18.6,3.9,5.8
Stephen Jackson,CHA,10_11,18.5,4.5,3.6
Luis Scola,HOU,10_11,18.3,8.2,2.5
Joe Johnson,ATL,10_11,18.2,4.0,4.7
Antawn Jamison,CLE,10_11,18.0,6.7,1.7
Tyreke Evans,SAC,10_11,17.8,4.8,5.6
Tony Parker,SAS,10_11,17.5,3.1,6.6
Carlos Boozer,CHI,10_11,17.5,9.6,2.5
Luol Deng,CHI,10_11,17.4,5.8,2.8
Nick Young,WAS,10_11,17.4,2.7,1.2
Manu Ginóbili,SAS,10_11,17.4,3.7,4.9
Paul Millsap,UTA,10_11,17.3,7.6,2.5
DeMar DeRozan,TOR,10_11,17.2,3.8,1.8
Andray Blatche,WAS,10_11,16.8,8.2,2.2
Chauncey Billups,DENNYK,10_11,16.8,2.6,5.4
Josh Smith,ATL,10_11,16.5,8.5,3.3
Ray Allen,BOS,10_11,16.5,3.4,2.7
David Lee,GSW,10_11,16.5,9.8,3.2
John Wall,WAS,10_11,16.4,4.6,8.3
Dorell Wright,GSW,10_11,16.4,5.3,3.0
Brandon Jennings,MIL,10_11,16.2,3.7,4.8
Wesley Matthews,POR,10_11,15.9,3.1,2.0
Chris Paul,NOH,10_11,15.9,4.1,9.8
Jason Terry,DAL,10_11,15.8,1.9,4.1
Gerald Wallace,CHAPOR,10_11,15.7,8.0,2.4
