Player,Team,Season,PPG,RPG,APG
Danilo Gallinari,DENNYK,10_11,15.6,4.9,1.7
Jason Richardson,ORLPHO,10_11,15.6,4.1,1.8
Raymond Felton,DENNYK,10_11,15.5,3.6,8.3
Rodney Stuckey,DET,10_11,15.5,3.1,5.2
Al Horford,ATL,10_11,15.3,9.3,3.5
Wilson Chandler,DENNYK,10_11,15.3,5.7,1.7
Devin Harris,NJNUTA,10_11,15.2,2.4,7.1
Caron Butler,DAL,10_11,15.0,4.1,1.6
Elton Brand,PHI,10_11,15.0,8.3,1.5
Kevin Garnett,BOS,10_11,14.9,8.9,2.4
Steve Nash,PHO,10_11,14.7,3.5,11.4
Nenê,DEN,10_11,14.5,7.6,2.0
Lamar Odom,LAL,10_11,14.4,8.7,3.0
D.J. Augustin,CHA,10_11,14.4,2.7,6.1
Jamal Crawford,ATL,10_11,14.2,1.7,3.2
Richard Hamilton,DET,10_11,14.1,2.3,3.1
DeMarcus Cousins,SAC,10_11,14.1,8.6,2.5
Andre Iguodala,PHI,10_11,14.1,5.8,6.3
Tayshaun Prince,DET,10_11,14.1,4.2,2.8
John Salmons,MIL,10_11,14.0,3.6,3.5
Vince Carter,ORLPHO,10_11,14.0,3.8,2.0
Mo Williams,CLELAC,10_11,14.0,2.6,6.6
Jrue Holiday,PHI,10_11,14.0,4.0,6.5
J.J. Hickson,CLE,10_11,13.8,8.7,1.1
Beno Udrih,SAC,10_11,13.7,3.4,4.9
Lou Williams,PHI,10_11,13.7,2.0,3.4
Mike Conley,MEM,10_11,13.7,3.0,6.5
Kyle Lowry,HOU,10_11,13.5,4.1,6.7
Tim Duncan,SAS,10_11,13.4,8.9,2.7
Jeff Green,BOSOKC,10_11,13.3,4.8,1.4
Ramon Sessions,CLE,10_11,13.3,3.1,5.2
Leandro Barbosa,TOR,10_11,13.3,1.7,2.1
Grant Hill,PHO,10_11,13.2,4.2,2.5
Anthony Morrow,NJN,10_11,13.2,3.0,1.2
Darren Collison,IND,10_11,13.2,2.8,5.1
Jameer Nelson,ORL,10_11,13.1,3.0,6.0
Baron Davis,CLELAC,10_11,13.1,2.7,6.7
C.J. Miles,UTA,10_11,12.8,3.3,1.7
Marcus Thornton,NOHSAC,10_11,12.8,3.5,1.8
Andrew Bogut,MIL,10_11,12.8,11.1,2.0
Thaddeus Young,PHI,10_11,12.7,5.3,1.0
Andre Miller,POR,10_11,12.7,3.7,7.0
Channing Frye,PHO,10_11,12.7,6.7,1.2
Roy Hibbert,IND,10_11,12.7,7.5,2.0
Arron Afflalo,DEN,10_11,12.6,3.6,2.4
Shawn Marion,DAL,10_11,12.5,6.9,1.4
Chris Kaman,LAC,10_11,12.4,7.0,1.4
Nicolas Batum,POR,10_11,12.4,4.5,1.5
J.R. Smith,DEN,10_11,12.3,4.1,2.2
Brandon Roy,POR,10_11,12.2,2.6,2.7
James Harden,OKC,10_11,12.2,3.1,2.1
Corey Maggette,MIL,10_11,12.0,3.6,1.3
Carl Landry,NOHSAC,10_11,11.9,4.6,0.8
Luke Ridnour,MIN,10_11,11.8,2.8,5.4
Marc Gasol,MEM,10_11,11.7,7.0,2.5
Glen Davis,BOS,10_11,11.7,5.4,1.2
Rashard Lewis,ORLWAS,10_11,11.7,5.1,1.6
Andrei Kirilenko,UTA,10_11,11.7,5.1,3.0
Joakim Noah,CHI,10_11,11.7,10.4,2.2
Jordan Crawford,ATLWAS,10_11,11.7,2.5,2.8
Ty Lawson,DEN,10_11,11.7,2.6,4.7
Daniel Gibson,CLE,10_11,11.6,2.6,3.0
George Hill,SAS,10_11,11.6,2.6,2.5
Carlos Delfino,MIL,10_11,11.5,4.1,2.3
Andrew Bynum,LAL,10_11,11.3,9.4,1.4
Drew Gooden,MIL,10_11,11.3,6.8,1.3
O.J. Mayo,MEM,10_11,11.3,2.4,2.0
Boris Diaw,CHA,10_11,11.3,5.0,4.1
Brandon Bass,ORL,10_11,11.2,5.6,0.8
Ben Gordon,DET,10_11,11.2,2.4,2.1
Mike Dunleavy,IND,10_11,11.2,4.5,1.7
Linas Kleiza,TOR,10_11,11.2,4.5,1.0
Charlie Villanueva,DET,10_11,11.1,3.9,0.6
Trevor Ariza,NOH,10_11,11.0,5.4,2.2
Richard Jefferson,SAS,10_11,11.0,3.8,1.3
Tyler Hansbrough,IND,10_11,11.0,5.2,0.6
Hedo Türkoğlu,ORLPHO,10_11,10.8,4.4,4.2
Gilbert Arenas,ORLWAS,10_11,10.8,2.7,3.9
Aaron Brooks,HOUPHO,10_11,10.7,1.3,3.9
Ryan Anderson,ORL,10_11,10.6,5.5,0.8
Rajon Rondo,BOS,10_11,10.6,4.4,11.2
Jared Dudley,PHO,10_11,10.6,3.9,1.3
Toney Douglas,NYK,10_11,10.6,3.0,3.0
Al Harrington,DEN,10_11,10.5,4.5,1.4
Jodie Meeks,PHI,10_11,10.5,2.3,1.1
Marco Belinelli,NOH,10_11,10.5,1.9,1.2
Marvin Williams,ATL,10_11,10.4,4.8,1.4
Emeka Okafor,NOH,10_11,10.3,9.5,0.6
Kirk Hinrich,ATLWAS,10_11,10.2,2.5,4.0
Tyrus Thomas,CHA,10_11,10.2,5.5,0.7
Marcin Gortat,ORLPHO,10_11,10.2,7.9,0.9
Yao Ming,HOU,10_11,10.2,5.4,0.8
Tyson Chandler,DAL,10_11,10.1,9.4,0.4
JaVale McGee,WAS,10_11,10.1,8.0,0.5
JJ Redick,ORL,10_11,10.1,1.9,1.7
Kris Humphries,NJN,10_11,10.0,10.4,1.1
Serge Ibaka,OKC,10_11,9.9,7.6,0.3
Martell Webster,MIN,10_11,9.8,3.2,1.2
José Calderón,TOR,10_11,9.8,3.0,8.9
Chase Budinger,HOU,10_11,9.8,3.6,1.6
Sasha Vujačić,LALNJN,10_11,9.8,2.8,2.0
Gary Neal,SAS,10_11,9.8,2.4,1.2
Randy Foye,LAC,10_11,9.8,1.6,2.7
Landry Fields,NYK,10_11,9.7,6.4,1.9
Francisco García,SAC,10_11,9.7,2.3,1.2
Gerald Henderson,CHA,10_11,9.6,3.0,1.5
Jordan Farmar,NJN,10_11,9.6,2.4,5.0
Amir Johnson,TOR,10_11,9.6,6.4,1.1
Ersan İlyasova,MIL,10_11,9.5,6.1,0.9
J.J. Barea,DAL,10_11,9.5,2.0,3.9
Greg Monroe,DET,10_11,9.4,7.5,1.3
Sonny Weems,TOR,10_11,9.2,2.6,1.8
Reggie Williams,GSW,10_11,9.2,2.7,1.5
Travis Outlaw,NJN,10_11,9.2,4.0,1.0
Shaquille O'Neal,BOS,10_11,9.2,4.8,0.7
Jerryd Bayless,NOHTOR,10_11,9.2,2.3,3.7
Darrell Arthur,MEM,10_11,9.1,4.3,0.7
Anderson Varejão,CLE,10_11,9.1,9.7,1.5
Brandon Rush,IND,10_11,9.1,3.2,0.9
Wesley Johnson,MIN,10_11,9.0,3.0,1.9
Tony Allen,MEM,10_11,8.9,2.7,1.4
Jarrett Jack,NOHTOR,10_11,8.9,2.1,2.9
Jason Thompson,SAC,10_11,8.8,6.1,1.2
Darko Miličić,MIN,10_11,8.8,5.2,1.5
Willie Green,NOH,10_11,8.7,2.1,1.0
Shannon Brown,LAL,10_11,8.7,1.9,1.2
Kenyon Martin,DEN,10_11,8.6,6.2,2.3
Mike Bibby,ATLMIAWAS,10_11,8.6,2.4,3.3
Omri Casspi,SAC,10_11,8.6,4.3,1.0
Rudy Fernández,POR,10_11,8.6,2.2,2.5
Metta World Peace,LAL,10_11,8.5,3.3,2.1
Peja Stojaković,DALNOHTOR,10_11,8.5,2.3,0.9
Josh Howard,WAS,10_11,8.4,4.1,1.3
Rodrigue Beaubois,DAL,10_11,8.4,1.9,2.3
Hakim Warrick,PHO,10_11,8.4,3.7,0.9
Anthony Parker,CLE,10_11,8.3,3.0,3.0
DeJuan Blair,SAS,10_11,8.3,7.0,1.0
Kyle Korver,CHI,10_11,8.3,1.8,1.5
Courtney Lee,HOU,10_11,8.3,2.6,1.2
Nenad Krstić,BOSOKC,10_11,8.1,4.7,0.4
Samuel Dalembert,SAC,10_11,8.1,8.2,0.8
Corey Brewer,DALMIN,10_11,8.0,2.5,1.3
Udonis Haslem,MIA,10_11,8.0,8.2,0.5
Tracy McGrady,DET,10_11,8.0,3.5,3.5
Raja Bell,UTA,10_11,8.0,2.6,1.7
Kwame Brown,CHA,10_11,7.9,6.8,0.7
Will Bynum,DET,10_11,7.9,1.2,3.2
