Player,Team,Season,PPG,RPG,APG
Russell Westbrook,OKC,14_15,28.1,7.3,8.6
James Harden,HOU,14_15,27.4,5.7,7.0
Kevin Durant,OKC,14_15,25.4,6.6,4.1
LeBron James,CLE,14_15,25.3,6.0,7.4
Anthony Davis,NOP,14_15,24.4,10.2,2.2
Carmelo Anthony,NYK,14_15,24.2,6.6,3.0
DeMarcus Cousins,SAC,14_15,24.1,12.7,3.6
Stephen Curry,GSW,14_15,23.8,4.3,7.7
LaMarcus Aldridge,POR,14_15,23.4,10.2,1.7
Kobe Bryant,LAL,14_15,22.3,5.7,5.6
Blake Griffin,LAC,14_15,21.9,7.6,5.3
Kyrie Irving,CLE,14_15,21.7,3.2,5.2
Klay Thompson,GSW,14_15,21.7,3.2,2.9
Dwyane Wade,MIA,14_15,21.5,3.5,4.8
Chris Bosh,MIA,14_15,21.1,7.0,2.2
Rudy Gay,SAC,14_15,21.1,5.9,3.7
Damian Lillard,POR,14_15,21.0,4.6,6.2
DeMar DeRozan,TOR,14_15,20.1,4.6,3.5
Jimmy Butler,CHI,14_15,20.0,5.8,3.3
Kevin Martin,MIN,14_15,20.0,3.6,2.3
Nikola Vučević,ORL,14_15,19.3,10.9,2.0
Gordon Hayward,UTA,14_15,19.3,4.9,4.1
Chris Paul,LAC,14_15,19.1,4.6,10.2
Monta Ellis,DAL,14_15,18.9,2.4,4.1
Pau Gasol,CHI,14_15,18.5,11.8,2.7
Victor Oladipo,ORL,14_15,17.9,4.2,4.1
Kyle Lowry,TOR,14_15,17.8,4.7,6.8
Derrick Rose,CHI,14_15,17.7,3.2,4.9
John Wall,WAS,14_15,17.6,4.6,10.0
Marc Gasol,MEM,14_15,17.4,7.8,3.8
Kemba Walker,CHO,14_15,17.3,3.5,5.1
Dirk Nowitzki,DAL,14_15,17.3,5.9,1.9
Brook Lopez,BRK,14_15,17.2,7.4,0.7
Tobias Harris,ORL,14_15,17.1,6.3,1.8
Eric Bledsoe,PHO,14_15,17.0,5.2,6.1
Brandon Knight,MILPHO,14_15,17.0,3.9,5.2
Andrew Wiggins,MIN,14_15,16.9,4.6,2.1
Tony Wroten,PHI,14_15,16.9,2.9,5.2
Paul Millsap,ATL,14_15,16.7,7.8,3.1
