Player,Team,Season,PPG,RPG,APG
Dwyane Wade,MIA,08_09,30.2,5.0,7.5
LeBron James,CLE,08_09,28.4,7.6,7.2
Kobe Bryant,LAL,08_09,26.8,5.2,4.9
Dirk Nowitzki,DAL,08_09,25.9,8.4,2.4
Danny Granger,IND,08_09,25.8,5.1,2.7
Kevin Durant,OKC,08_09,25.3,6.5,2.8
Kevin Martin,SAC,08_09,24.6,3.6,2.7
Al Jefferson,MIN,08_09,23.1,11.0,1.6
Chris Paul,NOH,08_09,22.8,5.5,11.0
Carmelo Anthony,DEN,08_09,22.8,6.8,3.4
Chris Bosh,TOR,08_09,22.7,10.0,2.5
Brandon Roy,POR,08_09,22.6,4.7,5.1
Antawn Jamison,WAS,08_09,22.2,8.9,1.9
Tony Parker,SAS,08_09,22.0,3.1,6.9
Amar'e Stoudemire,PHO,08_09,21.4,8.1,2.0
Joe Johnson,ATL,08_09,21.4,4.4,5.8
Devin Harris,NJN,08_09,21.3,3.3,6.9
Michael Redd,MIL,08_09,21.2,3.2,2.7
David West,NOH,08_09,21.0,8.5,2.3
Zach Randolph,LACNYK,08_09,20.8,10.1,2.1
Caron Butler,WAS,08_09,20.8,6.2,4.3
Vince Carter,NJN,08_09,20.8,5.1,4.7
Stephen Jackson,GSW,08_09,20.7,5.1,6.5
Ben Gordon,CHI,08_09,20.7,3.5,3.4
Dwight Howard,ORL,08_09,20.6,13.8,1.4
Paul Pierce,BOS,08_09,20.5,5.6,3.6
Al Harrington,GSWNYK,08_09,20.1,6.2,1.4
Jamal Crawford,GSWNYK,08_09,19.7,3.0,4.4
Yao Ming,HOU,08_09,19.7,9.9,1.8
Richard Jefferson,MIL,08_09,19.6,4.6,2.4
Jason Terry,DAL,08_09,19.6,2.4,3.4
Deron Williams,UTA,08_09,19.4,2.9,10.7
Tim Duncan,SAS,08_09,19.3,10.7,3.5
Monta Ellis,GSW,08_09,19.0,4.3,3.7
Rudy Gay,MEM,08_09,18.9,5.5,1.7
Pau Gasol,LAL,08_09,18.9,9.6,3.5
Andre Iguodala,PHI,08_09,18.8,5.7,5.3
Corey Maggette,GSW,08_09,18.6,5.5,1.8
O.J. Mayo,MEM,08_09,18.5,3.8,3.2
John Salmons,CHISAC,08_09,18.3,4.2,3.2
Richard Hamilton,DET,08_09,18.3,3.1,4.4
Ray Allen,BOS,08_09,18.2,3.5,2.8
LaMarcus Aldridge,POR,08_09,18.1,7.5,1.9
Josh Howard,DAL,08_09,18.0,5.1,1.6
Mo Williams,CLE,08_09,17.8,3.4,4.1
Shaquille O'Neal,PHO,08_09,17.8,8.4,1.7
Rashard Lewis,ORL,08_09,17.7,5.7,2.6
Chauncey Billups,DENDET,08_09,17.7,3.0,6.4
Allen Iverson,DENDET,08_09,17.5,3.0,5.0
Nate Robinson,NYK,08_09,17.2,3.9,4.1
Metta World Peace,HOU,08_09,17.1,5.2,3.3
Mehmet Okur,UTA,08_09,17.0,7.7,1.7
Jason Richardson,CHAPHO,08_09,16.8,4.4,2.0
Al Thornton,LAC,08_09,16.8,5.2,1.5
Hedo Türkoğlu,ORL,08_09,16.8,5.3,4.9
Derrick Rose,CHI,08_09,16.8,3.9,6.3
Jameer Nelson,ORL,08_09,16.7,3.5,5.4
Gerald Wallace,CHA,08_09,16.6,7.8,2.7
Jeff Green,OKC,08_09,16.5,6.7,2.0
Andre Miller,PHI,08_09,16.3,4.5,6.5
Randy Foye,MIN,08_09,16.3,3.1,4.3
Charlie Villanueva,MIL,08_09,16.2,6.7,1.8
Carlos Boozer,UTA,08_09,16.2,10.4,2.1
Eric Gordon,LAC,08_09,16.1,2.6,2.8
David Lee,NYK,08_09,16.0,11.7,2.1
Kevin Garnett,BOS,08_09,15.8,8.5,2.5
Steve Nash,PHO,08_09,15.7,3.0,9.7
Tracy McGrady,HOU,08_09,15.6,4.4,5.0
Josh Smith,ATL,08_09,15.6,7.2,2.4
Manu Ginóbili,SAS,08_09,15.5,4.5,3.6
Andrea Bargnani,TOR,08_09,15.4,5.3,1.2
Russell Westbrook,OKC,08_09,15.3,4.9,5.3
Thaddeus Young,PHI,08_09,15.3,5.0,1.1
J.R. Smith,DEN,08_09,15.2,3.7,2.8
Mike Dunleavy,IND,08_09,15.1,3.8,2.4
T.J. Ford,IND,08_09,14.9,3.5,5.3
Baron Davis,LAC,08_09,14.9,3.7,7.7
Mike Bibby,ATL,08_09,14.9,3.5,5.0
Nenê,DEN,08_09,14.6,7.8,1.4
Wilson Chandler,NYK,08_09,14.4,5.4,2.1
Kelenna Azubuike,GSW,08_09,14.4,5.0,1.6
Andrew Bynum,LAL,08_09,14.3,8.0,1.4
Troy Murphy,IND,08_09,14.3,11.8,2.4
Leandro Barbosa,PHO,08_09,14.2,2.6,2.3
Tayshaun Prince,DET,08_09,14.2,5.8,3.1
