Player,Team,Season,PPG,RPG,APG
Kobe Bryant,LAL,06_07,31.6,5.7,5.4
Carmelo Anthony,DEN,06_07,28.9,6.0,3.8
Gilbert Arenas,WAS,06_07,28.4,4.6,6.0
Dwyane Wade,MIA,06_07,27.4,4.7,7.5
LeBron James,CLE,06_07,27.3,6.7,6.0
Michael Redd,MIL,06_07,26.7,3.7,2.3
Ray Allen,SEA,06_07,26.4,4.5,4.1
Allen Iverson,DENPHI,06_07,26.3,3.0,7.2
Vince Carter,NJN,06_07,25.2,6.0,4.8
Yao Ming,HOU,06_07,25.0,9.4,2.0
Joe Johnson,ATL,06_07,25.0,4.2,4.4
Paul Pierce,BOS,06_07,25.0,5.9,4.1
Tracy McGrady,HOU,06_07,24.6,5.3,6.5
Dirk Nowitzki,DAL,06_07,24.6,8.9,3.4
Zach Randolph,POR,06_07,23.6,10.1,2.2
Chris Bosh,TOR,06_07,22.6,10.7,2.5
Kevin Garnett,MIN,06_07,22.4,12.8,4.1
Rashard Lewis,SEA,06_07,22.4,6.6,2.4
Ben Gordon,CHI,06_07,21.4,3.1,3.6
Carlos Boozer,UTA,06_07,20.9,11.7,3.0
Pau Gasol,MEM,06_07,20.8,9.8,3.4
Elton Brand,LAC,06_07,20.5,9.3,2.9
Amar'e Stoudemire,PHO,06_07,20.4,9.6,1.0
Kevin Martin,SAC,06_07,20.2,4.3,2.2
Baron Davis,GSW,06_07,20.1,4.4,8.1
Tim Duncan,SAS,06_07,20.0,10.6,3.4
Antawn Jamison,WAS,06_07,19.8,8.0,1.9
Richard Hamilton,DET,06_07,19.8,3.8,3.8
Eddy Curry,NYK,06_07,19.5,7.0,0.8
Jermaine O'Neal,IND,06_07,19.4,9.6,2.4
Caron Butler,WAS,06_07,19.1,7.4,3.7
Josh Howard,DAL,06_07,18.9,6.8,1.8
Metta World Peace,SAC,06_07,18.8,6.5,3.4
Luol Deng,CHI,06_07,18.8,7.1,2.5
Steve Nash,PHO,06_07,18.6,3.5,11.6
Tony Parker,SAS,06_07,18.6,3.2,5.5
Mike Miller,MEM,06_07,18.5,5.4,4.3
David West,NOK,06_07,18.3,8.2,2.2
Andre Iguodala,PHI,06_07,18.2,5.7,5.7
Gerald Wallace,CHA,06_07,18.1,7.2,2.6
Leandro Barbosa,PHO,06_07,18.1,2.7,4.0
Peja Stojaković,NOK,06_07,17.8,4.2,0.8
Jamal Crawford,NYK,06_07,17.6,3.2,4.4
Dwight Howard,ORL,06_07,17.6,12.3,1.9
Mehmet Okur,UTA,06_07,17.6,7.2,2.0
Shawn Marion,PHO,06_07,17.5,9.8,1.7
Mo Williams,MIL,06_07,17.3,4.8,6.1
Shaquille O'Neal,MIA,06_07,17.3,7.4,2.0
Chris Paul,NOK,06_07,17.3,4.4,8.9
Mike Bibby,SAC,06_07,17.1,3.2,4.7
Chauncey Billups,DET,06_07,17.0,3.4,7.2
Ricky Davis,MIN,06_07,17.0,3.9,4.8
Corey Maggette,LAC,06_07,16.9,5.9,2.8
Brandon Roy,POR,06_07,16.8,4.4,4.0
Jason Terry,DAL,06_07,16.7,2.9,5.2
Kirk Hinrich,CHI,06_07,16.6,3.4,6.2
Manu Ginóbili,SAS,06_07,16.5,4.4,3.5
Monta Ellis,GSW,06_07,16.5,3.2,4.1
Al Harrington,GSWIND,06_07,16.5,6.4,1.9
Nenad Krstić,NJN,06_07,16.4,6.8,1.8
Josh Smith,ATL,06_07,16.4,8.6,3.3
