Player,Team,Season,PPG,RPG,APG
LeBron James,CLE,07_08,30.0,7.9,7.2
Kobe Bryant,LAL,07_08,28.3,6.3,5.4
Allen Iverson,DEN,07_08,26.4,3.0,7.1
Carmelo Anthony,DEN,07_08,25.7,7.4,3.4
Amar'e Stoudemire,PHO,07_08,25.2,9.1,1.5
Dwyane Wade,MIA,07_08,24.6,4.2,6.9
Kevin Martin,SAC,07_08,23.7,4.5,2.1
Dirk Nowitzki,DAL,07_08,23.6,8.6,3.5
Michael Redd,MIL,07_08,22.7,4.3,3.4
Richard Jefferson,NJN,07_08,22.6,4.2,3.1
Chris Bosh,TOR,07_08,22.3,8.7,2.6
Corey Maggette,LAC,07_08,22.1,5.6,2.7
Yao Ming,HOU,07_08,22.0,10.8,2.3
Baron Davis,GSW,07_08,21.8,4.7,7.6
Jason Richardson,CHA,07_08,21.8,5.4,3.1
Joe Johnson,ATL,07_08,21.7,4.5,5.8
Tracy McGrady,HOU,07_08,21.6,5.1,5.9
Antawn Jamison,WAS,07_08,21.4,10.2,1.5
Vince Carter,NJN,07_08,21.3,6.0,5.1
Carlos Boozer,UTA,07_08,21.1,10.4,2.9
Chris Paul,NOH,07_08,21.1,4.0,11.6
Al Jefferson,MIN,07_08,21.0,11.1,1.4
Dwight Howard,ORL,07_08,20.7,14.2,1.3
David West,NOH,07_08,20.6,8.9,2.3
Jamal Crawford,NYK,07_08,20.6,2.6,5.0
Metta World Peace,SAC,07_08,20.5,5.8,3.5
Caron Butler,WAS,07_08,20.3,6.7,4.9
Kevin Durant,SEA,07_08,20.3,4.4,2.4
Monta Ellis,GSW,07_08,20.2,5.0,3.9
Rudy Gay,MEM,07_08,20.1,6.2,2.0
Stephen Jackson,GSW,07_08,20.1,4.4,4.1
Josh Howard,DAL,07_08,19.9,7.0,2.2
Andre Iguodala,PHI,07_08,19.9,5.4,4.8
Paul Pierce,BOS,07_08,19.6,5.1,4.5
Danny Granger,IND,07_08,19.6,6.1,2.1
Hedo Türkoğlu,ORL,07_08,19.5,5.7,5.0
Manu Ginóbili,SAS,07_08,19.5,4.8,4.5
Gilbert Arenas,WAS,07_08,19.4,3.9,5.1
Gerald Wallace,CHA,07_08,19.4,6.0,3.5
Tim Duncan,SAS,07_08,19.3,11.3,2.8
Brandon Roy,POR,07_08,19.1,4.7,5.8
Mike Dunleavy,IND,07_08,19.1,5.2,3.5
Pau Gasol,LALMEM,07_08,18.9,8.4,3.2
Deron Williams,UTA,07_08,18.8,3.0,10.5
Kevin Garnett,BOS,07_08,18.8,9.2,3.4
Tony Parker,SAS,07_08,18.8,3.2,6.0
Ben Gordon,CHI,07_08,18.6,3.1,3.0
Rashard Lewis,ORL,07_08,18.2,5.4,2.4
LaMarcus Aldridge,POR,07_08,17.8,7.6,1.6
Zach Randolph,NYK,07_08,17.6,10.3,2.0
Elton Brand,LAC,07_08,17.6,8.0,2.0
Ray Allen,BOS,07_08,17.4,3.7,3.1
Richard Hamilton,DET,07_08,17.3,3.3,4.2
Mo Williams,MIL,07_08,17.2,3.5,6.3
Josh Smith,ATL,07_08,17.2,8.2,3.4
Andre Miller,PHI,07_08,17.0,4.0,6.9
Luol Deng,CHI,07_08,17.0,6.3,2.5
Chauncey Billups,DET,07_08,17.0,2.7,6.8
Steve Nash,PHO,07_08,16.9,3.5,11.1
Peja Stojaković,NOH,07_08,16.4,4.3,1.2
Mike Miller,MEM,07_08,16.4,6.7,3.4
Chris Kaman,LAC,07_08,15.7,12.7,1.9
Leandro Barbosa,PHO,07_08,15.6,2.8,2.6
Jason Terry,DAL,07_08,15.5,2.5,3.2
Shawn Marion,MIAPHO,07_08,15.4,10.2,2.2
Rashad McCants,MIN,07_08,14.9,2.7,2.2
Marvin Williams,ATL,07_08,14.8,5.7,1.7
Devin Harris,DALNJN,07_08,14.8,2.7,5.8
Mehmet Okur,UTA,07_08,14.5,7.7,2.0
Raymond Felton,CHA,07_08,14.4,3.0,7.4
Andrew Bogut,MIL,07_08,14.3,9.8,2.6
Lamar Odom,LAL,07_08,14.2,10.6,3.5
Zydrunas Ilgauskas,CLE,07_08,14.1,9.3,1.4
Mike Bibby,ATLSAC,07_08,13.9,3.3,6.0
Stephon Marbury,NYK,07_08,13.9,2.5,4.7
Emeka Okafor,CHA,07_08,13.8,10.7,0.9
Ricky Davis,MIA,07_08,13.8,4.3,3.4
Shaquille O'Neal,MIAPHO,07_08,13.6,9.1,1.5
Al Harrington,GSW,07_08,13.6,5.4,1.6
Jermaine O'Neal,IND,07_08,13.6,6.7,2.2
Brad Miller,SAC,07_08,13.4,9.5,3.7
Chris Wilcox,SEA,07_08,13.4,7.0,1.2
Travis Outlaw,POR,07_08,13.3,4.6,1.3
Eddy Curry,NYK,07_08,13.2,4.7,0.5
Andrés Nocioni,CHI,07_08,13.2,4.2,1.2
Tayshaun Prince,DET,07_08,13.2,4.9,3.3
Andrew Bynum,LAL,07_08,13.1,10.2,1.7
Grant Hill,PHO,07_08,13.1,5.0,2.9
Rafer Alston,HOU,07_08,13.1,3.5,5.3
Randy Foye,MIN,07_08,13.1,3.3,4.2
Beno Udrih,SAC,07_08,12.8,3.3,4.3
Cuttino Mobley,LAC,07_08,12.8,3.6,2.6
Al Thornton,LAC,07_08,12.7,4.5,1.2
Rasheed Wallace,DET,07_08,12.7,6.6,1.8
Nate Robinson,NYK,07_08,12.7,3.1,2.9
Ryan Gomes,MIN,07_08,12.6,5.8,1.8
John Salmons,SAC,07_08,12.5,4.3,2.6
Anthony Parker,TOR,07_08,12.5,4.1,2.2
Willie Green,PHI,07_08,12.4,2.5,2.0
Tim Thomas,LAC,07_08,12.4,5.1,2.7
Kenyon Martin,DEN,07_08,12.4,6.5,1.3
Francisco García,SAC,07_08,12.3,3.3,1.6
J.R. Smith,DEN,07_08,12.3,2.1,1.7
Troy Murphy,IND,07_08,12.2,7.2,2.2
Larry Hughes,CHICLE,07_08,12.2,3.4,2.7
T.J. Ford,TOR,07_08,12.1,2.0,6.1
Ronnie Brewer,UTA,07_08,12.0,2.9,1.8
Udonis Haslem,MIA,07_08,12.0,9.0,1.4
Drew Gooden,CHICLE,07_08,12.0,8.6,1.2
Jamaal Tinsley,IND,07_08,11.9,3.6,8.4
Raja Bell,PHO,07_08,11.9,3.7,2.2
Josh Childress,ATL,07_08,11.8,4.9,1.5
Tyson Chandler,NOH,07_08,11.8,11.7,1.0
Derek Fisher,LAL,07_08,11.7,2.1,2.9
Charlie Villanueva,MIL,07_08,11.7,6.1,1.0
Lou Williams,PHI,07_08,11.5,2.1,3.2
Kirk Hinrich,CHI,07_08,11.5,3.3,6.0
Wally Szczerbiak,CLESEA,07_08,11.5,2.9,1.4
Hakim Warrick,MEM,07_08,11.4,4.7,0.7
José Calderón,TOR,07_08,11.2,2.9,8.3
Sam Cassell,BOSLAC,07_08,11.2,2.5,3.9
DeShawn Stevenson,WAS,07_08,11.2,2.9,3.1
Linas Kleiza,DEN,07_08,11.1,4.2,1.2
Andrei Kirilenko,UTA,07_08,11.0,4.7,4.0
Jameer Nelson,ORL,07_08,10.9,3.5,5.6
Juan Carlos Navarro,MEM,07_08,10.9,2.6,2.2
David Lee,NYK,07_08,10.8,8.9,1.2
Jason Kidd,DALNJN,07_08,10.8,7.5,10.1
Earl Watson,SEA,07_08,10.7,2.9,6.8
Jerry Stackhouse,DAL,07_08,10.7,2.3,2.5
Martell Webster,POR,07_08,10.7,3.9,1.2
Brendan Haywood,WAS,07_08,10.6,7.2,0.9
Rajon Rondo,BOS,07_08,10.6,4.2,5.1
Samuel Dalembert,PHI,07_08,10.5,10.4,0.5
Jeff Green,SEA,07_08,10.5,4.7,1.5
Andris Biedriņš,GSW,07_08,10.5,9.8,1.0
Daniel Gibson,CLE,07_08,10.4,2.3,2.5
Luis Scola,HOU,07_08,10.3,6.4,1.3
Andrea Bargnani,TOR,07_08,10.2,3.7,1.1
Al Horford,ATL,07_08,10.1,9.7,1.5
Joe Smith,CHICLE,07_08,10.1,5.2,0.9
Michael Finley,SAS,07_08,10.1,3.1,1.4
Jarrett Jack,POR,07_08,9.9,2.9,3.8
Kyle Korver,PHIUTA,07_08,9.9,2.3,1.3
Boštjan Nachbar,NJN,07_08,9.8,3.5,1.2
Nick Collison,SEA,07_08,9.8,9.4,1.4
Desmond Mason,MIL,07_08,9.7,4.3,2.1
Kyle Lowry,MEM,07_08,9.6,3.0,3.6
Craig Smith,MIN,07_08,9.4,4.6,0.8
Ronald Murray,DETIND,07_08,9.4,2.0,3.4
Mike Conley,MEM,07_08,9.4,2.6,4.2
Shane Battier,HOU,07_08,9.3,5.1,1.9
Sebastian Telfair,MIN,07_08,9.3,2.2,5.9
Damien Wilkins,SEA,07_08,9.2,3.2,2.0
Jordan Farmar,LAL,07_08,9.1,2.2,2.7
Marcus Camby,DEN,07_08,9.1,13.1,3.3
Bonzi Wells,HOUNOH,07_08,9.1,4.5,1.3
Roger Mason,WAS,07_08,9.1,1.6,1.7
Matt Carroll,CHA,07_08,9.0,2.8,0.9
Carlos Delfino,TOR,07_08,9.0,4.4,1.8
Maurice Evans,LALORL,07_08,8.9,2.9,1.1
Boris Diaw,PHO,07_08,8.8,4.6,3.9
Daequan Cook,MIA,07_08,8.8,3.0,1.3
Sasha Vujačić,LAL,07_08,8.8,2.1,1.0
Jason Williams,MIA,07_08,8.8,1.9,4.6
Antonio McDyess,DET,07_08,8.8,8.5,1.1
Keith Bogans,ORL,07_08,8.7,3.2,1.3
Yi Jianlian,MIL,07_08,8.6,5.2,0.8
Kelenna Azubuike,GSW,07_08,8.5,4.0,0.9
Steve Blake,POR,07_08,8.5,2.4,5.1
Mikki Moore,SAC,07_08,8.5,6.0,1.0
Jamario Moon,TOR,07_08,8.5,6.2,1.2
Mark Blount,MIA,07_08,8.4,3.8,0.6
Antonio Daniels,WAS,07_08,8.4,2.9,4.8
Vladimir Radmanović,LAL,07_08,8.4,3.3,1.9
