Player,Team,Season,PPG,RPG,APG
Delonte West,CLESEA,07_08,8.3,3.2,3.8
Kareem Rush,IND,07_08,8.3,2.4,1.3
Marko Jarić,MIN,07_08,8.3,3.0,4.1
Brandon Bass,DAL,07_08,8.3,4.4,0.7
Thaddeus Young,PHI,07_08,8.2,4.2,0.8
Josh Boone,NJN,07_08,8.2,7.3,0.8
Marquis Daniels,IND,07_08,8.2,2.9,1.9
Matt Harpring,UTA,07_08,8.2,3.2,1.1
Carl Landry,HOU,07_08,8.1,4.9,0.5
Quentin Richardson,NYK,07_08,8.1,4.8,1.8
Keyon Dooling,ORL,07_08,8.1,1.4,1.8
Paul Millsap,UTA,07_08,8.1,5.6,1.0
Ramon Sessions,MIL,07_08,8.1,3.4,7.5
Jannero Pargo,NOH,07_08,8.1,1.6,2.4
Morris Peterson,NOH,07_08,8.0,2.7,0.9
Antoine Walker,MIN,07_08,8.0,3.7,1.0
James Jones,POR,07_08,8.0,2.8,0.6
Leon Powe,BOS,07_08,7.9,4.1,0.3
Jason Maxiell,DET,07_08,7.9,5.3,0.6
Dorell Wright,MIA,07_08,7.9,5.0,1.4
Nazr Mohammed,CHADET,07_08,7.8,6.0,0.9
Anthony Carter,DEN,07_08,7.8,2.9,5.5
Rasho Nesterović,TOR,07_08,7.8,4.8,1.2
Chris Quinn,MIA,07_08,7.8,2.0,3.0
Bobby Jackson,HOUNOH,07_08,7.7,2.5,1.9
