Player,Team,Season,PPG,RPG,APG
Kevin Durant,OKC,11_12,28.0,8.0,3.5
Kobe Bryant,LAL,11_12,27.9,5.4,4.6
LeBron James,MIA,11_12,27.1,7.9,6.2
Kevin Love,MIN,11_12,26.0,13.3,2.0
Russell Westbrook,OKC,11_12,23.6,4.6,5.5
Carmelo Anthony,NYK,11_12,22.6,6.3,3.6
Dwyane Wade,MIA,11_12,22.1,4.8,4.6
Derrick Rose,CHI,11_12,21.8,3.4,7.9
LaMarcus Aldridge,POR,11_12,21.7,8.0,2.4
Dirk Nowitzki,DAL,11_12,21.6,6.7,2.2
Deron Williams,NJN,11_12,21.0,3.3,8.7
Blake Griffin,LAC,11_12,20.7,10.9,3.2
Dwight Howard,ORL,11_12,20.6,14.5,1.9
Eric Gordon,NOH,11_12,20.6,2.8,3.4
Monta Ellis,GSWMIL,11_12,20.4,3.4,6.0
David Lee,GSW,11_12,20.1,9.6,2.8
Chris Paul,LAC,11_12,19.8,3.6,9.0
Andrea Bargnani,TOR,11_12,19.5,5.5,2.0
Paul Pierce,BOS,11_12,19.4,5.2,4.5
Brook Lopez,NJN,11_12,19.2,3.6,1.2
Al Jefferson,UTA,11_12,19.2,9.6,2.2
Brandon Jennings,MIL,11_12,19.1,3.4,5.5
Rudy Gay,MEM,11_12,19.0,6.4,2.3
Joe Johnson,ATL,11_12,18.8,3.7,3.9
Josh Smith,ATL,11_12,18.8,9.6,3.9
Andrew Bynum,LAL,11_12,18.7,11.8,1.4
Danny Granger,IND,11_12,18.7,5.0,1.8
Marcus Thornton,SAC,11_12,18.7,3.7,1.9
Kyrie Irving,CLE,11_12,18.5,3.7,5.4
Tony Parker,SAS,11_12,18.3,2.8,7.7
DeMarcus Cousins,SAC,11_12,18.1,11.0,1.6
Chris Bosh,MIA,11_12,18.0,7.9,1.8
Amar'e Stoudemire,NYK,11_12,17.5,7.8,1.1
Pau Gasol,LAL,11_12,17.4,10.4,3.6
Antawn Jamison,CLE,11_12,17.2,6.3,2.0
Kevin Martin,HOU,11_12,17.1,2.6,2.8
James Harden,OKC,11_12,16.8,4.1,3.7
DeMar DeRozan,TOR,11_12,16.7,3.3,2.0
Paul Millsap,UTA,11_12,16.6,8.8,2.3
Tyreke Evans,SAC,11_12,16.5,4.6,4.5
Ty Lawson,DEN,11_12,16.4,3.7,6.6
John Wall,WAS,11_12,16.3,4.5,8.0
Ryan Anderson,ORL,11_12,16.1,7.7,0.9
Kevin Garnett,BOS,11_12,15.8,8.2,2.9
Jarrett Jack,NOH,11_12,15.6,3.9,6.3
Luis Scola,HOU,11_12,15.5,6.5,2.1
Tim Duncan,SAS,11_12,15.4,9.0,2.3
Marcin Gortat,PHO,11_12,15.4,10.0,0.9
Greg Monroe,DET,11_12,15.4,9.7,2.3
Luol Deng,CHI,11_12,15.3,6.5,2.9
Arron Afflalo,DEN,11_12,15.2,3.2,2.4
Gerald Henderson,CHA,11_12,15.1,4.1,2.3
Jason Terry,DAL,11_12,15.1,2.4,3.6
Carlos Boozer,CHI,11_12,15.0,8.5,1.9
Corey Maggette,CHA,11_12,15.0,3.9,1.2
Chauncey Billups,LAC,11_12,15.0,2.5,4.0
Lou Williams,PHI,11_12,14.9,2.4,3.5
Rodney Stuckey,DET,11_12,14.8,2.6,3.8
Stephen Curry,GSW,11_12,14.7,3.4,5.3
Jordan Crawford,WAS,11_12,14.7,2.6,3.0
Marc Gasol,MEM,11_12,14.6,8.9,3.1
Jeremy Lin,NYK,11_12,14.6,3.1,6.2
Danilo Gallinari,DEN,11_12,14.6,4.7,2.7
Kyle Lowry,HOU,11_12,14.3,4.5,6.6
Ray Allen,BOS,11_12,14.2,3.1,2.4
Al Harrington,DEN,11_12,14.2,6.1,1.4
Nick Young,LACWAS,11_12,14.2,2.1,0.9
Jamal Crawford,POR,11_12,14.0,2.0,3.2
Nicolas Batum,POR,11_12,13.9,4.6,1.4
Nikola Peković,MIN,11_12,13.9,7.4,0.7
Gerald Wallace,NJNPOR,11_12,13.8,6.7,2.8
Kris Humphries,NJN,11_12,13.8,11.0,1.5
Nenê,DENWAS,11_12,13.7,7.5,2.1
Wesley Matthews,POR,11_12,13.7,3.4,1.7
