Player,Team,Season,PPG,RPG,APG
James Harden,HOU,18_19,36.1,6.6,7.5
Paul George,OKC,18_19,28.0,8.2,4.1
Giannis Antetokounmpo,MIL,18_19,27.7,12.5,5.9
Joel Embiid,PHI,18_19,27.5,13.6,3.7
LeBron James,LAL,18_19,27.4,8.5,8.3
Stephen Curry,GSW,18_19,27.3,5.3,5.2
Kawhi Leonard,TOR,18_19,26.6,7.3,3.3
Devin Booker,PHO,18_19,26.6,4.1,6.8
Kevin Durant,GSW,18_19,26.0,6.4,5.9
Anthony Davis,NOP,18_19,25.9,12.0,3.9
Damian Lillard,POR,18_19,25.8,4.6,6.9
Kemba Walker,CHO,18_19,25.6,4.4,5.9
Bradley Beal,WAS,18_19,25.6,5.0,5.5
Blake Griffin,DET,18_19,24.5,7.5,5.4
Karl-Anthony Towns,MIN,18_19,24.4,12.4,3.4
Kyrie Irving,BOS,18_19,23.8,5.0,6.9
Donovan Mitchell,UTA,18_19,23.8,4.1,4.2
Zach LaVine,CHI,18_19,23.7,4.7,4.5
Russell Westbrook,OKC,18_19,22.9,11.1,10.7
Klay Thompson,GSW,18_19,21.5,3.8,2.4
Julius Randle,NOP,18_19,21.4,8.7,3.1
LaMarcus Aldridge,SAS,18_19,21.3,9.2,2.4
DeMar DeRozan,SAS,18_19,21.2,6.0,6.2
Luka Dončić,DAL,18_19,21.2,7.8,6.0
Jrue Holiday,NOP,18_19,21.2,5.0,7.7
D'Angelo Russell,BRK,18_19,21.1,3.9,7.0
Mike Conley,MEM,18_19,21.1,3.4,6.4
CJ McCollum,POR,18_19,21.0,4.0,3.0
Nikola Vučević,ORL,18_19,20.8,12.0,3.8
John Wall,WAS,18_19,20.7,3.6,8.7
Buddy Hield,SAC,18_19,20.7,5.0,2.5
Nikola Jokić,DEN,18_19,20.1,10.8,7.2
Tobias Harris,LACPHI,18_19,20.0,7.9,2.8
JaKarr Sampson,CHI,18_19,20.0,8.0,1.0
Lou Williams,LAC,18_19,20.0,3.0,5.4
Danilo Gallinari,LAC,18_19,19.8,6.1,2.6
John Collins,ATL,18_19,19.5,9.8,2.0
Trae Young,ATL,18_19,19.1,3.7,8.1
Victor Oladipo,IND,18_19,18.8,5.6,5.2
Lauri Markkanen,CHI,18_19,18.7,9.0,1.4
Jimmy Butler,MINPHI,18_19,18.7,5.3,4.0
Kyle Kuzma,LAL,18_19,18.7,5.5,2.5
Khris Middleton,MIL,18_19,18.3,6.0,4.3
Brandon Ingram,LAL,18_19,18.3,5.1,3.0
Jamal Murray,DEN,18_19,18.2,4.2,4.8
Andrew Wiggins,MIN,18_19,18.1,4.8,2.5
Tim Hardaway Jr.,DALNYK,18_19,18.1,3.4,2.4
JJ Redick,PHI,18_19,18.1,2.4,2.7
Derrick Rose,MIN,18_19,18.0,2.7,4.3
T.J. Warren,PHO,18_19,18.0,4.0,1.5
Bojan Bogdanović,IND,18_19,18.0,4.1,2.0
Andre Drummond,DET,18_19,17.3,15.6,1.4
De'Aaron Fox,SAC,18_19,17.3,3.8,7.3
R.J. Hunter,BOS,18_19,17.0,3.0,3.0
Kevin Love,CLE,18_19,17.0,10.9,2.2
Pascal Siakam,TOR,18_19,16.9,6.9,3.1
Ben Simmons,PHI,18_19,16.9,8.8,7.7
Jordan Clarkson,CLE,18_19,16.8,3.3,2.4
Spencer Dinwiddie,BRK,18_19,16.8,2.4,4.6
Collin Sexton,CLE,18_19,16.7,2.9,3.0
Clint Capela,HOU,18_19,16.6,12.7,1.4
Montrezl Harrell,LAC,18_19,16.6,6.5,2.0
Josh Richardson,MIA,18_19,16.6,3.6,4.1
Harrison Barnes,DALSAC,18_19,16.4,4.7,1.5
Deandre Ayton,PHO,18_19,16.3,10.3,1.8
DeMarcus Cousins,GSW,18_19,16.3,8.2,3.6
Eric Gordon,HOU,18_19,16.2,2.2,1.9
Aaron Gordon,ORL,18_19,16.0,7.4,3.7
Eric Bledsoe,MIL,18_19,15.9,4.6,5.5
Rudy Gobert,UTA,18_19,15.9,12.9,2.0
Jayson Tatum,BOS,18_19,15.7,6.0,2.1
Malcolm Brogdon,MIL,18_19,15.6,4.5,3.2
Jusuf Nurkić,POR,18_19,15.6,10.4,3.2
Chris Paul,HOU,18_19,15.6,4.6,8.2
Jonas Valančiūnas,MEMTOR,18_19,15.6,8.6,1.4
Dennis Schröder,OKC,18_19,15.5,3.6,4.1
Reggie Jackson,DET,18_19,15.4,2.6,4.2
Jeremy Lamb,CHO,18_19,15.3,5.5,2.2
Kelly Oubre Jr.,PHOWAS,18_19,15.2,4.7,1.2
Nikola Mirotić,MILNOP,18_19,15.2,7.4,1.2
Evan Fournier,ORL,18_19,15.1,3.2,3.6
Terrence Ross,ORL,18_19,15.1,3.5,1.7
Dwyane Wade,MIA,18_19,15.0,4.0,4.2
Serge Ibaka,TOR,18_19,15.0,8.1,1.3
Marvin Bagley III,SAC,18_19,14.9,7.6,1.0
