Player,Team,Season,PPG,RPG,APG
Damon Jones,MIA,04_05,11.6,2.8,4.3
Ruben Patterson,POR,04_05,11.6,3.9,2.0
Donyell Marshall,TOR,04_05,11.5,6.6,1.2
Kyle Korver,PHI,04_05,11.5,4.6,2.2
Speedy Claxton,GSWNOH,04_05,11.5,3.0,6.0
Kurt Thomas,NYK,04_05,11.5,10.4,2.0
Gary Payton,BOS,04_05,11.3,3.1,6.1
Tyronn Lue,ATLHOU,04_05,11.2,2.1,4.6
Antonio Daniels,SEA,04_05,11.2,2.3,4.1
Keith Van Horn,DALMIL,04_05,11.2,4.7,1.2
Gerald Wallace,CHA,04_05,11.1,5.5,2.0
Nick Van Exel,POR,04_05,11.1,3.0,4.3
Raef LaFrentz,BOS,04_05,11.1,6.9,1.2
Joe Smith,MIL,04_05,11.0,7.3,0.9
Udonis Haslem,MIA,04_05,10.9,9.1,1.4
P.J. Brown,NOH,04_05,10.8,9.0,2.2
Fred Jones,IND,04_05,10.6,3.1,2.5
Jim Jackson,HOUPHO,04_05,10.5,4.2,2.9
Bonzi Wells,MEM,04_05,10.4,3.3,1.2
Marcus Camby,DEN,04_05,10.3,10.0,2.3
Corliss Williamson,PHISAC,04_05,10.3,3.6,1.1
J.R. Smith,NOH,04_05,10.3,2.0,1.9
Bob Sura,HOU,04_05,10.3,5.5,5.2
Jarvis Hayes,WAS,04_05,10.2,4.2,1.7
Mo Williams,MIL,04_05,10.2,3.0,6.0
Jason Williams,MEM,04_05,10.1,1.7,5.6
Brevin Knight,CHA,04_05,10.1,2.6,9.0
Josh Childress,ATL,04_05,10.1,6.0,1.9
Stromile Swift,MEM,04_05,10.1,4.6,0.7
Luke Ridnour,SEA,04_05,10.0,2.5,5.9
Glenn Robinson,SAS,04_05,10.0,2.7,0.9
Nenad Krstić,NJN,04_05,10.0,5.3,1.0
Shane Battier,MEM,04_05,9.9,5.2,1.6
Marko Jarić,LAC,04_05,9.9,3.2,6.1
Chris Mihm,LAL,04_05,9.8,6.7,0.7
Ben Wallace,DET,04_05,9.7,12.2,1.7
Voshon Lenard,DEN,04_05,9.7,2.0,2.0
Josh Smith,ATL,04_05,9.7,6.2,1.7
Keith Bogans,CHA,04_05,9.6,3.1,1.8
Lorenzen Wright,MEM,04_05,9.6,7.7,1.1
Antonio McDyess,DET,04_05,9.6,6.3,0.9
Nenê,DEN,04_05,9.6,5.9,1.5
Juwan Howard,HOU,04_05,9.6,5.7,1.5
Jason Hart,CHA,04_05,9.5,2.7,5.0
Nazr Mohammed,NYKSAS,04_05,9.5,7.6,0.4
Mickaël Piétrus,GSW,04_05,9.5,2.8,1.2
Mark Blount,BOS,04_05,9.4,4.8,1.6
Brendan Haywood,WAS,04_05,9.4,6.8,0.8
Derek Anderson,POR,04_05,9.2,2.7,3.0
Erick Dampier,DAL,04_05,9.2,8.5,0.9
Marquis Daniels,DAL,04_05,9.1,3.6,2.1
Chris Kaman,LAC,04_05,9.1,6.7,1.2
Andre Iguodala,PHI,04_05,9.0,5.7,3.0
Brian Cardinal,MEM,04_05,9.0,3.9,2.0
Matt Carroll,CHA,04_05,9.0,2.4,0.7
Austin Croshere,IND,04_05,8.9,5.1,1.3
Gordan Giriček,UTA,04_05,8.8,2.2,1.7
Troy Hudson,MIN,04_05,8.7,1.3,3.6
Jameer Nelson,ORL,04_05,8.7,2.4,3.0
Jason Kapono,CHA,04_05,8.5,2.0,0.8
Anthony Johnson,IND,04_05,8.4,2.8,4.8
Mike Sweetney,NYK,04_05,8.4,5.4,0.6
Predrag Drobnjak,ATL,04_05,8.4,3.4,0.7
Kareem Rush,CHALAL,04_05,8.4,1.9,1.4
Andrés Nocioni,CHI,04_05,8.4,4.8,1.5
Bruce Bowen,SAS,04_05,8.2,3.5,1.5
Samuel Dalembert,PHI,04_05,8.2,7.5,0.5
James Posey,MEM,04_05,8.1,4.4,1.8
Juan Dixon,WAS,04_05,8.0,1.9,1.8
Othella Harrington,CHI,04_05,8.0,4.2,0.8
Tyson Chandler,CHI,04_05,8.0,9.7,0.8
Chris Wilcox,LAC,04_05,7.9,4.2,0.7
Keith McLeod,UTA,04_05,7.8,2.1,4.5
DeShawn Stevenson,ORL,04_05,7.8,1.9,1.3
Eric Williams,NJNTOR,04_05,7.7,3.1,1.7
Earl Watson,MEM,04_05,7.7,2.0,4.5
Willie Green,PHI,04_05,7.7,2.3,1.8
Chris Andersen,NOH,04_05,7.7,6.1,1.1
Rodney Rogers,NOHPHI,04_05,7.7,4.2,1.5
Alonzo Mourning,MIANJN,04_05,7.6,5.4,0.5
Ron Mercer,NJN,04_05,7.6,2.2,1.1
Jumaine Jones,LAL,04_05,7.6,5.2,0.9
Eddie Griffin,MIN,04_05,7.5,6.5,0.8
Clifford Robinson,GSWNJN,04_05,7.5,2.9,1.5
Darius Songaila,SAC,04_05,7.5,4.2,1.4
Danny Fortson,SEA,04_05,7.5,5.6,0.1
Brent Barry,SAS,04_05,7.4,2.3,2.2
Shaun Livingston,LAC,04_05,7.4,3.0,5.0
Devin Brown,SAS,04_05,7.4,2.6,1.4
