Player,Team,Season,PPG,RPG,APG
Joel Embiid,PHI,21_22,30.6,11.7,4.2
LeBron James,LAL,21_22,30.3,8.2,6.2
Giannis Antetokounmpo,MIL,21_22,29.9,11.6,5.8
Kevin Durant,BRK,21_22,29.9,7.4,6.4
Luka Dončić,DAL,21_22,28.4,9.1,8.7
Trae Young,ATL,21_22,28.4,3.7,9.7
DeMar DeRozan,CHI,21_22,27.9,5.2,4.9
Kyrie Irving,BRK,21_22,27.4,4.4,5.8
Ja Morant,MEM,21_22,27.4,5.7,6.7
Nikola Jokić,DEN,21_22,27.1,13.8,7.9
Jayson Tatum,BOS,21_22,26.9,8.0,4.4
Devin Booker,PHO,21_22,26.8,5.0,4.8
Donovan Mitchell,UTA,21_22,25.9,4.2,5.3
Stephen Curry,GSW,21_22,25.5,5.2,6.3
Karl-Anthony Towns,MIN,21_22,24.6,9.8,3.6
Shai Gilgeous-Alexander,OKC,21_22,24.5,5.0,5.9
Zach LaVine,CHI,21_22,24.4,4.6,4.5
Paul George,LAC,21_22,24.3,6.9,5.7
Damian Lillard,POR,21_22,24.0,4.1,7.3
Jaylen Brown,BOS,21_22,23.6,6.1,3.5
Bradley Beal,WAS,21_22,23.2,4.7,6.6
Anthony Davis,LAL,21_22,23.2,9.8,3.0
De'Aaron Fox,SAC,21_22,23.2,3.9,5.6
Pascal Siakam,TOR,21_22,22.8,8.5,5.3
Brandon Ingram,NOP,21_22,22.7,5.8,5.6
CJ McCollum,NOPPOR,21_22,22.1,4.3,5.1
James Harden,BRKPHI,21_22,22.0,7.7,10.3
Darius Garland,CLE,21_22,21.7,3.3,8.6
Jimmy Butler,MIA,21_22,21.4,5.9,5.5
Anthony Edwards,MIN,21_22,21.3,4.8,3.8
Dejounte Murray,SAS,21_22,21.1,8.3,9.2
Tyler Herro,MIA,21_22,20.7,5.0,4.0
Klay Thompson,GSW,21_22,20.4,3.9,2.8
Fred VanVleet,TOR,21_22,20.3,4.4,6.7
Kristaps Porziņģis,DALWAS,21_22,20.2,8.1,2.3
Miles Bridges,CHO,21_22,20.2,7.0,3.8
LaMelo Ball,CHO,21_22,20.1,6.7,7.6
Julius Randle,NYK,21_22,20.1,9.9,5.1
Khris Middleton,MIL,21_22,20.1,5.4,5.4
RJ Barrett,NYK,21_22,20.0,5.8,3.0
Terry Rozier,CHO,21_22,19.3,4.3,4.5
Jerami Grant,DET,21_22,19.2,4.1,2.4
