Rk;Player;PTS/G;Season;Age;Team;G;GS;AS;MP;FG;FGA;2P;2PA;3P;3PA;FT;FTA;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;FG%;2P%;3P%;FT%;TS%;eFG%;Pos;Player-additional
1;Kevin Durant;27.7;2010-11;22;OKC;78;78;1;3038;711;1538;566;1124;145;414;594;675;57;476;533;214;88;76;218;159;2161;0.462;0.504;0.35;0.88;0.589;0.509;F-G;duranke01
2;LeBron James;26.7;2010-11;26;MIA;79;79;1;3063;758;1485;666;1206;92;279;503;663;80;510;590;554;124;50;284;163;2111;0.51;0.552;0.33;0.759;0.594;0.541;F-G;jamesle01
3;Carmelo Anthony;25.6;2010-11;26;DENNYK;77;77;1;2751;684;1503;589;1252;95;251;507;605;118;445;563;221;68;46;206;224;1970;0.455;0.47;0.378;0.838;0.557;0.487;F;anthoca01
4;Dwyane Wade;25.5;2010-11;29;MIA;76;76;1;2823;692;1384;629;1178;63;206;494;652;123;362;485;346;111;87;237;197;1941;0.5;0.534;0.306;0.758;0.581;0.523;G;wadedw01
5;Kobe Bryant;25.3;2010-11;32;LAL;82;82;1;2779;740;1639;625;1283;115;356;483;583;83;336;419;388;99;12;243;172;2078;0.451;0.487;0.323;0.828;0.548;0.487;G-F;bryanko01
6;Amar'e Stoudemire;25.3;2010-11;28;NYK;78;78;1;2870;744;1482;734;1459;10;23;473;597;198;438;636;202;71;150;250;274;1971;0.502;0.503;0.435;0.792;0.565;0.505;F-C;stoudam01
7;Derrick Rose;25;2010-11;22;CHI;81;81;1;3026;711;1597;583;1212;128;385;476;555;81;249;330;623;85;51;278;136;2026;0.445;0.481;0.332;0.858;0.55;0.485;G;rosede01
8;Monta Ellis;24.1;2010-11;25;GSW;80;80;0;3227;726;1611;589;1232;137;379;340;431;44;237;281;450;168;23;252;203;1929;0.451;0.478;0.361;0.789;0.536;0.493;G;ellismo01
9;Kevin Martin;23.5;2010-11;27;HOU;80;80;0;2603;553;1267;377;808;176;459;594;669;28;230;258;198;80;15;184;155;1876;0.436;0.467;0.383;0.888;0.601;0.506;G;martike02
10;Dirk Nowitzki;23;2010-11;32;DAL;73;73;1;2504;610;1179;544;1011;66;168;395;443;50;463;513;190;38;47;137;172;1681;0.517;0.538;0.393;0.892;0.612;0.545;F-C;nowitdi01
11;Dwight Howard;22.9;2010-11;25;ORL;78;78;1;2935;619;1044;619;1037;0;7;546;916;309;789;1098;107;107;186;279;258;1784;0.593;0.597;0;0.596;0.616;0.593;C;howardw01
12;Blake Griffin;22.5;2010-11;21;LAC;82;82;1;3112;696;1376;689;1352;7;24;446;695;270;719;989;312;63;45;223;252;1845;0.506;0.51;0.292;0.642;0.549;0.508;F-C;griffbl01
13;Eric Gordon;22.3;2010-11;22;LAC;56;56;0;2112;427;949;321;658;106;291;287;348;45;119;164;244;71;18;151;115;1247;0.45;0.488;0.364;0.825;0.566;0.506;G-F;gordoer01
14;Russell Westbrook;21.9;2010-11;22;OKC;82;82;1;2847;614;1390;580;1287;34;103;531;631;121;258;379;670;155;30;316;207;1793;0.442;0.451;0.33;0.842;0.538;0.454;G;westbru01
